X,Y
0.00000,38834.352
0.13342,37509.945
0.26684,37110.801
0.40027,37026.891
0.53369,36977.141
0.66711,37846.879
0.80053,38532.355
0.93395,37336.684
1.06737,36002.105
1.20080,35526.762
1.33422,35854.863
1.46764,36772.844
1.60106,38124.238
1.73448,37490.609
1.86791,37560.332
2.00133,37464.129
2.13475,36929.355
2.26817,36875.516
2.40159,38271.828
2.53502,38802.422
2.66844,39229.836
2.80186,43191.504
2.93528,47943.891
3.06870,63680.555
3.20212,89565.164
3.33555,110233.914
3.46897,88281.938
3.60239,59722.445
3.73581,47395.840
3.86923,41419.648
4.00266,39891.004
