X,Y
0.00000,33734.031
0.13342,33436.141
0.26684,33268.234
0.40027,35003.137
0.53369,33620.250
0.66711,34545.328
0.80053,35083.121
0.93395,34542.289
1.06737,35738.875
1.20080,36122.344
1.33422,35156.320
1.46764,36261.023
1.60106,36950.168
1.73448,38422.121
1.86791,37913.188
2.00133,37389.590
2.13475,37154.359
2.26817,37786.375
2.40159,37145.660
2.53502,37366.348
2.66844,38178.578
2.80186,38618.801
2.93528,42213.469
3.06870,59836.855
3.20212,79628.453
3.33555,76265.734
3.46897,56205.059
3.60239,44086.691
3.73581,37971.391
3.86923,37584.844
