X,Y
0.00000,38611.500
0.13342,38143.496
0.26684,37576.090
0.40027,37202.074
0.53369,39066.246
0.66711,37745.520
0.80053,38371.055
0.93395,38894.688
1.06737,39913.102
1.20080,40500.527
1.33422,41749.922
1.46764,41044.309
1.60106,42198.594
1.73448,40959.426
1.86791,42271.086
2.00133,42105.645
2.13475,40295.438
2.26817,40574.465
2.40159,39269.363
2.53502,40267.961
2.66844,39515.039
2.80186,38797.641
2.93528,40489.215
3.06870,40658.883
3.20212,41480.195
3.33555,41397.047
3.46897,42450.215
3.60239,48873.254
3.73581,59058.918
3.86923,65784.625
4.00266,57255.125
4.13608,46064.680
4.26950,41403.176
