0.0000	34833.3008
0.1334	35076.4805
0.2668	34134.4805
0.4003	35782.6602
0.5337	35917.0859
0.6671	41811.6992
0.8005	57542.8789
0.9340	95816.8672
1.0674	143933.3125
1.2008	121734.6562
1.3342	72913.5938
1.4676	49425.1719
1.6011	37266.2891
1.7345	34849.3750
1.8679	32796.2070
2.0013	33227.5625
2.1347	32312.3203
2.2682	32596.8672
2.4016	33454.6172
2.5350	33006.1758
2.6684	33806.9609
2.8019	31234.9531
2.9353	31665.5898
3.0687	31132.5566
3.2021	30885.5684
3.3355	31651.2285
3.4690	33189.2305
3.6024	33307.2266
3.7358	32761.5938
