X,Y
0.00000,14439.000
0.13342,15594.649
0.26684,17147.855
0.40027,21791.426
0.53369,25357.002
0.66711,23837.721
0.80053,21339.709
0.93395,20028.580
1.06737,19153.881
1.20080,18607.590
1.33422,19361.701
1.46764,19935.396
1.60106,19157.152
1.73448,17032.227
1.86791,16721.682
2.00133,15772.425
2.13475,17101.029
2.26817,18059.764
2.40159,17336.598
2.53502,16580.461
2.66844,17681.396
2.80186,16592.178
2.93528,17710.809
3.06870,17405.633
3.20212,17992.631
3.33555,17153.479
3.46897,17032.154
3.60239,17329.855
3.73581,16960.980
