X,Y
0.00000,14719.169
0.13342,15589.590
0.26684,17830.488
0.40027,22392.494
0.53369,25707.250
0.66711,24865.889
0.80053,23616.014
0.93395,23339.867
1.06737,23109.322
1.20080,23045.037
1.33422,20874.818
1.46764,19463.771
1.60106,20625.609
1.73448,21364.324
1.86791,20265.943
2.00133,19195.107
2.13475,18490.842
2.26817,19221.906
2.40159,20772.875
2.53502,21804.312
2.66844,21571.520
2.80186,20652.484
2.93528,20538.043
3.06870,20514.992
3.20212,20153.299
3.33555,19926.773
3.46897,19664.342
3.60239,18902.400
3.73581,16825.504
3.86923,16527.951
4.00266,15875.337
