X,Y
0.00000,40663.586
0.13342,41131.344
0.26684,40328.672
0.40027,40743.066
0.53369,39257.027
0.66711,40141.961
0.80053,41011.934
0.93395,40439.730
1.06737,39206.566
1.20080,40042.160
1.33422,40702.555
1.46764,40650.199
1.60106,39014.652
1.73448,39455.707
1.86791,41165.277
2.00133,42011.520
2.13475,43632.359
2.26817,42621.824
2.40159,43808.434
2.53502,40847.629
2.66844,39216.656
2.80186,41867.051
2.93528,42657.961
3.06870,41412.094
3.20212,40675.887
3.33555,41366.852
3.46897,45598.121
3.60239,49160.297
3.73581,56170.750
3.86923,53745.430
4.00266,47104.605
