X,Y
0.00000,20839.732
0.13342,20507.270
0.26684,22775.586
0.40027,28456.771
0.53369,32511.877
0.66711,31227.365
0.80053,26787.969
0.93395,23677.750
1.06737,21957.553
1.20080,21227.773
1.33422,21390.541
1.46764,20388.170
1.60106,20939.408
1.73448,20491.189
1.86791,18564.924
2.00133,18757.482
2.13475,19200.727
2.26817,17818.771
2.40159,16916.764
2.53502,15891.857
2.66844,15459.829
2.80186,15360.929
2.93528,15128.590
3.06870,14851.032
3.20212,15977.276
3.33555,16784.271
3.46897,16409.510
3.60239,15732.686
3.73581,15573.852
3.86923,15362.877
4.00266,14887.504
