X,Y
0.00000,37308.027
0.13342,39815.793
0.26684,38724.750
0.40027,38934.070
0.53369,37616.230
0.66711,37008.078
0.80053,38259.750
0.93395,38097.008
1.06737,39356.508
1.20080,38822.066
1.33422,36838.371
1.46764,37707.277
1.60106,36268.535
1.73448,36238.219
1.86791,38184.727
2.00133,37231.695
2.13475,37473.367
2.26817,40298.117
2.40159,40088.809
2.53502,44200.387
2.66844,53281.684
2.80186,69459.133
2.93528,91342.531
3.06870,103926.539
3.20212,83156.555
3.33555,59317.137
3.46897,46669.125
3.60239,40376.762
