X,Y
0.00000,39383.551
0.13342,42058.535
0.26684,43233.758
0.40027,41171.039
0.53369,40014.281
0.66711,42483.504
0.80053,43974.711
0.93395,41995.598
1.06737,40509.684
1.20080,39401.711
1.33422,39625.051
1.46764,39401.500
1.60106,38157.152
1.73448,37535.754
1.86791,38497.734
2.00133,42113.305
2.13475,39853.988
2.26817,41175.426
2.40159,47888.523
2.53502,61027.945
2.66844,97559.016
2.80186,165434.844
2.93528,169944.469
3.06870,112818.797
3.20212,73231.680
3.33555,54136.449
3.46897,45296.820
3.60239,41561.832
