X,Y
0.00000,23513.869
0.13342,36951.812
0.26684,56515.410
0.40027,62693.965
0.53369,52375.645
0.66711,39665.453
0.80053,30807.395
0.93395,27984.076
1.06737,28763.713
1.20080,28089.789
1.33422,25363.291
1.46764,23448.588
1.60106,22843.217
1.73448,23093.605
1.86791,23009.113
2.00133,22805.920
2.13475,23367.039
2.26817,27290.730
2.40159,29314.592
2.53502,27830.924
2.66844,28332.578
2.80186,28106.576
2.93528,25463.920
3.06870,23104.098
3.20212,20656.051
3.33555,19198.891
3.46897,17983.848
3.60239,17139.490
3.73581,17997.592
3.86923,20255.441
4.00266,21693.014
4.13608,20883.236
4.26950,21642.893
4.40292,20541.670
4.53634,21153.633
