0.0000	31868.5273
0.1334	31260.1504
0.2668	35966.5078
0.4003	43374.8086
0.5337	63980.8594
0.6671	102654.6250
0.8005	124281.5703
0.9340	102634.1328
1.0674	64760.1211
1.2008	45408.4102
1.3342	38630.0039
1.4676	35029.7617
1.6011	35208.9648
1.7345	35837.7891
1.8679	34413.5547
2.0013	34053.1094
2.1347	34264.0938
2.2682	34544.1836
2.4016	35489.5898
2.5350	35113.6797
2.6684	34419.1094
2.8019	34268.5391
2.9353	33271.6641
3.0687	31354.2773
3.2021	33591.3633
3.3355	32649.2520
3.4690	30754.9219
3.6024	31061.1348
3.7358	31390.9277
3.8692	31124.3984
4.0027	30302.5918
4.1361	30486.0273
4.2695	29574.8887
