X,Y
0.00000,34303.191
0.13342,34758.598
0.26684,34135.145
0.40027,34010.430
0.53369,35993.270
0.66711,35471.816
0.80053,36206.633
0.93395,35011.719
1.06737,35328.949
1.20080,34938.996
1.33422,36189.152
1.46764,36497.812
1.60106,36666.266
1.73448,36989.523
1.86791,35483.055
2.00133,35429.355
2.13475,36153.105
2.26817,36925.527
2.40159,38141.645
2.53502,37693.586
2.66844,37032.797
2.80186,38929.832
2.93528,45476.168
3.06870,62386.340
3.20212,85973.641
3.33555,86347.555
3.46897,63402.297
3.60239,45089.613
3.73581,37945.855
