X,Y
0.00000,12498.394
0.13342,15422.453
0.26684,20293.740
0.40027,27581.451
0.53369,30618.451
0.66711,30836.230
0.80053,28664.217
0.93395,25627.934
1.06737,27097.264
1.20080,24699.119
1.33422,22604.814
1.46764,20593.918
1.60106,19355.559
1.73448,19121.793
1.86791,19947.270
2.00133,20609.500
2.13475,19445.395
2.26817,18134.775
2.40159,15837.358
2.53502,15203.995
2.66844,16700.979
2.80186,18226.598
2.93528,19989.678
3.06870,21560.859
3.20212,26228.855
3.33555,33239.770
3.46897,36967.340
3.60239,30362.721
