X,Y
0.00000,13340.196
0.13342,15346.635
0.26684,16976.203
0.40027,22293.973
0.53369,35379.297
0.66711,56152.844
0.80053,70627.266
0.93395,67347.742
1.06737,60638.098
1.20080,58236.359
1.33422,60808.301
1.46764,58913.152
1.60106,52455.496
1.73448,49159.633
1.86791,47665.402
2.00133,42936.633
2.13475,42539.008
2.26817,40733.766
2.40159,42069.359
2.53502,37433.727
2.66844,36146.961
2.80186,32969.664
2.93528,33425.062
3.06870,31715.135
3.20212,30721.062
3.33555,28007.209
3.46897,25273.861
3.60239,24260.236
3.73581,23282.404
3.86923,23213.928
4.00266,23578.625
4.13608,23197.133
4.26950,21697.516
4.40292,20458.242
4.53634,19780.816
4.66976,19600.697
4.80319,18951.352
4.93661,18367.098
5.07003,17299.229
5.20345,17000.072
5.33687,16458.584
5.47030,17268.834
5.60372,18029.963
5.73714,18584.281
5.87056,17570.414
6.00398,16330.830
6.13741,16006.841
