X,Y
0.00000,12672.800
0.13342,13354.574
0.26684,14715.344
0.40027,17641.215
0.53369,19371.195
0.66711,19255.619
0.80053,17946.814
0.93395,18031.748
1.06737,17006.234
1.20080,16351.121
1.33422,15701.033
1.46764,16051.819
1.60106,14961.787
1.73448,13948.898
1.86791,14063.195
2.00133,14448.731
2.13475,13630.224
2.26817,12332.165
2.40159,12129.688
2.53502,12642.710
2.66844,13203.153
2.80186,13255.126
2.93528,14610.218
3.06870,13933.300
3.20212,13041.938
3.33555,12535.125
3.46897,12186.409
3.60239,11825.688
3.73581,11620.303
