X,Y
0.00000,13644.747
0.13342,15334.835
0.26684,17719.146
0.40027,23469.375
0.53369,38575.340
0.66711,53512.746
0.80053,55080.188
0.93395,45053.914
1.06737,34373.375
1.20080,27055.611
1.33422,26130.863
1.46764,24677.932
1.60106,21856.158
1.73448,18555.285
1.86791,17647.939
2.00133,17001.324
2.13475,17031.572
2.26817,17496.320
2.40159,16532.811
2.53502,16459.820
2.66844,16896.555
2.80186,17355.584
2.93528,17028.910
3.06870,17298.982
3.20212,17381.629
3.33555,17415.943
3.46897,17172.279
3.60239,16382.096
3.73581,16175.812
3.86923,15546.508
4.00266,14480.327
