X	Y_20180212_14590_10_1g	Y_20180212_14590_10_2g	Y_20180212_14590_11_1g	Y_20180212_14590_12_1g	Y_20180212_14590_12_2g	Y_20180212_14590_13_1g	Y_20180212_14590_14_1g	Y_20180212_14590_18_1g	Y_20180212_14590_18_2g	Y_20180212_14590_18_3g	Y_20180212_14590_18_4g	Y_20180212_14590_18_5g	Y_20180212_14590_19_1g	Y_20180212_14590_19_2g	Y_20180212_14590_1_1g	Y_20180212_14590_1_2g	Y_20180212_14590_1_3g	Y_20180212_14590_1_4g	Y_20180212_14590_1_5g	Y_20180212_14590_21_1g	Y_20180212_14590_21_2g	Y_20180212_14590_23_1g	Y_20180212_14590_24_1g	Y_20180212_14590_24_2g	Y_20180212_14590_26_1g	Y_20180212_14590_26_2g	Y_20180212_14590_2_1g	Y_20180212_14590_2_2g	Y_20180212_14590_2_3g	Y_20180212_14590_2_4g	Y_20180212_14590_2_5g	Y_20180212_14590_30_1g	Y_20180212_14590_30_2g	Y_20180212_14590_31_1g	Y_20180212_14590_31_2g	Y_20180212_14590_34_1g	Y_20180212_14590_37_1g	Y_20180212_14590_37_2g	Y_20180212_14590_38_1g	Y_20180212_14590_38_2g	Y_20180212_14590_39_1g	Y_20180212_14590_3_1g	Y_20180212_14590_3_2g	Y_20180212_14590_3_3g	Y_20180212_14590_3_4g	Y_20180212_14590_3_5g	Y_20180212_14590_3_6g	Y_20180212_14590_40_1g	Y_20180212_14590_40_2g	Y_20180212_14590_40_3g	Y_20180212_14590_40_4g	Y_20180212_14590_41_1g	Y_20180212_14590_41_2g	Y_20180212_14590_41_3g	Y_20180212_14590_44_1g	Y_20180212_14590_5_1g	Y_20180212_14590_5_2g	Y_20180212_14590_9_1g	Y_20180212_14590b_10_2g	Y_20180212_14590b_10_5g	Y_20180212_14590b_12_6g	Y_20180212_14590b_13_2g	Y_20180212_14590b_16_2g	Y_20180212_14590b_16_4g	Y_20180212_14590b_17_1g	Y_20180212_14590b_1_4g	Y_20180212_14590b_1_9g	Y_20180212_14590b_20_3g	Y_20180212_14590b_22_2g	Y_20180212_14590b_26_6g	Y_20180212_14590b_28_2g	Y_20180212_14590b_28_3g	Y_20180212_14590b_29_3g	Y_20180212_14590b_2_5g	Y_20180212_14590b_30_5g	Y_20180212_14590b_33_2g	Y_20180212_14590b_34_1g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_4g	Y_20180212_14590b_3_3g	Y_20180212_14590b_3_4g	Y_20180212_14590b_40_2g	Y_20180212_14590b_44_4g	Y_20180212_14590b_44_6g	Y_20180212_14590b_47_1g	Y_20180212_14590b_47_7g	Y_20180212_14590b_48_12g	Y_20180212_14590b_48_4g	Y_20180212_14590b_5_6g	Y_20180212_14590b_7_6g	Y_20180212_14590b_9_7g
0	36486.441	37276.559	35803.875	41051.805	38003.766	40474.141	37744.473	39547.301	38645.703	41864.926	38117.578	40622.238	40136.461	43575.27	35421.41	38614.875	36010.672	41770.801	40165.094	40254.906	40804.336	41101.07	44739.812	39999.207	37447.543	37297.406	41257.512	34903.227	41082.801	36705.273	33399.301	36988.445	35365.676	40629.676	37514.988	37189.5	37651.688	38891.215	36041.051	36418.562	36211.102	38870.598	39766.168	40028.398	36249.051	34038.273	40781.375	34865.875	30429.852	36608.48	39987.125	37972.051	40304.184	42124.602	41042.156	40269.805	37556.035	37380.535	39853.164	34738.34	36698.012	38684.801	39801.941	40004.984	34461.766	38271.246	37853.008	40064.125	41578.562	42104.387	39652.324	32177.17	31658.918	42673.281	36548.789	39138.664	33315.109	42698.473	39725.184	39951.051	35328.484	40621.094	40455.484	39161.723	36620.441	40942.258	30950.287	41281.832	36344.125	34076.422	34048.516
0.1334	35622.27	37037.078	35692.879	39947.992	37328.574	41183.84	37758.305	39831.016	36689.387	44007.645	38023.16	41730.422	40374.574	43571.781	35904.109	40092.051	37332.648	42587.871	42065.789	41520.957	41062.703	41682.16	44357.492	38509.562	38094.188	38169.645	40844.156	34957.566	41109.504	35085.59	35266.82	37173.746	36460.586	40613.277	38200.016	38493.441	37528.289	37006.75	36722.676	36612.402	36289.066	39609.84	39322.605	41273.586	38864.125	33309.871	40664.809	36651.121	31173.67	36480.555	40088.23	37020.867	40511.25	42275.559	41588.684	39829.34	37143.641	36757.004	40790.785	35581.074	36986.164	38461.25	38142.168	41555.699	34444.988	38845.836	38424.285	41620.207	43008.293	39733.156	39631.074	33557.121	32422.783	43125.895	33453.285	39608.156	34372.039	44425.77	39892.645	40423.594	35196.023	40208.938	38959.793	38295.562	34626.145	40989.93	31820.404	41409.602	37003.598	34763.508	33512.504
0.2668	36571.828	38431.75	35271.891	40737.816	38493.613	43330.625	37266.004	38884.605	35147.41	44132.434	41036.723	41425.035	42357.426	42990.844	36614.633	39304.664	36486.625	41393.008	41562.016	40970.988	41768.57	41253.438	44143.605	40023.102	35929.77	37870.449	41606.305	35713.859	45043.254	38016.785	33628.469	38215.938	35243.32	39848.418	38982.516	37661.332	37498.012	37242.137	36829.184	37306.164	35279.281	37426.043	41840.078	39487.262	35284.051	34261.137	41413.242	36159.621	32427.732	36001.457	41986.672	37642.207	41696.145	39876.922	42207.18	38567.09	38301.312	38938.875	41131.457	33133.023	38847.379	40551.379	38149.438	42468.812	35051.094	39237.859	40675.492	39862.059	44290.184	39522.637	40704.133	34321.383	33897.398	41414.473	34316.867	40367.309	35376.645	45125.848	41487.609	40031.684	36280.543	41537.922	42087.574	37564.543	34523.797	39914.652	30530.709	42590.676	37350.77	34938.426	33422.145
0.4003	38393.387	36527.977	35995.711	41220.695	38934.363	40726.09	38533.23	39853.367	37961.672	43342.391	38707.281	41570.246	39309.688	42315.73	37720.027	39682.352	38347.934	40865.719	41248.66	39505.625	43697.07	41490.875	45260.711	39006.812	37104.414	39866.117	42328.676	35679.895	50917.066	36561.109	36354.004	37237.855	36358.082	39284.059	38780.793	37859.441	38656.992	38879.809	36479.617	36485.664	35579.738	38489.43	41646.043	41476.133	35851.418	33664.66	42651.152	35669.945	32003.914	36249.605	43117.242	38327.5	40919.297	40705.832	41228.906	41157.574	37888.02	39546.477	40927.77	35638.484	38426.914	39828.195	37724.383	41696.895	35686.449	38685.219	41385.492	38888.34	44761.023	38911.855	47658.688	35183.141	34717.734	43374.035	34952.113	40045.195	33859.172	45013.742	41672.871	41258.801	35248.781	44383.27	43781.258	40065.156	36431.855	42436.762	30894.916	42974.297	38181.281	35985.281	33893.863
0.5337	39033.219	39429.766	35345.922	40435.207	39661.02	42147.141	38911.895	40222.641	38529.137	42580.562	37993.109	41918.93	41910.074	43508.844	39123.566	41353.848	39263.508	41313.867	44479.289	41046.488	43066.344	42304.406	45822.707	40435.648	38075.297	39090.324	44802.844	35551.094	63212.262	37761.434	36981.496	40040.691	37300.59	41181.375	39229.59	40557.641	38049.766	38494.828	35337.996	39129.566	36988.84	38599.453	40828.207	48676.816	37010.008	35243.328	43556.773	36412.176	31735.48	36651.602	40805.09	39532.016	42345.062	42778.902	41485.586	41464.535	37987.504	40279.68	41241.113	34983.559	40321.121	40448.109	37140.523	43072.543	36984.957	38862.512	40922.613	38487.777	45424.367	38851.02	59098.156	34691.387	36024.957	44338.648	36238.648	41226.621	35803.422	44905.469	40552.707	42115.906	35607.355	41790.402	49335.973	39108.77	37489.125	43483.262	31560.154	43986.336	38129.422	38930.746	32830.031
0.6671	41669.953	43537.961	36011.848	41463.191	38981.141	44341.543	39964.797	39566.141	37242.961	42146.559	41225.555	42778.227	40278.648	43812.168	39443.051	40837.277	48359.223	43342.105	46664.535	40480.496	41613.602	42514.457	45709.297	44244.016	37410.867	40097.723	48592.574	35833.664	91602.109	40128.023	37081.949	39159.531	39464.012	42629.195	39298.395	39365.684	39260.703	38693.117	36485.742	43925.586	36997.469	40948.09	40487.234	65391.867	37674.816	35993.859	50184.148	36874.328	32043.768	33766.031	41886.434	39548.617	42907.746	45691.902	42671.277	41036.555	38964.922	39652.469	43374.297	34734.281	40618.738	40902.859	38196.234	47202.637	37027.824	38744.973	40640.836	40153.992	45596.711	41387.895	90697.648	36215.531	38027.719	44459.77	35824.902	40930.613	35001.988	42397.336	40992.168	43498.012	38321.336	46152.258	64195.738	40775.68	36811.184	46823.664	32817.781	51038.637	37543.348	40827.918	35647.688
0.8005	47634.461	53983.023	37984.086	42457.582	40815.664	42430.176	39789.145	40151.438	38716.465	41825.418	39097.496	45034.113	40180.785	47262.355	38925.074	41368.973	69388.406	45497.984	54204.262	40400.543	40668.688	43991.293	45421.48	58761.855	36053.895	40185.855	55731.891	35998.348	112142.922	43058.809	42560.949	42931.609	39445.762	43179.941	40244.398	39523.758	40157.191	38941.316	36485.109	56421.766	37925.281	42894.035	40678.508	98935.531	38137.613	38596.559	65504.445	41033.98	34523.133	38263.723	42347.395	41037.512	44709.941	50312.477	42190.215	42037.57	40871.648	39208.637	46355.699	35759.594	41416.484	44913.637	39144.094	56201.082	36432.199	39119.441	40702.754	41521.703	50426.5	41582.332	131526.391	37932.398	42496.684	49455.945	36289.836	40718.438	36493.848	47185.887	42159.879	44083.031	43691.551	49402.758	85397.234	42759.77	40495.863	52676.902	34374.371	68034.828	38509.543	45389.695	36487.734
0.934	65520.676	72860.086	37890.344	49505.363	45713.77	41470.215	38647.75	42681.359	39384	43626.664	41437.359	48203.109	42633.777	52659.277	45737.254	42549.152	95288.758	48041.293	76622.094	39952.945	42905.66	48131.199	45616.113	86501.977	37218.195	47663.879	72290.609	36474.828	87442.234	50832.77	51686.254	49063.223	45640.52	44098.641	42863.609	41701.105	39953.48	40641.957	37490.078	78797.352	37716.121	49703.246	41925.027	106364.805	40697.754	40155.199	89328	49158.461	35178.047	41269.141	41278.137	40354.199	47709.105	69359.234	42812.559	44231.074	41448.062	38990.117	56422.57	35351.965	40208.668	46138.402	40096.926	75711.875	36106.145	38659.906	42017.531	40362.707	62167.746	46232.863	130623.461	36984.125	54910.066	62507.293	35327.18	43413.445	39300.824	50577.559	43197.309	53905.074	55078.711	58904.215	86507.844	50857.402	52246.246	63398.184	40317.164	86213.367	39598.98	57450.012	37284.461
1.0674	95522.203	87182.844	39923.656	57914.941	54280.93	43163.504	39533.691	44281.594	39428.375	43778.414	42255.66	55361.039	41121.184	66405.031	57801.594	43946.336	101185.133	56948.762	118460.703	41995.277	45649.656	56888.676	48422.676	105657.766	39437.48	62613.586	84045	40777.023	61481.703	76167.594	56874.074	71634.438	57081.242	50070.234	50715.938	43748.742	42931.934	40141.18	39072.398	93975.711	40238.418	65691.023	40683.453	72113.172	50206.188	49114.738	91402.148	57553.219	38724.75	42995.875	42166.484	41762.516	58825.242	90573.078	44691.094	52646.441	43887.109	38882.152	77853.102	36732.695	44156.547	53306.098	39936.543	117156.094	35689.895	38219.66	43672.414	40404.621	84248.047	54061.992	91935.477	36545.988	73463.734	85054.117	36879.48	52369.57	44790.277	66781.047	44181.219	69282.523	80616.445	82798.516	65125.539	69051.492	73105.797	70215.086	57610.016	81510.703	44921.512	83662.898	41543.52
1.2008	102832.969	73239.523	42328.293	82456.734	79042.617	43085.422	39520.312	47316.359	40199.695	46524.555	46748.031	60830.945	44157.051	83906.625	74866.148	44216.66	72019.375	77802.234	139062.078	45328.961	51586.703	77311.344	59042.934	81502.797	44503.945	72478.797	73415.766	46663.875	47111.945	117721.758	46533.234	99842.133	77540.781	67629.234	67554.625	51440.605	51849.59	40101.57	41071.168	76121.523	40710.395	82238.086	42387.875	50904.77	68506.266	70773.656	71494.75	55171.461	43581.43	51094.371	45195.723	42678.773	78318.125	85019.156	46361.652	75510.336	53613.289	40694.031	101329.164	41254.922	49803.387	51681.309	40890.848	144677.031	37370.984	38918.809	44575.121	40486.543	85336.445	83309.031	56575.605	36627.141	84135.695	86559.25	37838.816	61704.156	60677.062	78807.094	50396.691	71541.391	98055.031	123840.227	49102.477	79345.852	78680.086	60437.719	81587.023	63744.145	55405.145	99598.406	49418.477
