X,Y
0.00000,11412.292
0.13342,12227.146
0.26684,13959.396
0.40027,17397.951
0.53369,19876.689
0.66711,17487.551
0.80053,15544.131
0.93395,15117.038
1.06737,13799.073
1.20080,13894.986
1.33422,13548.978
1.46764,12590.129
1.60106,12603.478
1.73448,12528.137
1.86791,12183.502
2.00133,11757.292
