X,Y
0.00000,39766.168
0.13342,39322.605
0.26684,41840.078
0.40027,41646.043
0.53369,40828.207
0.66711,40487.234
0.80053,40678.508
0.93395,41925.027
1.06737,40683.453
1.20080,42387.875
1.33422,44723.195
1.46764,49364.648
1.60106,63532.422
1.73448,90184.719
1.86791,96946.969
2.00133,73852.164
2.13475,53641.926
2.26817,45167.125
