X	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_1g	Y_20181208_15692b_10_3g	Y_20181208_15692b_10_4g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_13g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_18g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_2g	Y_20181208_15692b_11_3g	Y_20181208_15692b_11_4g	Y_20181208_15692b_11_6g	Y_20181208_15692b_11_7g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_13g	Y_20181208_15692b_12_15g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_17g	Y_20181208_15692b_12_2g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_8g	Y_20181208_15692b_13_1g	Y_20181208_15692b_13_4g	Y_20181208_15692b_13_5g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_3g	Y_20181208_15692b_14_5g	Y_20181208_15692b_15_1g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_10g	Y_20181208_15692b_16_3g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_5g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_4g	Y_20181208_15692b_17_5g	Y_20181208_15692b_2_4g	Y_20181208_15692b_2_5g	Y_20181208_15692b_2_6g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_3g	Y_20181208_15692b_3_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_3_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_1g	Y_20181208_15692b_5_3g	Y_20181208_15692b_5_4g	Y_20181208_15692b_6_1g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_4g	Y_20181208_15692b_7_1g	Y_20181208_15692b_7_5g	Y_20181208_15692b_7_7g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_7g	Y_20181208_15692b_8_8g	Y_20181208_15692b_8_9g	Y_20181208_15692b_9_1g	Y_20181208_15692b_9_4g	Y_20181208_15692b_9_5g	Y_20181208_15692b_9_6g
0	33206.2344	30469.457	35500.7461	30446.1113	49224.75	32800.3906	32063.2168	34579.9688	35936.8633	28738.0625	34689.5664	27069.1602	33130.2383	31556.8477	30626.0723	25792.9336	31360.1992	32470.9551	33848.043	52646.2305	34996.0547	32046.6289	32124.3477	31432.8398	39291.0625	37043.2188	29456.7988	31749.1875	32863.0391	31949.166	31693.0977	31930.6562	31883.9277	30817.5605	31844.0547	34616.1602	36356.5273	28295.418	36383.9531	33297.4844	30917.0684	30808.25	33695.5586	31131.7031	33589.7852	30099.8945	42957.8242	33052	29789.3477	33110.4727	31504.4785	29882.5332	28333.6641	33823.9492	36223.5469	34184.0234	33285.8047	33553.8047	34288.0664	33741.2266	29345.7168	29338.4004	33688.9062	32373.3848	49426.832	32607.2988	31062.9414	46016.2695	35724.9375	31019.0254	35304.5625	51718.6133	27869.8926	34565.2617	32164.2129	62211.8555
0.1334	35960.9883	29933.6152	38196.9805	31742.7617	62244.207	32670.4883	32882.6875	34298.4609	34111.4102	30224.1328	37655.6797	29080.6426	34730.75	36257.7148	31161.668	29131.7656	33706.1328	32250.5137	35774.0469	63904.3281	33271.9609	32968.3789	33765.1406	32966.0234	46252.082	38596.4922	29607.0195	32667.0039	39994.9609	32303.3828	30876.3008	34173.8906	29768.0938	30949.332	31699.3867	36259.8047	42953.5977	30083.8848	32666.7656	32890.2383	32895.668	32728.9648	34381.6602	31294.1016	33134.832	31646.4512	38075.7734	31426.0371	32632.9336	34937.0156	30827.3594	31355.2949	27599.0762	35895.4336	37713.2773	33320.7656	33367.4375	36083.5742	38064.9727	33584.5	29896.1348	30074.166	34152.8984	37440.4688	68040.9531	34444.2109	30887.6504	53750.2031	35755.2383	32253.5664	36985.2461	46164.6602	28607.3848	35755.8984	32827.8594	58606.9492
0.2668	42863.0312	31660.623	48545.5859	32285.6484	97279.0078	33399.6094	32359.0469	35328.2617	33970.7148	34674.6562	39388.8945	33006.1523	37562.2656	43718.1133	33380.2422	34723.6523	37498.7734	37190.8047	42873.2617	96121.8281	35658.082	34701.2422	37005.2695	34438.5664	65021.6211	43140.6836	29351.9102	34816.207	48892.0312	33320.9961	35654.3086	38667.7891	34659.7617	31205.0391	35543.5273	40451.1289	56123.2578	35231.1172	31961.6484	36457.7031	34860.1211	38696.1641	36315.7422	34796.875	37236.4922	35606.6953	41717.2656	33490.9062	37901.8164	35996.7188	32647.082	32750.4902	29501.6719	39236.75	41021.9023	36404.7383	32513.0469	48789.0469	44553.1758	32958.9336	32536.5586	32114.7773	35459.7852	44537.7227	93235.6641	36972.1055	32866.8125	53466.5117	37409.0234	43487.5664	43514.1094	52222.5312	30642.3086	37608.7148	35212.5195	64353.168
0.4003	58903.5039	38521.9023	64624.9219	34680.6172	99117.7266	37170.9453	33702.1719	36574.7539	36993.2617	40406.6133	43675.0977	40779.6172	41750.8789	59812.8867	40281.0625	44980.0078	40813.1641	44287.1484	53079.4961	101230.8438	42302.5625	39891.3789	37525.3008	36875.2578	91158.2578	52751.3555	30394.998	38862.832	46381.4961	37255.5664	45378.4961	45581.8555	45054.8008	35270.1172	41127.5352	48798.3711	66034.7891	47918.8242	37293.2617	44768.6875	39477.3711	51346.9258	41360.0156	46628.3164	46669.8125	43259.0078	50006.1094	37039.0898	47128.1094	42384.75	34848.7539	37834.8516	34450.0234	44390.7734	50086.5156	41906.0938	36020.7422	68921.0859	64084.8672	37936.0273	38682.0898	35228.3477	47851.9648	51410.5234	93498.9844	41986.8555	34908.8984	41987.8125	42734.4258	56559.6914	49750.6836	60862.6914	36976.1875	39980.4961	40856.293	55875.3125
0.5337	83066.5625	53547.5078	62037.0039	40180.7461	70590.6172	46288.2031	35639.2773	43084.7891	45514.1758	50173.5156	55804.4922	42664.043	55666.1211	76814.9844	59432.1523	45269.3633	48269.75	59392.9766	50922.0234	68122.3594	55992.9688	41673.6875	45222.6055	44506.1445	88153.6172	71959.3984	34053.4375	47570.3047	36011.6094	48826.7812	62245.0898	46919.6133	60678.9219	41117.8359	52357.5039	69093.8203	55939.1758	60229.6602	44143.4414	64280.0977	56872.2773	53028.0352	50890.2695	61290.5391	64018.8984	59648.7734	68220.1797	35934.2852	53697.125	58747.7852	38624.5117	49212.5859	44903.1133	55442.3164	66566.7188	52722.7383	37695.7227	75979.4297	95012.0156	39488.0508	48656.5078	39211.5156	66344.6328	44397.3086	74453.0625	52074.1875	44524.207	33063.2734	54877.9023	58139.875	43118.6797	52146.332	49232.3516	47682.4531	50851.5469	41257.6836
0.6671	82931.0703	55019.8516	45688.5703	47742.2148	48007.6758	57596.4062	39735.5195	52767.9258	65707.6406	48524.293	64364.3242	35771.4609	78311.2969	71812.6719	89520.1719	36378.0977	55755.1445	88585.8984	46533.3359	45200.2188	76966.9688	39204.5039	50303.5039	45900.1211	60631.4141	78030.9297	36394.0625	53716.1992	30750.5605	62135.0508	63082.9258	39252.4922	70446.4609	47425.043	63045.1055	86872.4297	41188.6016	52353.0938	47376.832	67395.3281	73733.9844	45156.5508	60455.6484	58690.7422	66603.6094	79465.4688	69668.6406	34325.5938	47418.6016	75425.6484	47016.3398	61276.8281	61750.2305	57571.5312	74116.9688	58149.6758	44032.5312	57575.7578	100080.0938	54807.1797	51733.0977	34986.3906	75315.3047	35217.0039	58019.918	62313.6094	63133.4297	29970.5781	79715.2031	44681.7812	34482.293	40889.1055	60916.7109	62021.2539	59765.5859	35791.375
0.8005	62082.7188	44632.3359	38061.5	47553.3906	36977.2773	58255.4336	54775	57668.1016	93290.2969	38811.0391	54241.0234	30642.0059	83888	52891.418	101472.2656	30599.5527	47866.0977	95710.2891	33831.6992	36883.7188	82509.9844	33871.2617	44303.0703	38991.7773	43115.0312	60161.8164	39414.625	47013.6055	27858.3203	63222.0234	48170.2344	33194	57560.6641	46256.5078	58685.5273	72622.6094	34417.5	36574.3359	38999.0977	52258.5078	69290.7344	37531.8047	56634.0898	43706.4805	50948.9844	72310.0469	55797.7188	33231.7266	37324.8242	68326.9688	69955.6016	57616.8633	72759.9844	50439.6484	59024.9336	53893.0312	59947.4258	42702.1484	70982.0703	72975.9062	45523.5859	30994.3105	60012.9492	30935.1777	44014.5078	56401.5781	77709.5625	28006.4902	83550.1094	36187.9844	30011.0078	35309.3828	54254.8594	71237.1875	55269.1445	35010.4023
0.934	46122.7461	35085.2812	34395.9688	40697.3398	32039.334	46770.207	76086.0156	49700.9531	90909.3828	31028.8457	41547.6328	29742.3848	62758.625	39930.8242	78504.2656	26852.2363	38897.2695	73431.8047	30621.9277	32993.0742	63439.4688	32461.6895	37077.8945	34124.2695	38331.6445	44260.9609	35715.7969	38602.6523	26338.041	49532.25	38023.9258	32132.5195	40926.6172	36751.3594	46764.7461	53262.5	32690.4453	29822.1152	32657.6914	39981.9531	48130.1758	34621.3828	44359.4961	34201.6406	38610.293	51614.4609	40876.8633	32956.1133	35777.2578	48112.5977	85117.2344	45249.2812	58633.3203	42366.2305	41533.9961	41499.4297	83519.8047	37245.7344	46449.9648	73356.0625	36465.0977	28897.9648	43586.332	28614.1465	38414.0195	45833.3242	62522.7969	27507.2559	62578.668	29692.0312	29014.375	33945.0078	40191.3555	57665.0195	42044.4766	32680.2559
1.0674	36870.2031	33363.5977	32963.8359	34995.0039	30468.2637	37794.3164	78840.0312	39678.3086	66673.3828	28922.498	35150	29289.1855	42843.5625	34006.75	47821.707	26061.1621	35750.8242	48723.2617	30817.6934	32660.2188	44140.6328	30965.5762	35332.9062	30989.1055	35535.7188	39021.418	33097.75	34039.7539	27295.5371	37622.2227	33041.6094	31799.7559	35680.9883	31045.9746	37261.1328	43030.1133	31842.2441	28377.9277	30108.0625	34516.9375	36606.9492	34241.9961	38509.9258	30027.6562	35046.582	39651.9688	33850.3867	32652.7207	38290.9258	37631.9609	73105.1562	36284.125	41537.1055	36584.7695	36381.1719	38305.2734	85556.2969	35220.4219	37393.0469	56949.3945	33800.8945	28539.2832	36666.2461	28815.2344	34804.4102	39155.8594	46548.0039	29377.5664	44032.3438	28514.6055	28467.5371	31937.7598	32579.7832	43159.4492	37182.2109	32346.7578
1.2008	33606.082	31607.9355	32114.6816	33153.3477	30030.2969	35637.668	63064.4609	34137.6562	45240.9727	28375.2637	30572.8672	28939.5273	33995.6289	32536.9609	37116.6484	26364.7598	34084.9414	37011.7305	31134.0488	33800.4258	37661.6484	30585.5938	34960.9727	30073.8711	34701.5938	35686.5547	31641.0898	33700.5703	28117.4219	33611.9141	31813.3848	31718.2676	33536.668	30614.9844	34071.2617	37383.2344	31788.1953	27360.3809	28468.293	32882.6055	32654.123	33416.207	38078.4102	30217.3516	33191.3438	34851.5469	32914.75	32749.8809	40082.9336	32180.2051	51282.6602	32145.6602	34329.8086	33882.7734	35309.1562	35255.832	63682.5742	35912.5273	34547.9219	43869.5	32627.2598	27182.4355	34937.2188	28801.9082	35677.9258	37017.8164	39195.0312	28137.6172	36201.4609	29062.3398	27849.0312	32357.4668	28681.1328	38333.8906	34245.9727	32128.7656
