X	Y_20180212_14590_10_1g	Y_20180212_14590_10_2g	Y_20180212_14590_11_1g	Y_20180212_14590_12_1g	Y_20180212_14590_12_2g	Y_20180212_14590_13_1g	Y_20180212_14590_14_1g	Y_20180212_14590_18_1g	Y_20180212_14590_18_2g	Y_20180212_14590_18_3g	Y_20180212_14590_18_4g	Y_20180212_14590_18_5g	Y_20180212_14590_19_1g	Y_20180212_14590_19_2g	Y_20180212_14590_1_1g	Y_20180212_14590_1_2g	Y_20180212_14590_1_3g	Y_20180212_14590_1_4g	Y_20180212_14590_1_5g	Y_20180212_14590_21_1g	Y_20180212_14590_21_2g	Y_20180212_14590_23_1g	Y_20180212_14590_24_1g	Y_20180212_14590_24_2g	Y_20180212_14590_26_1g	Y_20180212_14590_26_2g	Y_20180212_14590_2_1g	Y_20180212_14590_2_2g	Y_20180212_14590_2_3g	Y_20180212_14590_2_4g	Y_20180212_14590_2_5g	Y_20180212_14590_30_1g	Y_20180212_14590_30_2g	Y_20180212_14590_31_1g	Y_20180212_14590_31_2g	Y_20180212_14590_34_1g	Y_20180212_14590_37_1g	Y_20180212_14590_37_2g	Y_20180212_14590_38_1g	Y_20180212_14590_38_2g	Y_20180212_14590_39_1g	Y_20180212_14590_3_1g	Y_20180212_14590_3_2g	Y_20180212_14590_3_3g	Y_20180212_14590_3_4g	Y_20180212_14590_3_5g	Y_20180212_14590_3_6g	Y_20180212_14590_40_1g	Y_20180212_14590_40_2g	Y_20180212_14590_40_3g	Y_20180212_14590_40_4g	Y_20180212_14590_41_1g	Y_20180212_14590_41_2g	Y_20180212_14590_41_3g	Y_20180212_14590_44_1g	Y_20180212_14590_5_1g	Y_20180212_14590_5_2g	Y_20180212_14590_9_1g
1.3342	73486.43	53354.93	54629.785	100744.016	102263.328	44461.953	42916.809	57324.77	43328.953	54958.418	60179.785	52528.879	48650.297	77242.531	75386.414	46743.348	51069.766	88320.961	103402.883	49684.645	65990.727	87697.5	83445.633	57472.176	51417.73	64720.625	54523.656	60034.219	NaN	125606.922	41785.496	111621.648	83721.961	100087.875	95901.805	74207.648	66549.344	40741.285	40888.062	53319.254	39859.543	74659.094	44723.195	NaN	83270.625	91569.484	54588.004	44452.41	59130.504	71490.578	51345.492	40951.832	87495.695	63836.254	51386.805	88927.273	73196.484	41744.395
1.4676	53225.809	45477.387	74482.055	85218.273	86440.242	43985.082	45894.652	86294.312	53412.039	72913.406	79910.805	45370.371	62194.234	62517.918	58142.57	55724.895	43421.309	70683.773	66257.922	70355.477	92185.844	72730.562	108904.539	47085	60322.141	49218.574	45832.52	66531.812	NaN	86810.352	36306.488	85975.93	65008.695	115138.555	96142.625	114205.719	74544.414	41337.547	47054.668	NaN	38796.422	55733.414	49364.648	NaN	71475.664	80456.875	NaN	39287.395	77597.258	92839.82	65015.859	45384.996	69441.273	49298.625	68710.945	73322.523	90443.93	43707.703
1.6011	42905.676	NaN	78872.812	61046.969	62709.262	45232.484	52976.066	136060.859	76804.203	95891.109	79331.922	42985.719	86102.609	56431.777	46399.688	71261.211	40951.496	53572.293	50267.867	90237.586	102577.258	56506.242	99340.008	41949.852	56747.102	41159.477	43620.258	55377.453	NaN	54624.859	NaN	59553.113	46772.586	87844.961	73823.047	119408.766	62985.246	40431.754	63145.332	NaN	41697.871	45903.328	63532.422	NaN	53013.828	57655.902	NaN	37641.875	74657.141	84413.336	95337.117	55854.016	54465.059	44272.082	87498.703	54483.773	79092.656	47010.062
1.7345	39574.609	NaN	59248.773	50568.414	48508.988	52292.133	71198.109	166106.625	101282.945	93940.18	60247.465	NaN	97355.461	NaN	NaN	79473.211	NaN	46764.168	NaN	86552.375	73930.055	NaN	69455.867	NaN	48378.809	38153.477	NaN	42894.176	NaN	44676.469	NaN	47255.859	41512.465	61978.359	52618.684	81786.289	47646.277	41734.973	103959.273	NaN	44809.273	42691.867	90184.719	NaN	42448.84	45371.941	NaN	36705.059	53387.094	56562.469	100616.367	62748.008	45771.301	NaN	87898.258	47410.844	57750.539	49411.41
1.8679	NaN	NaN	46006.871	46720.453	44578.016	73879.609	86284.922	130248.672	97543.859	70509.734	46997.004	NaN	76053.203	NaN	NaN	67031.328	NaN	NaN	NaN	68341.18	52343.406	NaN	52294.922	NaN	44872.57	NaN	NaN	38889.887	NaN	NaN	NaN	43524.656	NaN	50632.895	45304.637	55654.902	NaN	43620.949	144762.188	NaN	52534.398	NaN	96946.969	NaN	39766.844	NaN	NaN	NaN	42302.629	46805.82	76795.641	57615.43	NaN	NaN	66916.805	44473.102	45592.277	63471.367
2.0013	NaN	NaN	41538.879	45570.238	NaN	111663.336	74858.234	82256.82	69618.312	57294.23	43522.977	NaN	55664.77	NaN	NaN	51122.762	NaN	NaN	NaN	54084.613	45224.23	NaN	45167.043	NaN	45630.289	NaN	NaN	35876.938	NaN	NaN	NaN	NaN	NaN	44911.109	43685.906	44886.762	NaN	45122.652	130316.227	NaN	70186.078	NaN	73852.164	NaN	NaN	NaN	NaN	NaN	NaN	41880.699	55753.902	49953.223	NaN	NaN	50218.758	NaN	40973.656	79306.453
2.1348	NaN	NaN	38162.914	NaN	NaN	126681.102	58602.598	57546.012	50248.062	52349.191	39191.855	NaN	NaN	NaN	NaN	45363.316	NaN	NaN	NaN	48237.312	42710.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41818.84	NaN	40637.496	NaN	45558.234	88916.156	NaN	94873.852	NaN	53641.926	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46035.09	NaN	NaN	NaN	44120.59	NaN	NaN	74321.117
2.2682	NaN	NaN	NaN	NaN	NaN	90656.984	49544.199	48225.621	45731.023	54802.125	NaN	NaN	NaN	NaN	NaN	43748.105	NaN	NaN	NaN	46813.508	39513.027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48958.426	60161.285	NaN	97546.516	NaN	45167.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42681.953	NaN	NaN	NaN	42451.184	NaN	NaN	59443.305
2.4016	NaN	NaN	NaN	NaN	NaN	59804.293	45376.141	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60083.875	51371.34	NaN	71348.914	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41103.523	NaN	NaN	50275.883
2.535	NaN	NaN	NaN	NaN	NaN	50104.809	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75963.141	46733.199	NaN	52217.672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44293.402
2.6684	NaN	NaN	NaN	NaN	NaN	46245.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75183.766	42675.957	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43110.852
2.8019	NaN	NaN	NaN	NaN	NaN	47061.711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58088.867	41702.203	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46835.488	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
