X	Y_20180224_15100_10_2g	Y_20180224_15100_10_3g	Y_20180224_15100_10_4g	Y_20180224_15100_11_4g	Y_20180224_15100_11_5g	Y_20180224_15100_11_6g	Y_20180224_15100_12_1g	Y_20180224_15100_12_2g	Y_20180224_15100_12_3g	Y_20180224_15100_12_7g	Y_20180224_15100_12_8g	Y_20180224_15100_13_10g	Y_20180224_15100_13_1g	Y_20180224_15100_13_2g	Y_20180224_15100_13_4g	Y_20180224_15100_13_6g	Y_20180224_15100_14_1g	Y_20180224_15100_14_2g	Y_20180224_15100_14_3g	Y_20180224_15100_15_2g	Y_20180224_15100_15_3g	Y_20180224_15100_15_4g	Y_20180224_15100_15_6g	Y_20180224_15100_16_1g	Y_20180224_15100_16_4g	Y_20180224_15100_16_5g	Y_20180224_15100_16_6g	Y_20180224_15100_17_10g	Y_20180224_15100_17_1g	Y_20180224_15100_17_2g	Y_20180224_15100_17_4g	Y_20180224_15100_17_9g	Y_20180224_15100_18_2g	Y_20180224_15100_18_3g	Y_20180224_15100_18_5g	Y_20180224_15100_19_16g	Y_20180224_15100_19_4g	Y_20180224_15100_19_6g	Y_20180224_15100_19_9g	Y_20180224_15100_20_10g	Y_20180224_15100_20_11g	Y_20180224_15100_20_1g	Y_20180224_15100_20_4g	Y_20180224_15100_20_7g	Y_20180224_15100_21_10g	Y_20180224_15100_21_1g	Y_20180224_15100_21_3g	Y_20180224_15100_21_5g	Y_20180224_15100_21_6g	Y_20180224_15100_21_8g	Y_20180224_15100_22_1g	Y_20180224_15100_22_4g	Y_20180224_15100_22_7g	Y_20180224_15100_23_1g	Y_20180224_15100_23_4g	Y_20180224_15100_23_5g	Y_20180224_15100_24_4g	Y_20180224_15100_24_5g	Y_20180224_15100_24_6g	Y_20180224_15100_24_7g	Y_20180224_15100_25_4g	Y_20180224_15100_26_1g	Y_20180224_15100_26_2g	Y_20180224_15100_27_2g	Y_20180224_15100_28_10g	Y_20180224_15100_28_7g	Y_20180224_15100_28_8g	Y_20180224_15100_28_9g	Y_20180224_15100_29_1g	Y_20180224_15100_29_6g	Y_20180224_15100_29_7g	Y_20180224_15100_29_8g	Y_20180224_15100_2_11g	Y_20180224_15100_2_1g	Y_20180224_15100_2_5g	Y_20180224_15100_2_6g	Y_20180224_15100_2_8g	Y_20180224_15100_2_9g	Y_20180224_15100_30_1g	Y_20180224_15100_30_2g	Y_20180224_15100_30_4g	Y_20180224_15100_30_5g	Y_20180224_15100_30_6g	Y_20180224_15100_31_2g	Y_20180224_15100_31_3g	Y_20180224_15100_32_1g	Y_20180224_15100_33_1g	Y_20180224_15100_33_2g	Y_20180224_15100_33_3g	Y_20180224_15100_33_4g	Y_20180224_15100_33_6g	Y_20180224_15100_33_7g	Y_20180224_15100_4_2g	Y_20180224_15100_4_5g	Y_20180224_15100_4_7g	Y_20180224_15100_4_9g	Y_20180224_15100_6_3g	Y_20180224_15100_6_5g	Y_20180224_15100_6_6g	Y_20180224_15100_6_7g	Y_20180224_15100_6_8g	Y_20180224_15100_7_10g	Y_20180224_15100_7_11g	Y_20180224_15100_7_3g	Y_20180224_15100_7_4g	Y_20180224_15100_7_7g	Y_20180224_15100_7_9g	Y_20180224_15100_8_1g	Y_20180224_15100_8_2g	Y_20180224_15100_8_7g	Y_20180224_15100_9_10g	Y_20180224_15100_9_1g	Y_20180224_15100_9_2g	Y_20180224_15100_9_6g	Y_20180224_15100_9_7g
0	13769.67	15845.059	13483.568	13957.298	15538.623	14529.634	17093.066	20845.58	13396.154	14099.929	17717.771	16080.537	14422.125	12900.784	12721.199	15818.036	14111.666	13920.353	15005.651	13074.808	14710.552	13591.2	16041.676	14250.473	16469.807	13970.41	16872.803	15952.643	15268.539	17693.854	12404.811	13593.561	17875.879	17151.332	16797.238	16839.496	17022.6	14076.36	17893.998	12166.579	12939.808	17576.52	16583.826	15611.21	18567.736	16842.043	15217.888	16076.271	19039.574	13023.947	12970.83	14288.809	14095.978	12961.467	16227.686	14186.206	13941.659	14579.56	15920.373	16606.82	16925.992	12091.736	12490.412	16281.184	12644.372	13746.637	16089.889	15299.055	15580.616	14338.237	14685.487	16463.893	16775.281	15334.229	14973.822	15557.496	17497.801	15901.287	12903.95	12359.675	13615.299	12123.517	17261.312	12773.112	13755.734	15910.036	15973.454	15658.23	13878.922	16385.172	13268.113	14238.906	16694.432	12683.002	11805.301	16864.143	17457.586	15057.748	16934.689	15116.513	15929.158	14981.556	15311.1	15437.899	13953.922	13112.767	16213.574	15847.17	16040.439	15943.987	16049.767	13510.251	15357.975	12482.924	15432.773
0.1334	15124.768	15691.957	14066.803	16257.1	16456.104	15676.964	18227.531	21732.072	13779.688	13800.375	17671.506	16074.704	16555.902	13323.508	14198.068	16298.428	14699.073	14938.481	16587.004	14360.905	17083.523	14919.401	18008.207	15498.399	17161.617	15613.776	17604.748	16920.922	15621.778	16439.865	13085.581	16651.441	17780.471	17977.184	17425.357	18485.723	18180.182	16072.516	17251.762	13061.604	13437.163	17518.008	16036.206	16285.374	17974.93	16589.064	15207.521	16773.844	19298.605	14017.629	13267.824	15626.593	15884.468	14260.398	15772.017	15401.747	14372.038	14670.238	15648.251	17016.51	16048.858	12825.608	12481.775	15714.917	14079.64	15237.127	16890.373	16297.534	16110.973	14984.971	15887.938	17668.451	16921.338	16196.659	16050.121	15808.219	16875.994	16722.559	14352.528	13376.551	13206.427	12259.039	18251.738	14020.635	14582.959	18021.914	17114.105	15756.994	14933.373	16940.545	15093.516	14647.131	16446.125	12751.879	12871.478	16465.844	16973.576	16459.82	18133.832	15757.982	16806.713	16676.424	15963.2	15977.862	14787.071	13858.19	16153.345	16844.363	17943.508	16425.648	17384.514	13826.188	16505.104	13758.408	16599.889
0.2668	17145.871	16754.859	15553.17	17427.633	18311.725	16713.252	18272.551	24244.35	16015.1	16693.812	18028.574	16942.232	18753.264	15783.13	15976.762	18665.562	14821.414	18459.414	17145.275	16128.432	23444.82	17211.576	19475.26	18556.537	18047.623	17200.008	19325.811	19867.258	17062.486	18980.242	13332.453	20549.238	19011.959	18023.211	17866.713	18717.893	18961.668	18207.273	18343.338	15561.865	14230.778	18858.064	18956.664	16462.457	17931.623	17556.621	16055.847	18350.523	22519.064	16152.451	14541.992	17543.658	17736.836	15849.305	16736.432	17248.564	15531.903	15337.249	15750.104	18218.363	16152.343	13112.42	13465.224	15551.815	16736.75	16356.285	18897.846	18478.354	17114.152	15264.078	17872.898	18002.516	17704.094	18421.594	17530.873	18112.846	18146.111	17668.049	16930.734	14998.757	14907.315	14489.989	19383.543	16119.557	15635.281	19100.424	17302.953	17414.436	15974.369	17857.896	18369.391	16552.107	17205.77	15226.272	16396.857	17919.955	19337.471	18050.963	19806.428	17972	18196.656	19763.072	17164.301	19309.709	18383.652	15347.229	16990.188	19134.236	19110.932	18176.566	21694.672	16254.792	17631.191	15289.979	19805.689
0.4003	19268.979	20581.369	18345.785	19046.844	18898.502	20881.23	19079.566	28475.768	18040.951	22614.145	21230.873	18565.406	18749.812	16738.283	23786.041	23669.107	18127.607	22293.613	18441.441	20094.99	26678.742	20799.016	21135.365	22086.625	18945.74	21554.186	20882.99	22229.121	20052.004	22059.137	16126.469	24183.842	20197.344	18947.838	20344.203	20115.586	21106.85	20111.15	19893.934	17838.619	16785.869	19506.557	21342.213	17230.137	19611.756	18993.031	17529.633	18871.244	24562.861	17224.109	16096.47	19521.021	19395.246	18056.484	18400.053	16639.309	16562.602	17004.746	17735.744	18347.221	18727.271	14360.309	15030.043	16810.287	19212.41	18339.469	22764.975	22320.016	19165.16	17306.252	18475.873	22317.514	21269.689	23263.598	19793.008	21777.898	19261.344	20284.334	20051.352	18111.457	17834.15	17528.84	20750.639	18556.025	19261.924	21282.918	19116.371	18689.492	19189.135	19753.176	22754.289	19954.098	19309.408	18567.537	19870.625	19844.324	20334.49	19898.467	21419.068	19800.342	22880.697	21905.389	18976.4	20130.898	19672.107	18992.676	17889.754	20898.385	19342.197	16467.209	25996.65	20603.518	20409.213	17805.789	24733.801
0.5337	23062.377	27208.332	19502.609	18614.883	17130.742	26515.557	20721.262	29610.787	18935.029	29489.469	25235.354	18015.779	19109.99	17448.133	32251.861	29957.908	18659.512	23854.285	19439.031	22635.756	26939.369	19933.76	22112.234	25060.443	18163.41	25031.516	23108.316	23586.703	21624.229	23282.391	18724.492	23531.42	20637.498	19438.953	22880.666	20616.387	19255.898	20085.027	21499.289	16751.812	20214.438	22194.467	21296.307	19553.037	21989.146	19821.68	20809.57	22126.818	26081.35	17723.123	18329.92	20966.965	17956.375	20007.01	18258.471	16645.74	17587.266	18000.391	22412.744	16548.783	19197.129	16193.915	17251.879	19420.143	19721.795	21722.939	21748.594	23002.609	17860.018	18290.449	17670.186	26494.861	22211.768	22211.129	19719.971	23178.109	20459.678	22550.814	21487.238	21694.916	21148.918	20359.211	19989.176	18751.24	21080.621	22727.064	21067.529	19915.441	22298.646	20705.609	24330.375	22154.584	22282.02	20637.941	21622.189	22119.518	22818.297	22210.957	19700.41	24969.727	28091.189	22083.168	18046.301	19120.902	20873.305	20860.348	18109.355	19706	19186.688	15457.008	27533.922	23418.162	24540.643	20962.383	26457.729
0.6671	25036.068	30609.816	20382.516	16753.9	16403.504	26958.379	21209.121	27062.201	18486.324	31095.078	30139.311	18473.506	18462.865	17476.604	34044.625	31310.939	19333.703	23143.309	18186.625	23316.482	25857.871	19168.029	23455.525	25036.438	18745.582	23474.018	23326.551	21559.396	20223.713	21786.381	19513.846	20391.748	21049.703	20667.592	25855.445	20548.5	18507.664	20135.482	23134.125	16085.909	21876.518	22546.576	18797.84	20166.016	24515.773	19214.857	21784.809	24411.709	23101.15	18199.055	22575.777	19266.957	17878.605	20580.191	17595.188	16885.576	16855.125	20012.758	24238.67	16922.77	18360.447	18237.322	19076.666	18557.611	18639.199	23482.121	20488.207	19823.646	17016.801	19591.602	17303.133	24002.076	20073.039	18853.953	19737.492	22013.703	19352.518	21914.076	19053.031	21851.422	22787.578	21519.793	18259.568	18471.707	19830.551	23586.506	24188.346	18575.557	22155.516	20901.699	19985.33	22810.322	27372.732	20967.535	20038.902	21180.197	21711.639	24497.381	19909.83	25756.305	33247.086	19603.672	17791.199	17374.557	19754.768	19857.639	19876.807	18071.531	19219.74	15397.956	24802.445	22920.973	25383.725	21613.08	24054.16
0.8005	24411.248	26908.469	19408.592	15972.167	15787.198	25364.889	22745.74	23401.062	18622.16	29690.26	27253.023	18724.326	17492.598	17334.811	28968.201	26914.391	18477.568	20731.916	17034.738	23908.172	22366.211	17875.766	20908.637	23315.934	17318.461	20567.162	22824.186	20444.01	18374.842	20050.664	18710.193	19416.215	18059.41	21253.068	25059.773	18989.771	18025.203	21309.811	22238.188	15421.985	21445.838	20875.566	18745.893	18481.662	25664.66	17148.248	21270.373	22015.605	19036.412	18565.309	21803.547	19358.307	18109.77	19701.877	16609.676	16671.518	16280.321	23181.539	23104.92	16143.357	17847.162	17941.201	18325.807	16920.234	17806.957	21669.182	20390.203	17746.074	17144.416	19304.523	16470.518	20688.549	19241.186	18004.074	19225.057	19064.68	19522.516	19931.92	17576.074	20800.033	21792.697	19808.297	19332.166	19334.352	18427.26	23209.467	23966.191	17397.092	19995.115	18607.768	17703.227	21053.324	25981.154	22052.543	18233.246	19645.02	19636.428	22597.053	19962.17	25181.668	30856.99	16887.783	18675.1	17494.525	18171.188	19851.857	19322.016	17361.939	18737.051	14726.272	21920.029	22402.27	23014.438	19294.314	20202.869
0.934	21522.336	22425.203	18649.262	14391.933	15165.212	24785.043	21479.707	21618.908	18177.814	27626.471	23504.133	18947.662	17521.375	17769.957	25684.725	24919.197	17859.213	21602.203	15769.483	23659.281	20947.988	18389.123	19126.496	20742.914	17024.047	20659.57	22295.217	19954.613	17252.041	18539.289	19178.02	18946.971	18015.814	21650.137	25397.639	17803.246	19457.99	19667.027	21631.553	15121.344	21234.986	19255.441	18271.816	16731.947	22055.992	15844.639	19921.994	20377.049	17684.402	18423.766	18588.02	18134.945	18015.066	18742.727	15647.297	16171.428	16775.793	22439.588	22575.814	16293.4	17368.939	18075.521	17810.051	17050.74	17339.871	21030.211	18681.539	17851.539	16056.965	17338.381	15778.012	16702.057	18733.389	18089.609	17949.906	18143.664	18604.809	16615.35	17884.377	18754.822	21663.242	18404.826	18319.867	19574.082	17602.516	22165.941	23198.131	16877.686	18891.605	16935.34	17994.527	20772.709	23898.229	21205.607	17913.549	18405.057	19112.674	19668.562	19397.676	23568.367	28544.99	16154.622	17657.4	17766.152	17870.5	18801.246	18518.285	17579.074	19011.482	13806.062	19938.881	19586.525	20892.471	18814.832	20278.305
1.0674	18808.096	20439.309	19577.717	14571.802	15484.186	22769.414	21048.768	20897.109	18395.531	29213.941	22417.703	17825.234	17050.881	18565.609	22907.908	24645.342	18886.689	20537.309	15864.615	23207.732	20945.791	17278.982	19293.619	20245.982	16238.052	21536.971	23999.926	19001.02	17737.877	16818.803	18294.816	20051.066	16812.201	20266.9	26194.35	17278.041	19029.186	20467.689	17638.926	15363.321	20542.041	18676.76	17628.57	14739.085	20746.898	15081.803	17781.84	18312.457	17497.711	17796.861	18116.406	18072.086	18050.16	19292.188	15138.719	15157.599	15764.163	18989.553	19648.352	16294.362	15146.131	16711.258	16996.387	15970.602	17601.957	19628.043	17512.854	16370.586	15982.584	15854.5	15456.033	16585.861	17727.627	16788.756	18510.748	17516.199	18628.912	16411.336	17314.842	18162.141	21238.562	19496.037	18827.039	19367.99	18112.547	21532.035	21700.988	16515.676	19011.631	15993.894	17021.68	18488.586	23050.875	21344.637	18941.996	17490.426	19030.723	17984.672	17958.553	21955.062	26016.133	16071.878	17656.6	17834.078	17716.057	18540.541	19231.152	15831.183	19173.672	14464.118	21856.891	20698.273	20449.639	16900.389	19925.133
1.2008	18012.857	19979.744	19517.943	NaN	NaN	22709.729	19888.738	19445.576	18147.684	26466.666	20373.168	17330.879	16104.517	18506.873	24040.873	23072.672	18446.826	19364.992	14491.187	22025.498	18712.188	17176.611	17890.199	19806.262	15256.893	20966.16	26363.152	17738.373	18377.965	16594.48	17766.027	19588.963	17152.848	18885.332	24264.475	16721.078	18162.717	21088.225	17054.648	16046.155	19387.469	18256.918	17639.475	14807.599	20092.525	14340.376	15331.504	16444.332	16077.886	18061.166	19599.24	18127.787	17826.67	17500.158	15296.895	15028.175	15396.537	17734.646	19151.809	16497.035	15040.411	16166.834	17928.715	15135.932	17248.924	17708.164	17785.084	16291.416	16704.006	14315.645	15039.19	15832.009	17124.48	16179.01	19245.172	17205.705	18218.496	16098.247	17213.816	18688.303	20873.367	19715.367	17632.281	19615.551	17777.455	21020.889	20651.34	16160.197	18960.85	15646.936	18605.656	17794.822	21087.654	22538.701	18481.65	16335.98	18181.195	16411.352	17395.822	20310.426	23308.369	16090.981	15652.4	17407.85	16308.532	19095.258	18569.85	15988.167	18958.873	14874.874	22629.699	20679.768	21229.062	15431.296	21416.447
