X	Y_20180130_15100b_10_11g	Y_20180130_15100b_10_13g	Y_20180130_15100b_10_15g	Y_20180130_15100b_10_2g	Y_20180130_15100b_10_6g	Y_20180130_15100b_10_9g	Y_20180130_15100b_11_12g	Y_20180130_15100b_11_2g	Y_20180130_15100b_11_5g	Y_20180130_15100b_11_6g	Y_20180130_15100b_11_8g	Y_20180130_15100b_12_13g	Y_20180130_15100b_12_15g	Y_20180130_15100b_12_5g	Y_20180130_15100b_12_7g	Y_20180130_15100b_12_8g	Y_20180130_15100b_12_9g	Y_20180130_15100b_13_10g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_1g	Y_20180130_15100b_13_2g	Y_20180130_15100b_13_3g	Y_20180130_15100b_13_4g	Y_20180130_15100b_13_6g	Y_20180130_15100b_14_10g	Y_20180130_15100b_14_1g	Y_20180130_15100b_14_2g	Y_20180130_15100b_14_3g	Y_20180130_15100b_14_7g	Y_20180130_15100b_15_12g	Y_20180130_15100b_15_14g	Y_20180130_15100b_15_15g	Y_20180130_15100b_15_3g	Y_20180130_15100b_15_4g	Y_20180130_15100b_15_7g	Y_20180130_15100b_15_9g	Y_20180130_15100b_16_4g	Y_20180130_15100b_16_6g	Y_20180130_15100b_17_11g	Y_20180130_15100b_17_12g	Y_20180130_15100b_17_13g	Y_20180130_15100b_17_2g	Y_20180130_15100b_17_4g	Y_20180130_15100b_17_8g	Y_20180130_15100b_17_9g	Y_20180130_15100b_18_12g	Y_20180130_15100b_18_14g	Y_20180130_15100b_18_15g	Y_20180130_15100b_18_16g	Y_20180130_15100b_18_20g	Y_20180130_15100b_18_22g	Y_20180130_15100b_18_4g	Y_20180130_15100b_18_7g	Y_20180130_15100b_18_8g	Y_20180130_15100b_19_11g	Y_20180130_15100b_19_12g	Y_20180130_15100b_19_1g	Y_20180130_15100b_19_7g	Y_20180130_15100b_1_14g	Y_20180130_15100b_1_15g	Y_20180130_15100b_1_3g	Y_20180130_15100b_1_8g	Y_20180130_15100b_20_12g	Y_20180130_15100b_20_14g	Y_20180130_15100b_20_15g	Y_20180130_15100b_20_16g	Y_20180130_15100b_20_17g	Y_20180130_15100b_20_3g	Y_20180130_15100b_20_4g	Y_20180130_15100b_20_7g	Y_20180130_15100b_20_8g	Y_20180130_15100b_21_14g	Y_20180130_15100b_21_15g	Y_20180130_15100b_21_16g	Y_20180130_15100b_21_3g	Y_20180130_15100b_21_4g	Y_20180130_15100b_21_5g	Y_20180130_15100b_21_6g	Y_20180130_15100b_21_8g	Y_20180130_15100b_22_11g	Y_20180130_15100b_22_14g	Y_20180130_15100b_22_19g	Y_20180130_15100b_22_4g	Y_20180130_15100b_22_9g	Y_20180130_15100b_23_10g	Y_20180130_15100b_23_2g	Y_20180130_15100b_23_6g	Y_20180130_15100b_23_9g	Y_20180130_15100b_24_14g	Y_20180130_15100b_24_5g	Y_20180130_15100b_24_6g	Y_20180130_15100b_24_7g	Y_20180130_15100b_2_10g	Y_20180130_15100b_2_2g	Y_20180130_15100b_2_5g	Y_20180130_15100b_2_6g	Y_20180130_15100b_2_7g	Y_20180130_15100b_2_8g	Y_20180130_15100b_3_11g	Y_20180130_15100b_3_13g	Y_20180130_15100b_3_4g	Y_20180130_15100b_3_6g	Y_20180130_15100b_3_8g	Y_20180130_15100b_4_10g	Y_20180130_15100b_4_12g	Y_20180130_15100b_4_13g	Y_20180130_15100b_4_14g	Y_20180130_15100b_4_15g	Y_20180130_15100b_4_1g	Y_20180130_15100b_4_20g	Y_20180130_15100b_4_21g	Y_20180130_15100b_4_5g	Y_20180130_15100b_4_8g	Y_20180130_15100b_4_9g	Y_20180130_15100b_5_10g	Y_20180130_15100b_5_16g	Y_20180130_15100b_5_19g	Y_20180130_15100b_5_20g	Y_20180130_15100b_5_23g	Y_20180130_15100b_5_2g	Y_20180130_15100b_5_6g	Y_20180130_15100b_6_2g	Y_20180130_15100b_6_4g	Y_20180130_15100b_6_5g	Y_20180130_15100b_6_6g	Y_20180130_15100b_6_7g	Y_20180130_15100b_6_9g	Y_20180130_15100b_7_11g	Y_20180130_15100b_7_12g	Y_20180130_15100b_7_13g	Y_20180130_15100b_7_14g	Y_20180130_15100b_7_16g	Y_20180130_15100b_7_17g	Y_20180130_15100b_7_1g	Y_20180130_15100b_7_2g	Y_20180130_15100b_7_4g	Y_20180130_15100b_7_9g	Y_20180130_15100b_8_2g	Y_20180130_15100b_8_3g	Y_20180130_15100b_8_6g	Y_20180130_15100b_8_7g	Y_20180130_15100b_9_15g	Y_20180130_15100b_9_1g	Y_20180130_15100b_9_3g	Y_20180130_15100b_9_8g
0	37223.125	35671.355	28842.191	39620.043	34380.934	39027.906	36953.824	32408.176	41056.262	36362.996	37193.215	39178.578	34565.645	33784.664	35565.305	34154.781	35375.441	35304.941	38116.285	37510.301	33644.793	37439.852	35377.637	34305.914	38721.734	31565.881	31115.926	32603.611	39580.863	37283.418	38448.332	39442.355	44990.281	35983.914	41908.016	36065.984	32865.672	36657.277	37465.883	31906.098	37792.383	37682.078	36043.934	36273.332	33774.52	38553.137	38125.164	37502.48	37565.32	36648.934	38898.5	35781.492	35025.801	36871.836	30582.617	32829.312	33037.258	34875.859	32146.676	37874.18	38484.859	37649.793	34622.383	36850.805	35580.895	35087.309	37552.848	35627.566	38394.27	36549.637	35557.504	45933	34511.625	39347.699	33595.68	36602.766	36202.98	32606.195	36270.035	31952.807	38834.766	31060.918	39726.023	36601.836	40832.832	41191.871	35713.141	36035.281	39282.73	37867.406	34859.422	38055.629	38668.945	34965.199	34431.199	33820.73	37078.473	37883.242	31754.174	36827.766	33093.074	35394.699	35954.977	40024.426	38632.254	37563.711	34862.145	36862.445	40897.848	38757.508	32783.664	34594.016	40811.133	39063.301	30432.773	39079.219	34228.246	39874	34574.336	32885.148	41625.566	37624.055	35240.926	39828.031	34233.426	38564.77	34445.258	40972.91	36626.582	33410.094	35227.867	37506.043	36651.703	36346.887	38915.027	37151.34	33411.973	37144.652	39286.277	35278.812	39648.359	36464.617	34356.367	35242.07	43829.742
0.1334	38280.395	35438.387	29808.24	40524.617	33992.957	39322.883	37238.062	33507.289	40695.219	36897.746	35254.52	39177.418	34905.137	34019.148	34164.957	34470.965	35219.863	36057.555	38859.98	38113.863	34526.664	36561.566	36638.223	34590.355	39651.082	32225.26	33463.016	33567.203	39474.867	37387.449	39047.621	39822.5	45075.516	36606	41645.789	35830.074	35089.723	35914.812	37917.527	30454.387	37045.582	36512.883	35404.152	35080.641	33119.609	38087.258	38766.777	37147.086	37206.852	36351.449	37627.941	35127.902	36998.945	35266.258	33083.629	32918.191	32381.379	33388.156	31259.27	38860.68	36319.648	38169.477	34070.605	37886.656	36374.617	34865.805	36586.848	35580.559	39104.285	35215.621	34990.039	41166.934	34501.48	38829.27	32378.328	37414.246	37478.66	33015.57	36672.414	32738.754	39049.105	29690.715	40118.414	37020.332	42617.738	42624.113	34104.406	35885.824	39050.91	37198.234	35433.887	39789.023	39948.574	38468.133	34270.762	34377.301	36520.617	39237.887	31940.613	36670.523	33883.18	36393.098	35391.523	39260.379	39375.598	37054	35682.578	37921.738	41395.512	38395.848	32557.252	34401.984	40671.855	39255.859	31687.844	39217.23	33142.094	38007.945	35068.738	34497.773	40372.035	37463.09	36269.723	39553.91	34828.289	38908.488	33808.352	41299.27	36159.133	32631.152	34206.332	38053.422	35549.254	36338.898	38666.301	37285.039	33561.371	35669.652	38836.188	35528.117	40733.137	37149.891	34665.27	36254.215	42799.215
0.2668	35516.965	35582.32	28604.82	37955.492	34566.562	39588.984	38375.262	35886.164	41009.371	39478.992	32930.27	40862.051	34882.445	33953.887	35177.227	33006.723	37681.891	35627.977	38929.48	36690.992	34498.477	39596.367	38197.953	33972.742	40335.422	31846.838	33823.008	32228.809	39357.875	38924.242	36607.266	41136.512	44713.82	38463.168	42697.715	33795.676	34179.129	36387.023	41008.562	30272.338	36053.211	36732.793	35062.031	35113.617	33429.566	37836.465	38047.391	37057.277	37469.219	37446.367	39052.359	36478.062	37295.688	37063.559	32578.842	33132.07	32034.236	34598.062	31561.695	40278.566	38367.383	35466.656	34034.215	37657.086	35073.555	34806.273	38998.344	35890.629	38640.215	36948.059	35664.758	37952.254	33913.227	40185.949	32727.221	37976.012	37684.16	32247.172	35511.434	33161.965	39356.762	30193.4	40200.449	35699.316	43241.199	42586.293	34351.582	38184.559	38328.316	37324.859	34383.195	39307.344	42142.848	38128.625	34418.789	35466.488	38264.516	37196.164	33869.762	37713.363	33637.383	36562.711	35902.477	38702.953	38528.238	38110.062	34584.648	38449.484	40107.957	38549.523	32499.922	35415.219	39414.164	37460.016	30768.549	39525.707	34416.43	40136.809	35487.629	33780.777	40186.828	36815.031	37248.441	39705.363	34334.434	39352.961	34293.379	41266.59	36411.852	32202.385	35220.492	38181.773	38814.285	37802.301	39448.488	37364.035	33418.945	38193.129	39104.625	35032.059	40455.938	37284.129	34452.516	36188.664	43444.117
0.4003	37450.879	35633.215	29309.518	36921.191	34429.461	36476.406	37523.242	37172.02	41929.176	44411.367	32642.342	40310.59	34266.887	34224.215	34378.043	33426.129	34720.141	37801.754	38858.812	38312.73	35479.043	37527.32	34531.844	34670.879	41549.426	32196.477	33933.031	32179.09	38827.148	42159.688	37197.41	42347.574	41861.055	40606.676	41790.883	36159.277	33705.367	36043.375	41442.785	32489.91	39463.762	36157.789	34785.734	36260.961	35617.098	37742.707	37655.656	35900.586	37773.863	36952.691	37387.195	35778.371	36534.758	35907.23	31547.471	34105.508	32475.479	33542.195	30515.332	39690.145	35743.246	36721.637	35059.582	37842.395	36767.766	37470.047	39952.23	34943.352	39594.156	37209.75	34759.465	35616.508	32673.846	39619.219	32671.422	39918.453	36442.367	34169.828	34854.906	33760.602	39641.035	32324.939	41493.961	38294.48	45112.73	40304.453	35026.668	39144.902	39157.945	38223.473	35689.867	40332.844	44556.152	36551.57	34416.562	35032.742	38258.52	37023.23	33043.211	36186.121	34447.895	36548.32	38096.664	39199.457	37606.785	36705.527	36269.938	41049.395	40100.742	36369.875	32455.512	35848.891	39969.953	38827.809	31031.018	38547.242	36939.137	41185.906	37086.719	34054.891	39134.008	36994.621	36647.855	39020.52	34428.406	38836.117	34765.16	39015.422	35751.223	33170.023	36071.629	39601.395	37348.453	39495.891	39137	38468.801	32144.346	37904.227	40026.258	34895.852	41284.078	36282.781	35206.328	37237.441	42265.27
0.5337	39321.297	36394.719	29740.525	38819.98	34727.707	38457.809	38044.832	34861.352	42125.738	52846.672	32754.512	39269.406	35056.309	33714.719	34667.082	32965.172	35039.137	37880.969	40897.43	39416.113	33808.98	39493.805	36272.645	34069.984	44394.59	32521.322	32972.559	34818.238	39280.059	41836.617	38472.648	40520.414	41915.422	47713.93	46988.398	37382.309	34254.961	36386.656	41906.25	31554.086	37471.035	35860.297	35633.547	35972.574	37138.07	38900.801	40996.504	37391.598	36507.211	37119.195	39097.016	35685.672	36974.602	36255.023	31089.967	34729.367	31895.18	34121.957	32236.385	41319.121	36497.879	36970.402	37119.301	38332.586	35681.266	37111.684	41048.074	36030.605	41602.172	37097.742	36199.801	35066.301	34086.133	41259.621	33150.016	37898.391	37907.922	34815.711	34524.508	34962.434	39454.234	32707.031	47992.352	36959.996	53190.793	41999.359	37103.629	40385.93	38887.094	38767.277	34388.688	39809.168	48214.191	37112.766	34629.223	35645.613	38346.414	39588.672	32698.51	36102.641	35316.184	36713.359	36879.875	40120.793	37785.691	35633.508	36835.184	44890.582	39850.543	37376.129	32670.439	37181.273	39784.992	42318.938	32534.721	39997.488	36749.793	42063.746	37552.699	34599.957	38546.723	37633.023	38949.586	40722.977	34966.484	42324.875	35612.176	38947.258	38581.711	32808.168	35164.469	35936.391	39218.484	38843.617	39653.066	39737.34	32541.395	37705.398	40291.09	36457.355	41094.312	38626.875	34483.285	36940.57	40864.652
0.6671	37595.348	35283.891	31141.791	38977.613	35189.703	39048.906	37266.332	35595.434	41938.906	52279.078	34000.68	39628.859	35630.641	32585.969	35987.352	33991.438	36191.793	36460.828	38521.883	38419.867	34428.062	40712.785	36161.773	34266.242	52816.223	32445.969	33099.184	32906.875	41605.984	44819.234	37298.953	41030.633	40671.34	64535.551	63275.719	38189.762	34360.355	35703.871	42580.414	32343.512	38878.789	36765.121	36534.258	35627.582	37439.664	39514.297	44266.18	37741.973	38209.625	37779.262	39354.348	36894.707	37677.484	37008.723	32300.402	34082.438	31508.34	36132.027	32529.871	42609.094	37965.699	36597.93	34477.863	37127.676	36061.695	37788.629	40817.219	34912.133	40441.453	39629.676	36183.312	36663.504	34882.391	39172.879	33177.109	36848.352	38519.77	33870.434	37180.156	33981.332	39781.855	32471.285	61057.52	37345.977	75873.875	44379.047	34997.641	41391.48	39834.676	40271.48	36847.148	37638.465	56323.219	38553.988	35251.418	35561.488	37627.395	37684.648	33181.102	36397.934	35922.66	37641.254	35787.922	39224.438	39315.141	38954.797	36865.648	51652.047	40893.297	37187.465	31498.941	38743.352	42092.863	43612.957	33928.086	43445.238	36006.199	49854.898	37336.48	33816.656	40185.18	37546.078	38714.012	38935.867	33162.406	43158.48	34413.199	39515.367	45305.973	33454.543	36106.715	36292.059	39001.219	38246.078	37415.137	38961.414	32862.219	37592.039	40218.047	34893.344	41979.629	38062.449	35696.016	37600.398	40064.203
0.8005	36979.797	35752.629	30420.486	38750.113	35091.102	39062.359	36248.141	38022.086	43599.637	47537.613	33029.312	39676.367	36226.812	34407.164	35614.75	33741.758	36958.691	37483.723	36796.887	38153.363	35583.973	38833.117	36567.883	33141.363	67072.438	32377.607	32443.199	32659.695	42101.473	53441.688	37788.359	43593.621	40332.312	70578.125	88326.93	38213.457	34550.84	35996.984	51311.625	32931.602	38873.387	37486.648	38744.477	36220.488	41791.355	39554.18	49920.828	38281.004	39777.359	38878.957	38434.629	37516.715	38293.395	36066.305	31022.047	32864.441	31571.873	37165.918	33042.703	45131.43	37697.566	38640.82	35781.73	35990.363	38398.461	38385.934	42068.453	35598.195	44812.109	38446.168	34925.168	37105.535	36389.723	40359.609	34453.039	37115.035	39783.457	34650.824	36935.832	33466.652	42190.043	33174.602	74217.352	37743.02	96579.57	43753.266	35727.844	44269.242	39827.16	40798.398	38055.637	39509.773	80997.93	37801.137	35996.238	35608.527	37239.016	39049.914	33778.645	37017.164	37157.316	40363.516	36032.18	41249.328	39722.539	40004.973	36483.285	53876.5	44567.973	38496.355	32143.875	41743.977	46366.332	54606.695	36215.543	47016.176	35111.297	69840.82	36964.035	35309.012	39333.84	38011.516	36260.746	37430.32	33511.781	47400.402	34397.355	39374.484	61467.73	32781.434	35832.211	37974.879	40198.199	43661.289	37150.852	39315.312	34441.855	37175.699	43085.488	35103.094	41630.605	37959.082	34758.395	46782.941	43425.406
0.934	39562.234	34999.684	31474.527	40238.254	34295.734	38674.82	36880.391	42773.484	42207.266	42393.727	32088.668	40641.805	37229.914	33873.168	34739.07	37249.074	37711.715	37337.191	37337.805	39835.012	36808.527	40933.332	37691.227	32951.984	84491.016	32501.021	32358.219	33497.121	45817.699	59250.473	38879.082	48345.023	38912.648	56973.602	90141.977	35965.871	35962.441	37176.699	64333.691	32144.176	38576.406	36835	41887.961	37937.855	49504.859	42805.355	51266.23	40506.102	42432.762	44255.426	36944.535	35742.094	37884.941	36328.344	30601.863	32644.668	32076.719	41269.461	32889.961	51728.543	37695.109	37131.891	36270.512	36843.039	37417.496	39251	45217.199	35112.859	45315.41	36982.188	35748.203	35846.445	38041.086	43027.898	34536.812	37617.559	46967.168	34006.84	36830.078	34193.078	45880.152	32522.291	70755.438	39848.5	84379.266	41298.418	36750.652	54691.59	40403.43	42960.352	37826.973	39121.621	110620.297	40144.828	36099.113	34429.848	37582.824	40081.941	34262.375	38524.242	37665.301	46286.25	35811.109	41485.309	39183.098	40838.34	35571.375	46471.711	52865.926	37567.055	34354.18	53339.891	60295.805	74435.703	40764.594	59470.062	35620.309	76700.844	38953.398	35186.281	40437.082	38819.055	38894.352	38132.84	34906.195	56697.461	34763.262	39146.312	75191.594	32580.953	36424.801	38205.816	41689.27	48744.902	38435.066	39920.133	36283.008	37107.859	48824.023	36999.074	41935.18	38225.906	34177.023	65150.719	47170.688
1.0674	39811.68	34937.199	30893.99	41767.434	35486.207	38999.336	37189.816	47491.57	44041.281	NaN	32836.172	44563.07	36804.723	33974.312	34457.227	42497.828	35981.77	37456.816	37211.617	38120.719	36578.453	41094.426	39208.82	35169.234	77653.141	31809.258	32952.977	36077.84	55798.961	50803.07	41038.852	57263.422	38729.742	47867.621	66017.812	34602.016	35179.129	39627.664	69566.406	33597.469	41475.441	37931.062	49335.145	37268.953	63026.332	50057.121	45342.871	43012.086	41722.77	54783.637	40029.523	36532.43	37206.141	37254.941	30880.74	35102.305	31711.076	49290.973	32625.846	61645.359	38349.176	39617.215	37926.383	36422.238	37968.52	42396.867	52777.223	36154.445	45394.633	40517.062	36666.18	38496.758	36950.434	47844.977	33232.684	37714.082	50635.734	37328.246	36871.762	34492.098	52255.5	31918.252	56180.602	42817.297	60036.641	42364.781	36231.203	59522.812	42478.836	46687.145	45709.879	39655.809	114696.102	37981.18	36848.871	33977.887	37374.484	38283.121	34587.172	40175.086	36137.273	58248.008	37919.074	39127.836	38920.031	45769.625	36513.32	40668.133	62878.41	37621.156	35518.02	63931.492	83834.547	81973.062	50112.832	87882.766	37395.008	71438.516	40195.383	33623.543	40097.199	38750.309	40709.668	39475.484	36504.516	76893.008	34821.715	38810.742	68570.211	34603.148	37220.598	38763.898	43655.137	52880.027	37736.273	38728.734	38913.215	35884.004	59432.734	35861.117	40588.582	37609.203	37652.211	76763.047	51342.707
1.2008	39029.902	37114.715	30745.289	45115.137	36300.348	39713.5	37268.5	47903.18	44605.102	NaN	34454.215	54591.953	37206.148	33416.523	33834.281	54667.137	36650.859	38361.355	36772.848	39413.234	37465.059	44927.609	41836.102	35752.52	57636.34	32043.727	33892.746	34103.32	89862.195	45985.531	47483.496	77513.547	37797.812	41524.68	49682.602	34401.766	35502.484	45166.566	60650.207	32522.457	47926.215	38161.973	51633.488	35431.039	64226.422	49631.914	40446.609	51017.902	40260.047	58158.383	39948.23	37863.672	36810.539	36333.27	30871.545	36119.574	33195.539	62464.379	33408.906	86656.664	39504.32	41837.262	40560.172	36828.109	37492.16	47645.293	57093.902	35552.203	55937.566	47732.586	36063.793	36987.168	36349.703	58764.871	34058.191	39095.629	44278.801	43089.016	38042.07	35397	52244.441	33176.387	48322.871	46870.855	47394.004	44074.523	40107.363	53581.406	42264.016	54725.574	60804.027	40310.938	80422.273	40254.617	36717.797	34801.793	39804.809	40280.75	34726.859	44067.082	37319.07	63224.445	38434.918	41045.414	39890.195	50667.055	35846.793	37982.609	59213.07	39344.992	36715.738	57640.148	85069.953	63078.934	52624.984	110543.695	37123.973	52363.594	42032.355	34296.672	40199.59	39725.938	42176.805	39210.09	34320.676	84658.102	35668.223	40903.562	53386.742	33356.035	34946.543	42182.375	50100.391	48532.664	38180.398	39724.41	50100.945	37745.199	62552.84	36490.461	41787.391	37547.875	38615.715	66761.359	53492.309
