X	Y_20181208_15100b_1_2g	Y_20181208_15100b_1_3g	Y_20181208_15100b_1_4g	Y_20181208_15100b_1_6g	Y_20181208_15100b_1_7g	Y_20181208_15100b_10_1g	Y_20181208_15100b_10_2g	Y_20181208_15100b_10_4g	Y_20181208_15100b_11_1g	Y_20181208_15100b_11_2g	Y_20181208_15100b_11_3g	Y_20181208_15100b_11_4g	Y_20181208_15100b_13_10g	Y_20181208_15100b_13_11g	Y_20181208_15100b_13_15g	Y_20181208_15100b_13_1g	Y_20181208_15100b_13_3g	Y_20181208_15100b_13_4g	Y_20181208_15100b_13_5g	Y_20181208_15100b_13_6g	Y_20181208_15100b_13_7g	Y_20181208_15100b_13_9g	Y_20181208_15100b_14_10g	Y_20181208_15100b_14_1g	Y_20181208_15100b_14_4g	Y_20181208_15100b_14_5g	Y_20181208_15100b_15_1g	Y_20181208_15100b_15_4g	Y_20181208_15100b_15_7g	Y_20181208_15100b_16_1g	Y_20181208_15100b_16_2g	Y_20181208_15100b_16_8g	Y_20181208_15100b_16_9g	Y_20181208_15100b_17_1g	Y_20181208_15100b_17_3g	Y_20181208_15100b_17_4g	Y_20181208_15100b_17_6g	Y_20181208_15100b_17_7g	Y_20181208_15100b_17_8g	Y_20181208_15100b_17_9g	Y_20181208_15100b_18_1g	Y_20181208_15100b_18_2g	Y_20181208_15100b_18_3g	Y_20181208_15100b_18_4g	Y_20181208_15100b_18_5g	Y_20181208_15100b_18_8g	Y_20181208_15100b_18_9g	Y_20181208_15100b_19_1g	Y_20181208_15100b_19_2g	Y_20181208_15100b_19_3g	Y_20181208_15100b_19_4g	Y_20181208_15100b_19_5g	Y_20181208_15100b_19_6g	Y_20181208_15100b_19_7g	Y_20181208_15100b_19_9g	Y_20181208_15100b_2_2g	Y_20181208_15100b_2_3g	Y_20181208_15100b_20_10g	Y_20181208_15100b_20_11g	Y_20181208_15100b_20_12g	Y_20181208_15100b_20_2g	Y_20181208_15100b_20_4g	Y_20181208_15100b_20_8g	Y_20181208_15100b_20_9g	Y_20181208_15100b_21_10g	Y_20181208_15100b_21_12g	Y_20181208_15100b_21_13g	Y_20181208_15100b_21_2g	Y_20181208_15100b_21_3g	Y_20181208_15100b_21_4g	Y_20181208_15100b_21_7g	Y_20181208_15100b_21_8g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_2g	Y_20181208_15100b_22_3g	Y_20181208_15100b_22_5g	Y_20181208_15100b_22_6g	Y_20181208_15100b_22_7g	Y_20181208_15100b_22_9g	Y_20181208_15100b_23_10g	Y_20181208_15100b_23_1g	Y_20181208_15100b_23_2g	Y_20181208_15100b_23_5g	Y_20181208_15100b_24_1g	Y_20181208_15100b_25_2g	Y_20181208_15100b_25_3g	Y_20181208_15100b_25_4g	Y_20181208_15100b_26_11g	Y_20181208_15100b_26_1g	Y_20181208_15100b_26_3g	Y_20181208_15100b_26_6g	Y_20181208_15100b_27_10g	Y_20181208_15100b_27_1g	Y_20181208_15100b_27_3g	Y_20181208_15100b_27_5g	Y_20181208_15100b_28_1g	Y_20181208_15100b_29_1g	Y_20181208_15100b_29_5g	Y_20181208_15100b_30_2g	Y_20181208_15100b_30_3g	Y_20181208_15100b_32_5g	Y_20181208_15100b_32_6g	Y_20181208_15100b_4_1g	Y_20181208_15100b_4_2g	Y_20181208_15100b_4_5g	Y_20181208_15100b_5_2g	Y_20181208_15100b_5_3g	Y_20181208_15100b_5_5g	Y_20181208_15100b_5_6g	Y_20181208_15100b_6_1g	Y_20181208_15100b_6_2g	Y_20181208_15100b_6_6g	Y_20181208_15100b_7_1g	Y_20181208_15100b_7_3g	Y_20181208_15100b_7_5g	Y_20181208_15100b_8_1g	Y_20181208_15100b_8_2g	Y_20181208_15100b_8_3g	Y_20181208_15100b_8_4g	Y_20181208_15100b_9_1g	Y_20181208_15100b_9_3g
0	68322.6016	39739.9336	47728.9062	32959.5312	36835.3359	34563.0352	34617.625	35667.7227	26044.0176	37392.5039	31248.0762	32606.5137	44274.4531	36574.5664	30699.7637	33049.7773	31910.2168	31805.6719	41211.2578	32015.127	28769.4043	29026.5117	32728.8008	27320.4883	40655.9336	31008.0195	30788.8086	32530.0742	50761.3359	35078	33440.6992	38838.8477	33955.2617	33543.9805	32741.2773	33742.0898	49857.6836	32684.6074	28788.7383	28711.1719	29736.0703	26690.8809	39395.9805	32982.7148	36373.0508	34054.4336	33680.5312	38792.7109	29898.7734	27414.6641	29907.373	31615.0488	32052.5938	30287.3652	35198.7383	48374.082	34005.6367	42100.6094	35469.6445	29595.5996	29503.4414	41295.8984	34633.4922	38300.832	35539.7305	42215.2891	32145.1113	33599.1992	31086.5449	35564.6641	29327.084	34321.6562	34055.2773	35907.3828	28964.3613	35748.332	32025.457	30228.8926	31759.8633	35990.3984	32632.4004	33836.8438	33066.625	31642.3066	29205.2324	33254.7695	32661.1797	38451.3203	33825.6289	31140.8105	37085.1211	32716.5	28161.1797	39569.6328	39183.8789	25691.9961	39618.4453	29733.9375	32983.2656	33072.2578	31044.4805	36809.4648	28561.4062	32763.3477	35162.4336	41899.4766	33709.5781	31249.0762	33860.9258	31350.623	35864.7734	30115.752	35135.9336	43938.8008	31790.4199	30158.1699	31462.5	39222.7188	31683.709	31428.9355	32093.4668
0.1334	58388.4609	43443.9727	42128.6289	34705.9414	42981.7422	35231.1797	34780.7422	39771.6758	28027.0879	37131.0391	32789.7227	34805.1367	45238.0742	38850.707	32273.0879	35170.9531	35554.957	31792.334	47428.1953	37874.0352	31694.375	29820.4121	33435.5195	28335.3555	49288.0586	33288.0742	33228.4297	34880.1406	69155.2344	42844.1016	34892.5	45403.5234	37628.1875	36349.5117	34430.2969	34639.9141	43551.9219	32285.084	29010.7812	29763.207	28738.3066	29555.9336	51639.5859	33331.4453	46802.0859	39635.8008	33423.1523	38887.9258	32658.6973	29593.8926	31021.9961	34132.9141	34418.3164	33642.0078	41553.4102	58929.082	34261.8086	40876.332	47606.3594	30078.9609	31127.0938	50210.7656	34545.6797	39194.1523	36260.8711	39855.1875	32337.3242	34843.1602	33005.3359	35317.1836	28590.2461	37301.1875	37522.9922	46508.6289	32687.627	36149.9219	30202.0801	31831.3379	33427.5742	39667.2461	38752.8516	42119.5078	34160.4531	31546.959	32651.582	33359.1172	33941.7188	51559.2773	39015.6016	32141.168	32870.625	33350.4102	30604.6367	47916.8867	43062.2148	25664.7344	47883.6992	29691.2773	31592.5391	33544.5273	31912.9199	35989.1836	29189.8477	31783.5801	36311.7344	48661.2031	34571.0859	33586.2422	34697.582	32339.6855	36244.6172	28641.0859	40790.5273	36910.3789	32298.7383	30320.375	34286.4609	39453.6602	32997.4922	35895.7266	31842.3359
0.2668	63308.1406	47124.1484	45891.2422	41747.8672	47525.6055	40836.9766	38843.125	49891.6445	30237.9199	39448.2891	37527.3828	40764.8047	62165.1445	53413.7383	33761.1367	39726.1797	41538.2031	40141.6289	52892.2969	45970.6562	40471.8359	32840.8906	33815.8281	30414.9668	57278.25	40473.5898	41220.2812	42514.5664	84332.9062	65724	46019.3984	62590.1641	44400.6055	42170.9453	37370.375	35349.375	44215.6875	32895.2617	32953.2578	35963.8008	30355.9531	29797.6973	61538.8867	37801.8203	65517.125	53018.3203	37888.582	42796.6992	35557.8477	33906.7305	33809.4883	37626.2383	39483.2695	39379.0664	46658.3164	64514.4844	39568.2266	42906.4453	61855.7344	31548.1973	33091.6875	74441.6797	35502.082	43671.0117	37543.332	45033.6211	34453.5586	41649.2812	41664.7383	41640.2148	30594.2871	38305.9609	42137.8477	67377.0312	40376.4219	36947.3516	31836.1582	31638.3555	34820.6719	55860.5977	47478.7344	58390.2617	35464.3281	34682.1797	37279.4648	32903.1484	35525.168	71016.4219	50738.543	33404.3789	33897.7617	37420.1953	37295.7344	54636.5078	58179.5312	28513.0586	72216.6094	30836.1367	33048.9492	33378.9219	33170.2109	39539.3477	35406.3359	31427.373	41123.5859	65207.0195	39361.8008	36995.1289	36209.7734	35912.7969	39566.9258	32684.5684	50030.2109	38620.957	33751.5781	34146.1875	41230.2969	37786.9805	35413.0859	45419.3555	32681.1289
0.4003	59676.8945	42107.5859	47512.5273	56270.8203	62338.418	52217.3633	45573.7539	61735.6133	35692.7852	42283.2305	49715.7969	47475.5234	83935.1719	77919.7031	39926.9297	46761.8281	63172.2578	58866.5234	58179.9453	47574.5625	54809.0469	38944.125	40408.7969	43714.9609	51349.1484	37818.7383	53431.2383	46102.6523	72487.8984	81836.6016	56460.1016	65104.293	55416.2305	64121.7969	45847.8281	39584.0078	49280.1836	35554.0312	41763.4375	45486.1719	31950.1758	33579.9219	54005.625	46107.5039	69586.2578	73717.2344	43536.8359	59027.1758	42269.9062	42373.9922	43331.1133	47271.8008	44078.6484	41730.043	43976.0156	57067.6172	51001.3281	45853.2773	60150.9961	37414.7266	40281.3359	78462.5859	39993.1016	53648.5508	43365.0078	49764.9922	37839.4414	58379.5312	63140.9414	48072.2578	35983.4883	45176.6641	53793.3789	81501.1641	55906.6797	38052.7188	36002.0547	34885.7188	38537.8789	69914.7578	57914.3828	71179.0156	43224.0312	42269.3125	52769.0391	37480.3867	41474.6211	69287.3359	52194.7773	37145.5273	36462.8789	39805.8359	50746.9375	53111.8203	75648.7422	34721.875	111756.3594	36215.9844	36019.9141	35185.9219	37460.793	48319.3672	40826.4961	31469.4863	47794.0977	62916.5703	48040.6016	45162.2695	40756.7773	43590.2344	49128.9336	38281.5352	62958.2539	40020.3867	34570.9102	43447.9492	48357.1953	38476.418	39041.4805	59387.3867	37469.3008
0.5337	46135.0781	35837.4805	41818.4141	60488.1992	75907.0156	75641.3125	48796.9531	59349.9141	41460.8633	38569.5156	65713.7812	60614.6289	75888.6328	88090.1562	56998.1289	44804.7305	79187.4844	64249.582	51509.9336	42339.4688	62512.2031	46077.6992	46721.4023	54497.2461	40621.4062	31149.5273	63697.043	41382.207	49600.0117	64789.1016	49819.3984	51007.7891	53153.5156	95871.2422	52151.5977	50100.418	57219.6211	42361.0156	52013.1562	58046.2461	36125.6484	38372.5859	39255.5234	46985.4531	52510.6484	75617.625	58132.6992	81361.6406	49697.6367	47036.7109	54757.6719	54766.793	38752.6758	37835.4375	38060.9727	44927.6719	65422.2266	43545.0938	44920.3086	40647.9883	50322.6367	56557.8945	46140.4492	80375.8281	57821.1172	45632.5117	49400.6836	80259.7344	75175.5078	42119.4609	38957.7031	59028.3906	70813.8906	70004.2656	76297.0312	46243.2031	47097.1172	37956.2031	48540.9141	58504	43227.1875	57319.5703	51619.9102	57683.8633	72863.2266	42827.1445	49921.5781	50284.8281	42708.3867	45785.2539	42487.0742	38735.3828	55161.2852	40459.8281	73300.3672	47188.8359	125609.6328	52524.1211	35878.3516	41526.2383	42759.4492	60968.0195	40849.0469	32625.2812	44668.9492	46724.4258	53004.6211	59720.1875	41871.75	46993.4531	70723.375	38424.0938	57243.6875	40611.4062	36565.2773	58061.5195	54827.3203	39949.168	47434.7734	59113.8555	43247.6172
0.6671	38075.7031	33744.2891	36304.4922	52746.6641	65899.4297	84948.7812	42470.168	45772.9062	47753.3516	34714.2695	68834.5703	65624.9219	54950.2031	69504.4609	76538.1641	34968.6797	68312.1328	53270.9336	40162.6133	35482.8281	51303.8828	40791.9531	47004.793	49855.0078	33608.0859	28229.6758	48687.3516	32636.1211	38460.0039	42736.6992	38012.3008	37852.6211	40989.8516	95643.3438	45201.1641	52091.2305	50577.8047	46975.8633	49093.5547	55726.082	38329.4141	43933.8672	33494.8164	41333.9297	38270.6758	54006.7812	69686.0156	87500.0469	44766.3203	37781.1758	52257.1055	50613.5898	32496.5605	33249.4336	32763.5449	38827.2617	57194.8203	38716.9453	33428.9922	36885.4258	50296.1094	36295.0742	49184.1953	120877.4609	67234.8438	36182.5664	59887.9062	80573.1094	58765.0078	32755.6855	38249.0273	91946.4219	65806.8203	47821.1797	68642.5078	57350.7383	59107.6484	38869.875	60224.7188	42444.9062	33045.0195	41619.9414	50298.1484	70076.3672	72628.1016	49016.1172	56861.5664	37335.2344	34800.0859	47095.6523	47740.457	33982.2344	48791.7773	31254.1406	56406.2539	53573.2852	90728.6719	75053.0078	31403.3828	49900.4023	38189.9844	59624.3828	35182.1211	38213.832	37834.957	39348.4922	46597.25	66242.1016	37172.6289	40703.332	79828.6953	33978.8945	42185.3359	34088.8945	42031.8242	57478.9648	43895.5312	36921.6719	53335.4727	42954.3555	50099.5859
0.8005	35376.2031	31717.0684	34383.3242	40877.0977	46143.9688	69043.0156	37927.8203	37278.832	38960.2305	34051.1562	52350.7812	58106.7266	37492.1836	47583.7422	70196.4609	30006.8008	48569.582	38191.2695	35044.4961	32102.3223	39134.5625	33650.9141	38610.2188	35993.3789	30614.6328	27905.5898	34739.6094	29377.4102	33741.7031	34273	31935.6992	34011.0781	33976.4375	62762.0742	36497.0234	44642.9141	40546.7539	41111.1328	39444.543	43312.8984	36847.043	42144.7852	31812.1016	36696.8086	34180.4102	38152.5352	59885.6406	61607.2656	35759.8281	30194.7637	42831.2031	39158.4883	28687.3555	31682.3652	32467.8398	34946.918	41651.8086	35000.6836	30455.2676	30566.9082	39722.5938	31763.1055	45127.2656	119587.2891	62847.2266	31321.8789	57637.3125	58870.5781	43326.7773	29568.8047	35917.5703	131451.6719	50163.1797	36466.8984	47055.6523	54748.1016	62362.6055	35995.5664	55025.5625	34555.0234	31032.9531	33590.7109	41883.6875	57148.6719	50855.6367	46130.5195	51531.8164	31301.3652	31255.5508	41797.8086	46159.5039	34002.6094	38104.1602	27444.4785	43172.8906	45172.2812	54993.0625	75491.25	30428.0273	52987.1797	34619.4023	47985.8984	29541.7812	44539.207	34269.207	35966.0742	38385.0312	55315.4922	33955.375	34471.4414	62261.8086	31257.9102	34648.6562	32012.2793	43673.1641	43923.8555	39705.1094	33740.7539	47687.2656	33332.8164	46287.0195
0.934	34027.1602	31565.8418	33806.8477	35001.3555	35155.4648	50938.4219	34462.1406	33907.6367	30933.7246	32723.5977	39363.4492	43823.9883	31482.1289	36661.9844	51923.6875	29006.6523	38037.1719	32522.1387	31492.7285	30126.3184	32732.9844	32038.2539	32277.7109	29344.4531	29120.5781	27202.8027	29186.623	29778.1367	32023.8535	29794.8008	28999.6992	32677.0645	31899.6602	44102.293	32122.5137	36580.4375	35780.0391	34986.0547	32670.625	34006.3242	32206.5586	35284.5039	30467.2383	36515.4648	30616.6816	33792.6562	44489.4492	42119.7617	32636.6152	26881.5039	34850.75	32512.3516	27201.916	29399.1562	33353.6484	31770.0801	37771.4258	34234.4531	28809.6641	27095.8906	33135.4062	31080.2617	38618.7812	77600.3047	48987.0664	29116.2812	46100.0781	43649.168	35007.1562	27702.0078	31631.0254	127588.6328	40265.582	30294.6973	37152.8945	41680.2539	46223.7461	34014.543	42186.0273	31676.0508	29531.1934	30753.2949	36344.0312	39787.8203	36465.7969	39212.5195	40370.1445	29352.8418	30016.1543	35211.418	37156.625	32391.5703	33015.0234	28066.543	36123.2305	34565.9531	39912.8945	54427.8359	30163.6758	44778.7188	32243.252	39326.4844	27140.0449	44377.6953	32749.418	32115.0684	35523.6523	40420.2148	32787.7852	31644.8926	46637.668	30530.9199	32392.3438	29696.3535	38382.3281	35973.0234	33792.0352	31371.6699	39452.0859	30408.0234	38296.0781
1.0674	34274.1094	30695.3359	33067.6797	33140.0508	31379.3418	38504.2695	33434.8789	32938.6172	28286.7812	31684.3965	32409.7422	34653.0938	31385.8398	34155.5938	39444.6562	26936.7422	34131.9336	30079.6445	29788.7422	29984.6641	29787.0254	30526.1328	32564.5977	26124.0312	28509.2285	27672.6387	26644.0078	29076.0762	29970.7598	29215.3008	29747.9004	31961.9277	30024.1621	34686.7188	30001.8418	33902.1562	33574.2969	32899.5625	31804.5879	30121.5391	30060.8789	31076.4316	30334.1816	35228.4023	29494.9453	31911.4727	36734.5078	35899.9883	30849.0742	27131.3223	29877.0957	31979.5312	28033.8809	28745.3008	31557.3477	32415.7578	32859.4258	33586.3242	28938.3555	28665.4102	30230.9668	27857.8516	35041.5273	51292.5352	40892.4297	29315.3789	36398.1055	35171.6875	30237.832	27064.4297	28834.8066	87535.2344	35343.8711	29037.0332	32528.8262	35152.3789	36329.0195	32658.3359	35858.2656	30403.0078	29604.8398	29994.8398	35143.6992	34068.2773	29753.8711	33802.0391	34443.4102	28338.6621	29713.3125	30527.0645	32132.252	31537.0977	28621.0527	26526.291	33331.4414	28973.7285	34565.2266	40145.3359	28892.4395	38275.7383	31578.5059	35349.3398	26324.0566	36094.8125	32132.1562	32003.3809	33049.1406	35181.75	30440.0273	30045.5742	40387.3281	28506.6504	31948.0195	30385.4805	33959.1758	30831.959	31687.8828	30848.1484	35543.1289	26739.9336	31840.4941
1.2008	NaN	30966.0156	32383.7129	32054.498	29445.1914	35777.5703	32502.7109	33336.1992	28024.4395	31358.7754	31372.2383	32082.6504	33469.6328	32958.5391	33122.875	26914.7734	30781.4805	28531.0781	29865.293	29144.0918	28235.6523	30881.2344	30912.0391	25667.6016	27798.0879	26741.3984	27860.6289	28301.9414	30950.6855	28615.6992	27139.9004	31230.7148	30092.8848	31890.0215	29647.7695	30804.8828	31504.4336	30265.2793	30320.8203	29478	29727.2812	30915.5	31146.2363	36261.6953	30104.1016	31309.1445	34350.043	33321.9766	31213.5879	27615.0332	29647.002	30925.1777	27305.9219	28837.3711	30152.627	32448.2617	32047.957	33479.7344	28389.4551	26686.4238	28690.7207	28026.7344	33315.9062	40338.168	36458.5	28072.7324	33468.793	33915.0039	28145.3906	27922.7168	26575.6328	53363.3242	34240.8281	29529.0156	29748.2266	34028.6914	33429.7539	30551.707	34224.8867	30892.5859	NaN	29286.8867	34643.5312	31946.5977	27783.5547	32696.6602	31991.0469	28945.0059	30052.9473	28945.9551	30941.8652	30547.2539	29105.2422	25698.0918	32301.7734	25077.748	32363.1055	33337.8398	28398.8906	35827.9219	30781.4727	32831.8789	25900.7539	33394.6836	32257.2227	29795.4238	33745.7305	32074.2578	30777.3242	28886.3418	36115.043	28504.8711	31127.6855	29368.3789	32377.5156	28740.3496	NaN	30614.0176	33633.2305	26778.5215	31073.4609
