X	Y_20181208_15794b_1_1g	Y_20181208_15794b_1_2g	Y_20181208_15794b_1_3g	Y_20181208_15794b_1_4g	Y_20181208_15794b_1_5g	Y_20181208_15794b_1_7g	Y_20181208_15794b_10_2g	Y_20181208_15794b_10_4g	Y_20181208_15794b_10_5g	Y_20181208_15794b_2_1g	Y_20181208_15794b_2_5g	Y_20181208_15794b_2_6g	Y_20181208_15794b_2_7g	Y_20181208_15794b_3_1g	Y_20181208_15794b_3_4g	Y_20181208_15794b_3_6g	Y_20181208_15794b_6_10g	Y_20181208_15794b_6_11g	Y_20181208_15794b_6_12g	Y_20181208_15794b_6_2g	Y_20181208_15794b_6_3g	Y_20181208_15794b_6_5g	Y_20181208_15794b_6_6g	Y_20181208_15794b_6_7g
0	11228.0049	10781.0176	10800.0264	10535.6104	12637.5098	11053.1143	10223.9326	11528.5547	10841.8613	10507.3096	10851.4512	11099.1191	13761.6826	11730.0312	12339.9209	10696.7588	11633.6562	11893.0127	11178.2998	11162.5703	12648.7861	10347.7656	11412.2061	12484.3584
0.1334	11281.3213	10649.2842	10537.6318	11000.3662	12741.1621	10995.5049	10759.5059	11714.9863	11000.9932	10667.1133	10466.1084	10742.0273	12877.665	11955.458	12621.2568	10778.7295	12252.4199	11579.584	11340.8398	11233.0947	12627.7646	10606.1904	12315.4844	12565.2578
0.2668	11703.5605	11053.9492	10602.3594	11893.9551	11695.7168	11121.5742	10472.7842	11343.75	12003.5098	10580.8506	10816.083	10410.8555	12359.2803	11672.7715	12534.2363	10806.0195	12378.7168	12122.2412	11278.7461	12001.7559	12462.5938	10773.2764	12811.1455	13374.6406
0.4003	12046.1572	11857.8936	10637.8145	12157.8584	12818.29	11428.9688	10862.5752	11309.7295	11558.2021	10751.0732	10704.6826	11189.2725	13579.6875	11201.4453	11845.6816	10467.5312	12222.4854	12516.2275	11604.6133	12640.5	12233.7012	11269.2002	12331.8643	14121.6377
0.5337	12625.8008	10741.7646	10847.5713	12137.1523	14592.6934	11585.6533	11541.2656	11278.2412	11413.9922	10508.6953	10204.4141	11353.0684	13605.6719	11700.9805	11930.9844	10890.8711	12401.1064	12889.2676	11902.3682	12761.2158	13404.3965	12214.2852	12832.7939	14428.0039
0.6671	14704.7129	10905.709	11304.4404	12574.6465	15939.5254	13017.6553	11874.2793	11616.1641	12068.5889	10305.5977	10475.4463	10763.5723	14357.9648	11270.3066	12468.9521	10869.168	13071.5469	14039.627	12986.9053	14116.959	13118.7285	12750.4844	13049.668	15481.8564
0.8005	17694.2305	11780.4092	11685.2061	12469.7881	17314.6992	14415.1562	12010.0391	11566.4619	13400.3506	10964.251	11439.8457	11007.498	16098.1416	11509.3545	12105.5244	10892.5254	12584.4912	14942.9629	15534.0693	14059.8789	12784.3555	12703.4854	12835.1738	15659.0283
0.934	18566.9023	12378.7793	11405.3926	12229.5791	17488.6133	15021.9023	11678.5723	12238.6104	13205.459	11886.5928	11268.6133	10991.791	18954.6543	13131.0459	12432.8506	11567.1592	13732.4219	16799.7031	16916.9004	14830.3242	12838.1201	13466.1914	13082.5449	15860.7705
1.0674	17869.2637	12098.2578	11479.0791	13320.9668	14301.8535	13594.8906	12340.583	13126.5811	14081.1865	12438.5234	11435.0166	11028.4648	19190.6074	13511.4629	12986.7061	13036.8252	14657.8867	17517.5469	17461.7988	14548.1504	12894.751	13216.0117	13812.4551	14886.2012
1.2008	17281.875	13639.0479	11931.2197	12584.1094	11900.333	12012.5195	11880.5615	14291.1787	14372.5342	12338.415	11061.9658	11798.0195	16335.2803	13853.6797	12988.5342	13380.5781	15993.1367	17325.9746	16122.0391	14583.2725	13738.7891	13395.5654	13988.3076	13454.9268
1.3342	16340.7744	14219.5586	11448.8896	13290.665	NaN	NaN	11676.2334	14442.0137	14843.6221	12654.5986	11071.2598	12403.833	13449.6416	13266.959	13472.502	13771.2607	16241.6377	18264.2188	15166.7256	15771.2754	13109.1357	14037.9492	14172.6006	13287.4717
1.4676	17232.6875	14083.0449	11186.3232	13048.4307	NaN	NaN	12030.2529	14923.752	15298.7637	13453.7842	11784.5791	11893.5781	11703.6895	13596.5352	13874.3965	13995.4658	16620.4316	19501.4883	16004.1865	16856.9609	13153.2705	15788.2197	14594.166	12671.4404
1.6011	16704.8945	12369.3213	11294.4795	14438.916	NaN	NaN	12580.5479	14257.1416	14448.5918	13609.0938	11929.4297	12952.2246	10841.3799	13396.3408	12154.582	13792.4619	15419.624	17084.25	16952.4082	16592.8477	13552.5752	15219.1934	14359.5488	NaN
1.7345	16669.4375	NaN	12050.0859	15038.4668	NaN	NaN	11761.7031	12352.1787	13117.6973	14463.4209	12250.3496	12631.5996	NaN	13194.3779	11614.4092	13706.5342	14276.0312	14103.626	14501.3242	16279.4395	11944.6465	14031.3076	14007.2764	NaN
1.8679	17518.8047	NaN	12231.5342	15181.1641	NaN	NaN	12563.2129	11226.4678	NaN	15096.0186	12063.5234	13050.0508	NaN	14787.1162	11954.2783	13390.4033	13869.6924	14282.3545	12395.9688	16528.3398	10745.9033	13581.0264	14334.0391	NaN
2.0013	18004.8691	NaN	12452.6777	17573.832	NaN	NaN	12702.001	10168.873	NaN	14702.7178	10731.2188	12457.3193	NaN	15805.5039	12028.9893	12794.3408	12157.583	13080.7754	NaN	18276.248	9998.8965	NaN	14332.5459	NaN
2.1347	15474.2217	NaN	12728.6035	17219.373	NaN	NaN	12514.9541	NaN	NaN	13264.1104	NaN	11438.3213	NaN	17012.7461	11799.5664	11997.2227	11736.7676	12270.4727	NaN	19852.5605	NaN	NaN	14516.1621	NaN
2.2682	12158.7568	NaN	13229.5254	13888.8311	NaN	NaN	12010.7744	NaN	NaN	13116.5713	NaN	10220.3398	NaN	15251.1191	12264.75	NaN	NaN	12287.3359	NaN	20123.7578	NaN	NaN	14443.4023	NaN
2.4016	10690.0264	NaN	13089.8506	13597.1035	NaN	NaN	13275.5771	NaN	NaN	11388.1201	NaN	9739.8643	NaN	13396.9561	12488.0469	NaN	NaN	NaN	NaN	16857.4121	NaN	NaN	14283.6299	NaN
2.535	9512.208	NaN	12521.6172	13517.3838	NaN	NaN	12428.2139	NaN	NaN	11173.1279	NaN	NaN	NaN	12718.0752	12224.5371	NaN	NaN	NaN	NaN	13106.7979	NaN	NaN	12692.1699	NaN
2.6684	9445.0576	NaN	12216.7021	NaN	NaN	NaN	11580.9219	NaN	NaN	11538.2305	NaN	NaN	NaN	12322.251	12298.2988	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11699.1465	NaN
2.8019	9050.8965	NaN	12221.2744	NaN	NaN	NaN	10145.9775	NaN	NaN	11053.0586	NaN	NaN	NaN	NaN	12392.3281	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10960.1904	NaN
2.9353	NaN	NaN	12137.0146	NaN	NaN	NaN	9256.1201	NaN	NaN	11539.2158	NaN	NaN	NaN	NaN	12569.4336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10460.4297	NaN
3.0687	NaN	NaN	12272.918	NaN	NaN	NaN	8672.8291	NaN	NaN	12111.2646	NaN	NaN	NaN	NaN	13181.3037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	12193.5566	NaN	NaN	NaN	NaN	NaN	NaN	12437.0889	NaN	NaN	NaN	NaN	13330.1562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	12558.9795	NaN	NaN	NaN	NaN	NaN	NaN	12292.8545	NaN	NaN	NaN	NaN	14647.1699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	12403.6514	NaN	NaN	NaN	NaN	NaN	NaN	13292.8047	NaN	NaN	NaN	NaN	14914.4395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	10727.5576	NaN	NaN	NaN	NaN	NaN	NaN	14435.9961	NaN	NaN	NaN	NaN	15621.3428	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	9656.8447	NaN	NaN	NaN	NaN	NaN	NaN	12907.1641	NaN	NaN	NaN	NaN	15377.3193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	9328.5996	NaN	NaN	NaN	NaN	NaN	NaN	10308.1484	NaN	NaN	NaN	NaN	13932.9746	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11822.4297	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11121.4355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
