X	Y_20180130_15100b_10_11g	Y_20180130_15100b_10_13g	Y_20180130_15100b_10_15g	Y_20180130_15100b_10_2g	Y_20180130_15100b_10_6g	Y_20180130_15100b_10_9g	Y_20180130_15100b_11_12g	Y_20180130_15100b_11_2g	Y_20180130_15100b_11_5g	Y_20180130_15100b_11_6g	Y_20180130_15100b_11_8g	Y_20180130_15100b_12_13g	Y_20180130_15100b_12_15g	Y_20180130_15100b_12_5g	Y_20180130_15100b_12_7g	Y_20180130_15100b_12_8g	Y_20180130_15100b_12_9g	Y_20180130_15100b_13_10g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_1g	Y_20180130_15100b_13_2g	Y_20180130_15100b_13_3g	Y_20180130_15100b_13_4g	Y_20180130_15100b_13_6g	Y_20180130_15100b_14_10g	Y_20180130_15100b_14_1g	Y_20180130_15100b_14_2g	Y_20180130_15100b_14_3g	Y_20180130_15100b_14_7g	Y_20180130_15100b_15_12g	Y_20180130_15100b_15_14g	Y_20180130_15100b_15_15g	Y_20180130_15100b_15_3g	Y_20180130_15100b_15_4g	Y_20180130_15100b_15_7g	Y_20180130_15100b_15_9g	Y_20180130_15100b_16_4g	Y_20180130_15100b_16_6g	Y_20180130_15100b_17_11g	Y_20180130_15100b_17_12g	Y_20180130_15100b_17_13g	Y_20180130_15100b_17_2g	Y_20180130_15100b_17_4g	Y_20180130_15100b_17_8g	Y_20180130_15100b_17_9g	Y_20180130_15100b_18_12g	Y_20180130_15100b_18_14g	Y_20180130_15100b_18_15g	Y_20180130_15100b_18_16g	Y_20180130_15100b_18_20g	Y_20180130_15100b_18_22g	Y_20180130_15100b_18_4g	Y_20180130_15100b_18_7g	Y_20180130_15100b_18_8g	Y_20180130_15100b_19_11g	Y_20180130_15100b_19_12g	Y_20180130_15100b_19_1g	Y_20180130_15100b_19_7g	Y_20180130_15100b_1_14g	Y_20180130_15100b_1_15g	Y_20180130_15100b_1_3g	Y_20180130_15100b_1_8g	Y_20180130_15100b_20_12g	Y_20180130_15100b_20_14g	Y_20180130_15100b_20_15g	Y_20180130_15100b_20_16g	Y_20180130_15100b_20_17g	Y_20180130_15100b_20_3g	Y_20180130_15100b_20_4g	Y_20180130_15100b_20_7g	Y_20180130_15100b_20_8g	Y_20180130_15100b_21_14g	Y_20180130_15100b_21_15g	Y_20180130_15100b_21_16g	Y_20180130_15100b_21_3g	Y_20180130_15100b_21_4g	Y_20180130_15100b_21_5g	Y_20180130_15100b_21_6g	Y_20180130_15100b_21_8g	Y_20180130_15100b_22_11g	Y_20180130_15100b_22_14g	Y_20180130_15100b_22_19g	Y_20180130_15100b_22_4g	Y_20180130_15100b_22_9g	Y_20180130_15100b_23_10g	Y_20180130_15100b_23_2g	Y_20180130_15100b_23_6g	Y_20180130_15100b_23_9g	Y_20180130_15100b_24_14g	Y_20180130_15100b_24_5g	Y_20180130_15100b_24_6g	Y_20180130_15100b_24_7g	Y_20180130_15100b_2_10g	Y_20180130_15100b_2_2g	Y_20180130_15100b_2_5g	Y_20180130_15100b_2_6g	Y_20180130_15100b_2_7g	Y_20180130_15100b_2_8g	Y_20180130_15100b_3_11g	Y_20180130_15100b_3_13g	Y_20180130_15100b_3_4g	Y_20180130_15100b_3_6g	Y_20180130_15100b_3_8g	Y_20180130_15100b_4_10g	Y_20180130_15100b_4_12g	Y_20180130_15100b_4_13g	Y_20180130_15100b_4_14g	Y_20180130_15100b_4_15g	Y_20180130_15100b_4_1g	Y_20180130_15100b_4_20g	Y_20180130_15100b_4_21g	Y_20180130_15100b_4_5g	Y_20180130_15100b_4_8g	Y_20180130_15100b_4_9g	Y_20180130_15100b_5_10g	Y_20180130_15100b_5_16g	Y_20180130_15100b_5_19g	Y_20180130_15100b_5_20g	Y_20180130_15100b_5_23g	Y_20180130_15100b_5_2g	Y_20180130_15100b_5_6g	Y_20180130_15100b_6_2g	Y_20180130_15100b_6_4g	Y_20180130_15100b_6_5g	Y_20180130_15100b_6_6g	Y_20180130_15100b_6_7g	Y_20180130_15100b_6_9g	Y_20180130_15100b_7_11g	Y_20180130_15100b_7_12g	Y_20180130_15100b_7_13g	Y_20180130_15100b_7_14g	Y_20180130_15100b_7_16g	Y_20180130_15100b_7_17g	Y_20180130_15100b_7_1g	Y_20180130_15100b_7_2g	Y_20180130_15100b_7_4g	Y_20180130_15100b_7_9g	Y_20180130_15100b_8_2g	Y_20180130_15100b_8_3g	Y_20180130_15100b_8_6g	Y_20180130_15100b_8_7g	Y_20180130_15100b_9_15g	Y_20180130_15100b_9_1g	Y_20180130_15100b_9_3g	Y_20180130_15100b_9_8g
0	11541.283	11149.917	10543.613	13266.521	12268.338	13610.086	12142.12	14941.96	13791.359	13059.593	11823.888	13167.304	10839.399	11306.429	13594.301	13043.309	12371.344	12438.11	13359.811	11105.9	13838.884	12683.703	11600.554	12422.539	14759.947	12084.73	11208.684	10737.56	12985.255	13646.051	13098.502	14273.737	11962.223	12267.3	13854.583	12519.396	13217.742	14981.891	12979.922	10423.028	12645.669	12432.212	15084.671	12011.039	11481.849	12213.331	12551.113	13279.866	11713.073	13269.641	10689.6	10811.951	12650.4	11211.15	11907.007	11142.309	11628.42	12483.236	9802.865	11435.515	11879.908	11920.182	10959.837	13692.846	13934.324	12730.906	14313.326	11290.285	13639.165	12093.139	12618.109	13004	10795.251	14532.1	12374.759	11010.429	11877.984	10912.896	10525.758	11748.672	12917.823	12284.053	13418.773	14279.004	13555.317	12937.297	12402.529	14848.53	13172.788	12273.18	13520.769	15261.514	14932.715	10804.5	12906.9	12527.753	13056.931	12152.119	10171.758	13283.096	11373.048	13179.041	11481.893	11004.324	15133.494	13948.897	12515.127	12662.526	13653.258	14017.424	10732.266	11709.977	12437.107	14668.6	12175.809	13194.774	10595.635	14251.4	10998.641	12301.222	13622.398	12659.202	11465.537	13042.21	11042.877	13466.867	10609.583	13743.374	12810.008	11669.721	12127.551	11264.619	12312.532	13309.188	13150.885	12506.3	11516.269	13456.8	13482.15	14319.399	12699.902	10964.138	11880.33	13475.626	14522.813
0.1334	11324.887	12076.874	10998.585	14476.464	13507.188	14153.475	12770.852	15939.824	14122.791	14265.175	12289.417	14026.904	11488.111	10974.507	13742.506	13541.062	12939.049	13128.113	13359.925	10853.356	14240.862	13397.317	13529.264	12354.248	15295.004	12803.644	12207.53	11120.583	13396.171	14318.721	12755.728	14430.517	11940.078	12683.754	13911.663	12955.574	12882.675	16411.721	13706.994	11725.771	13138.898	13539.906	14632.236	11826.413	12692.379	12476.252	12475.686	13154.42	13454.583	13563.667	11435.374	11954.128	13516.963	11413.561	14169.591	11674.647	11659.788	12476.001	10354.089	11742.449	11346.784	12934.07	11221.567	13546.85	13898.944	13501.231	14819.679	11035.305	14061.968	12068.793	13967.69	14254.574	11268.146	14492.488	13240.242	12844.654	12874.076	11995.475	10966.239	13263.822	13617.751	12714.825	13318.883	14819.511	13733.065	13470.185	13712.677	15062.594	13661.459	12192.623	13565.411	16268.177	14689.768	12060.582	14228.734	13383.344	13279.23	12260.564	10476.785	13595.726	12042.4	13403.942	12069.052	12012.545	14522.873	13949.438	13604.118	12453.18	14531.633	13623.729	10935.228	13429.035	12823.092	14980.969	13014.461	14175.482	10993.905	13964.837	11385.444	13898.949	13753.292	13514.463	12479.632	12798.931	11213.426	15236.074	11551.143	13256.279	14869.541	12156.906	12477.289	11993.589	12316.345	13216.731	13154.745	12989.426	11780.183	13091.336	13732.872	14260.968	13613.206	12014.069	13134.332	14366.088	14485.811
0.2668	12043.024	13375.771	12431.316	17091.164	15708.418	15583.188	14906.138	15363.887	14597.694	15536.793	12993.562	14878.94	13002.202	10975.58	13767.591	14498.253	13229.387	14593.62	13744.235	13102.955	16035.236	15223.351	14704.224	13744.676	16115.454	13173.61	14249.391	13577.255	15918.412	14371.386	12842.07	16631.568	12827.633	13542.562	14347.86	13942.28	13755.061	16376.087	14655.191	12160.466	13817.992	14338.594	15618.506	13476.79	15475.32	13105.173	12713.637	14039.459	14642.766	14479.281	13140.93	12784.867	14018.643	12979.671	17833.605	13790.085	11984.619	14756.251	10754.741	13180.915	12784.89	13420.772	11743.636	13545.338	13790.162	13721.123	15095.272	12691.628	15995.396	12727.518	15193.495	18384.527	12473.142	15704.075	14178.121	15202.29	14762.557	12411.676	12337.646	15861.592	14527.826	13082.699	14419.172	15909.746	15528.199	14209.24	14701.172	15345.663	14417.964	13857.001	17468.998	18267.445	16636.92	13142.076	17272.945	13555.157	15224.454	13883.239	11364.905	14220.751	14660.992	15177.695	14054.699	13372.458	15134.054	15948.447	16193.369	14604.429	15596.799	14889.091	13209.335	14966.048	14264.637	15839.066	13699.554	16276.295	11247.954	14029.572	12648.904	14886.707	14090.379	15374.059	13064.979	14430.726	11872.236	16027.878	13367.154	14668.952	16230.625	13205.562	13592.265	12359.783	13105.273	14705.808	15023.775	13586.047	12606.053	13180.589	14263.344	15511.917	14953.185	13261.444	14696.094	15044.63	16474.705
0.4003	13761.281	14645.935	13684.18	19592.432	17700.543	16417.91	17121.74	14282.271	14799.763	15586.966	13642.189	15759.347	14886.108	12016.825	14929.798	15590.878	14608.756	17542.834	15169.834	13747.422	18905.502	16436.277	15104.16	15124.336	17351.354	13925.64	17276.123	14657.646	19093.625	15793.27	14165.537	16646.082	15793.524	15641.397	15868.098	16641.549	15740.367	15451.143	15988.481	13214.681	16018.263	16662.818	16023.646	16100.091	15960.061	14684.247	15189.116	15398.502	17769.951	17338.75	15121.373	15083.32	15937.117	13973.48	20818.125	15302.833	12956.427	13574.875	12368.972	14582.228	14680.475	15489.751	14252.308	13981.688	15618.789	15066.25	17143.619	14257.357	19264.078	14088.787	16190.099	22190.227	14530.174	18187.057	16068.396	15954.349	15023.236	13454.159	14650.27	17184.832	15512.742	13852.173	16069.452	17257.553	18796.248	17387.686	16270.187	15797.513	16170.385	15635.007	23921.537	17602.002	16982.773	15082.798	21050.518	15292.066	17797.715	16824.215	11864.676	14530.784	17491.68	18647.662	15624.583	14807.944	17422.26	18728.805	18620.455	14902.561	17534.619	16473.045	15911.065	16735.57	15790.371	18705.277	14254.068	19358.086	11553.312	16097.14	15548.235	16403.377	15828.112	18355.363	13537.73	17049.643	14785.957	17782.354	15350.79	18979.42	16792.141	15666.585	15087.756	13927.807	14364.2	15723.6	16612.84	16068.15	14145.271	14073.759	15804.834	15924.395	17112.416	14295.534	16022.989	17313.381	16989.377
0.5337	14902.103	15244.398	16374.421	18288.744	19785.811	16938.473	16353.999	13689.858	17531.064	13802.606	13598.013	16061.877	14879.459	12846.822	15919.286	15230.492	15818.595	19195.68	17455.701	16756.121	20831.461	16635.697	15854.567	15946.987	17626.828	15028.403	17203.896	14088.393	19685.498	16635.107	15135.907	16501.328	17943.502	16070.832	16119.111	16395.963	20331.527	15422.452	18224.244	15300.21	14438.676	16208.877	16269.192	17188.113	16215.432	16328.518	15096.181	18379.422	18700.031	19503.723	19831.115	17294.443	16827.092	15453.794	20155.057	18030.496	13603.288	14319.777	14136.337	14701.511	15061.023	18100.473	15555.207	17453.643	18042.576	15092.098	17576.303	16207.722	18476.488	16758.004	17743.496	22974.6	18206.996	21434.807	17393.793	14863.397	16622.588	16604.195	16794.971	16541.125	16955.213	14396.282	17251.811	17457.248	19358.449	17277.59	16759.9	16467.752	17817.547	17909.475	29255.705	18551.668	15632.77	15127.093	19000.758	16340.799	20566.637	17695.135	14004.956	16568.748	18020.117	19557.723	19964.08	15422.269	22251.893	19051.621	19315.467	16059.38	19603.926	18056.074	17556.482	16152.918	18254.152	20186.707	15361.981	23261.307	14358.881	16069.6	18532.002	16112.932	18450.969	17774.379	15296.436	20263.076	17664.42	17509.475	15415.686	21330.98	15799.857	16270.829	16384.699	15570.212	14849.517	17385.762	17698.312	17688.35	14922.896	14695.81	19390.975	17409.557	19209.182	17520.527	15463.192	17337.551	16656.398
0.6671	16401.574	14237.835	15385.707	17105.08	19001.891	18016.324	15957.895	12644.389	20569.271	13010.629	13324.634	16560.514	15018.752	14966.142	14575.399	15842.871	17077.037	17951.527	17761.246	16439.514	19825.969	15556.854	15906.084	16930.648	16895.215	14423.782	15005.771	14072.794	20285.199	16358.045	15307.643	15862.098	19633.295	14187.671	15249.903	16260.824	20689.57	15715.582	20302.791	15030.386	14015.656	15477.287	15058.046	15743.455	14228.991	15491.915	14743.554	20055.379	19258.193	18870.396	22403.729	16765.535	16060.913	15279.476	18102.293	18638.344	14555.197	14089.555	14270.281	14573.602	14857.924	19409.457	16485.611	21691.506	20622.006	14843.779	16525.467	17404.203	17081.596	17761.637	17075.863	20135.877	17098.744	19905.385	17031.076	14988.138	14911.406	17619.816	16107.021	15167.118	16414.875	14401.094	16466.066	16546.369	18420.227	16033.087	14716.528	16155.344	19001.582	19308.605	32027.736	18765.445	13787.045	13986.659	17469.975	16251.478	21660.258	18000.061	14237.271	16558.578	17002.879	16510.619	21117.012	14638.706	23816.297	17607.816	17327.453	15186.487	18732.188	17163.678	16022.355	15132.171	18786.59	18518.654	15813.74	23740.863	16637.078	15301.607	18578.916	14112.37	20030.094	16329.214	15681.769	20648.797	18603.004	17977.871	14206.496	21226.332	13583.442	15147.79	17591.066	15396.549	16108.721	15445.398	18167.818	16123.081	15007.16	15282.828	21930.32	18229.271	18445.752	16976.676	14748.879	16519.16	16167.239
0.8005	15950.142	14380.911	15015.274	16934.494	17779.885	19542.25	15554.309	12819.044	22227.281	12539.139	14533.836	15928.349	14032.869	16444.191	14121.47	15402.97	16269.274	16402.018	17454.859	15455.863	18076.998	15253.935	15901.913	16394.504	15075.636	13877.555	14573.908	14030.284	17651.689	15980.082	15545.193	15672.733	17452.875	13140.495	14627.784	15830.338	20832.168	14891.387	18827.924	14253.334	13284.771	15316.423	14719.56	16114.67	13266.622	15050.488	13624.347	18811.355	18920.578	16233.437	20644.158	15643.076	14566.387	15358.825	15733.922	16470.033	14283.043	13697.717	13737.146	13858.305	14108.26	17563.576	18501.549	21063.207	19717.463	13497.017	16434.742	16688.123	16297.079	17174.48	17516.576	18620.947	15891.193	18247.58	17158.484	14684.675	14758.832	15464.148	16270.938	14533.752	15552.885	14183.188	15910.968	15801.411	17235.434	15964.157	13348.168	16460.947	17531.885	19407.48	29677.1	17670.736	14293.939	14747.577	16684.869	15882.057	19846.701	17239.846	14034.789	15564.621	16588.041	14995.958	18438.898	14161.282	22116.605	15716.932	15557.96	13748.117	17038.66	17462.678	15192.674	14213.482	16297.214	18404.217	14255.762	22485.326	17213.383	14380.375	18026.15	14024.745	20276.074	16495.953	15533.896	18184.305	17611.051	16474.643	14429.494	19434.605	13001.971	14502.627	15521.125	14344.458	14744.023	14208.445	16908.521	15034.653	13799.526	15099.058	20881.377	17201.936	16295.73	15122.19	13792.055	15808.632	15323.88
0.934	14979.89	13786.555	13639.062	16309.151	16800.996	20249.936	15078.445	12010.98	19986.941	12140.513	14434.182	14730.723	13808.695	16209.874	14958.684	15223.987	15023.702	15033.189	15748.545	15982.777	15843.901	14304.677	15571.862	15857.656	13693.219	13630.87	13418.634	13310.686	16808.852	14510.615	15435.621	14558.241	16148.665	12886.181	13821.317	15714.801	18385.264	14692.784	17167.328	14300.885	13311.999	14598.137	14386.907	15639.493	13085.142	14276.682	13652.234	19029.062	17938.9	14683.288	18060.428	15145.213	14802.421	15430.977	15508.002	15162.675	13556.724	13850.862	12590.226	13165.351	14636.854	15144.29	21322.881	18419.891	18306.406	13234.328	15705.842	15239.631	16089.078	14439.13	17451.697	16204.823	14782.533	15157.854	16526.297	14438.523	13734.163	14562.097	16432.416	14400.777	13785.977	14250.366	15543.925	15444.387	16487.041	16850.307	12918.391	15834.793	17451.625	18220.373	23490.205	15882.984	14910.479	12649.871	18178.676	15463.346	18405.496	16704.928	13555.485	14296.688	14796.581	14467.646	16300.187	13950.999	18899.268	15462.13	14546.888	13137.703	15962.106	15788.781	15385.359	12852.558	15895.15	16800.941	13405.582	19967.572	15496.846	12223.405	16701.656	14140.579	19781.742	16095.111	16182.134	15998.951	17562.084	14934.562	14145.705	18670.635	12591.801	15103.862	15132.106	13463.007	14187.862	13990.316	16526.738	14373.62	13125.714	14157.379	18099.668	15268.615	15499.162	15788.261	14021.417	14597.929	14134.275
1.0674	15080.85	13735.885	13912.173	16603.789	16449.869	18918.936	15257.055	11555.888	19421.475	NaN	15301.735	14443.26	14221.082	16021.147	15388.562	14564.751	15327.182	15537.681	14927.166	15590.544	14928.976	13873.397	14979.139	15858.978	13421.953	13112.087	13498.524	13295.98	15387.5	13006.979	15467.19	14910.669	15356.882	11529.785	13453.864	15358.593	18589.602	14321.212	16050.615	13933.759	13050.172	13976.201	13245.623	15705.726	13197.407	13684.528	12555.578	17688.438	16385.344	13568.161	15629.625	15099.357	13243.993	15602.339	15003.408	13573.76	14225.979	14176.816	12310.293	13176.98	13353.442	14657.913	23611.549	15978.639	17644.486	13046.063	14521.553	16052.212	15169.758	12976.888	16080.894	16625.227	15986.26	14140.79	17411.062	13870.885	12733.911	14120.533	16663.898	14942.662	13551.825	14273.154	15050.84	15339.1	14956.975	16376.562	13165.514	15422.521	17049.262	16056.865	21864.572	15591.643	13448.208	13929.516	17826.645	14897.138	16993.287	16768.619	14236.928	14190.601	15362.531	14323.915	16101.248	14016.075	16779.146	15128.329	14504.533	13130.499	14965.332	15158.696	16008.003	11706.836	14449.274	13738.751	12798.14	17982.367	16023.287	12539.193	15442.562	13247.886	18285.496	16016.799	16492.65	16387.428	16659.742	13860.394	13950.671	17681.291	12492.092	14108.246	15008.436	13302.733	13853.892	13360.078	15988.629	14596.269	12140.854	14118.015	16726.729	14436.903	14346.576	15983.949	14591.082	13422.527	13819.502
1.2008	15336.944	14276.047	13946.208	15924.307	15111.129	18082.463	15625.835	11587.201	18297.342	NaN	14428.996	14334.661	14164.463	15864.315	14876.299	14464.879	15044.097	15875.876	14797.039	16828.646	13625.167	13946.045	14114.409	14459.412	13254.018	13592.239	13769.552	14212.416	14709.655	13769.088	15393.446	14895.254	14998.463	12136.855	13026.214	15918.638	16264.714	14216.466	14054.2	13704.184	13423.974	14266.179	12668.454	15841.726	12865.066	13336.874	12791.152	17734.029	15279.745	13611.137	14580.962	17959.848	13287.726	14171.222	14302.758	13234.896	13615.517	13869.809	13172.085	13401.172	12487.955	14665.875	23170.43	15956.742	17888.592	12740.026	14273.85	14998.429	15155.503	12745.685	15165.434	15533.769	16636.365	13675.069	15735.516	13138.103	12732.972	12903.409	16202.566	15041.707	14062.361	14220.176	14752.932	14502.07	14234.338	16109.26	12693.086	14744.089	17948.602	15275.114	17982.498	15063.918	13714.435	13431.808	17295.199	14576.675	16569.754	15850.027	14357.591	14290.033	14709.656	13988.028	15309.187	15020.6	15002.769	16051.818	14682.231	11733.404	13873.318	15779.346	14151.848	11857.882	13629.447	14707.812	13132.352	15854.864	15438.368	13116.227	15177.924	13591.685	17521.205	14448.037	16699.029	15656.927	18090.6	13937.901	13879.083	16600.098	12823.142	14546.232	13970.129	13344.238	14163.822	13354.655	16389.088	14203.733	12534.682	14505.958	14339.666	14425.004	15047.892	14717.19	14939.357	13614.553	12992.215
