X	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_1g	Y_20181208_15692b_10_3g	Y_20181208_15692b_10_4g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_13g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_18g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_2g	Y_20181208_15692b_11_3g	Y_20181208_15692b_11_4g	Y_20181208_15692b_11_6g	Y_20181208_15692b_11_7g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_13g	Y_20181208_15692b_12_15g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_17g	Y_20181208_15692b_12_2g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_8g	Y_20181208_15692b_13_1g	Y_20181208_15692b_13_4g	Y_20181208_15692b_13_5g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_3g	Y_20181208_15692b_14_5g	Y_20181208_15692b_15_1g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_10g	Y_20181208_15692b_16_3g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_5g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_4g	Y_20181208_15692b_17_5g	Y_20181208_15692b_2_4g	Y_20181208_15692b_2_5g	Y_20181208_15692b_2_6g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_3g	Y_20181208_15692b_3_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_3_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_1g	Y_20181208_15692b_5_3g	Y_20181208_15692b_5_4g	Y_20181208_15692b_6_1g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_4g	Y_20181208_15692b_7_1g	Y_20181208_15692b_7_5g	Y_20181208_15692b_7_7g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_7g	Y_20181208_15692b_8_8g	Y_20181208_15692b_8_9g	Y_20181208_15692b_9_1g	Y_20181208_15692b_9_4g	Y_20181208_15692b_9_5g	Y_20181208_15692b_9_6g
1.8679	15322.8662	15561.7744	14780.1377	12678.5889	NaN	16497.3164	10882.5049	17426.7754	13148.7549	14080.1426	10270.0625	13754.8701	11189.5098	16064.8535	14882.998	11583.7275	13263.3848	12720.3086	13636.9775	15435.4004	16571.4434	18538.1367	15719.1562	15587.3428	NaN	13854.5684	13765.2432	NaN	17581.8184	13985.7959	16424.5215	14866.2695	14511.9092	13625.7061	14710.8594	17251.8926	14327.9502	13842.8936	11300.2207	NaN	12644.7861	15177.4316	13639.5127	13900.8662	20196.3496	15835.6133	11347.1729	16703.8301	13645.8887	NaN	23853.291	14186.6162	14764.8242	16626.3086	12940.2285	13763.9873	14245.3516	NaN	11734.1113	20200.8027	12556.4805	NaN	15764.8252	10032.3584	14480.6387	24509.9219	12846.4316	NaN	20262.0781	13759.0615	NaN	19784.332	NaN	NaN	16703.2109	13578.042
2.0013	16231.3848	16938.6133	16204.3682	11427.6338	NaN	17243.582	NaN	14965.5049	13495.375	12491.4512	NaN	11946.1807	NaN	14852.6719	15162.2471	11355.4502	14158.5361	11777.8906	11159.3389	15573.8926	14233.1689	18638.0547	16037.9219	13635.5908	NaN	13196.1387	14599.6465	NaN	17458.8496	13184.1543	19366.918	13390.6992	13915.9697	11552.376	15292.7529	18860.4473	14341.8662	13584.8008	10822.7168	NaN	13272.209	15335.623	13355.4082	12733.4844	17844.0312	15031.9766	11323.7803	15824.0732	13368.9307	NaN	24458.5078	14362.5352	14416.6836	17016.123	NaN	13870.8926	13569.4004	NaN	NaN	21278.207	13272.208	NaN	13985.9746	9378.6064	13905.626	21608.3633	11783.5352	NaN	20001.6289	14264.082	NaN	19230.166	NaN	NaN	15941.7266	14795.5781
2.1347	16959.9355	17472.3672	14936.7441	12086.6387	NaN	16126.7002	NaN	NaN	13020.3418	NaN	NaN	11453.1914	NaN	12872.3271	16152.0283	12375.7344	15255.5283	11679.1045	10848.7539	15512.3242	12657.6338	18193.2188	15722.2295	12178.8301	NaN	12711.5898	13848.0537	NaN	17505.1777	12470.748	19238.1055	13383.001	14735.3115	NaN	15232.3721	19265.2168	14456.4121	14132.0361	9601.8252	NaN	NaN	17027.3594	13679.2158	11397.3438	16136.7021	15641.7041	11627.0439	14962.8604	13998.6074	NaN	22187.4102	14673.4971	13821.3525	17610.709	NaN	13492.0771	14110.7109	NaN	NaN	18366.793	13421.251	NaN	12167.1338	NaN	13019.085	17488.8672	11366.6143	NaN	17945.5508	14749.1729	NaN	16549.6133	NaN	NaN	14009.3105	15665.3691
2.2682	16232.1973	14881.6064	14102.4043	12207.4521	NaN	13714.4961	NaN	NaN	13952.8467	NaN	NaN	11316.2607	NaN	12278.8135	18114.5312	13016.8916	17862.5664	NaN	NaN	16081.6826	11944.0439	16236.8848	16398.3926	NaN	NaN	12781.5342	13025.376	NaN	17191.3691	10909.2227	17631.7969	NaN	15403.9805	NaN	15384.125	17084.791	15552.9414	13516.6963	9037.3398	NaN	NaN	17539.1582	13798.7109	10877.7842	14921.585	16412.834	NaN	13049.3828	14602.1436	NaN	19262.2344	15438.4805	14368.6279	19597.3711	NaN	14861.0723	13949.3691	NaN	NaN	14692.416	13727.5801	NaN	NaN	NaN	13574.6514	15796.9229	11517.6855	NaN	15056.6182	13908.6387	NaN	13968.2588	NaN	NaN	12660.7227	15266.7314
2.4016	16710.7266	14088.1416	14031.3721	NaN	NaN	12770.5371	NaN	NaN	13500.5645	NaN	NaN	NaN	NaN	NaN	18587.1836	12805.0547	18025.5918	NaN	NaN	16346.7686	NaN	13618.1621	16228.9092	NaN	NaN	12090.6699	12508.5977	NaN	16657.3086	10340.0225	13576.8896	NaN	14187.4443	NaN	16145.4004	15500.7969	16474.0078	11679.2529	NaN	NaN	NaN	18640.7441	15043.2207	NaN	NaN	16017.8291	NaN	11933.9385	15365.7734	NaN	16818.6309	16778.4258	14201.6709	21528.1465	NaN	15029.2559	13923.6738	NaN	NaN	14173.8477	13960.8809	NaN	NaN	NaN	14063.877	14540.2627	11698.0732	NaN	13414.1748	15376.0322	NaN	12766.9658	NaN	NaN	12246.4219	17070.8027
2.535	16774.2402	15360.8838	14539.3193	NaN	NaN	12758.7354	NaN	NaN	13765.2529	NaN	NaN	NaN	NaN	NaN	19121.4883	11876.749	15003.1963	NaN	NaN	17036.8164	NaN	11739.6074	13662.5186	NaN	NaN	NaN	11686.9043	NaN	16218.4473	NaN	11889.917	NaN	14711.3662	NaN	15972.1631	13234.9473	17015.9258	10945.041	NaN	NaN	NaN	19375.2598	15910.5771	NaN	NaN	16090.5693	NaN	10471.2158	16701.4629	NaN	14660.3877	15765.918	14314.5371	19969.8301	NaN	14210.4092	15350.1416	NaN	NaN	13446.8682	14395.7754	NaN	NaN	NaN	14883.7422	14648.04	11532.8057	NaN	NaN	15187.9834	NaN	NaN	NaN	NaN	11893.7021	16378.9131
2.6684	17305.3262	15440.8203	14369.2881	NaN	NaN	12671.4375	NaN	NaN	14108.7715	NaN	NaN	NaN	NaN	NaN	16712.4648	10755.5049	15719.2139	NaN	NaN	15695.2148	NaN	NaN	11516.7061	NaN	NaN	NaN	10730.2656	NaN	15230.792	NaN	11305.1348	NaN	14772.9473	NaN	15352.3887	11926.9434	17664.2891	NaN	NaN	NaN	NaN	23094.3066	16372.373	NaN	NaN	15402.3252	NaN	NaN	14830.9551	NaN	13023.8496	14980.8906	14357.376	16433.4395	NaN	13117.9326	16595.2422	NaN	NaN	12843.8115	14610.3389	NaN	NaN	NaN	14684.5762	NaN	11469.6729	NaN	NaN	12781.0498	NaN	NaN	NaN	NaN	12425.9639	14773.3994
2.8019	16345.5527	18438.7539	12620.5264	NaN	NaN	NaN	NaN	NaN	15146.8877	NaN	NaN	NaN	NaN	NaN	13012.6885	9947.1123	18351.5078	NaN	NaN	12091.1475	NaN	NaN	10202.8672	NaN	NaN	NaN	10447.6377	NaN	15509.3125	NaN	NaN	NaN	15343.251	NaN	14587.5146	NaN	17808.3145	NaN	NaN	NaN	NaN	24817.8984	16680.3555	NaN	NaN	15582.1514	NaN	NaN	12694.3389	NaN	11621.0508	14693.5615	14630.209	13788.8213	NaN	11481.2646	17538.332	NaN	NaN	NaN	14166.2061	NaN	NaN	NaN	14069.1553	NaN	12447.042	NaN	NaN	10791.085	NaN	NaN	NaN	NaN	12376.7129	13132.2627
2.9353	13612.376	18551.9238	10083.5557	NaN	NaN	NaN	NaN	NaN	14488.3799	NaN	NaN	NaN	NaN	NaN	12853.6934	9674.584	19189.2578	NaN	NaN	10223.9863	NaN	NaN	NaN	NaN	NaN	NaN	10030.6084	NaN	16794.5176	NaN	NaN	NaN	15769.1758	NaN	14176.6162	NaN	18605.8008	NaN	NaN	NaN	NaN	21960.1621	16323.7051	NaN	NaN	16166.5576	NaN	NaN	NaN	NaN	NaN	15566.9463	15293.5674	11750.3271	NaN	10200.1611	17351.6738	NaN	NaN	NaN	13670.4746	NaN	NaN	NaN	14506.7197	NaN	14875.9912	NaN	NaN	9494.9727	NaN	NaN	NaN	NaN	NaN	13571.2168
3.0687	11014.7627	15735.4316	9635.8721	NaN	NaN	NaN	NaN	NaN	15753.9121	NaN	NaN	NaN	NaN	NaN	12586.25	9895.8633	18103.2285	NaN	NaN	9825.1953	NaN	NaN	NaN	NaN	NaN	NaN	9930.541	NaN	15095.3145	NaN	NaN	NaN	15954.1797	NaN	14762.1689	NaN	20725.7773	NaN	NaN	NaN	NaN	16021.7148	15582.2314	NaN	NaN	17218.8809	NaN	NaN	NaN	NaN	NaN	16428.1309	14855.5811	NaN	NaN	9715.9199	15993.749	NaN	NaN	NaN	13454.5361	NaN	NaN	NaN	15409.7861	NaN	17035.207	NaN	NaN	8978.7686	NaN	NaN	NaN	NaN	NaN	NaN
