X	Y_20180212_14590b_10_2g	Y_20180212_14590b_10_5g	Y_20180212_14590b_12_6g	Y_20180212_14590b_13_2g	Y_20180212_14590b_16_2g	Y_20180212_14590b_16_4g	Y_20180212_14590b_17_1g	Y_20180212_14590b_1_4g	Y_20180212_14590b_1_9g	Y_20180212_14590b_20_3g	Y_20180212_14590b_22_2g	Y_20180212_14590b_26_6g	Y_20180212_14590b_28_2g	Y_20180212_14590b_28_3g	Y_20180212_14590b_29_3g	Y_20180212_14590b_2_5g	Y_20180212_14590b_30_5g	Y_20180212_14590b_33_2g	Y_20180212_14590b_34_1g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_4g	Y_20180212_14590b_3_3g	Y_20180212_14590b_3_4g	Y_20180212_14590b_40_2g	Y_20180212_14590b_44_4g	Y_20180212_14590b_44_6g	Y_20180212_14590b_47_1g	Y_20180212_14590b_47_7g	Y_20180212_14590b_48_12g	Y_20180212_14590b_48_4g	Y_20180212_14590b_5_6g	Y_20180212_14590b_7_6g	Y_20180212_14590b_9_7g
0	12501.335	11893.415	12439.051	13282	11421.674	13847.271	11754.832	14045.71	13263.991	13576.913	14589.188	17943.676	15656.057	12611.169	12817.679	17503.723	13824.715	14145.893	12095.093	13800.994	14057.221	14709.05	13028.285	13759.576	16053.501	12628.412	12433.849	14442.664	12996.186	15827.928	13215.505	15242.03	17060.752
0.1334	13200.212	13039.602	13321.68	14147.845	11811.882	13880.668	12758.036	15171.095	15972.598	14663.073	15174.482	19130.824	16605.891	14113.854	13095.691	18891.355	14358.657	14025.514	11612.929	14941.636	15225.627	15315.662	16728.141	13961.818	16834.496	13103.265	13844.308	17096.576	13097.272	15500.709	13895.032	19119.295	17440.637
0.2668	14496.009	14839.3	16022.031	16530.352	12557.911	15292.577	13287.547	18127.449	20394.127	15904.816	16317.486	20781.887	18960.402	15758.84	14057.28	20742.492	14801.404	15407.617	12624.641	16125.209	17909.592	17530.842	18990.352	14508.083	20068.719	15196.377	18408.221	19864.803	16150.672	17323.725	14964.016	22067.469	19392.533
0.4003	15110.774	17203.42	20430.688	17296.951	15152.697	17399.156	14446.862	20033.6	22210.436	19145.766	17730.822	22173.744	18094.84	18064.959	14830.174	23893.639	15013.083	17756.617	13458.438	17357.979	20033.941	20157.746	18002.359	15411.367	21856.58	18398.57	22716.754	18339.926	19192.125	19436.496	17710.479	24362.365	22008.291
0.5337	18107.072	19842.977	27768.98	16655.607	16799.691	17685.508	16698.92	17707.148	22656.182	19915.338	17216.268	22051.764	18121.059	17975.053	17789.363	25397.541	15636.817	18587.225	15610.467	17278.168	20155.012	19270.479	17489.311	17165.711	21981.537	20362.697	21731.115	18974.416	21899.461	20737.877	18517.332	24787.789	20294.545
0.6671	16413.26	18053.334	29628.445	15912.196	15700.384	17299.633	17221.402	18563.867	20398.203	20491.914	17609.297	20165.789	19196.432	17486.869	18891.25	24901.705	18001.363	18752.432	18621.26	16777.475	19143.766	18739.924	18754.424	17053.686	21160.92	19713.381	21254.691	19570.84	20176.805	20510.09	17919.184	23709.082	18705.41
0.8005	14807.794	16643.684	26210.742	15145.186	15607.891	16518.338	16490.514	18989.613	20709.863	18491.055	18516.557	19232.033	21441.926	17177.953	18630.354	24757.223	19384.012	17064.883	21964.211	17561.189	17965.619	18559.734	18459.223	17256.109	18756.039	18906.572	23395.871	20917.639	17905.938	19607.98	16088.137	27528.477	18300.514
0.934	15803.748	17045.879	23205.898	14824.8	15799.425	15979.847	17269.445	18745.004	19591.912	17851.084	18494.107	19186.029	24216.99	16723.584	17019.564	23755.939	19799.625	16365.889	20694.318	19202.301	17736.145	18235.957	18273.109	16930.934	17622.014	19067.092	23177.652	24922.24	17216.178	19797.387	15848.104	30270.988	19070.088
1.0674	15814.803	17024.5	21309.77	14297.636	14708.492	16729.582	16885.273	18482.693	19618.195	18141.566	18557.439	18626.158	28425.236	17030.098	16664.885	24123.705	18417.791	17026.826	18560.123	19549.424	18462.67	21441.352	17282.75	17171.512	17116.133	18245.697	23082.344	29412.777	16442.631	20618.115	15993.981	30399.789	19514.385
1.2008	16382.986	16140.354	22475.953	14123.655	14345.269	18521.588	17265.959	18772.492	18907.287	18744.516	21038.52	17113.926	32598.025	15914.582	18618.895	25520.098	17810.426	19233.129	17600.951	21731.635	20035.113	25748.889	19347.223	17129.668	16355.902	18676.551	19157.154	28075.244	17044.404	22935.711	16818.283	27822.969	20220.707
1.3342	15958.077	15869.713	22905.525	13529.14	14424.08	21309.332	18321.252	18015.428	19378.25	19680.256	25056.334	16202.669	NaN	15288.926	20906.279	27727.875	18200.898	23927.426	19103.15	29522.527	21920.227	29369.037	20103.6	16361.482	16023.156	18911.135	17081.191	24021.42	17589.607	29854.977	19364.891	22932.58	21568.422
