X	Y_20180224_15102_10_11_s_g	Y_20180224_15102_10_1g	Y_20180224_15102_10_2g	Y_20180224_15102_10_4g	Y_20180224_15102_10_5g	Y_20180224_15102_10_6g	Y_20180224_15102_11_11g	Y_20180224_15102_11_1_s_g	Y_20180224_15102_11_3g	Y_20180224_15102_11_6g	Y_20180224_15102_11_8g	Y_20180224_15102_11_9g	Y_20180224_15102_12_10g	Y_20180224_15102_12_11g	Y_20180224_15102_12_12g	Y_20180224_15102_12_16g	Y_20180224_15102_12_1g	Y_20180224_15102_12_2g	Y_20180224_15102_12_5g	Y_20180224_15102_12_6g	Y_20180224_15102_12_7g	Y_20180224_15102_13_14g	Y_20180224_15102_13_1g	Y_20180224_15102_13_3g	Y_20180224_15102_13_5g	Y_20180224_15102_13_6g	Y_20180224_15102_13_7g	Y_20180224_15102_13_8g	Y_20180224_15102_14_1g	Y_20180224_15102_14_2g	Y_20180224_15102_14_3g	Y_20180224_15102_14_4g	Y_20180224_15102_14_6g	Y_20180224_15102_14_7_s_g	Y_20180224_15102_15_11g	Y_20180224_15102_15_12g	Y_20180224_15102_15_13g	Y_20180224_15102_15_14g	Y_20180224_15102_15_15g	Y_20180224_15102_15_2_S_g	Y_20180224_15102_15_4g	Y_20180224_15102_15_5g	Y_20180224_15102_15_6g	Y_20180224_15102_15_7g	Y_20180224_15102_15_8_S_g	Y_20180224_15102_15_9g	Y_20180224_15102_16_1g	Y_20180224_15102_16_3g	Y_20180224_15102_16_4g	Y_20180224_15102_16_5g	Y_20180224_15102_16_6g	Y_20180224_15102_16_7g	Y_20180224_15102_16_8g	Y_20180224_15102_17_6g	Y_20180224_15102_18_4g	Y_20180224_15102_18_6g	Y_20180224_15102_19_1g	Y_20180224_15102_19_2g	Y_20180224_15102_19_3g	Y_20180224_15102_19_4g	Y_20180224_15102_19_5g	Y_20180224_15102_19_6g	Y_20180224_15102_19_7g	Y_20180224_15102_19_8g	Y_20180224_15102_19_9g	Y_20180224_15102_1_1g	Y_20180224_15102_1_2g	Y_20180224_15102_1_3_s_g	Y_20180224_15102_1_4g	Y_20180224_15102_20_10g	Y_20180224_15102_20_12g	Y_20180224_15102_20_3g	Y_20180224_15102_20_4_S_g	Y_20180224_15102_20_5g	Y_20180224_15102_20_6g	Y_20180224_15102_20_8g	Y_20180224_15102_21_3g	Y_20180224_15102_21_4g	Y_20180224_15102_21_5g	Y_20180224_15102_21_8g	Y_20180224_15102_22_1g	Y_20180224_15102_22_2g	Y_20180224_15102_22_3g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_22_5g	Y_20180224_15102_23_1g	Y_20180224_15102_23_4g	Y_20180224_15102_23_5g	Y_20180224_15102_23_6g	Y_20180224_15102_23_7g	Y_20180224_15102_23_9g	Y_20180224_15102_24_1g	Y_20180224_15102_24_3g	Y_20180224_15102_24_4g	Y_20180224_15102_24_5g	Y_20180224_15102_24_6g	Y_20180224_15102_25_10g	Y_20180224_15102_25_11g	Y_20180224_15102_25_12g	Y_20180224_15102_25_13g	Y_20180224_15102_25_14g	Y_20180224_15102_25_15g	Y_20180224_15102_25_3g	Y_20180224_15102_25_4g	Y_20180224_15102_25_7g	Y_20180224_15102_25_8g	Y_20180224_15102_25_9g	Y_20180224_15102_26_10g	Y_20180224_15102_26_2g	Y_20180224_15102_26_3g	Y_20180224_15102_26_5g	Y_20180224_15102_26_6g	Y_20180224_15102_26_7g	Y_20180224_15102_27_10g	Y_20180224_15102_27_11g	Y_20180224_15102_27_12g	Y_20180224_15102_27_1g	Y_20180224_15102_27_3g	Y_20180224_15102_27_6g	Y_20180224_15102_27_9g	Y_20180224_15102_28_11_S_g	Y_20180224_15102_28_12g	Y_20180224_15102_28_13g	Y_20180224_15102_28_14g	Y_20180224_15102_28_15g	Y_20180224_15102_28_5g	Y_20180224_15102_28_6g	Y_20180224_15102_28_7g	Y_20180224_15102_28_8g	Y_20180224_15102_29_1g	Y_20180224_15102_29_5g	Y_20180224_15102_2_2g	Y_20180224_15102_2_3g	Y_20180224_15102_2_4g	Y_20180224_15102_2_5_s_g	Y_20180224_15102_2_6g	Y_20180224_15102_2_7g	Y_20180224_15102_3_1g	Y_20180224_15102_3_3g	Y_20180224_15102_3_4g	Y_20180224_15102_3_5g	Y_20180224_15102_3_6g	Y_20180224_15102_4_10g	Y_20180224_15102_4_11g	Y_20180224_15102_4_1g	Y_20180224_15102_4_3g	Y_20180224_15102_4_5g	Y_20180224_15102_4_7g	Y_20180224_15102_4_8g	Y_20180224_15102_4_9_s_g	Y_20180224_15102_5_1g	Y_20180224_15102_5_2g	Y_20180224_15102_5_3g	Y_20180224_15102_5_5g	Y_20180224_15102_6_1g	Y_20180224_15102_6_2g	Y_20180224_15102_6_5g	Y_20180224_15102_6_6g	Y_20180224_15102_6_7g	Y_20180224_15102_7_1g	Y_20180224_15102_7_2g	Y_20180224_15102_7_3_s_g	Y_20180224_15102_7_4g	Y_20180224_15102_7_5g	Y_20180224_15102_7_6g	Y_20180224_15102_7_8g	Y_20180224_15102_8_10g	Y_20180224_15102_8_1g	Y_20180224_15102_8_2g	Y_20180224_15102_8_3g	Y_20180224_15102_8_5g	Y_20180224_15102_8_6_s_g	Y_20180224_15102_8_7g	Y_20180224_15102_8_8g	Y_20180224_15102_9_2g	Y_20180224_15102_9_3g	Y_20180224_15102_9_4g	Y_20180224_15102_9_5g	Y_20180224_15102_9_6_s_g	Y_20180224_15102_9_7g
0	13004.73	12763.939	13103.472	19156.363	13265.404	16355.126	15358.183	13080.528	11800.711	15593.516	14366.925	12553.091	13045.184	13977.458	12502.217	13266.377	12600.312	12124.438	15412.645	12658.822	15331.705	12751.135	15004.812	16098.475	15624.113	14644.962	15639.617	13902.225	13838.077	14166.955	23122.832	13564.671	18814.205	13571.373	15680.717	14869.142	15478.923	12410.941	14344.583	13285.034	13448.348	15479.74	13873.448	14035.932	15723.097	13085.619	12381.284	14550.993	13931.752	15707.86	14316.466	12847.134	13453.57	12548.723	12541.649	13901.968	14179.598	17025.49	15323.636	11929.896	15470.468	12828.395	16944.143	17721.447	14913.225	13888.533	14225.845	13194.324	13762.87	13560.71	14688.953	14799.048	12912.416	14436.408	13083.694	15963.272	14608.627	13584.722	12758.52	14235.473	16594.514	15429.186	16901.477	14719.169	13023.719	14948.855	13709.3	14712.126	12790.079	12721.597	12491.906	13920.911	12809.858	14262.689	11354.395	13163.636	12512.2	14051.453	16783.012	16486.594	12484.698	13307.971	12811.2	16307.69	11596.121	15912.884	13572.865	13816.753	12548.098	13078.114	12372.418	13742.51	13091.377	14252.559	14009.677	14143.183	13151.463	12639.715	12007.658	14058.086	13252.273	14626.017	16918.975	15028.468	15636.344	15899.979	13318.993	13849.269	14023.619	13933.407	12776.606	14322.764	12377.773	12699.015	12507.172	19643.418	15194.996	15667.52	13358.23	12842.313	12375.803	13299.075	12948.308	12471.049	16129.374	12677.084	14213.963	12854.637	13579.875	15110.951	18796.559	18326.449	14182.527	13119.413	13941.22	12711.158	13504.354	16039.25	13654.754	14076.123	12702.497	12926.507	18550.852	13691.476	14165.751	20840.73	13830.279	10812.687	18941.09	17469.506	11620.177	12966.981	16208.968	15918.085	15422.441	14049.112	16179.882	15045.634	13514.629	12761.417
0.1334	14885.87	13512.704	13787.829	23942.781	14904.613	20113.814	15927.762	12980.963	12541.837	18984.684	18100.936	13486.386	15086.302	16615.09	13350.605	13774.383	14032.759	14169.291	18163.738	14010.006	18712.625	13760.472	16414.957	18292.309	15076.475	15700.394	15831.901	14918.933	15898.52	15282.061	25377.416	16090.009	21448.85	14408.613	18179.188	13821.019	17550.312	13101.817	15331.213	14141.689	15172.686	18676.66	17364.428	16334.946	16827.955	14444.58	14574.937	17535.514	15616.46	21428.641	16391.852	14431.91	15534.266	14813.159	13823.648	14368.591	17882.221	17297.971	15575.667	12994.604	18333.322	13280.473	18495.455	17736.938	16930.346	14672.009	15370.258	16578.904	15359.103	15673.911	15113.454	14868.106	13946.053	16819.691	14620.394	16063.961	15727.756	14430.881	13410.283	16570.98	16932.354	16799.406	16968.145	15589.59	13799.742	16698.744	14130.475	17400.736	16469.295	14784.669	13876.567	15119.009	14677.441	15605.85	12037.929	14420.96	13794.278	15648.117	23319.912	19307.066	14414.212	14058.566	15938.848	20507.348	11794.54	15453.032	14539.2	15763.615	13051.334	13743.378	13203.878	15057.969	15031.062	15796.591	15225.061	14124.627	13250.107	13697.552	13205.344	14554.66	14883.521	15484.061	19701.887	15727.469	17141.141	15859.445	15205.346	16656.484	15759.024	15392.873	13472.654	16467.266	14037.014	13920.758	14730.189	23994.166	15977.413	15945.896	15031.426	13086.549	12661.619	13635.892	13653.415	13228.263	17086.234	14070.906	15042.164	14463.599	15810.976	16802.008	20104.438	19864.43	15283.091	13812.586	14450.751	14864.7	14611.136	17766.707	14617.389	14205.007	13494.989	13046.274	19238.102	15662.69	14156.796	29041.869	14706.087	11917.501	18839.961	18087.938	12606.833	12165.196	18048.781	16577.885	16942.391	14431.261	20568.635	19735.648	14889.581	13543.587
0.2668	17863.076	14222.405	16417.41	30763.604	17862.828	28314.262	19187.174	13528.863	14480.646	24264.549	24600.875	15648.134	18713.533	23019.678	14812.858	15164.54	18921.521	17800.018	26024.08	16024.488	28363.422	16156.39	20163	21412.975	16456.93	18642.379	18302.887	18178.689	19589.986	20938.871	27821.738	19717.77	29264.348	15283.169	23598.607	16306.594	21764.643	14064.76	19570.09	17443.418	16387.568	25542.453	21158.498	18615.783	19394.369	17320.01	17320.117	25250.189	22107.105	30496.307	19423.508	18175.725	19051.586	18121.211	17032.043	18038.859	24014.975	21632.805	16989.656	14377.455	22743.893	17177.08	20293.455	20458.697	20258.324	17653.172	17941.287	21939.99	20310.74	22077.973	17900.436	16580.107	15255.028	23038.822	19505.48	18935.086	18076.408	17400.488	17019.967	22008.76	17989.053	19201.301	19288.006	17830.488	16647.824	22473.758	16235.014	18982.916	22211.988	16662.23	16099.241	20187.945	19364.176	18394.016	14406.437	19303.891	15346.524	19939.445	33180.312	25947.043	17727.885	15714.065	22905.656	29225.611	13257.534	15401.194	16363.283	17826.311	16759.057	15579.43	16485.227	17592.42	19020.604	19240.283	17753.461	15524.386	15827.409	17063.473	15321.071	17389.416	17978.777	17031.461	24646.58	18784.756	23010.613	17242.406	18523.865	19860.787	18295.164	18276.838	15387.933	19198.762	17955.811	18795.746	18648.814	34885.738	18612.715	18373.027	20831.342	15887.624	13598.31	16067.934	17687.852	15577.178	21950.732	16572.844	15526.326	17277.209	19127.076	19004.221	26976.25	24351.162	17850.139	15010.951	17265.57	17972.732	14847.478	18715.068	16629.02	15773.42	15888.231	15794.221	22271.701	17832.195	15810.235	31945.58	18174.902	13121.228	20452.551	19246.768	14517.112	12383.645	19022.1	19061.984	20637.031	16234.584	24468.863	28965.393	19051.141	14052.355
0.4003	28622.398	19600.396	22349.299	31722.1	23058.979	39220.73	25249.543	15754.651	18680.084	28106.973	30569.449	20394.043	22586.693	38947.664	18730.859	17510.947	23458.379	21410.67	29849.682	21748.445	42201.18	23144.463	26177.156	28654.736	19697.795	23480.479	20892.951	23237.021	22909.709	27091.799	25851.477	26260.809	34326.895	18739.09	28551.18	19472.516	28991.848	16705.084	25371.354	24994.861	17113.334	32015.154	24314.527	19672.561	25302.643	23638.955	20514.109	36626.27	32234.027	35146.91	22646.592	19911.176	21235.303	26976.709	23521.971	27825.535	27814.26	27619.668	18732.369	16293.066	28234.395	23471.172	26026.699	23806.99	21319.762	20827.648	21153.289	27808.006	25593.865	36894.223	22291.357	20380.736	20024.438	27631.35	29305.66	24494.58	21350.08	19870.469	22992.643	25446.104	17365.488	21077.209	22179.17	22392.494	21486.451	33113.867	22993.986	18982.738	29107.223	20130.82	17414.82	27950.504	27837.48	25519.883	18695.928	27505.348	17614.865	27117.482	40334.039	33187.812	23099.664	19974.377	27188.924	35086.785	15993.793	16589.523	20208.277	19134.48	23532.611	23154.244	21565.15	25382.389	25784.07	27153.176	20049.922	16562.791	16285.1	22881.627	18225.281	22421.963	26348.721	21092.09	28798.568	24757.84	29601.666	21745.314	23138.641	23659.559	23159.096	19408.809	19327.123	24457.445	26268.02	23070.42	20920.531	50057.969	23515.678	19352.289	23914.654	18244.855	15249.92	20781.854	20894.414	19247.146	30923.154	22174.074	20892.299	20408.211	26445.814	23014.555	34006.918	28688.379	21715.758	17229.59	22289.992	22297.756	16280.766	19830.473	19374.83	18493.529	17598.045	20016.688	22184.252	22353.475	20616.988	26920.975	23994.598	15852.113	22372.211	21356.715	16739	15083.014	20184.328	22712.941	25834.639	18328.201	24504.309	38497.637	24889.271	16457.594
0.5337	46134.562	25674.127	30306.373	28495.242	25343.77	44413.07	27214.895	19533.629	27655.223	31346.072	29394.629	22883.033	23226.75	46124.012	19434.096	18862.52	24338.473	20918.949	27645.273	30440.221	47339.254	34862.531	35296.543	31391.328	22425.559	23929.498	22627.15	22806.891	22438.18	26983.238	23872.783	30795.234	30561.246	22751.039	27463.619	19180.057	33236.176	20059.477	30454.842	36503.141	16978.42	36662.141	23964.982	17544.67	33568.41	25303.947	21802.547	41260.367	34302.973	32958.121	20680.076	19100.211	18475.023	32682.697	27568.236	38121.082	26620.246	34042.879	19522.535	17441.502	29136.355	23229.91	26569.801	22461.586	20429.17	19832.102	25035.613	27577.574	24362.463	59876.82	25057.434	22242.58	23404.92	26748.914	33758.598	33841.5	22363.057	20468.566	27077.055	24819.078	17030.871	25146.361	21271.65	25707.25	26664.986	39528.887	30966.061	19384.965	28161.516	20567.598	17234.543	28557.951	31539.219	35680.008	25569.725	32810.641	16923.256	32099.176	36860.703	32377.023	23919.271	23473.93	27441.326	29940.816	18294.518	17401.617	21033.85	18274.367	25585.518	29285.232	25270.572	33754.93	27963.537	33902.527	19938.197	17002.098	16921.35	28159.938	19105.572	29211.721	31603.766	21367.332	27086.195	31049.92	29687.473	24479.406	25803.23	23502.633	36452.164	19340.824	22987.352	23942.748	30936.963	22918.049	21093.963	55753.633	33325.895	21344.18	24705.285	21240.748	17808.639	27146.729	22776.66	19864.688	35574.371	24918.877	32738.484	21770.391	33974.504	27129.049	35471.988	27253.234	23938.711	20117.951	22878.945	24670.686	18834.947	21440.305	19287.877	21567.998	18697.803	22393.191	21255.832	27078.463	26179.193	21958.406	26823.916	19256.307	22779.074	24482.033	21238.258	20269.346	21086.484	21316.639	29368.117	19449.98	23077.521	36636.129	26336.023	17810.605
0.6671	57528.27	29661.371	35735.344	23550.693	22089.383	37522.664	24798.689	20756.857	38846.277	31515.43	27431.424	21296.334	21116.168	42759.547	19519.141	19486.477	23461.906	20036.459	26252.178	34249.828	43096.492	38886.566	39087.516	27567.867	20728.881	22420.389	19850.42	20848.842	20603.869	23932.547	21828.596	32588.969	25781.393	24877.641	23143.549	17221.557	31729.119	19546.502	26576.561	38200.484	15961.22	35485.266	22191.393	16393.84	36943.617	24292.818	19626.939	36837.379	32198.781	28963.076	19418.211	19002.904	19010.359	30567.039	26376.143	39310.84	23097.805	31561.98	17705.742	16448.602	24542.891	20387.973	25628.125	19660.549	20590.633	18795.688	24584.67	24744.66	21147.098	60963.324	22237.936	20172.736	23028.48	25303.254	29132.812	37116.871	19722.6	18769.861	23855.188	21534.824	16554.496	28693.75	19531.729	24865.889	27865.535	39658.645	35805.898	20049.174	25302.469	20880.566	15372.273	25935.471	28114.088	40111.156	26101.914	29608.516	15499.38	31495.037	33723.293	25954.715	22611.629	23813.793	23779.086	22502.164	17575.064	17935.342	19371.881	16831.863	24805.613	31546.408	24685.277	37070.91	24257.555	33180.941	18550.281	15219.066	15919.194	29553.92	17697.98	29075.727	28948.645	18984.961	23126.447	32328.334	26201.334	24077.254	24790.404	21719.248	58430.809	17340.479	23916.586	20479.371	29152.676	19854.158	19661.891	45843.566	43158.023	21725.732	23754.613	17766.795	21489.154	29553.756	20132.844	17817.322	30634.838	22893.697	41129.875	18642.283	32023.848	26390.697	30696.023	22982.627	23384.697	20305.062	19507.086	24314.166	20099.016	21838.494	19972.748	23601.248	16659.27	21078.141	21519.652	27928.428	27875.082	20384.883	23744.344	20717.311	22419.459	23216.453	26220.023	21768.699	19493.754	20255.549	26715.186	18879.1	21804.416	31528.721	23211.455	17095.174
0.8005	50006.762	27168.389	36601.797	21526.654	20541.092	33114.375	22272.994	19284.482	40947.703	33052.875	25815.598	20233.602	20610.891	33595.262	18238.174	18060.49	20118.689	19730.271	26510.777	26880.98	38220.824	31340.09	33131.586	24799.135	18972.656	21368.281	18500.619	18856.314	20402.844	22630.176	22195.215	29515.27	23620.979	23073.262	21428.725	16097.893	26027.459	17515.734	24865.424	32731.861	15425.046	30300.98	20845.043	16767.299	32901.324	21307.734	17368.537	29472	28214.248	26395.693	17766.818	18520.5	18373.367	24217.541	22792.98	34042.742	21781.982	28843.877	17933.6	15658.092	22328.496	18309.621	22654.893	17422.637	20912.66	17890.637	21614.244	24173.656	19615.766	44428.52	20121.906	18309.742	20383.598	23528.541	24292.57	30599.621	17781.932	16716.045	20401.768	21136.947	16202.564	31216.756	18151.041	23616.014	24281.611	33601.086	32417.029	19976.131	22376.342	19853.281	14450.212	21901.307	25301.289	34783.086	21708.146	25378.406	15819.372	28731.24	30015.314	20415.055	21407.574	22937.785	19831.447	19216.158	16161.531	17861.262	18028.432	15378.309	23749.037	25273.812	21980.967	38996.688	20466.137	28976.717	16589.016	15196.049	14524.014	28326.199	16370.179	24137.971	25729.188	17888.93	20473.199	26995.986	23317.461	22970.945	22671.701	22085.586	70075.43	16979.895	23849.008	18802.125	23879.082	18866.098	18918.049	32218.959	43195.367	21151.355	23407.057	17279.316	21621.48	25821.463	19142.393	16708.553	22610.986	21557.668	35394.988	17056.602	28113.025	22630.875	25551.184	20427.787	21953.775	18080.893	19321.65	22396.537	19508.166	19965.887	20345.076	21523.805	15832.114	18736.258	20263.59	23615.479	26141.564	22114.578	21453.051	20243.791	22123.971	24919.229	24741.416	19445.621	19583.293	20276.982	21649.375	17643.346	21638.691	25489.779	21733.211	16155.39
0.934	39906.402	23486.326	36296.395	20549.723	18401.34	30261.547	21354.924	18419.045	34050.5	37797.914	26531.934	18744.672	21564.848	27954.186	17953.924	17934.486	18552.262	17242.531	26084.238	19630.605	31477.424	25031.543	28312.018	22769.516	18766.848	20350.598	17477.512	18463.211	18497.105	21529.625	21688.385	27043.02	22144.141	20308.527	19920.906	15955.027	22710.176	18246.137	21287.281	30557.934	14701.652	27342.77	21007.375	16944.824	28246.527	20011.459	17421.699	26050.102	26205.521	24130.387	17408.594	19186.809	17258.666	22108.834	21520.912	28761.582	20907.699	26504.322	17070.074	15061.431	20587.848	17078.186	21184.553	17469.752	20062.301	17428.562	19826.695	22798.049	17843.682	33678.441	19179.949	16976.896	19406.148	23576.711	24325.229	25850.893	19275.982	16200.597	19657.676	20641.504	16045.706	31053.928	18037.986	23339.867	21637.328	25145.924	29551.061	18695.688	20528.848	19649.258	13882.455	19859.695	24197.307	30349.488	21312.311	21863.439	15287.322	24617.643	25194.799	17569.195	19907.975	22810.145	17875.691	17185.32	14352.901	17843.176	17673.445	15117.561	21302.09	20013.658	19325.621	36684.129	18728.277	25033.133	15988.122	14781.038	15604.918	23512.156	15849.254	22766.182	24237.412	18069.135	19720.531	24618.117	21641.289	20931.869	21190.869	21529.479	55204.48	17951.947	24652.285	19525.742	21526.293	18873.969	19131.729	26416.633	36430.285	19505.389	22279.682	17808.666	19039.836	22599.611	17446.518	18288.311	20465.355	19980.098	28579.939	15424.553	23926.988	20252.518	23674.439	20864.607	20146.416	16587.656	19390.119	21431.961	19908.049	19740.414	20208.203	19196.852	15072.138	17307.52	18828.777	21949.953	24236.266	21230.133	19798.404	19606.082	22375.32	26263.172	21730.695	16531.455	20013.734	19942.793	20459.871	16936.93	20523.707	22560.496	21530.367	16538.648
1.0674	39003.328	21314.066	36642.055	19986.168	18063.553	28137.643	21463.416	17587.09	26935.18	37421.68	24250.365	18029.463	22090.236	22897.336	17746.111	17223.688	18769.457	16237.274	23596.408	16899.299	27782.764	23329.217	26825.805	20515.986	18198.252	19685.988	16661.615	20098.502	18195.066	19892.367	21870.846	25735.861	21713.777	19213.75	19278.268	16118.854	21265.309	17733.928	20331.896	29673.223	14615.07	27801.477	21858.668	16103.007	24543.969	18207.35	17150.928	24857.713	24521.791	21960.754	17160.117	19701.984	17795.641	20985.086	21005.152	28521.59	20377.066	22188.324	15634.712	15164.479	19422.641	17823.334	20021.857	17049.43	19207.844	17235.027	18975.594	21406.973	16839.799	28931.762	17709.426	17053.961	18645.055	22354.959	22912.436	22916.986	20428.088	15643.206	20507.803	20284.236	16090.854	29283.596	18378.004	23109.322	18482.729	21936.479	30141.354	17424.672	19877.117	20783.033	14345.245	18697.904	26015.385	28285.811	20382.824	20420.438	15067.006	23784.781	23032.266	16066.528	19380.07	21670.641	18115.422	16864.359	14914.515	19261.676	17486.232	15809.6	19655.1	17209.098	19500.838	32253.17	18772.27	22168.676	15725.253	14996.603	16757.201	22537.488	15054.522	21430.846	23656.715	17129.105	18602.045	23182.178	21918.562	19772.914	20013.162	19660.525	46111.855	18070.545	25089.367	18025.656	20474.855	18144.484	18058.283	24258.961	32576.666	18689.357	20413.486	17599.996	17063.734	21287.57	17207.371	20505.033	19548.566	19079.91	24190.125	16751.322	22679.711	19174.506	22538.377	19914.787	18057.518	15700.414	19300.221	20286.344	20083.484	18404.209	19460.336	17163.555	15626.866	18875.248	17664.359	20900.389	24443.732	19562.229	19955.084	18429.699	19963.936	25092.871	19641.34	16119.415	19039.771	18926.68	18007.041	16746.895	20037.404	21133.51	20260.904	17048.662
1.2008	47079.98	21200.48	32974.07	19656.648	18128.031	24539.857	20262.02	17027.18	26135.492	35863.324	25448.961	17672.771	21442.562	19003.107	17547.754	16428.393	20521.465	16259.905	23610.516	14759.334	28367.24	23759.637	27560.768	18734.824	18397.975	19198.545	16785.094	20429.672	18852.734	19731.543	22298.672	24245.305	20687.42	19169.844	18534.592	16780.232	20223.592	16398.965	20766.768	28250.623	14193.587	28701.359	21526.318	16814.24	22694.447	17447.445	17985.086	23876.971	24241.633	20820.926	16738.887	20122.711	16971.365	19704.074	20256.121	26761.75	19509.738	20789.297	16068.229	14771.539	17801.326	18316.361	19456.709	17784.818	20069.119	17427.77	18213.721	20219.785	15879.87	25529.002	15334.38	19579.275	16347.53	22112.311	22346.076	20611.672	21771.918	14882.049	20256.545	21147.107	17897.74	27735.59	18461.045	23045.037	19402.295	18898.217	30129.463	16843.674	19816.895	20437.871	14740.272	18889.988	27044.592	29190.783	18676.914	18711.07	14936.604	22346.471	23214.918	14900.964	19096.949	20849.432	19206.418	16686.275	15807.89	19157.234	17988.369	15554.216	17060.234	17610.533	19324.391	31719.543	18891.689	21370.281	15305.679	14480.46	17841.17	21254.814	14970.433	23289.98	24581.9	16438.432	17952.797	22894.416	20179.273	20033.076	20465.234	18207.914	41841.773	17725.508	25822.365	18995.514	19712.994	17984.311	18151.184	22443.018	30794.768	18518.035	19964.406	16599.457	16866.195	20849.963	18842.227	22131.217	19380.934	18042.217	22180.332	16826.473	20781.395	19320.312	22084.969	18758.047	17604.822	16187.924	18768.59	20918.125	20112.453	17362.1	19917.934	17885.084	15590.423	18798.119	17236.432	20731.289	23071.137	18519	18879.443	19967.746	20858.75	25402.146	19431.562	16868.414	18242.176	18679.219	17890.717	17177.307	21510.617	20195.172	18829.037	15962.068
