X	Y_20181208_15693b_1_11g	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_5g	Y_20181208_15693b_1_6g	Y_20181208_15693b_1_8g	Y_20181208_15693b_10_12g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_15g	Y_20181208_15693b_10_1g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_3g	Y_20181208_15693b_10_4g	Y_20181208_15693b_10_5g	Y_20181208_15693b_10_7g	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_11g	Y_20181208_15693b_11_12g	Y_20181208_15693b_11_13g	Y_20181208_15693b_11_15g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_1g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_6g	Y_20181208_15693b_11_8g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_10g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_13g	Y_20181208_15693b_12_14g	Y_20181208_15693b_12_1g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_12g	Y_20181208_15693b_13_13g	Y_20181208_15693b_13_16g	Y_20181208_15693b_13_17g	Y_20181208_15693b_13_19g	Y_20181208_15693b_13_2g	Y_20181208_15693b_13_7g	Y_20181208_15693b_13_8g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_12g	Y_20181208_15693b_2_13g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_16g	Y_20181208_15693b_2_2g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_7g	Y_20181208_15693b_2_8g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_19g	Y_20181208_15693b_3_1g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_4g	Y_20181208_15693b_3_5g	Y_20181208_15693b_3_6g	Y_20181208_15693b_3_7g	Y_20181208_15693b_3_8g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_14g	Y_20181208_15693b_4_17g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_4_5g	Y_20181208_15693b_4_7g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_11g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_15g	Y_20181208_15693b_5_17g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_19g	Y_20181208_15693b_5_1g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_5_7g	Y_20181208_15693b_5_9g	Y_20181208_15693b_6_11g	Y_20181208_15693b_6_12g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_17g	Y_20181208_15693b_6_4g	Y_20181208_15693b_6_6g	Y_20181208_15693b_6_7g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_14g	Y_20181208_15693b_7_15g	Y_20181208_15693b_7_17g	Y_20181208_15693b_7_1g	Y_20181208_15693b_7_3g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_7_7g	Y_20181208_15693b_7_8g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_13g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_17g	Y_20181208_15693b_8_19g	Y_20181208_15693b_8_21g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_3g	Y_20181208_15693b_8_4g	Y_20181208_15693b_8_5g	Y_20181208_15693b_8_6g	Y_20181208_15693b_8_8g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_14g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_2g	Y_20181208_15693b_9_3g	Y_20181208_15693b_9_4g	Y_20181208_15693b_9_5g	Y_20181208_15693b_9_8g
0	12657.9795	13494.8359	11515.4824	11873.1709	12060.0137	10813.9395	11147.2734	11299.2822	11648.6133	11352.7324	12934.2266	12514.7598	12176.2285	11706.1699	10520.1992	13473.2256	12323.8525	11658.876	11353.9258	11595.7012	11419.7988	12781.6455	10851.3447	12215.0625	10944.3574	13203.3662	11249.1211	11522.7959	11764.0605	9707.1973	12131.0527	11465.2998	11546.6807	11863.1611	12755.7305	10650.5977	12530.6699	12375.0469	13796.1504	12207.2227	12181.415	12246.3193	9982.835	14091.083	12873.9912	13045.4004	11454.5918	12539	12113.2568	9729.9463	10818.1865	10665.5488	12147.3691	13531.3457	11182.5029	12554.3633	12231.0449	12448.8945	13389.8018	11111.7617	11411.4561	11864.4561	12972.5684	11258.5205	10565.6543	12252.4932	12571.5996	12236.2402	12769.9775	12130.0254	11431.0605	12425.9053	12088.3555	10731.2041	13224.5342	13861.1963	11920	12883.1084	11801.5977	11592.6611	12001.6621	11658.1523	12733.5986	10917.0293	12506.2676	11947.1719	12881.708	13433.5	11537.7393	10974.4023	11770.124	11326.4736	11289.5869	11906.291	13172.0576	13167.8398	10907.5576	11474.5801	12096.3525	11547.9785	12919.9541	12233.2842	13366.502	12798.2002	10976.0703	11160.8311	10586.8076	11567.209	8897.8613	10797.5205	10023.8145	10448.7383	12203.7168	12201.5273	11162.0439	11997.7217	12232.5195	10159.2861	11570.8477	14192.8018	10747.4727	11656.4502	12120.166	13740.4336	11557.3145
0.1334	12245.4639	13386.2363	11562.1553	12491.5742	12365.9492	11565.6582	11438.0322	12460.7646	12141.0566	11736.9434	12440.1924	12341.8779	12187.7715	12012.6172	10341.8789	13481.4521	12573.4258	12772.2207	12029.0225	12872.2295	11222.7451	13330.4414	11497.209	11646.8623	10850.4922	12406.0156	11135.7822	10892.9043	11709.7637	10716.2764	12154.0762	11753.4229	11267.6963	12497.7344	12530.2285	11374.2959	12094.9014	12245.4307	13559.9795	11922.6904	11322.5684	12623.1445	9614.752	14081.7725	12577.8848	12955.2051	12114.1699	12708.3311	12445.9014	10163.9717	11517.3691	12012.249	11958.8867	12690.2051	11137.0771	12783.5732	12037.3604	12241.5596	12428.5449	10850.4551	11970.541	12171.9219	12939.7793	11667.0107	10271.2588	13271.6465	12526.5664	11511.2246	12864.2227	12367.8496	11786.6807	12218.1602	12019.6357	10404.3291	12778.7852	12748.0723	11143.1543	13062.915	11803.5439	11677.7686	11717.2783	11296.0068	12460.0723	10387.3984	11859.2354	12265.6602	12111.1348	12516.3477	11771.9385	11099.3271	11621.1445	11150.667	11134.6436	11342.542	12863.4062	12873.6934	10897.3701	12070.8535	12305.1484	12011.3154	12991.3867	12187.0664	13004.4893	12428.917	11093.04	11618.7178	10874.6748	11789.7021	8836.4863	10829.9561	10492.4805	11141.0078	12027.2051	11655.6367	11186.8711	11632.3857	11763.0918	10465.958	11762.4463	12924.9873	10785.2393	12800.8057	12537.6641	13675.7109	12963.0781
0.2668	12336.124	14150.248	11859.7734	12419.291	13213.0098	12116.2617	12038.0645	11651.0781	12825.458	12567.4004	11966.6875	13657.29	11587.499	11872.4893	10353.6729	13764.291	12861.3867	11999.8623	11505.9756	14559.0439	10947.5791	12572.3398	11579.7217	12155.0938	11261.2207	12517.5703	11000.6201	11153.374	12189.1758	10982.3223	12029.959	11703.0342	11664.8594	12735.3574	12574.3164	12214.3037	12919.9326	11744.417	13075.5088	12046.9746	11802.4766	11943.7178	9762.4424	13536.6748	13116.7168	12786.2861	11892.2627	12593.5908	12624.8154	10915.1465	12271.6426	11450.8037	11562.7705	12836.666	11207.5273	13126.5049	12306.7842	12009.1104	11559.2373	10563.3701	12309.0488	12214.1553	13055.9531	11604.4395	10805.0225	12487.0361	12275.918	12103.0283	12792.4258	12104.1035	12774.4238	12352.752	11659.2705	10800.166	12990.3574	12878.2012	11141.7012	12504.71	12197.9883	12016.7217	12332.6748	11593.5791	12283.0674	11385.7188	12515.2305	12148.3359	12316.3828	13851.5264	11934.2529	11923.2764	11844.5195	11849.3398	11455.9238	12217.8271	12614.6865	12655.9658	11007.5762	11910.5752	13441.4238	11953.1758	12530.8545	12110.4102	12482.9746	12659.6787	10763.7607	11644.9727	10780.6025	12025.5234	8999.6689	10671.8096	10853.6182	11332.252	12574.3896	11607.7158	11366.6279	11730.9219	11656.4297	11411.4863	12393.6055	13387.0479	11233.4023	12614.9551	12554.8555	14163.9531	13700.2031
0.4003	12174.7549	15354.1885	12498.0908	12524.8682	14062.7412	12984.2979	12529.8232	11863.876	12512.6338	13314.5908	12045.458	13970.9189	12585.9561	11570.7373	10707.6514	14704.6758	12883.21	11617.7793	11296.6201	15130.3955	11417.0312	12299.2861	11854.1514	11329.5479	11243.2188	13113.4551	12083.7764	11419.5322	12761.3584	11166.9893	11743.0703	11383.582	11495.9297	12404.6641	13791.5684	13363.3281	12513.5635	12142.8242	12777.1602	12260.7568	12072.5283	12983.0664	9738.5713	13747.9902	12335.2178	12567.7354	11665.6885	12764.124	12874.6475	10805.8271	12883.8857	11621.4658	11554.8193	13387.5781	11113.749	13462.0518	12791.6123	11951.6006	12269.4277	11355.624	12731.0684	12770.2061	13262.2666	11286.2275	11882.6016	12725.6797	12324.1309	11925.7734	12071.4434	11988.3594	12858.6865	12605.7764	11656.4561	10994.5498	12902.8105	13609.4443	12238.2158	12308.4746	12274.6338	12269.5283	12106.5068	11851.3066	12804.0312	11293.6406	12400.0527	12250.874	12283.7256	13373.9482	12051.9199	11643.0449	11875.4014	11748.4629	12033.7725	11597.6777	13099.0059	12514.1133	10966.8906	12461.9355	12730.4395	13051.4619	12391.084	11999.9443	11955.3721	12077.4258	11627.3535	10804.4863	10933.4492	12167.4326	9461.415	11238.0117	12270.8477	10856.3008	12836.166	12832.2129	11306.9648	12196.5244	11644.1621	11790.9492	13663.6279	12656.209	11463.8467	12860.3672	12951.9375	13856.5732	14287.9268
0.5337	12495.6123	16951.0391	13092.8945	12468.5664	14423.8291	12531.0996	12212.0674	12424.0986	12696.3652	15632.2012	11836.584	14505.4854	13380.3027	11960.8896	11359.7471	15417.2422	14202.9287	12337.4014	12023.1416	14649.667	11635.8262	12978.9414	11951.3271	12084.3418	11108.8828	13330.1719	11717.5303	11714.3936	12169.4219	11450.6611	11814.6162	11530.9951	11469.6865	12348.0137	14275.9199	13332.458	12524.1113	13057.1699	12264.3555	12261.1035	12192.0908	13038.5625	9697.8584	13712.6494	12096.2441	13057.3379	12212.1191	13082.8125	12808.1094	10735.6865	13167.4873	12881.3252	11547.7314	13388.9746	10891.4697	13705.9668	13129.4033	12519.4014	12303.0859	11667.5117	13934.085	13212.8359	13008.2207	11928.5312	11980.0449	12940.8643	13046.5293	13712.6689	12803.4521	12521.1211	13607.6348	12463.25	12079.4473	11620.0596	12540.79	13848.2783	11188.583	12798.8145	11504.5752	12349.8008	12571.127	12067.7393	12907.5439	11632.0801	12331.2578	12303.9443	12144.374	13436.8809	13353.1797	11691.5996	11759.8184	11587.2305	12095.9912	11713.3584	13114.3193	12715.4326	11669.4688	12171.8242	13115.1807	12852.4805	12877.0342	12430.2578	11784.9424	12496.9072	12121.9814	11280.9102	11187.8857	12249.0674	10141.7295	11149.1035	12452.5146	10915.6504	12482.6797	12584.1709	11626.9443	12892.5586	12012.0918	13285.376	13081.2754	12970.9199	11521.1045	12972.3438	13002.7061	13352.3877	14672.7256
0.6671	13007.7793	18674.2852	13944.6865	13184.626	16483.4434	13293.9014	13278.3623	12170.7178	13060.293	16687.8184	12386.4375	16038.0557	14401.7734	12457.416	11064.4766	17088.6445	14614.8232	12801.9248	12021.333	14139.916	11695.7529	13734.1914	11548.458	13291.3682	11894.8643	14287.9531	12248.207	11934.1689	12737.4014	12085.4863	11976.5986	11499.4736	12082.874	12922.3867	15031.6504	13307.8154	13193.0156	13624.2617	12709.1113	12292.6504	11782.7598	12948.832	11045.9482	14005.9092	13215.5127	13597.6494	12775.877	12623.7422	13211.416	11478.3545	12688.2236	13294.4268	12025.1572	13442.042	10869.9424	13768.6787	13182.9492	12584.9209	11886.5898	11963.9814	15175.043	13847.0811	12716.7314	12650.8672	12155.7695	13652.083	13860.2041	15918.6562	12938.8682	12248.999	13873.0732	12646.416	13013.6826	12249.209	12534.4355	14147.3242	13501.0039	14021.2881	11923.9531	12661.4609	12674.4775	12654.1426	13299.5518	11781.9697	13235.8584	12111.1729	11708.4053	13176.21	14568.7646	11989.2588	12481.0527	13213.5293	11811.0557	12094.042	12979.5859	12836.4131	11219.0723	13557.0039	13201.9453	13249.8359	13300.0791	12224.4873	12994.1572	12246.3359	13583.9834	11049.4756	11524.1436	12831.4561	10491.7305	11310.2686	12612.3701	11681.2139	13975.6045	12163.9385	12792.3193	12424.7266	12171.127	14243.9473	13333.2324	13095.5332	12284.707	13831.543	12495.6553	13269.748	14951.499
0.8005	13408.0557	20794.2695	16016.7549	14080.7002	16992.6152	14695.8701	13877.4951	12164.3389	13293.3027	16368.6426	12247.2793	17346.1309	15184.5625	14483.2754	11956.375	19410.0723	14677.1182	12305.6875	12123.0547	13571.9219	11989.7979	15271.2256	12027.5498	15219.0459	12374.5723	13813.7588	12883.2451	12049.9521	13561.1953	12493.2617	11605.1582	11352.9785	13081.1807	12717.3291	15466.8232	12578.5693	14641.1943	13100.2227	12290.71	12615.8457	12896.8789	11607.6934	11765.4697	13588.2676	14282.3125	13379.7539	13722.7061	13956.751	13480.4512	12745.6602	12912.6055	13775.3135	12417.7158	14514.4365	11709.7832	13815.043	13261.3936	13286.0908	12298.748	12286.2969	16955.123	14324.3213	11834.082	12461.1396	12329.3799	13597.6543	16526.4102	18293.7871	13547.3809	12801.7979	14474.9512	12567.707	13282.7305	13003.8047	13023.332	13728.7891	14483.0518	15423.999	12387.9971	13205.5723	12903.9893	13279.0352	13689.2881	11910.1396	12991.2109	12136.957	12445.4043	14626.9209	17700.8359	12937.6035	12318.6504	15153.2695	11859.9082	12486.4688	13009.8545	12786.1172	12439.4189	13504.6689	14801.2461	14066.5156	13094.1709	12318.2959	12417.3877	12014.6357	13244.3301	11227.2061	11660.8975	13836.4883	11276.0449	12049.083	11992.543	11684.8867	14134.2617	12441.6719	13932.0098	12384.2803	12216.1494	15558.9307	14426.3281	13165.0439	14102.1641	14515.9482	13076.3896	13755.0225	14530.8936
0.934	14478.1943	21367.2891	16020.5176	14341.0078	18367.1191	15736.9248	14939.4336	12230.7656	12844.5967	16696.0547	13578.3076	18769.7969	14112.1689	15761.9365	12794.5039	21434.0078	14581.8125	13291.5117	11753.0566	13869.6006	12334.4609	15962.8359	11317.166	16431.0469	12145.3838	13742.3154	13041.7471	12450.4531	15532.6064	12788.6865	12636.1582	11486.4375	13807.3594	13064.6289	16439.9629	12181.0771	16206.6016	13256.3535	12895.2275	12711.8672	12248.2441	12413.2666	11913.29	14946.7822	14467.8555	13828.7432	12953.1748	13266.8555	12784.7812	13186.3975	13382.2383	13751.9785	12938.959	15455.0244	14034.4258	13897.1475	13049.459	13192.9492	14151.1104	13144.3184	17984	15279.6904	12083.5254	13579.2676	12121.623	14586.8232	17334.9883	18877.7773	13604.4932	11784.9502	13909.8457	12148.8223	14131.2568	13552.1152	12877.9854	12975.915	15084.7939	16228.0225	12396.834	13634.9287	13227.0605	13052.8301	14208.6748	13616.8047	13638.8828	12201.5303	13116.3486	14729.2227	17909.2363	13213.1533	11643.9785	15002.3242	12149.0723	12103.5518	13170.6729	13592.9355	13177.3691	14410.042	15426.4941	15468.2002	14438.4072	12674.4453	11938.8984	11847.4912	12679.7822	11171.333	11369.2969	14422.417	11698.4111	11646.7227	12450.2812	12671.498	13643.9121	12338.0186	14013.9795	12309.5654	12345.8076	15928.2715	14946.0557	13840.8701	14928.1016	16957.8281	13563.541	14061.0801	14187.165
1.0674	14260.3018	20838.2598	16264.8506	14038.3018	18677.1367	17643.3398	16809.7383	11499.6943	13112.918	16778.7773	15152.4951	19306.4922	14337.1973	15991.5771	12719.9023	23534.3008	14640.7812	13876.1016	12284.0576	13062.542	13147.9873	16499.8809	11645.873	15876.0225	12495.8516	14387.1895	13467.5068	13130.8232	16208.2637	14140.4414	13043.1826	12161.1543	14262.0215	14009.6924	16666.2773	12632.6045	16687.0566	14670.6777	14421.5176	13476.8828	12776.5117	11710.9043	12343.9033	14264.7139	15378.0811	13409.9893	12986.6211	13360.1748	13237.7988	13359.4277	13926.8701	13918.6426	12587.8564	15806.0371	15239.1602	12872.4287	13428.9473	13721.4678	14879.7285	13708.7559	19389.2148	16297.9434	12819.4365	13630.5391	12532.9258	14771.2197	18989.0312	18077.9922	15133.6934	12376.3115	14466.1123	11663.5254	14287.6523	13068.3701	13072.8291	13248.4541	15454.8516	16925.1777	13255.4473	13648.625	14123.6982	12527.0645	14612.623	13289.8809	13872.792	12934.6797	13424.3496	15877.8057	16643.7305	13453.7148	12527.9609	17030.7129	13108.1553	13164.5938	13662.8203	13602.9961	14739.9521	14115.4424	15242.5684	15514.8926	16208.0498	12898.7529	12771.8604	12323.9678	12863.6885	11716.3662	11818.0947	14436.9814	12325.9033	12777.2656	14009.0137	12616.3369	14107.3262	13388.96	14654.5244	12812.0518	13374.0098	15598.8584	15990.8867	13781.5244	15100.4277	18210.543	14272.9385	14239.9424	14433.3936
1.2008	13771.1211	18323.1816	16915.2754	13678.1025	19168.957	18583.1387	16319.9355	11794.2637	13079.7256	16652.2148	15112.6416	16540.8047	15017.7109	14394.7314	12003.4072	22901.0234	14597.0723	13900.5918	12805.5537	14081.1143	13126.0186	14632.1582	12706.5596	15708.6357	12516.6504	14129.4941	13773.5283	14768.457	14940.1143	13456.2529	12778.1299	13504.2656	14326.9756	14555.2881	16162.5176	13297.0166	16194.7695	14741.4092	14520.1025	14847.3398	12980.2109	11932.2031	12394.8018	14221.709	16458.2188	13934.9863	13118.209	15292.3457	13620.1201	14210.9307	13555.1621	13696.3672	12733.9043	15744.4141	15098.2207	13333.373	13837.5059	14781.4697	15144.208	13616.6318	17439.6602	16922.8164	12710.625	15203.623	13382.8496	14367.6113	17861.2891	16187.1191	16455.0781	12040.6982	13637.0137	11732.7031	15185.9219	13151.6943	12542.2871	12951.6074	16360.6104	16790.7852	13481.3428	13238.6064	14208.5654	12828.5898	13826.9287	12849.8203	14539.0049	13094.8594	12581.0391	16920.2402	16524.7344	14762.8096	13530.1211	18594.5723	15113.3848	14557.8857	14375.4043	14625.2754	15054.2354	13490.292	15073.2012	16564.541	18752.4805	13390.5049	13270.1484	11845.2754	13204.8525	11817.1328	11987.8291	14171.4258	13239.6309	13270.4922	14371.3125	12561.0098	15084.0566	13381.3408	14739.2012	13783.8086	12826.7822	15660.9639	16823.666	13034.0889	15126.0039	21282.4102	16283.3193	14567.0654	15899.9014
