X	Y_20181208_15100_1_1g	Y_20181208_15100_1_2g	Y_20181208_15100_1_3g	Y_20181208_15100_1_4g	Y_20181208_15100_1_5g	Y_20181208_15100_1_6g	Y_20181208_15100_1_7g	Y_20181208_15100_10_1g	Y_20181208_15100_10_2g	Y_20181208_15100_10_3g	Y_20181208_15100_11_1g	Y_20181208_15100_11_2g	Y_20181208_15100_11_3g	Y_20181208_15100_11_4g	Y_20181208_15100_12_1g	Y_20181208_15100_13_10g	Y_20181208_15100_13_1g	Y_20181208_15100_13_2g	Y_20181208_15100_13_3g	Y_20181208_15100_13_4g	Y_20181208_15100_13_5g	Y_20181208_15100_13_6g	Y_20181208_15100_13_7g	Y_20181208_15100_13_8g	Y_20181208_15100_14_1g	Y_20181208_15100_14_2g	Y_20181208_15100_14_3g	Y_20181208_15100_14_4g	Y_20181208_15100_15_1g	Y_20181208_15100_15_2g	Y_20181208_15100_15_3g	Y_20181208_15100_15_4g	Y_20181208_15100_15_5g	Y_20181208_15100_15_6g	Y_20181208_15100_15_7g	Y_20181208_15100_15_8g	Y_20181208_15100_16_1g	Y_20181208_15100_16_2g	Y_20181208_15100_16_3g	Y_20181208_15100_16_4g	Y_20181208_15100_17_1g	Y_20181208_15100_17_2g	Y_20181208_15100_17_3g	Y_20181208_15100_17_4g	Y_20181208_15100_17_5g	Y_20181208_15100_17_6g	Y_20181208_15100_17_7g	Y_20181208_15100_18_1g	Y_20181208_15100_18_2g	Y_20181208_15100_18_3g	Y_20181208_15100_18_4g	Y_20181208_15100_18_5g	Y_20181208_15100_18_6g	Y_20181208_15100_18_7g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_19_3g	Y_20181208_15100_19_4g	Y_20181208_15100_19_5g	Y_20181208_15100_19_6g	Y_20181208_15100_2_1g	Y_20181208_15100_2_2g	Y_20181208_15100_2_3g	Y_20181208_15100_2_4g	Y_20181208_15100_21_1g	Y_20181208_15100_21_2g	Y_20181208_15100_21_3g	Y_20181208_15100_22_1g	Y_20181208_15100_23_1g	Y_20181208_15100_23_2g	Y_20181208_15100_23_3g	Y_20181208_15100_24_1g	Y_20181208_15100_24_3g	Y_20181208_15100_25_1g	Y_20181208_15100_25_2g	Y_20181208_15100_26_1g	Y_20181208_15100_27_1g	Y_20181208_15100_27_2g	Y_20181208_15100_3_1g	Y_20181208_15100_3_2g	Y_20181208_15100_3_3g	Y_20181208_15100_3_4g	Y_20181208_15100_3_5g	Y_20181208_15100_3_6g	Y_20181208_15100_4_1g	Y_20181208_15100_4_2g	Y_20181208_15100_5_10g	Y_20181208_15100_5_11g	Y_20181208_15100_5_12g	Y_20181208_15100_5_13g	Y_20181208_15100_5_14g	Y_20181208_15100_5_1g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_4g	Y_20181208_15100_5_5g	Y_20181208_15100_5_6g	Y_20181208_15100_5_7g	Y_20181208_15100_5_8g	Y_20181208_15100_5_9g	Y_20181208_15100_6_10g	Y_20181208_15100_6_11g	Y_20181208_15100_6_1g	Y_20181208_15100_6_2g	Y_20181208_15100_6_3g	Y_20181208_15100_6_4g	Y_20181208_15100_6_5g	Y_20181208_15100_6_6g	Y_20181208_15100_6_7g	Y_20181208_15100_6_8g	Y_20181208_15100_6_9g	Y_20181208_15100_7_1g	Y_20181208_15100_7_2g	Y_20181208_15100_7_3g	Y_20181208_15100_7_4g	Y_20181208_15100_7_5g	Y_20181208_15100_7_6g	Y_20181208_15100_7_7g	Y_20181208_15100_7_8g	Y_20181208_15100_7_9g	Y_20181208_15100_8_1g	Y_20181208_15100_8_2g	Y_20181208_15100_8_3g	Y_20181208_15100_8_4g	Y_20181208_15100_8_5g	Y_20181208_15100_8_6g	Y_20181208_15100_9_1g	Y_20181208_15100_9_2g
0	12019.5186	12261.46	11583.96	12072.8262	14302.5322	11010.8369	14499.8877	11496.3877	12619.9795	13067.4395	15115.7764	14862.7256	10903.7764	13948.9346	13720.75	13083.0977	12698.4404	14407.3691	12474.7559	11826.999	13039.6973	11892.6094	14195.2002	12723.1455	14346.2988	11672.7168	15055.4795	10935.293	12760.3408	12841.7334	13628.0771	13535.877	12467.3193	12919.1914	13034.417	13052.7412	13972.4395	12794.8818	13711.915	13631.7324	12243.5771	12706.6738	12669.8594	13347.1338	12784.375	13516.8301	11246.6709	13332.3623	12769.2393	12879.2949	15398.9727	15030.6641	12714.166	12203	12772.7031	12151.1055	14534.4297	11447.5049	11900.6357	12784.7207	13085.7656	12390.4619	11715.6055	12691.7998	12230.0752	13347.3789	14103.0791	13052.9639	12609.9482	13469.3994	13288.3584	11702.7139	11645.7578	12464.7617	12489.624	13768.5088	12230.5986	11229.2598	13441.1709	12195.3604	13614.9424	11125.9277	13020.5752	10217.4629	11993.0996	8641.8955	12836.2959	11725.5361	12837.6836	13533.6982	12111.1758	13075.708	13194.3164	12778.2432	13199.1514	12463.9922	11324.5576	11514.8994	13505.0537	13183.3984	12898.2871	12083.0488	14268.2803	13314.9141	10063.251	13378.3486	12731.5762	16190.3447	11264.793	13134.0879	14285.4951	14200.5586	20232.3457	12783.1914	12136.0186	10966.3506	12078.9121	12307.8496	12046.249	12615.334	11979.5264	15306.084	11501.8916	13658.7617	11653.9062	10900.9023	14173.4883	10567.7783
0.1334	11754.543	12158.1279	11621.0752	12065.8828	13938.3008	11688.8955	14071.9268	12569.6123	12010.2529	13384.3301	14460.1006	14871.3096	11415.8154	13777.8613	13522.1172	12941.2549	13151.667	14187.0547	12958.1963	11869.583	12074.582	11670.9609	13792.9961	13339.3311	14280.2129	11700.7637	15376.8887	11387.0928	12633.874	12945.6074	13451.0918	13485.7773	12421.2969	12977.7549	13847.6338	12409.8408	14546.8408	12845.3896	13704.043	13914.0391	12046.7822	13031.9297	12364.7578	14275.9551	12458.2949	13353.2051	10653.0059	12644.7656	13342.4873	12562.8027	16774.6328	13528.123	12784.1982	12187.1709	11905.7109	12229.9727	13553.5898	12049.3799	11966.3838	13292.2266	12406.0117	12059.2373	11675.2363	13026.627	12488.3789	13439.3906	13270.3672	12701.2666	12559.5469	13758.417	13080.7998	11889.3174	11540.5449	12994.3242	12513.9707	13837.2295	12032.6279	11091.8965	13495.1621	13046.999	13909.749	10770.1758	12767.4453	10239.1455	11853.5137	9123.959	12327.584	11610.1221	12792.5596	13632.6191	12004.4932	13590.0088	13286.3496	12664.4268	13023.5977	12499.8906	11593.667	11438.5479	13220.9219	13101.1514	13111.0908	12726.625	14491.2803	13676.7422	10480.5059	12859.9922	12344.585	14820.085	11360.7637	13321.7852	13419.6758	13672.6377	17779.084	12932.8838	12948.543	11417.3828	13017.6641	12508.0176	12530.6562	12776.459	11595.5049	14857.7686	12034.3809	13911.0371	11690.2305	10822.0098	14485.9297	10341.3135
0.2668	11964.6953	13406.5342	11595.0713	12920.9023	13688.6504	11064.9453	12807.5479	11532.2588	12143.168	13922.4717	14611.6689	15205.7656	11474.5332	14398.2998	12664.4619	12050.1973	12945.835	13362.0479	13072.1875	13350.0957	12712.3525	11842.2324	15071.9932	13149.9102	13848.1367	11625.6709	14839.4141	11736.1064	12336.2002	12443.249	13837.3184	12875.9219	12057.1719	13592.0752	14042.8193	12269.2305	14986.417	13471.6963	13005.0713	12643.123	11795.5752	13166.7168	11907.8096	13749.5293	12050.6738	12534.7246	10284.3604	12487.6201	13196.3174	12746.9717	16318.8018	14016.0322	12947.4717	12136.1641	11964.3223	11817.002	13789.6113	12377.6914	12321.8818	13643.6221	12608.7891	12367.1836	11590.1221	13113.0029	13149.9697	12399.8359	13090.0391	12502.2881	12775.2334	13797.2021	13281.4619	13132.248	11791.4688	13163.8994	13133.7764	13168.082	12630.377	11729.9082	13093.9697	13242.3564	13808.4736	11370.6387	11904.6934	10919.0791	12096.084	9160.1934	12419.6875	12079.1074	12906.71	13289.3389	13082.1533	13791.9541	13507.9365	12975.3447	12942.0977	12107.2637	11900.7041	11949.4268	13942.6201	13203.3486	13225.9609	12601.2031	14651.5283	13965.1094	12239.4404	11549.6533	12546.6113	15356.9648	11724.4736	12721.5752	13539.5596	13558.8496	16248.4062	13297.1367	12704.9697	11340.3496	14390.7793	13109.6826	13159.1328	13265.0957	11330.3506	14084.5664	13031.0234	13570.334	11422.3574	10700.3115	14262.7578	10415.2695
0.4003	12499.5713	12288.9863	12093.9277	13189.8057	13636.2295	11933.8486	13481.9844	12208.9551	12812.5791	13493.3652	14537.373	15162.8496	11203.999	14473.6523	12725.5898	13006.127	15271.1846	13693.0684	12958.5195	12455.0762	12239.4297	11364.4199	14994.7197	13988.0361	14444.4502	11723.4316	14966.042	10659.7588	13831.793	12958.5576	13455.2344	13903.7979	12629.248	14571.5312	15087.4385	12623.3965	16337.5283	12996.7617	13355.0488	13148.4404	12172.46	13377.2314	11993.7705	13215.001	12064.459	13403.9824	11317.5811	12103.7158	13076.2891	12132.873	17233.9297	14532.126	12658.3057	12278.8369	12444.3379	11887.665	13308.0098	13284.4355	11976.9355	13506.9229	12472.7041	11951.2949	13405.9814	12705.5615	14680.2422	12755.8848	13274.6445	11724.8809	12785.8662	13893.8203	13594.6387	13277.2207	12755.5254	13973.793	13153.0635	13587.8281	12115.084	11688.6943	12882.6494	12559.8604	12926.1318	11661.2275	12337.167	11382.4385	12283.5674	9959.8125	12207.3916	11615.6387	12996.542	12290.5537	12986.8135	13168.2461	12773.0166	13489.7832	13066.0361	12547.2891	11867.6172	13086.126	14869.041	13211.375	13972.792	12691.1934	14959.502	13308.4697	12923.9531	12171.8291	13008.2285	14746.001	11163.542	13003.8604	14709.9551	13977.7314	15120.0566	13759.8438	14378.8467	10952.1855	15356.1875	12988.2568	12580.1035	13273.6025	11779.7393	14022.042	13311.2559	13838.207	10906.7178	10731.3457	14287.0039	10271.3877
0.5337	11797.9854	13463.418	12052.0713	12949.8545	13636.8438	12117.8086	13530.7197	12497.2939	12712.8301	13716.6641	13869.5352	15155.21	12558.0186	14544.9893	13337.8291	12497.7559	15965.2061	13973.0781	13755.7588	12238.3496	12039.1533	11516.5225	14352.8232	14694.4941	14199.791	12186.9971	15097.7949	11077.2158	13348.7051	12759.2051	13037.6865	13431.3945	12644.3164	15477.4072	15028.0293	12749.002	17573.7031	13305.583	13919.7178	12884.0693	11781.4424	13787.2939	12518.2891	12661.5566	12431.7217	14764.3057	11119.3301	12686.9512	12791.25	12894.7744	16777.6602	14100.0469	13103.5527	12484.4629	12384.041	12601.0859	13164.3389	13343.0283	12603.3467	14676.7275	12197.8984	12925.124	13312.5947	13399.917	16986.2207	13414.6426	13721.1025	12502.2109	12707.6562	13698.834	13647.7559	15788.9736	12317.8389	14473.5908	13737.6162	13996.8018	13144.0195	11375.4404	13913.2119	12757.3535	13956.6094	12922.9717	11938.7871	12777.5879	12039.0557	11079.5986	11688.1768	11848.1992	12766.1025	13734.9365	13369.9814	13246.1006	12780.5664	14297.7822	14076.5322	12735.1621	12207.6064	14068.7012	16692.1875	13832.752	14337.2217	11979.5186	13790.8975	12877.3633	13483.6514	13167.9756	12476.291	14388.8115	11501.8389	12497.0283	15264.0732	15002.8008	15583.626	14337.3135	16519.6309	11397.666	15253.8857	12252.7744	12084.2617	14266.2568	11904.1211	14165.8604	14277.2598	13555.1748	11250.2705	10722.5635	15436.8955	11026.2676
0.6671	12839.668	15155.3555	12974.2246	12983.2412	13489.9521	12862.3887	14003.9893	13102.4941	13158.7871	13583.9951	14079.4746	17089.3633	14146.3525	15668.4287	15094.8633	12724.8633	15368.1309	13783.6816	13461.1338	13787.6826	12243.9902	11591.0898	16960.1094	14070.2275	14739.0439	12549.7168	14808.0703	11706.6807	13663.2275	12167.79	13836.1455	13434.2998	13027.4209	14734.2656	15203.8516	13281.3174	17477.043	14146.9453	14276.9131	13432.3682	12079.5791	14357.4736	13277.334	12933.6504	12892.2812	16633.248	10692.958	12241.9932	13412.6787	13268.9648	16550.4141	13567.9541	13785.3545	13180.5762	11965.123	13825.6592	13703.251	14001.4424	11947.835	15970.2471	12868.6201	12847.8428	14083.043	13551.332	20572.6562	14126.2764	14365.5195	12666.8945	12946.6387	14604.5898	13283.2285	17739.666	12226.2188	14137.7383	15369.1719	13980.4092	13717.6357	11887.3408	14031.0967	13590.4971	14647.125	13827.4209	12560.9668	13779.8896	12334.2529	11325.7705	11950.8838	12001.5361	13805.7598	14507.1787	13465.5781	12655.7441	13442.9404	14523.2295	14965.874	13987.5166	12334.3301	13490.2139	17529.334	13677.5967	15265.8682	11554.0957	15543.1875	13807.7939	15119.8418	13842.8154	13114.1641	14031.5078	12360.9365	13139.2451	15004.2627	14812.3926	15569.0303	15214.2812	17074.5566	11984.7803	14288.1133	12774.4492	12852.9336	16125.1475	12179.0986	14729.0684	15493.1914	13787.0928	11086.1162	10803.2568	16389.7305	11351.21
0.8005	14196.5762	15527.0518	14332.3115	13085.3369	14352.3379	13818.4053	15395.5596	14614.5137	14736.6699	14315.46	13066.2354	17583.7188	15918.1484	16719.2578	15496.8818	13302.1719	14337.9004	14334.5449	14214.0527	15674.9912	12711.8594	11923.4014	18868.4707	14269.8076	15336.458	13710.3408	14574.1357	12029.2188	15195.0742	12760.5684	16359.9023	13268.04	13332.4121	15270.168	15559.3232	13976.7178	16229.5664	16833.8008	15278.5713	13273.4473	12278.5186	14733.1807	13643.6738	12307.3086	14001.2959	18484.6133	10964.4131	12670.3916	13534.2256	14369.3887	15922.4541	13547.1855	14482.3115	12800.4307	11674.9736	13934.2021	15381.6836	13930.9219	12069.9307	15103.9023	13288.8398	13537.3799	14870.5859	13567.9443	21712.668	16268.7646	14857.4121	13187.5889	13799.2764	15150.6064	12934.7803	21046.7461	13176.7988	14064.0254	16948.4277	15358.2773	14069.4834	11817.0957	13689.4697	14301.6006	14570.1494	14696.7402	12625.7139	14669.4717	12183.3467	12670.4697	11887.2432	12702.4287	14676.291	15357.5127	13995.4014	14043.3135	13234.2637	15883.2412	16029.4932	15029.8203	12652.4502	13701.4268	17947.2891	13068.3936	15791.5127	12484.4121	15966.9033	13166.873	16809.498	14179.6025	13467.248	13467.1172	13883.1309	13553.7168	14795.207	14866.6387	17003.8477	18404.2246	17815.1562	12382.0645	12875.5674	12828.166	12436.041	16801.4004	12996.1592	15562.9951	16291.2754	14188.8926	11261.166	10519.6182	15248.4316	12014.252
0.934	15068.7139	16282.3389	13943.3545	14155.9141	14634.6709	14668.4541	16370.2373	16084.7773	15026.8311	14852.9229	13360.9219	16435.207	17891.2227	16204.7539	15337.4941	14873.9004	13829.5088	15531.9883	13909.293	18259.8203	13013.4521	12746.1084	21855.5586	14392.9521	16183.8613	15339.6211	14335.79	13147.9922	15290.5156	13568.6826	17252.7383	14361.8506	13476.791	16009.3672	14682.3887	14066.6846	15436.4893	19601.1367	16738.9453	14274.9229	12227.374	15033.5371	12817.8652	12292.6055	14208.8711	20538.2207	11552.8389	12816.1016	13411.6826	14900.1162	14702.4355	14281.5068	14512.1484	14160.9766	11276.5791	14226.417	15933.708	13890.5947	11546.6885	14794.0039	13471.5312	14675.0156	15904.9834	14209.4707	20080.5762	18224.998	14150.9834	13176.5332	15015.0049	15547.1309	14110.3096	21763.5938	12944.082	13849.335	17531.6621	17768.291	14397.9229	12052.1123	13508.6035	16689.7949	14449.96	15761.3389	13675.5898	15987.5254	11966.0439	14661.0059	12212.085	13620.3428	14983.0547	18276.0938	14009.75	14474.9365	13382.8262	17098.0625	15875.4434	14969.334	13654.4189	13876.6182	17389.9922	13936.54	15147.8838	12126.4189	16620.6113	14390.9443	17186.2207	14515.7627	14398.2451	12591.9502	14598.6279	14950.3008	14973.3975	15193.9414	18472.1621	17521.5039	16222.583	12568.5029	13753.6426	12937.8379	12672.584	18363.8047	13765.6045	15511.6016	17101.4121	15433.8936	11555.9814	10723.9111	15067.9521	12920.0781
1.0674	15775.4434	14821.0576	12812.9531	13965.707	16075.0811	15023.4297	16712.418	18574.3379	14996.1406	17229.0996	13903.9258	16122.0908	17185.6445	15937.5762	15597.2979	15945.0488	14041.8379	15586.7031	13357.5566	19665.4531	12799.1641	14086.3096	24232.4121	13654.6348	17029.5195	16881.9219	14504.957	14303.958	15212.2734	13786.7344	16807.9727	13767.5156	13831.9092	16155.2227	14978.1729	13688.7637	15158.2549	20492.1973	16469.1074	14665.6289	12086.1064	14177.2441	12581.8926	12319.0234	13076.4668	21845.1543	11651.2783	13848.1172	14343.7949	14398.9102	14763.334	14390.2637	14775.7783	15294.8398	12056.1484	14443.252	17759.084	13478.4873	11521.8154	15278.7637	14752.9092	16221.1191	15469.3213	13740.3281	17546.5078	17583.7363	13501.4678	14203.7939	14963.083	15849.1416	14209.0049	18769.3496	13038.0127	14320.5176	18462.3262	19648.1523	15404.3193	12527.3174	14070.2021	16885.1367	14314.8418	15639.3477	14820.8486	17442.3906	13269.7598	17625.0117	13119.3174	14154.1895	15974.1172	17267.7168	14693.3555	14839.2861	14946.1807	18067.4395	15943.876	16505.791	14754.1924	14004.5469	17802.7461	14203.3174	15242.6943	14075.4922	17894.5254	16304.1953	16814.4375	14131.5088	15188.7861	13163.0283	14613.5381	16346.9365	15415.9043	16003.6807	19170.8926	15584.1689	16526.5859	13445.3154	14396.5859	12852.2783	12955.8184	16509.4863	13792.9736	16731.0371	18319.2852	16613.8574	11087.7256	11277.2861	15091.3096	13551.7051
1.2008	17277.8613	14898.5771	12566.6709	14458.96	17082.5059	14696.5928	18413.5	20751.6816	16450.3789	18700.0723	14877.4414	15881.9072	16262.8457	13943.457	17346.2559	16879.8359	14224.4375	16691.7227	13735.7852	19318.207	13413.2695	16467.2695	21081.5391	13618.2783	17731.8223	17892.0703	14695.1611	15204.7549	16618.0684	15385.8438	16428.9277	14669.2871	14061.6338	15462.7959	15087.3418	14924.2744	15039.2764	18393.2207	16804.2891	13927.7646	13662.6162	13216.5615	11925.2412	11970.0498	12964.708	19908.7969	13218.0859	13805.6396	15102.8359	13444.2383	15598.0605	15323.9307	15524.8271	16476.6797	13085.1504	14633.7529	21112.375	13965.8486	11047.0391	15349.4043	16322.6201	18944.0703	16191.1133	15211.0322	16143.7266	16619.4355	14298.5234	15322.5908	16383.2715	17108.9414	15559.752	17164.418	12396.5537	13822.7842	19277.25	21230.4805	16529.1562	13433.2227	14607.1895	15504.5938	14740.8086	15754.1865	14818.9004	22777.5547	15131.5352	18586.6797	13959.9111	13764.4277	16180.5547	17441.748	15747.5752	15653.7031	18124.3438	19487.0371	16331.5938	17742.7324	14832.3896	14907.3242	17448.4473	13363.8311	15836.2646	15818.3613	17304.0293	17899.8535	14934.7578	14193.1602	16462.6328	13354.2637	14331.6953	16944.8984	15931.1191	17104.1465	19026.957	13478.9434	15557.6797	14409.0518	14805.7783	13275.082	13854.7305	15557.3398	13804.0078	17137.0215	21241.418	18469.7266	11414	12150.5703	16328.5273	13675.6348
