X	Y_20181208_15100_1_1g	Y_20181208_15100_1_3g	Y_20181208_15100_1_6g	Y_20181208_15100_10_1g	Y_20181208_15100_10_2g	Y_20181208_15100_10_3g	Y_20181208_15100_11_1g	Y_20181208_15100_11_2g	Y_20181208_15100_11_3g	Y_20181208_15100_12_1g	Y_20181208_15100_13_1g	Y_20181208_15100_13_3g	Y_20181208_15100_13_4g	Y_20181208_15100_13_5g	Y_20181208_15100_13_6g	Y_20181208_15100_13_8g	Y_20181208_15100_14_2g	Y_20181208_15100_14_3g	Y_20181208_15100_15_2g	Y_20181208_15100_15_4g	Y_20181208_15100_15_6g	Y_20181208_15100_15_7g	Y_20181208_15100_15_8g	Y_20181208_15100_16_2g	Y_20181208_15100_16_3g	Y_20181208_15100_16_4g	Y_20181208_15100_17_1g	Y_20181208_15100_17_5g	Y_20181208_15100_17_7g	Y_20181208_15100_18_1g	Y_20181208_15100_18_5g	Y_20181208_15100_18_7g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_19_3g	Y_20181208_15100_19_5g	Y_20181208_15100_19_6g	Y_20181208_15100_2_1g	Y_20181208_15100_2_2g	Y_20181208_15100_2_3g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_22_1g	Y_20181208_15100_24_1g	Y_20181208_15100_24_3g	Y_20181208_15100_25_1g	Y_20181208_15100_25_2g	Y_20181208_15100_27_1g	Y_20181208_15100_3_1g	Y_20181208_15100_3_2g	Y_20181208_15100_3_3g	Y_20181208_15100_3_4g	Y_20181208_15100_3_5g	Y_20181208_15100_5_10g	Y_20181208_15100_5_11g	Y_20181208_15100_5_12g	Y_20181208_15100_5_13g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_5_7g	Y_20181208_15100_5_9g	Y_20181208_15100_6_3g	Y_20181208_15100_6_4g	Y_20181208_15100_6_5g	Y_20181208_15100_6_7g	Y_20181208_15100_7_1g	Y_20181208_15100_7_2g	Y_20181208_15100_7_3g	Y_20181208_15100_7_5g	Y_20181208_15100_7_9g	Y_20181208_15100_8_1g	Y_20181208_15100_8_2g	Y_20181208_15100_8_3g	Y_20181208_15100_8_4g	Y_20181208_15100_8_6g	Y_20181208_15100_9_2g
0	34993.5742	33216.1602	41109.4375	31757.3125	29811.082	33341.957	32827.5859	34333.0469	33755.0391	34557.5273	25739.3125	31289.7773	32214.8945	43881.5	36043.2891	36528.7891	32089.7324	31744.2715	41346.7148	32621.3223	36359.3359	45455.4961	29849.9082	29244.8867	35380.1055	49051.4922	29258.6992	31925.7852	32801.8633	33003.8594	35662.7031	35931.0625	30313.8594	34116.1484	32774.75	27343.2715	34945.8906	32131.4941	38055.4922	32559.9414	33812.1719	33197.1445	33128.3281	28747.4375	36110.2891	44125.9727	36148.7109	33364.625	38653.1914	32963.6602	30831.0391	29758.1504	31487.3652	32657.793	35691.7188	37236.6016	36596.5	30021.709	27881.6777	32790.5078	26736.3828	32788.2461	32878.6719	29455.0137	29922.002	28204.4648	28820.9355	30709.9551	31727.3008	34933.6523	35977.1602	30524.6133	38477.6016	37606.3789	35505.9922	43851.9648	41584.5664
0.1334	35780	33312.9336	36542.4805	31768.2715	29526.6152	34070.8086	33680.1016	33709.7109	38854.1211	35438.6875	26966.9336	32542.4219	33056.1133	47112.125	40174.0469	36608.4922	33782.9805	31738.0645	46445.1953	33456.8203	41383.8008	53609.5977	33373.4219	30622.627	37713.1875	48935.6523	29743.8203	35207.1445	41134.1484	33169.1172	39157.8086	40739.4414	31689.6367	35042.0664	32116.4746	29810.873	38143.043	32731.9414	39074.207	33262.6211	32137.7949	34636.5469	33388.8711	28361.3906	42038.4102	61695.3633	35239.9414	34043.3906	37940.0156	36174.7266	33414.3047	31386.5469	32586.6309	32827.1211	34131.6641	36019.4414	39446.1133	30775.4238	27605.75	32514.5898	29078.9941	33702.8008	33661.5859	29023.1816	33398.3164	29290.9121	31792.0605	32990.0391	33486.8008	35935.6367	46162.9805	31463.0352	38899.2188	38072.2539	35496.5117	61508.8789	52145.2383
0.2668	39249.3711	39337.8438	35235.2383	33933.5977	31525.3066	37102.1016	35278.0898	37311.8047	47602.5234	40462.6992	30610.4395	34389.2734	36741.7578	60834.8828	52629.5117	44078.8359	35225.3828	31353.3984	65533.293	35988.0977	49736.6211	64736.1523	38782.875	34804.6094	43935.3086	62117.9492	31017.0273	37254.6211	59868.2344	35179.7812	46949.4961	51889.9688	34492.5312	43433.5078	35100.4453	34197.3203	43969.625	35713.1797	42213.707	34308.1133	35154.6836	39659.1602	35796.0703	29891.2949	58233.9336	67211.7812	37650.0898	40588.7539	41978.2461	40100.9648	37299.7773	34127.2422	39660.5898	34312.9922	36589.9805	38441.3945	46007.1094	31555.3574	29187.0879	35906.1992	32038.9648	35897.7188	38263.0469	31942.4492	37217.9844	31863.2441	37315.0312	38035.7344	39801.1289	40258.4414	61820.8789	32572.0879	45585.3008	44054.8594	35602.793	72460.0391	69825.9688
0.4003	46274.2852	55284.168	37311.6797	44360.0273	35849.9922	40639.0586	35460.5977	45303.6211	64870.3359	48980.9219	40236.8828	39092.0156	48854.2422	79648.6641	62297.5859	63158.9688	39442.4609	33536.5156	97470.6719	37093.3203	55208.1602	59664.375	50197.1836	43446.3516	56748.5742	76515.5234	35790.4141	46506.4453	83830.25	36297.75	59668.5898	68052.3125	46872.3906	60271.5234	40107.1406	40531.1836	55974.8906	39720.2305	54075.0977	38325.6445	37758.0273	51004.4805	43290.7148	30260.6484	76877.7266	53595.4609	39111.3633	55720.1016	52588.375	51595.2969	48252.2266	37033.5547	52144.6992	38736.4727	37168.8125	47379.6094	59709.0117	35166.3125	30676.75	42282.2383	37592.6562	40887.3477	45096.4531	36102.1445	41829.4375	39072.6445	48998.2031	44925.7734	49615.168	49836.1016	70319.5312	35410.4414	57506.3125	57877.6445	40790.7109	60821.9375	78970.2969
0.5337	68920.6094	74896.2578	47038.3242	55685.6992	47730.6406	51618.0547	35317.8008	55277.2969	79662.4297	69503.5469	55158.2969	52077.4414	68660.5547	69272.1953	54883.543	88448.5938	55807.1719	41925.293	101559.5469	42908.8086	48342.6484	47066.0898	64537.7109	56091.8516	61319.0234	70816.6641	45342.8984	66222.2578	77478	42577.5586	59235.6133	68595.8594	73439.7812	68794.6875	53004.0547	56910.3398	57145.1992	50994.8555	78909.0156	46865.2383	43123.7852	66145.4922	54460.0781	35221.5703	71859.9531	38758.3125	44467.9297	58233.3867	81597.2188	65614.0156	65579.625	50326.5	68737.3281	51066.082	43853.9219	68100.6094	85307.5312	41202.7852	34927.75	58319.4336	39771.3242	50213.1328	62711.2969	45679.75	40410.2773	51039.7891	69086.7734	44050.8203	69717.8828	75658.8359	55103.1875	42854.1758	73434.1484	83119.7188	51334.0195	43882.1289	59653.5117
0.6671	98139.8828	74417.2031	59900.7031	54752.0742	64960.3164	53685.4023	37598.6367	55923.5586	70294.4453	84484.7969	56353.2695	65321.9844	72042.4844	49142.9727	41276.418	89334.6953	79328.5156	57018.5977	75990	55254.6211	38573.5117	39629.4023	62419.2617	60474.5625	51987.8242	52485.8242	55378.7227	82971.0781	55933.2852	56443.1445	49130.4375	51284.0117	91650.4062	52845.582	65314.1992	76534.8281	46203.0977	48703.7344	89292.5781	58631.9531	56053.6562	69771.4219	74677.8672	36175.9492	53005.8281	31945.3457	53412.957	45280.5117	111206.0234	65033.9258	71024.9297	65006.0508	68208.4062	62173.0742	56969.3828	74765.6016	96277.3438	53872.4414	38919.5039	72437.5	31913.6211	65651.7656	78533.5625	51852.875	32334.7578	50358.9141	81583.6719	37614.8047	68288.2422	124189.2812	41868.2461	61921.7969	61667.5625	91105.1719	65351.6016	36510.543	43254.168
0.8005	91694.2969	54320.1797	54450.6797	41107.0586	72388.5	47207.9141	45734.9141	45438.1133	52198.707	74214.8516	41189.3281	59872.2969	54422.9102	36413.4297	34250.168	60327.8359	82934.2266	93105.25	51302.4883	60214.8008	36035.8984	34866.9375	46687.5312	47253.9844	41734.082	40056.4297	50344.3164	74564.9688	38816.5938	74546.875	38654.6406	39466.0156	83350.2422	42113.4922	60161.0977	71867.6719	37359.9844	38821.7344	68644.7969	58625.625	79011.6719	53097.3359	86215.3203	34275.8164	39207.2344	30499.457	74579.6016	35482.8398	98324.3125	48964.6211	56321.4062	54755.7539	49586.1523	59127.25	63176.7617	59652.8945	72687.4453	60415.3594	37004.0117	62866.3125	27604.207	68272.9297	67259.1641	49103.5352	29882.293	41032.0625	65315.0703	33191.7812	47966.7188	146839.2031	36614.4141	94916.9609	50071.1211	66005.3906	63861.5195	32581.6738	36440.2656
0.934	60347.6523	38404.3086	41320.2969	34464.8008	60523.7969	37890.5195	58223.9609	37402.2539	41928.0391	50535.6055	32043.5332	44836.3164	41386.7227	32557.3184	32387.75	41481.9766	59189.8242	129216.7969	38683.7031	55310.9844	33278.4766	33761.9023	36556.6836	37518.2461	35541.6523	34253.8164	37061.2812	49042.7969	31608.1348	72834.4453	36553.793	35743.2969	55031.5312	35414.5156	44071.6523	49200.4219	33664.4727	33613.8867	46800.9492	47488.4336	80264.2891	41006.9375	72726.1406	31023.9629	33893.6406	29409.8047	91693.3438	31854.7891	62655.2305	40877.5547	43054.0703	40907.2617	36553.2227	44587.4922	52595.5234	43214.25	48750.5234	53489.4414	34466.0625	46462.9023	26450.2031	52515.2031	47120.8164	37810.668	30163.3145	33152.3594	44601.0391	31522.1973	38134.2109	105012.3516	32483.9004	101454.4609	40172.3086	48961.7539	49578.1328	32477.4004	33877.6406
1.0674	42031.7266	31638.3652	34003.0234	29575.625	42278.582	36142.8242	62593.5273	35180.2188	40876.8359	39596.668	29602.1934	36089.9023	33674.0156	32330.043	33186.3594	34862.7578	42675.9219	117145.5938	36778.1055	44091.8242	32232.709	32310.873	33926.5938	31649.6699	33407.3984	32672.8418	31525.0059	38629.6289	30435.7852	54417.5	33646.8398	34083.8047	40325.4531	32575.2734	37559.8945	36730.3438	32505.082	31844.9219	40582.9805	41042.9219	57615.5859	35461.207	49810.1914	31373.043	31895.4258	27856.1309	75712.4844	29992.0566	42314.3945	37701.9141	37147.9453	35788.5742	32435.4258	36855.3984	39739.9492	36189.7734	38546.9648	41489.8242	30424.0254	37574.0195	25220.9629	39729.3086	36933.7734	31675.0742	28054.7422	30178.6445	34693.2891	32475.9277	33296.9492	59235.1133	30053.75	73627	36149.2461	39096.5312	40587.5156	31299.0312	32573.7969
1.2008	34398.5312	30395.0605	30552.291	30548.416	33597.2969	35286.3086	52340.4492	32767.6387	41632.7344	35657.707	27530.5723	33118.3047	31911.791	31704.3867	33228.2305	31404.3047	37593.6055	71353.1953	34795.5547	39149.832	31848.8359	33757.1875	32871.4219	27705.5	30547.0664	32739.5098	30587.7539	33460.5703	28958.1992	39722.1719	33474.5547	34523.6133	33684.0859	29541.1367	34517.9922	31675.9023	31035.2129	32084.0684	37231.3555	35830.1406	45523.625	32671.4883	37951.1289	31092.0391	31599.918	29154.8848	52816.0117	29602.2383	34703.3672	34264.2266	34326.5352	34526.668	30788.4824	32096.793	35589.7109	33008.5547	35616.0078	34663.2344	30852.6445	33769.1992	25986.1973	34905.8594	34538.7656	28437.6172	29221.4355	30464.8242	31626.6621	32230.7031	31202.8457	41452.0625	29283.334	47280.4141	NaN	35495.4531	37086.2891	29849.2129	30930.3418
1.3342	31175.4707	NaN	30966.084	30227.7734	30124.1543	35639.8398	40704.9102	34394.1797	42370.1562	33408.7734	26549.3477	31044.4512	30981.3984	30457.1035	31420.6699	29798.1211	36003.1953	47783.043	32460.252	36817.832	33051.6133	33660.6523	32394.1367	27743.8477	30938.7227	33846.6172	28863.8809	32424.1953	28279.998	34637.3867	31836.9551	34686.3398	30053.209	29839.7617	31933.8945	29792.2148	29648.4727	30728.248	34295.625	35068.5	37409.9883	31765.1836	34730.1016	31021.7812	30775.2812	29761.541	42227.3477	30043.1445	30977.3008	33374.4531	31726.4707	33850.7344	31126.1328	31757.4121	32734.5273	34133.8477	34518.9102	32281.0059	28933.7246	33685.7734	24744.2422	33950.5938	33146.2734	28136.5352	28190.0898	27939.2754	30527.3906	32935.1602	29396.3262	35600.3555	29486.6426	35720.207	NaN	35083.543	34683.918	30204.1094	32327.8711
1.4676	31474.6035	NaN	29255.918	28211.1895	28595.209	37803.2812	34925.1641	31846.582	41641.8867	32608.0762	26342.0332	30368.2969	30219.5566	29865.2656	32445.6211	29698.1055	33184.8086	37681.5	32662.2441	34832.7461	32136.5664	33467.8164	30982.8301	27275.2363	29474.248	NaN	27357.8164	31192.418	26926.9824	35489.3008	NaN	34277.7109	31206.1133	28903.6367	33394.3086	29010.1211	29934.666	28227.8711	33584.5742	34651.0234	35818.2148	31153.1172	33854.6094	30117.7559	29190.2559	28295.1035	38149.3477	NaN	30016.9453	33430.6016	32025.4473	32670.1797	30239.9648	33422.6562	30994.6211	31056.4766	34024.0781	31906.9473	30083.0098	32709.9766	24938.8574	32102.1797	32129.6309	29342.6094	27180.5625	28526.4434	30379.8281	31401.502	28476.2305	32669.3652	31484.3672	32491.6445	NaN	35404.6719	34004.3281	29857.4492	32605.0566
1.6011	NaN	NaN	28020.0273	29020.8887	28942.1328	36579.5352	32969.9805	31522.8359	40260.668	33440.8438	28092.5566	30097.7129	29189.0801	30780.2695	32889.9922	28991.9062	32779.8086	36082.543	34233.9453	32801.9375	30861.3203	33940.8633	31187.7578	27350.9316	29080.4395	NaN	28304.8555	30657.0156	26469.6211	34467.2773	NaN	34469.8906	29630.2031	28858.2617	29856.6055	26508.2344	29528.4961	28682.0762	32873.9141	35574.4141	34720.6211	30572.4863	34026.6641	30080.0293	30624.1934	28394.0098	35067.543	NaN	29145.1172	33555.7734	NaN	32605.752	30437.1973	32129.7148	31224.207	30020.3867	34640.0625	30908.1641	30204.5156	31134.6152	25398.4688	32037.2949	31774.6152	29176.9453	26964.0332	27994.1191	29934.0625	32298.8613	29223.0391	32840.7188	31628.7246	31117.4844	NaN	33496.125	33251.8281	30159.5586	32335.252
1.7345	NaN	NaN	28124.2344	27853.0293	29180.0234	33214.1445	31883.3164	30659.9004	38086.9531	32922.3203	27909.1523	29820.6504	28476.2227	30872.1445	31344.2695	28552.4414	30582.9863	31380.5723	37776.8438	34571.2305	30143.3555	33578.0234	29417.9082	26706.623	29852.2324	NaN	28711.0078	NaN	26720.3398	33624.5859	NaN	35090.2227	29086.4316	28214.6973	29954.7773	NaN	NaN	28701.873	33695.1836	36249.457	33783.4922	29809.8555	33061.8555	27679.5898	30775.043	27686.334	36958.0039	NaN	29422.6289	33380.0234	NaN	32717.2891	30518.4121	31516.8184	31322.832	29956.6211	33327.4688	29284.0781	29389.4922	32673.3809	NaN	30290.7012	31171.4707	29512.3027	27563.459	27900.0254	28125.4004	32125.0117	28768.0059	29741.7695	31535.2129	30311.0156	NaN	34710.6836	33632.1797	29514.7676	NaN
1.8679	NaN	NaN	NaN	27815.6289	28735.3027	33137.6328	33054.1602	30649.3691	36386.9453	31154.2031	27283.9648	29434.1133	29129.7109	30960.6797	31499.4062	NaN	31573.0391	29962.2051	37383.582	33830.7969	NaN	32329.666	30307.4355	25530.6133	30954.7773	NaN	27995.3633	NaN	26842.3145	34011.9258	NaN	35373.793	28644.0254	29235.2031	30666.3418	NaN	NaN	29129.9746	32120.7891	34690.6719	32309.877	31041.1797	33361.7188	26762.1914	30618.9707	28628.1543	35566.5898	NaN	28103.0273	33623.2852	NaN	31456.5137	30022.4297	30433.3066	33092.5742	29493.2695	32169.502	30404.8262	29137.7344	32922.8203	NaN	29459.7012	NaN	27662.5586	27672.2285	28028.0645	29600.207	32734.623	29479.2422	30163.7266	32201.7598	30583.1543	NaN	32010.9102	32375.7266	29081.918	NaN
2.0013	NaN	NaN	NaN	27857.9219	27665.1406	33430.1953	31538.3711	30914.7031	33733.6016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31690.4336	30460	31362.0488	34285.6641	NaN	32890.2969	29722.8867	NaN	29240.625	NaN	27541.627	NaN	27057.6426	33282.1992	NaN	35262.9609	28933.2988	28361.4746	30675.5098	NaN	NaN	30478.1875	32775.4023	35804.5898	31647.8672	31081.0195	33268.2031	25527.2168	30503.7656	28597.3457	34153.6797	NaN	NaN	31301.1309	NaN	30862.0605	28711.4004	29570.3672	30957.3945	29956.3418	NaN	28550.7266	27122.8418	31479.2129	NaN	29833.2012	NaN	27908.8047	NaN	26947.5254	29426.3828	32137.3477	28717.2188	29997.9082	31866.2773	29749.1309	NaN	33821.375	NaN	29354.3926	NaN
2.1347	NaN	NaN	NaN	28373.623	29301.9648	31829.0977	31601.6719	31357.5605	34091.4961	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31700.4609	30960.9336	33140.9297	34270.1484	NaN	31117.1523	30206.4453	NaN	29444.1016	NaN	NaN	NaN	27129.334	33565.0469	NaN	34642.5469	29200.0137	NaN	29989.916	NaN	NaN	NaN	34150.8281	34429.6055	33175.9961	NaN	31891.0508	26239.5684	29661.8242	29028.3145	NaN	NaN	NaN	31863.498	NaN	29110.0918	27565.1562	30798.6484	29584.3828	28835.6016	NaN	28526.2559	27647.791	31338.6562	NaN	NaN	NaN	NaN	NaN	NaN	30788.2383	NaN	29414.7422	29460.8672	30955.9297	30661.5859	NaN	33985.1719	NaN	29421.4902	NaN
