X	Y_20181208_15100_1_2g	Y_20181208_15100_1_3g	Y_20181208_15100_1_4g	Y_20181208_15100_1_6g	Y_20181208_15100_1_7g	Y_20181208_15100_10_1g	Y_20181208_15100_10_2g	Y_20181208_15100_10_4g	Y_20181208_15100_11_1g	Y_20181208_15100_11_2g	Y_20181208_15100_11_3g	Y_20181208_15100_11_4g	Y_20181208_15100_13_10g	Y_20181208_15100_13_11g	Y_20181208_15100_13_15g	Y_20181208_15100_13_1g	Y_20181208_15100_13_3g	Y_20181208_15100_13_4g	Y_20181208_15100_13_5g	Y_20181208_15100_13_6g	Y_20181208_15100_13_7g	Y_20181208_15100_13_9g	Y_20181208_15100_14_10g	Y_20181208_15100_14_1g	Y_20181208_15100_14_4g	Y_20181208_15100_14_5g	Y_20181208_15100_15_1g	Y_20181208_15100_15_4g	Y_20181208_15100_15_7g	Y_20181208_15100_16_1g	Y_20181208_15100_16_2g	Y_20181208_15100_16_8g	Y_20181208_15100_16_9g	Y_20181208_15100_17_1g	Y_20181208_15100_17_3g	Y_20181208_15100_17_4g	Y_20181208_15100_17_6g	Y_20181208_15100_17_7g	Y_20181208_15100_17_8g	Y_20181208_15100_17_9g	Y_20181208_15100_18_1g	Y_20181208_15100_18_2g	Y_20181208_15100_18_3g	Y_20181208_15100_18_4g	Y_20181208_15100_18_5g	Y_20181208_15100_18_8g	Y_20181208_15100_18_9g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_19_3g	Y_20181208_15100_19_4g	Y_20181208_15100_19_5g	Y_20181208_15100_19_6g	Y_20181208_15100_19_7g	Y_20181208_15100_19_9g	Y_20181208_15100_2_2g	Y_20181208_15100_2_3g	Y_20181208_15100_20_10g	Y_20181208_15100_20_11g	Y_20181208_15100_20_12g	Y_20181208_15100_20_2g	Y_20181208_15100_20_4g	Y_20181208_15100_20_8g	Y_20181208_15100_20_9g	Y_20181208_15100_21_10g	Y_20181208_15100_21_12g	Y_20181208_15100_21_13g	Y_20181208_15100_21_2g	Y_20181208_15100_21_3g	Y_20181208_15100_21_4g	Y_20181208_15100_21_7g	Y_20181208_15100_21_8g	Y_20181208_15100_22_10g	Y_20181208_15100_22_2g	Y_20181208_15100_22_3g	Y_20181208_15100_22_5g	Y_20181208_15100_22_6g	Y_20181208_15100_22_7g	Y_20181208_15100_22_9g	Y_20181208_15100_23_10g	Y_20181208_15100_23_1g	Y_20181208_15100_23_2g	Y_20181208_15100_23_5g	Y_20181208_15100_24_1g	Y_20181208_15100_25_2g	Y_20181208_15100_25_3g	Y_20181208_15100_25_4g	Y_20181208_15100_26_11g	Y_20181208_15100_26_1g	Y_20181208_15100_26_3g	Y_20181208_15100_26_6g	Y_20181208_15100_27_10g	Y_20181208_15100_27_1g	Y_20181208_15100_27_3g	Y_20181208_15100_27_5g	Y_20181208_15100_28_1g	Y_20181208_15100_29_1g	Y_20181208_15100_29_5g	Y_20181208_15100_30_2g	Y_20181208_15100_30_3g	Y_20181208_15100_32_5g	Y_20181208_15100_32_6g	Y_20181208_15100_4_1g	Y_20181208_15100_4_2g	Y_20181208_15100_4_5g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_5_6g	Y_20181208_15100_6_1g	Y_20181208_15100_6_2g	Y_20181208_15100_6_6g	Y_20181208_15100_7_1g	Y_20181208_15100_7_3g	Y_20181208_15100_7_5g	Y_20181208_15100_8_1g	Y_20181208_15100_8_2g	Y_20181208_15100_8_3g	Y_20181208_15100_8_4g	Y_20181208_15100_9_1g	Y_20181208_15100_9_3g
0	13106.2002	12336.2266	13387.0967	13230.2432	13159.1611	13498.9639	11281.9326	12265.0762	11139.2891	13509.9258	13365.0635	12550.2559	12947.0596	11685.082	10847.3271	14197.4326	11413.0732	11935.5596	11937.6846	12410.8574	11627.832	12331.2588	12598.2998	10891.4795	12284.459	11859.9648	11659.666	12795.9951	13027.916	12028.5	11376	13283.1299	12743.7734	11792.7998	13001.1553	13244.2881	13138.0439	12502.3701	11713.5635	11842.1543	11802.3564	12899.0254	13357.2881	13366.7324	11947.7344	10728.9893	12353.4463	11598.4873	11924.7891	10922.8311	11810.626	11780.9121	11522.0049	11372.1494	11910.2773	14736.2393	11289.8115	14694.4863	11381.8223	9941.7002	12383.71	12914.7998	13159.6924	12829.7881	12572.9111	11888.2588	11421.8545	12246.0996	11350.2393	12256.2344	12409.8945	12926.4668	11892.3389	11996.9824	11068.0068	12117.9004	12326.2822	12157.1846	14488.3613	13300.7998	12134	12116.7793	12815.8135	10274.499	11131.8047	13329.8584	11926.752	11040.498	11657.0781	11441.2451	11353.0879	11557.2998	12196.9902	12046.3545	11599.5527	10259.6719	10365.6611	11423.7881	12685.0439	13908.1006	11454.0039	11577.2803	12183.4775	11625.3184	14432.9736	13023.1387	12375.7646	12574.8965	13315.3037	11548.0479	13203.6436	12320.8545	12154.0674	12428.5	12438.5967	12070.6523	11298.5	12376.8125	12135.376	11272.6191	11991.1846
0.1334	13407.7246	13084.1885	13077.6611	12530.6865	13914.5752	13309.4141	11720.9482	11749.9424	10834.7275	13535.2559	13419.2119	12967.7725	12571.7578	12004.0498	11847.1279	13597.5674	11238.3262	12157.0186	12660.1309	11961.4209	11702.2256	12308.2363	12563.5293	11532.002	11918.3125	12384.8398	11858.6787	12604.5898	12862.0771	12016.9004	11319.5	13613.9746	12929.2881	12319.7275	13182.0957	13476.5352	13725.6621	12522.3564	11514.1846	11490.6816	12143.5264	12890.0254	13617.373	13171.125	13228.9619	11089.6572	13019.8135	11068.0137	11572.7793	11175.9111	11488.6025	11840.4629	10961.167	11233.3193	12357.5908	13566.5537	11777.9229	14880.6084	11699.3145	10937.8408	12562.6396	13035.3496	12779.2012	12714.166	12706.8955	11928.4961	11793.5615	11736.7812	11335.4199	12768.623	12741.8496	12637.1436	11804.2812	12011.7256	11383.7568	11932.8242	12070.3252	11755.8037	14687.4961	14182.3652	13533.5879	11892.584	13139.0088	10628.7354	11412.6104	13151.3232	12424.5273	10473.7676	11683.2832	11061.6396	11479.7227	12160.375	12279.3926	12219.3965	11918.3125	10473.0137	11168.0664	11516.6387	12188.5273	14013.7383	12097.7646	10880.3184	12279.2793	11539.7158	14875.7607	13853.9834	12463.6494	12766.9258	13462.1514	11555.7783	13106.7334	12258.376	12069.0977	12209.4893	12507.082	12426.4307	11618.6143	12672.2549	12779.4619	11143.9297	12572.541
0.2668	13052.125	13949.1357	12944.5205	13399.1885	13619.457	13773.9736	11500.1016	11891.1807	10796.0273	13136.4521	14184.9824	12876.0557	12837.417	13484.043	12367.6094	12772.8398	11334.1055	12339.7852	13030.7051	12198.4004	11452.999	13150.1113	12335.9678	11437.6826	12363.3926	12814.3037	11960.9805	11688.7646	13272.1934	12737.2002	11628.9004	13140.0742	12769.8066	12642.7705	13693.8379	13864.2051	13429.0615	11883.7617	11839.0869	11901.5869	12448.4824	12570.1748	14337.7988	13568.1729	14737.2373	11392.6543	12764.6064	11843.7549	11754.8174	11591.2471	11614.457	11679.2383	10864.4092	11207.3271	11950.2646	13895.3154	12107.582	13971.5244	11622.626	10579.8135	12005.0479	13283.9961	12865.7627	12897.4365	13104.9385	12586.3965	11890.3955	12990.9648	11435.3828	13271.416	12797.9756	12187.4785	12156.5098	11838.3594	11489.6465	12596.4268	12194.292	11923.4902	14425.877	14398.21	13407.0254	12169.0361	13229.0615	10619.915	11651.8643	13424.5332	12808.1592	10778.249	12061.1943	11415.0234	11946.1094	12602.0967	12472.5967	11755.2178	11967.9746	10657.5186	11734.2539	11218.0078	12893.6855	14817.0469	12114.9346	10733.0254	12685.75	11867.1895	14647.0166	14380.25	12922.2012	12510.377	13987.8506	11495.0625	12872.6104	12570.3516	12141.6445	12926.3984	12554.1152	12264.0361	12034.7686	12704.1035	12550.8438	11791.5186	12291.3408
0.4003	13139.8408	13154.2383	13698.0225	14408.6094	13402.5742	13403.8555	12160.3418	12160.4141	10376.4961	12794.6992	15305.2793	12446.4697	13853.8066	14059.9551	11775.874	12955.9609	11646.2275	13132.1807	13147.0957	12853.9785	11859.7686	12995.8252	12173.7549	11765.2393	12017.6484	13182.2754	11600.623	11616.3926	13382.4297	12400.0996	11991.4004	13366.4951	13289.25	12197.3545	13782.04	14421.7588	13948.7334	12613.8838	11568.2461	11368.0566	12535.1738	13667.7881	14765.0537	14685.0742	14036.8174	11501.4092	12822.2803	11751.5986	12584.1865	11496.167	11794.2744	11606.8418	11305.251	11627.752	13179.7568	13647.0312	11841.2256	14919.1396	12322.9814	10646.6748	12106.4443	13768.2402	13056.4961	13416.7949	12519.9316	13102.7344	12200.0469	12167.2637	11671.4492	14592.8174	12360.501	12486.666	13085.7588	12671.3086	12837.0811	12082.1211	11927.0869	11220.4824	13872.8916	15738.5332	15541.7266	12417.6113	13698.4707	11154.3887	12252.4023	13524.4336	12046.2705	11445.0234	11905.8975	11184.5264	12242.1396	14357.1357	12860.8486	11847.6533	12892.123	10930.7578	11454.749	11309.2637	12456.6768	14468.2549	11797.2393	10798.8467	12249.9834	11986.207	14710.4238	16596.9316	13298.3584	13426.5439	14890.958	11404.4746	13696.4248	13358.6406	12635.7197	12630.374	13319.2568	12511.7119	12547.5947	13336.5811	12061.6025	12568.46	11692.3154
0.5337	13085.7256	13491.2344	14734.9043	14411.4277	13977.8018	13711.3047	13266.9639	12249.042	11260.7891	14234.54	15709.3115	12156.2812	14453.5352	15140.9629	11659.8691	12872.4893	12459.2871	13261.7256	14273.9873	12315.252	12788.0508	13718.2236	13467.5713	12545.3291	12307.7852	14186.1689	11750.5352	12028.4033	13310.7764	12852	13376.5	14548.7275	14647.167	12638.7314	13636.3818	16126.793	14448.0059	12430.9834	11742.2012	11833.8574	13225.9639	13833.291	15055.9688	17055.0723	14276.2959	12945.8506	14404.6826	11791.2676	14698.8418	11586.1709	11505.7383	12308.0938	11471.8193	12042.1143	13538.8535	13547.0615	11800.2998	16095.6592	12475.2344	10890.6055	12417.3818	14286.8545	13401.6807	12668.7988	13065.7578	13267.5059	12653.9893	11954.6904	12769.957	15038.7725	12625.6865	13188.4053	12758.7324	12754.375	14306.3848	12034.0752	11976.916	12439.3389	13766.3408	16243.1465	17702.0898	13510.0078	15321.4414	11177.6045	14040.4648	13982.8057	12132.0576	11640.6504	12457.9746	11529.6904	12326.9834	18079.084	12912.6309	12357.0156	13177.7959	11185.4541	12224.5723	11000.9355	12627.6484	13562.9014	12052.4736	11322.8125	12405.4062	12730.9795	14372.4287	18288.2715	13909.4629	12657.9746	14498.7754	12476.9473	14496.6377	13718.0977	13421.9492	13382.6758	12742.5605	12694.7334	13880.293	12075.6797	12328.1582	12272.5762	11656.6826
0.6671	14227.3223	14131.5898	14374.4512	14824.7891	14482.0771	15433.5	13527.1172	12888.9473	11249.0088	14806.8105	17060.8516	12528.333	13896.0312	16953.8906	12424.2852	13346.4014	13025.3066	13767.3057	16027.1885	12386.3154	13610.334	14650.5205	12699.4395	13021.4932	12382.6338	16121.5684	12482.7148	12337.5352	14092.8135	13833.7002	13983.9004	15753.1592	14832.208	12663.5098	13801.0039	16496.6387	14767.0342	12420.0869	12061.5918	12434.8623	12700.709	14182.7061	15315.7969	19164.2559	14340.873	14107.6709	15635.5029	12652.9307	16225.4062	12732.5742	11856.6914	12754.1826	12095.4355	12217.9316	13495.5947	13282.5518	12442.127	17697.4902	12758.752	11593.8516	13192.1904	14751.7422	13332.4551	13956.5596	12625.3975	14062.418	12609.4131	11854.7998	13190.8906	14916.3857	12948.0605	13797.8838	14471.3916	13865.5088	16025.4502	11856.0361	12490.2832	12312.0811	13490.8877	17939.5605	18809.0723	13685.5693	17280.8164	11083.5	16200.5	15179.6221	13102.0664	12119.0801	13642.2031	11929.7314	12069.0723	23399.75	13429.7939	13579.748	13783.0537	11530.7705	12770.9473	11465.7568	13407.0898	14588.624	13295.7715	11945.3506	12322.7559	12185.7803	14662.2607	19245.2344	15094.3467	12826.2256	14762.4287	12839.2852	15802.0615	14487.8438	13706.834	14014.4209	13933.124	13029.6602	15818.2139	11888.1846	12539.9092	13543.1357	12356.2441
0.8005	15816.8887	14336.3594	16062.957	14954.1973	13871.8486	17214.7148	13551.6064	14086.1162	12874.5049	16363.2666	16676.2969	13675.3682	13755.624	19238.9453	14132.5791	13098.54	13995.4482	14018.752	17126.7656	12371.6396	14143.042	14008.126	14790.8955	14327.5615	12430.6338	16218.8467	13066.4248	12522.2461	14665.4141	13983.5	16204.2998	16675.6328	15162.5098	13484.5703	13785.1201	15361.8076	15776.6377	13367.8203	12577.3535	13165.2334	13213.791	14258.3428	16211.4658	18613.7734	15260.4854	15286.1748	16369.1035	13802.9521	17486.0664	13780.5449	13027.9512	12789.3652	13689.4561	13033.4268	13363.8037	13875.9131	12011.3008	18084.1602	12620.8506	10956.0791	13460.4951	15937.8516	14440.6631	14699.7285	12883.7734	15631.8291	13339.3359	13105.9932	13848.085	15150.1035	13843.501	15369.9531	14468.0127	13612.3525	16096.373	12268.75	12999.4648	12165.4443	14077.9883	16020.1953	16850.4922	14521.4531	18790.9199	11493.3896	17352.373	14870.4199	13020.3799	12319.4648	14248.0186	12690.4297	13053.2012	24463.957	13248.3828	14003.6787	13931.752	11448.0283	12274.8584	12154.5811	15662.3662	14915.8037	13801.6055	12457.8047	12180.9111	12159.0977	15747.3008	22986.1543	15568.0156	13244.8906	14744.1006	13603.3984	15412.9541	16543.8223	13598.1367	13754.2666	14068.8682	13269.3701	14959.1611	11563.3184	13146.252	13609.9121	12789.9277
0.934	15694.7207	15022.543	16027.9629	14618.042	14442.583	17811.0625	12949.4629	14357.7744	14038.1133	17566.2988	16944.2031	13797.9961	13110.3867	19952.8398	14120.4238	13597.5137	16361.3896	15304.6709	17148.6445	12888.8877	15817.4219	14736.3555	15399.7363	15596.4248	12136.7871	15222.5381	13042.9951	11815.9531	15858.0146	14854.2002	15453.7998	16549.6113	14750.3906	15513.1855	13547.168	14259.5	15493.4219	13572.9297	13055.8643	13771.8174	12943.8555	14112.7324	18215.0762	16509.877	16204.2549	15047.8604	16436.2598	13271.8584	16116.6016	13303.7314	13665.5469	13380.5312	14708.9795	13176.7002	13359.6406	14303.8242	12094.3232	17733.4805	12929.1338	11363.4316	15199.3242	14606.7246	15238.0527	14838.1973	14282.6709	16762.5137	13846.6846	13038.1045	14532.5439	14451.2656	14830.9814	16478.123	14284.4727	13802.793	15225.1348	12678.7354	13468.2119	13149.3271	14012.6387	15581.3721	13718.2783	14618.0771	19309.8848	12040.792	17154.0938	14641.1953	13549.0645	12642.6631	15228.7168	13121.0615	14227.0244	20297.8242	14297.5361	13596.6328	17162.8828	11301.5293	12397.2041	13417.501	16207.9033	15429.3984	14736.9688	14724.8311	12215.6807	14028.2373	16108.3477	22055.8105	15242.374	13032.9102	16177.2207	13781.1494	15637.9707	18188.1934	14466.6875	14130.3506	14567.1055	13646.8311	12941.9277	12114.7109	12968.9219	14058.4873	12822.5576
1.0674	13986.7881	14676.6934	14970.4355	14851.5059	14242.8311	17908.5859	13148.6445	16008.2461	14085.5635	19470.7188	16920.9141	15831.0684	12662.5117	19119.4473	15299.9053	13606.6836	17287.4102	15376.8604	16475.2012	13408.3799	15924.7949	15156.8311	14955.0762	16182.0674	12018.5459	14332.1074	12535.5996	12645.0312	18735.8008	14286.5996	15734.7002	16145.2686	14979.1631	15548.1885	14355.4199	14624.3135	15449.5098	13886.7754	13520.7178	14891.3477	13558.2256	14396.1104	19336.1328	13693.8506	16420.2617	13855.0469	16575.9082	12702.9346	14124.292	12725.7979	13946.5254	14288.1025	15356.5137	14204.6924	12565.5654	14139.0518	13535.7822	16073.4443	13033.835	11952.9219	15911.0273	12578.6113	16007.543	15815.0674	15783.8955	15532.4609	14851.3525	14377.2012	14796.2334	14893.4922	15485.2773	16919.0508	14829.3535	13112.8682	13608.2607	13224.3164	14213.9336	15442.8721	14112.71	15614.6396	13839.7998	14688.4883	17512.9824	11236.4668	17291.1973	14715.2646	13932.3906	13938.9434	16160.0801	13547.4141	14074.3438	14728.4111	15398.3848	11943.9248	18893.0371	12263.5898	12940.1152	14469.1123	15056.8545	16789.1074	15297.0371	16031.333	12345.3525	15251.2158	17969.5156	21195.3965	14923.9893	13202.4629	17469.4434	13702.6416	16699.4062	15443.4629	14429.6406	13535.0391	13861.7734	14642.7559	11399.3359	11894.6846	13641.2295	14134.5684	13590.5752
1.2008	NaN	14136.9102	13758.5449	15217.167	13708.4932	15734.0967	14417.4521	15176.0244	14563.8867	17802.2109	17000.0957	16310.0176	13062.7637	20071.9492	16324.2207	13354.6553	18435.418	15234.4463	15766.5498	13978.9629	15731.083	15048.4746	13902.002	17577.3262	12645.999	14397.7295	11605.6104	12937.2988	17876.1914	13115.7998	13543	15797.7803	16306.6074	17503.0625	13963.2656	15752.1562	16483.5566	15022.75	12635.1982	14338.6377	14155.3623	13598.8584	19330.668	12588.166	17091.3887	12261.8301	18016.4043	12218.3535	12887.833	13210.3594	14304.9668	16637.9766	14844.4316	15038.8496	13294.5811	14287.6572	13250.9902	14326.2939	13105.9463	12306.3613	13347.252	11670.0723	14787.9814	15583.2314	17409.1152	14904.0781	16319.2178	13446.1396	14943.5	15368.7793	16102.376	17108.1289	15390.5039	12388.5195	11951.8369	12849.6064	15038.4229	16550.707	14456.4893	16211.3838	NaN	14220.5293	17305.0137	11872.8721	14346.708	13873.4482	13828.6406	14001.0303	17107.6133	14937.667	14550.6562	13780.5596	15644.0459	10983.6582	16897.248	13114.2031	13096.6982	13985.5645	14099.4072	19080.0684	15928.4922	14783.1768	12521.3115	17511.0703	20565.5664	20132.4531	15624.249	14659.1094	18289.0195	13651.832	17375.9824	12732.8311	14658.2266	13270.627	14059.5889	15911.6895	NaN	12442.8828	14019.165	15025.1592	13651.9062
