X	Y_20181208_15692b_1_1g	Y_20181208_15692b_1_2g	Y_20181208_15692b_1_4g	Y_20181208_15692b_1_5g	Y_20181208_15692b_10_1g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_3g	Y_20181208_15692b_10_4g	Y_20181208_15692b_10_5g	Y_20181208_15692b_10_6g	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_13g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_16g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_18g	Y_20181208_15692b_11_19g	Y_20181208_15692b_11_1g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_24g	Y_20181208_15692b_11_2g	Y_20181208_15692b_11_3g	Y_20181208_15692b_11_4g	Y_20181208_15692b_11_5g	Y_20181208_15692b_11_6g	Y_20181208_15692b_11_7g	Y_20181208_15692b_11_8g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_10g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_12g	Y_20181208_15692b_12_13g	Y_20181208_15692b_12_14g	Y_20181208_15692b_12_15g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_17g	Y_20181208_15692b_12_18g	Y_20181208_15692b_12_1g	Y_20181208_15692b_12_2g	Y_20181208_15692b_12_3g	Y_20181208_15692b_12_4g	Y_20181208_15692b_12_5g	Y_20181208_15692b_12_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_8g	Y_20181208_15692b_12_9g	Y_20181208_15692b_13_1g	Y_20181208_15692b_13_2g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_14_3g	Y_20181208_15692b_14_4g	Y_20181208_15692b_15_1g	Y_20181208_15692b_15_2g	Y_20181208_15692b_15_3g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_10g	Y_20181208_15692b_16_1g	Y_20181208_15692b_16_2g	Y_20181208_15692b_16_3g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_5g	Y_20181208_15692b_16_6g	Y_20181208_15692b_16_7g	Y_20181208_15692b_16_8g	Y_20181208_15692b_16_9g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_4g	Y_20181208_15692b_17_5g	Y_20181208_15692b_17_6g	Y_20181208_15692b_2_1g	Y_20181208_15692b_2_2g	Y_20181208_15692b_2_3g	Y_20181208_15692b_2_4g	Y_20181208_15692b_2_5g	Y_20181208_15692b_2_6g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_3g	Y_20181208_15692b_3_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_3_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_1g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_4g	Y_20181208_15692b_5_5g	Y_20181208_15692b_6_1g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_3g	Y_20181208_15692b_6_4g	Y_20181208_15692b_6_5g	Y_20181208_15692b_7_2g	Y_20181208_15692b_7_3g	Y_20181208_15692b_7_4g	Y_20181208_15692b_7_5g	Y_20181208_15692b_7_6g	Y_20181208_15692b_7_7g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_3g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_5g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_7g	Y_20181208_15692b_8_8g	Y_20181208_15692b_9_1g	Y_20181208_15692b_9_2g	Y_20181208_15692b_9_3g	Y_20181208_15692b_9_4g	Y_20181208_15692b_9_5g	Y_20181208_15692b_9_6g
0	12402.1338	12997.4893	13003.6445	11404.1191	11438.7998	13093.7441	11260.502	12128.7686	12597.2207	10094.5186	12206.4131	12087.1602	14445.3828	12285.416	12313.6084	11941.8564	12920.3633	13311.7832	11794.0967	12060.5107	11384.0586	12339.6357	12144.5283	11081.0537	10679.0312	13340.0938	13747.9961	10471.0527	12164.9316	11641.5664	12709.7314	12866.4092	12677.0498	14477.6475	11593.1904	12398.8662	12071.5146	11971.9404	14696.8115	12045.3857	13552.4365	11920.9531	12845.3428	15019.248	10947.5557	12868.8213	10815.8076	12378.1797	11194.3555	10579.3584	12974.7803	10646.042	12725.4355	11599.1943	10298.6172	13314.1553	11834.4346	11944.793	13459.5967	10254.1426	11900.8682	11281.1777	12415.2285	11429.2939	12840.9932	12791.6631	12075.8926	12986.3496	13589.4561	13084.1836	12631.9854	10761.2285	11407.7119	11743.4482	11902.1055	12287.9834	12732.4287	13499.3594	12645.4678	12054.0742	12004.8027	12044.8945	12690.125	12256.7334	12609.3613	12531.9512	11857.4189	12088.0117	12358.9258	12527.9639	12189.1943	12597.3037	15919.3652	11135.2002	13377.9629	11727.0527	12702.7773	13003.4717	12687.0088	11851.2373	14308.9756	11481.3926	11305.9014	15644.6318	12246.8398	13025.7695	12513.2998	12352.542	13655.0752	11918.1094	11201.9834	12298.5049	13418.8857	12589.0928	13203.8027	11093.8711	11561.2383	11294.6064	11776.7402	12225.5234	12710.4824	11578.2637	11477.6631
0.1334	13709.1592	13472.6172	13459.5254	11564.4971	11992.9443	12715.3125	11787.4932	13020.8789	13060.3467	9676.5039	12562.9756	12229.584	13714.3203	12091.4814	11898.5254	12196.3955	12899.0195	13080.5781	10791.126	12551.6943	11862.3848	12558.1787	11263.2227	11034.8682	10895.1875	12274.3506	13465.335	10774.6367	11571.9072	11731.1055	13108.5625	12441.5967	11923.5225	14022.7979	11501.0176	13053.6279	11521.0752	12012.9746	14150.7578	12324.3984	13172.9297	12458.4336	12353.9131	15504.6455	11186.748	12664.7402	11059.709	11512.1465	11164.6182	11004.7334	12687.6445	10355.4873	11973.6992	11745.2295	10068.8848	13533.8496	12021.9277	11837.1025	13207.71	11007.708	11684.7637	11731.584	12168.0557	11581.3066	12423.5361	13053.3662	11835.459	12908.9277	13233.7207	13125.3027	11795.5557	11078.9209	11243.3662	11615.0264	12109.3555	11959.3096	13086.332	14140.5967	13472.1416	13233.5059	12056.1279	11928.0977	12417.2012	12421.0732	12677.9268	12146.5205	12513.8545	11840.0361	12013.5996	12696.6875	12541.6543	12189.1562	15061.6416	13103.0674	13025.918	11784.2988	12547.5615	13029.3994	11951.5361	11865.6133	14243.0693	11462.1406	11488.0664	16754.7637	12184.7539	13312.6162	12790.6689	12680.5674	14171.3301	11600.2148	11003.0996	11789.6201	13514.8047	11858.4199	14076.3799	11424.9443	12153.5127	10805.5352	11998.0615	11814.1699	12534.8506	11553.6758	11720.4482
0.2668	14405.5596	13549.9248	13860.8252	11100.6035	11107.8369	13282.0234	11706.7119	13360.5781	13541.2979	10710.4385	13219.25	11720.8926	13880.2578	12159.5811	12634.5479	13144.5957	12867.6748	13046.4541	10607.8906	12154.5713	11555.1885	12908.0186	10290.5537	10611.4863	10610.1865	12289.1465	12798.4199	10665.04	11683.9023	12749.459	12087.2373	12090.8604	12630.3701	14251.5654	12231.374	13373.6006	11985.1348	11948.9629	14745.6406	12835.1787	13886.791	13499.3184	12818.293	15455.0674	11577.0537	12393.832	10621.4453	11673.9443	11296.3428	11191.2539	12447.582	10303.2979	11473.4121	11497.959	10299.2275	12815.7852	11904.4883	11678.2236	13989.542	11859.3574	11939.8428	11285.1094	11889.833	11701.3203	12591.8477	13445.9062	13078.3701	12262.7529	13162.0645	13065.4775	11644.0986	11279.248	11356.8535	11796.4814	12252.3467	11673.2275	14161.7422	14160.7139	13028.1758	13512.0469	12326.2432	10981.5283	11991.2754	11625.7998	12845.3438	12509.0615	11374.8652	12115.6475	12132.9287	11675.2119	12028.8115	12656.0117	13304.3809	13056.4961	12601.375	12019.7256	12048.8496	13849.2959	12425.0439	11610.7529	13769.8311	11219.2373	12044.1328	17695.0488	12107.5107	13421.2539	12026.7578	13358.3271	14577.9463	11804.0762	10900.7773	11493.5615	12595.9229	13161.4229	13132.3311	11112.3555	12102.8164	11322.6807	12650.6006	11645.0625	12547.7275	11075.3408	11128.6045
0.4003	14364.623	13518.9297	12595.7725	11369.5977	11521.3037	12953.9111	12228.6807	13661.0586	13084.2607	10630.8857	12422.0586	12266.4502	13063.083	12298.6777	12734.875	12599.9346	13279.249	13822.9502	10678.2139	11832.2412	11550.0703	14254.0176	10764.623	10410.4365	10570.0605	12251.2197	14259.5596	10641.4014	11168.7461	14377.9746	11844.2705	11844.9414	11899.7285	13042.2949	11873.9922	12883.1318	11613.4629	12477.1113	15334.4834	12657.2705	14323.7178	12953.1553	12630.1133	13931.4902	11767.1201	12582.7969	11016.3535	11946.165	10945.4551	10765.9365	12706.0137	9730.5635	11632.1738	11222.2266	10741.8086	12880.7344	11538.2822	11937.7109	13006.5654	12819.8965	11742.415	11269.6836	11722.8848	11434.0996	12726.7793	13867.5146	15483.4463	12600.0391	12854.1133	13743.2178	11648.6973	11509.0107	12305.6074	12571.5928	12387.2393	11889.4385	13638.376	13913.832	13798.1943	12537.8311	12450.9951	11624.0137	12418.8291	11962.8359	11958.418	13050.5146	11732.373	11926.2246	12355.791	12240.9053	11926.9082	11724.3564	12420.8125	15762.5547	12145.959	11715.3584	12336.7295	14545.2578	12516.6924	12240.1562	13625.7119	11721.4346	11217.3535	19241.4141	12906.8633	13248.2266	12050.7783	13234.2119	14607.9268	12236.1826	10939.5938	11868.7979	12400.0293	13111.5645	12754.6689	11188.873	12428.1641	11250.3584	11834.3418	12008.6689	12826.9727	11863.3477	10710.2627
0.5337	15113.7871	13390.4043	13148.3291	12008.7305	11214.8604	13747.6094	13643.8789	14028.9521	13321.6924	10489.8145	13629.1191	12505.6211	13110.3857	12437.2578	13019.8242	12629.3135	13872.1787	14390.4473	11032.0898	12526.4189	12110.7773	14054.9297	10905.8086	9734.6641	11184.7119	12748.3818	14878.0088	11101.4434	11601.0684	15651.251	11676.7217	11991.7695	12031.8535	14252.3154	11814.2188	13265.04	11986.4717	11913.4053	14421.7451	12451.9121	14139.1699	12818.0645	12483.0889	14960.2871	11865.1035	12295.0029	11055.1953	12482.8418	11541.3867	11128.0781	12187.4971	9851.9697	11521.749	11174.9424	10688.7266	13039.5029	11486.9287	12911.8281	12631.2148	13159.377	12194.7588	12096.9346	12140.9277	11714.8418	12229.1152	14585.6074	17083.9551	12586.8789	12281.6621	13787.248	11977.9121	10566.0693	12460.1475	11518.8516	12433.582	11986.9707	13527.7617	13917.7754	13376.9072	13024.9121	12720.0029	11444.6064	12678.9561	12468.5635	12493.748	12851.9355	12222.5625	12546.3486	12062.6465	12919.6768	11774.2412	11739.0049	12096.2568	17123.4004	10919.6455	11490.0195	12217.0244	14521.2168	12774.5273	12567.8623	13339.2617	11961.0625	11251.7246	20657.9609	12424.626	13291.9219	12156.9033	13738.2383	14722.1895	12645.9062	11358.9082	12256.3018	12799.043	12706.5322	12915.0254	10953.3115	12474.7334	11507.6367	12586.5752	13164.6445	11808.1338	11475.2148	10728.1592
0.6671	15557.3877	15123.415	12726.8965	13313.3477	11099.9395	14081.6475	13125.5527	14605.1396	13228.2744	10221.4502	13162.8906	13324.7852	13709.9453	13206.0068	13974.6553	12567.0488	13175.1797	13973.9697	11402.9795	13512.2295	12960.7129	14947.6582	11565.2461	9887.2666	11283.8564	12863.5859	16545.3691	11399.2021	11667.3184	14453.5068	11991.4141	12438.1738	12460.0752	15979.8691	12701.9717	14717.6729	12472.3652	12899.8057	14472.0879	13047.1504	14591.0791	13338.2109	12450.0625	14984.5547	12188.3555	12188	11181.7061	13459.6543	12733.6572	11621.9629	13053.3467	10417.623	11852.0049	11752.9668	10651.3086	12811.8965	11880.0498	14563.0508	13569.0361	13652.3955	12016.3428	11541.0791	12060.4873	12030.5918	12973.4736	14415.5664	17303.4395	13657.748	13037.374	13092.9951	12975.125	10608.0156	12796.1465	11740.8301	12626.3115	12578.3135	12679.2969	14572.9834	13304.917	12524.1475	12556.6211	11341.7217	12409.25	12752.0635	13130.292	14167.3467	12006.7158	13168.1211	12086.6396	12688.7207	11897.0107	12004.1367	12613.9014	16204.0205	10499.1592	11705.0166	12059.6504	14877.8838	14195.6006	12748.1963	13059.4102	12892.4609	11418.082	20068.1523	12964.9121	13971.4707	12432.8145	14351.6738	15349.6162	13652.9395	11622.9277	12296.5303	13221.6816	12446.3516	13006.7812	11220.917	12822.2793	11252.4297	12886.0322	15095.6582	12098.458	12024.7168	10895.8281
0.8005	15404.4912	15211.4189	12809.0449	13939.3184	11462.3105	14910.1465	11979.1592	15519.9795	13413.1875	10529.8789	13347.042	13493.2695	13314.0244	13877.0977	17486.1758	13888.8223	12746.6396	12930.9609	11785.2588	14146.0889	13844.4795	14732.5332	11532.4004	10439.1299	11631.1094	13851.3574	17340.1758	11492.6699	12308.2969	12807.4404	12909.333	12004.9277	13441.8154	16599.8145	13863.0166	15657.9102	13114.4307	13370.4727	15928.4717	14025.8027	14595.9766	12234.2549	13124.0244	13450.3604	12271.5459	12250.3877	11956.0781	12851.9854	13069.2295	12074.3564	14320.2822	10482.5684	12415.4746	12173.4746	11434.4355	13346.2129	11528.4121	14983.501	12988.7676	14810.6943	12119.1221	11537.1797	12170.3584	11694.207	12941.1689	14998.1895	17711.8789	13333.3828	13282.5137	13339.3496	12776.4033	11097.7461	13597.3604	11944.8115	12752.1553	12606.8652	12647.7168	14210.2695	13859.4648	12894.2559	13393.9717	11858.335	13199.5596	12916.9854	13402.4473	14087.4395	11600.7959	14494.7236	11605.2334	13279.2559	11709.9512	12477.9473	12196.8691	15618.1816	10836.6816	11753.2266	12543.958	15442.1992	15595.5137	12761.8623	13963.8926	13729.6396	12522.293	18578.4531	12858.626	14886.3027	12650.0918	14891.2773	14710.167	14433.3223	12526.875	12245.5166	13238.4102	12824.8018	11935.1543	11415.0596	13417.1875	11046.2217	12747.8145	16647.0293	12238.1289	12932.3984	11170.624
0.934	15491.5752	14745.9531	13839.9893	13560.7451	12492.5215	16489.1953	11614.8496	18128.2285	12909.1611	10910.5176	13003.6992	13309.2793	14400.0371	13793.9541	18331.127	13783.5586	12929.3145	13136.958	11773.0508	14719.3291	14402.3613	15205.7998	12398.3164	11085.248	11463.6914	14731.0078	15001.8125	11697.54	12592.2686	11483.0645	13502.9092	11726.0264	14944.4043	17701.5703	15751.6709	17911.4023	13777.3047	14915.4902	16490.2031	13958.3291	13808.4912	13258.0146	14034.8506	13021.8584	13950.6572	12266.2158	13455.9482	12437.0488	13136.4619	12789.834	14854.457	11113.126	12565.2969	13126.2402	11111.9365	13556.4775	12391.5254	15256.9023	13745.4453	16757.5938	12386.7275	11651.8701	12378.6865	12200.4541	13752.7988	15456.8955	17460.1172	12482.9023	13304.916	13305.0459	12822.4697	12055.4014	13873.9688	12115.8623	13904.125	12388.3398	11788.0166	13127.1289	14773.3496	13239.5752	13712.9873	11526.5479	13257.0088	13239.1055	15034.3945	14182.6211	11197.3281	14773.4658	11681.0713	13442.0342	12041.8545	12308.7402	11646.0645	15646.7705	11163.7627	12460.7939	12740.8809	16121.3701	17394.7969	12750.1963	14294.0205	15947.2754	12479.2002	14891.2959	13045.5654	15424.2178	14092.2969	14912.7959	14557.1572	14410.5381	12510.4912	12247.4316	12222.6748	14497.9854	11533.2002	11680.5234	14423.2422	11571.6289	12918.333	16249.9736	12717.498	14072.6357	11446.6152
1.0674	14063.1465	15798.8604	12691.6455	12909.6904	13682.8154	16752.4277	11790.375	20393.4648	12804.8887	11719.4629	13773.9385	14063.2021	17204.6074	14411.5566	18172.209	14718.4238	14687.0762	13137.9551	12833.126	15816.3242	14875.6914	14340.7793	13555.667	12069.7764	11720.7227	14173.2598	14091.9551	12547.8447	14231.498	NaN	13555.2373	12153.209	16830.7578	15767.1875	15158.1865	20214.7559	13954.502	14800.5381	18794.0898	14690.6865	13065.8574	13863.666	13751.4297	12386.0869	14857.1641	12676.0459	15061.5742	10907.6816	14118.29	14041.8213	15289.0283	11818.8584	14221.3516	13196.8691	10677.2744	14027.8018	13058.1758	15232.46	14908.8887	19246.4043	12919.1406	11939.1777	12008.416	12935.6064	14766.8457	17763.5684	14359.5146	12452.0059	12904.7705	13758.4795	13280.0557	11649.0703	15795.6875	12811.1729	15868.9316	12910.2686	11705.6807	12815.4424	14312.7451	13847.6152	14182.1621	12066.9785	14331.6279	14222.6123	15045.3145	14297.7031	11341.8516	14057.7842	11635.791	13969.7725	12470.127	13177.4648	12191.2715	16781.7852	11092.9639	13150.7129	12281.29	14344.9414	17450.3008	11919.6631	16095.2891	17326.5137	12500.6396	14680.0713	14203.1484	15677.7236	15701.3018	15562.6562	13750.9961	14771.0352	13172.0723	12796.5869	11889.8896	14820.0469	12417.0322	11797.3818	15445.9258	12457.3174	14390.4219	15912.6543	12759.0742	16301.7451	11230.4746
1.2008	13895.8477	18177.1914	12824.6855	13449.5332	13733.5283	15514.8096	11804.3457	16393.123	13282.542	12061.2598	13554.2217	14438.5088	18782.1738	14800.126	15532.2744	15023.3574	14702.9619	12828.8438	12813.2314	15301.667	15996.3594	14579.751	12729.0518	12575.4141	12281.5674	13414.8789	13907.5381	12328.8574	16371.5381	NaN	12590.6514	13405.9375	16508.2598	15750.3486	14577.3008	21790.0176	14411.1172	16184.4092	19406.9961	15186.0781	13131.8584	13885.4551	13888.7402	12736.1523	16234.2764	12776.4258	18556.0137	11128.9512	15048.29	14107.6836	15262.5039	12020.7686	16432.5371	14113.0439	11926.7617	13887.708	13473.54	15164.3037	15526.8027	22145.707	12959.5459	11428.8057	11795.335	13949.0371	15763.3281	19160.1348	11768.7568	13207.8242	12990.4492	14184.5918	14690.0088	11077.3994	16442.1797	15169.1006	15340.8232	13701.4902	11604.5654	12876.8018	14471.1777	14147.4521	13590.2188	12493.9209	14683.7939	16647.1738	14481.6543	14452.6357	11774.3975	13324.5498	11507.5244	15436.2832	12980.5869	15314.5205	12756.0195	16458.373	11773.0205	13295.625	12206.0303	14361.5312	17227.3633	12222.3115	19449.8242	16036.8564	12691.9268	14427.1084	13617.8926	15815.9453	16168.7939	15917.4521	13660.7402	15008.2002	11647.1709	12634.1465	11764.8623	13529.9775	12310.8965	11884.251	15571.0723	11907.3359	14889.1113	14050.1846	13861.5693	16057.0059	12051.1816
