X	Y_20180212_14590b_10_2g	Y_20180212_14590b_10_5g	Y_20180212_14590b_12_6g	Y_20180212_14590b_13_2g	Y_20180212_14590b_16_2g	Y_20180212_14590b_16_4g	Y_20180212_14590b_17_1g	Y_20180212_14590b_1_4g	Y_20180212_14590b_1_9g	Y_20180212_14590b_20_3g	Y_20180212_14590b_22_2g	Y_20180212_14590b_26_6g	Y_20180212_14590b_28_2g	Y_20180212_14590b_28_3g	Y_20180212_14590b_29_3g	Y_20180212_14590b_2_5g	Y_20180212_14590b_30_5g	Y_20180212_14590b_33_2g	Y_20180212_14590b_34_1g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_4g	Y_20180212_14590b_3_3g	Y_20180212_14590b_3_4g	Y_20180212_14590b_40_2g	Y_20180212_14590b_44_4g	Y_20180212_14590b_44_6g	Y_20180212_14590b_47_1g	Y_20180212_14590b_47_7g	Y_20180212_14590b_48_12g	Y_20180212_14590b_48_4g	Y_20180212_14590b_5_6g	Y_20180212_14590b_7_6g	Y_20180212_14590b_9_7g
1.3342	82031.523	47285.672	80318.758	49254.414	42970.625	119402.547	41976.625	40128.871	43852.305	42014.125	63292.078	154283.625	NaN	38142.145	70882	63290.684	40277.105	65387.93	79368.031	66417.766	65160.742	59080.949	77620.586	127407.25	44620.801	64815.59	60316.824	47692.277	84154.297	51005.887	59699.043	80654.398	61237.801
1.4676	59436.457	60318.562	122735.359	43827.539	49141.172	74033.891	54059.727	40019.371	43374.098	44530.051	49136.293	205164.5	NaN	45172.219	52899.051	49928.195	47979.594	55021.004	74939.602	55828.625	81437.352	47318.383	53421.832	87498.766	42493.617	52418.199	45940.266	42274.777	62113.527	NaN	52009.414	56270.762	66400.773
1.6011	48391.488	56746.332	133424.359	NaN	65079.602	53758.594	71017.883	39614.051	43142.875	44535.066	NaN	161461.719	NaN	59304.754	51689.652	NaN	56726.59	48282.918	53378.035	55013.062	75431.188	44149.324	43936.613	62331.234	NaN	46434.754	41331.727	42079.055	44321.18	NaN	44035.332	43423.535	58287.25
1.7345	43700.582	44570.059	96424.398	NaN	98106.695	47957.777	84074.102	40404.793	48689.047	50504.953	NaN	92945.977	NaN	69242.523	NaN	NaN	57556.137	44056.477	39635.711	NaN	57554.602	NaN	NaN	49702.996	NaN	NaN	NaN	41175.906	NaN	NaN	NaN	38263.238	46534.355
1.8679	42224.781	38867.066	61369.719	NaN	111732.695	NaN	63991.566	41330.125	57595.66	65382.461	NaN	58274.508	NaN	60367.418	NaN	NaN	46861.48	41747.43	36691.434	NaN	47610.93	NaN	NaN	43118.527	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40553.395
2.0013	NaN	36487.895	49089.887	NaN	88110.555	NaN	47159.824	41180.906	76718.055	87844.891	NaN	NaN	NaN	48743.117	NaN	NaN	38843.766	NaN	NaN	NaN	43550.074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.1348	NaN	NaN	NaN	NaN	59072.578	NaN	39047.82	44617.887	124467.75	136121.594	NaN	NaN	NaN	41279.922	NaN	NaN	35977.613	NaN	NaN	NaN	42225.203	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.2682	NaN	NaN	NaN	NaN	47243.039	NaN	NaN	46331.289	164937.25	167796.922	NaN	NaN	NaN	NaN	NaN	NaN	34833.227	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52954.348	148847.312	143675.406	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67117.711	94473.367	94261.82	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93523.852	64237.465	65558.422	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	111338.445	50570.273	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94368.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65069.352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49528.688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
