X	Y_20181208_15692b_1_1g	Y_20181208_15692b_1_2g	Y_20181208_15692b_1_4g	Y_20181208_15692b_1_5g	Y_20181208_15692b_10_1g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_3g	Y_20181208_15692b_10_4g	Y_20181208_15692b_10_5g	Y_20181208_15692b_10_6g	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_13g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_16g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_18g	Y_20181208_15692b_11_19g	Y_20181208_15692b_11_1g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_24g	Y_20181208_15692b_11_2g	Y_20181208_15692b_11_3g	Y_20181208_15692b_11_4g	Y_20181208_15692b_11_5g	Y_20181208_15692b_11_6g	Y_20181208_15692b_11_7g	Y_20181208_15692b_11_8g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_10g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_12g	Y_20181208_15692b_12_13g	Y_20181208_15692b_12_14g	Y_20181208_15692b_12_15g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_17g	Y_20181208_15692b_12_18g	Y_20181208_15692b_12_1g	Y_20181208_15692b_12_2g	Y_20181208_15692b_12_3g	Y_20181208_15692b_12_4g	Y_20181208_15692b_12_5g	Y_20181208_15692b_12_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_8g	Y_20181208_15692b_12_9g	Y_20181208_15692b_13_1g	Y_20181208_15692b_13_2g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_14_3g	Y_20181208_15692b_14_4g	Y_20181208_15692b_15_1g	Y_20181208_15692b_15_2g	Y_20181208_15692b_15_3g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_10g	Y_20181208_15692b_16_1g	Y_20181208_15692b_16_2g	Y_20181208_15692b_16_3g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_5g	Y_20181208_15692b_16_6g	Y_20181208_15692b_16_7g	Y_20181208_15692b_16_8g	Y_20181208_15692b_16_9g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_4g	Y_20181208_15692b_17_5g	Y_20181208_15692b_17_6g	Y_20181208_15692b_2_1g	Y_20181208_15692b_2_2g	Y_20181208_15692b_2_3g	Y_20181208_15692b_2_4g	Y_20181208_15692b_2_5g	Y_20181208_15692b_2_6g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_3g	Y_20181208_15692b_3_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_3_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_1g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_4g	Y_20181208_15692b_5_5g	Y_20181208_15692b_6_1g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_3g	Y_20181208_15692b_6_4g	Y_20181208_15692b_6_5g	Y_20181208_15692b_7_2g	Y_20181208_15692b_7_3g	Y_20181208_15692b_7_4g	Y_20181208_15692b_7_5g	Y_20181208_15692b_7_6g	Y_20181208_15692b_7_7g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_3g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_5g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_7g	Y_20181208_15692b_8_8g	Y_20181208_15692b_9_1g	Y_20181208_15692b_9_2g	Y_20181208_15692b_9_3g	Y_20181208_15692b_9_4g	Y_20181208_15692b_9_5g	Y_20181208_15692b_9_6g
0	32439.1191	33538.4961	33620.1602	35997.6914	30297.4004	33226.8086	35733.4727	33046.6094	33799.7266	26467.0195	32985.7188	31540.123	32035.9492	34233.4062	40182.7656	31621.0527	32476.002	37427.4688	30726.0234	33842.7734	28601.0879	30900.7344	34944.6602	28835.4297	26273.0195	62357.5664	36674.2539	28859.4102	34055.0742	52553.8984	30864.3457	33641.5078	33829.8945	36322.7734	30900.0098	31442.9414	32557.4922	34532.7734	34916.207	32882.7109	43924.3867	31429.6211	33659.8086	38975.5586	32650.4902	27388.2422	28807.9453	38468.8555	24235.9434	29389.1523	33016.6797	33236.3789	32482.8008	29817.7637	25242.1406	32185.5781	31036.6543	49162.6914	33905.6406	33630.7617	32125.7246	25859.6328	30189.4707	29998.9531	32853.332	36041.6406	68030.9062	31182.75	30568.248	32981.6562	35149.1797	30978.3672	30612.4004	35644.5508	33011.25	29597.6445	31932.5352	35636.2695	35712.8984	34374.4141	54116.9922	29361.9395	34525.5781	35280.7734	39554.1602	40477.6484	32128.3555	33955.1914	29056.4961	34772.4648	33603.8398	33278.5078	58871.5352	32034.6992	33392.7109	30517.4395	33784.8594	38578.9375	31219.5605	32088.0039	32501.832	32584.8516	27888.7773	48061.3516	32880.3633	34029.5742	33584.9961	32502.834	48298.7422	31000.9727	27754.623	30176.4434	59235.5977	53113.8086	34637.1211	33065.918	37788.8203	28642.1641	32652.6719	32645.2168	32863.0469	32802.9141	63789.3711
0.1334	32343.3789	33774.0586	33816.5391	35208	30616.2598	38392.4219	41994.4609	34828.8906	35515.4922	25793.4473	37867.9414	32924.3828	32862.1797	36826.5391	37208.625	31152.2891	34544.2148	40426.8867	30270.5938	32958.5312	30907.3477	32649.5547	36019.3125	29119.0996	28724.1934	85214.8594	39708.9062	30379.2344	34567.5547	53277.7344	31925.9297	33006.0547	34235.4531	37774.0547	31820.9883	32909.0742	34632	35057.5156	34505.6758	33231.7148	56007.7578	35149.5195	35834.5938	42742.4531	32852.9766	27787.5762	30228.9316	34098.9531	25129.8086	29656.5508	31540.7871	33184.1836	34665.3438	28871.9922	26759.373	32096.9375	31904.8516	55483.0586	34840.4336	36841.5938	33228.2227	27009.0938	31048.1641	32788.8398	31826.9961	37990.7227	74862.0938	33045.8203	29796.4453	33102.5273	35214.4219	34342.5312	31056.418	30566.7949	34428.8086	30890.8633	31718.2812	38717.9961	34080.9297	32767.6035	44562.0352	30130.3809	35233.4219	35715.6328	36424.3438	37732.8594	33758.4727	38153.8906	30850.7812	37579.3945	32825.6602	33841.0625	50963.9375	32991.3398	35832.2188	30925.5508	34399.457	37564.6719	34080.5664	33018.8594	33281.6875	31453.1367	27891.9395	64239.293	32674.1523	34624.707	33258.8477	34337.3477	40190.2344	32865.9414	28530.332	31652.9961	85865.3281	48303.2969	35571.5234	33724.9922	43458.5	29742.9141	33084.75	31728.1406	34204.6875	32942.8789	59685.0703
0.2668	33325.8672	36209.9805	33233.3164	36374.0117	31314.1719	44678.3047	60310.043	42967.0117	46904.2188	28444.0078	47193.3594	32676.1172	35907.8242	42564.1328	35543.7266	32176.6816	36953.5781	47406.668	33167.9258	32444.5645	32890.8906	35677.5469	38459.9297	32605.3555	28584.7109	90339.6562	45295.5508	31437.8691	35256.582	56632.1602	34037.9727	33806.2422	40492.4922	41798.3789	34401.2812	34149.3008	38675.9414	35897.7227	38426.5156	32256.0898	79025.7891	39316.3594	38212.4453	46552.7305	32754.5547	29465.1953	32056.6738	36110.1758	26365.998	31782.123	34765.125	36127.2656	44281.8633	30685.1035	27090.207	34219.1758	34723.1328	58518.3945	34518.4648	41167.7578	33144.8242	26303.9551	31331.8516	33754.3125	36199.8594	45516.5703	94733.1562	33977.0117	31427.209	38010.6211	36619.6484	38536	34848.5586	31029.7617	35978.9023	31420.2168	32452.0605	45208.6172	37330.6562	34254.5625	40848.5078	29373.4355	36768.1641	36624.293	38638.3789	40128.0312	35887.3633	50079.3242	29334.0762	40708.3594	33452.5977	33633.6719	59658.668	34835.8867	41230.3086	33672.5352	40799.8516	35335.3633	42395.707	35456.8867	34327.0547	33753.0898	29491.8789	87971.2656	33876.2461	39391.5078	35531.1797	35307.2383	41613.5234	36361.9062	30805.8379	35445.3125	94899.4688	50933.8555	37623.4258	37133.9961	62723.75	35475.5391	32418.1426	33819.7539	34230.0352	35150.582	66193.3906
0.4003	35047.6953	37937.6875	36442.9766	44642.9648	34626.75	58791.4688	84136.1328	58730.0742	65906.0625	29332.293	59490.6641	34900.4062	38495.7617	55255.3008	42446.043	36043.0508	39820.5117	67398.9141	37264.8789	37949.7812	35718.4102	43226.6211	46524.832	37946.8477	31173.082	66693.4219	50755.5781	33077.9453	43791.0547	47582.1562	39383.625	36272.5117	51006.5625	56515.3008	37419.0469	38867.7344	51591.418	38233.0977	51605.9805	35981.3164	76428.4141	54454.5234	42858.3789	58554.5938	35904.4375	32809.7656	41060.1758	40912.332	30701.6816	33007.7461	39622.25	42056.2188	65987.2734	32191.0293	28210.7012	39048.3281	40308.418	65885.3906	36784.9062	54874.9688	34115.3242	27986.9219	31740.2363	37872.6328	44019.6367	54247.418	92345.2031	44307.8789	32826.5156	46895.5703	41214.2188	50931.832	41933.0586	32765.5078	37579.457	33879.375	31440.8008	58781.8086	41677.3125	37776.1797	46233.5938	31548.4512	39375.2188	41853.6289	51581	49927.8125	42390.668	69449.4531	30102.1602	51999.0586	37405.3203	36579.957	67526.2109	40926.8438	47909.1484	35667.5078	56782.7422	37198.3789	53385.6133	43610.668	38990.7305	40230.3242	30277.7949	86832.6641	40141.2109	52910.207	39250.7695	36690.5117	49304.9297	44707.5	36071.3203	43142.3633	71564.3359	53728.8242	43254.7812	48541.957	80154.5938	47048.6875	35267.0859	37531.3867	37222.9102	39803.3281	76536.2734
0.5337	36340.4609	49534.0898	41940.0039	58440.9375	49908.0898	88026.3125	78166.2578	63610.5391	70615.2812	30776.4609	54555.8594	39504.3281	51569.7148	76287.1641	52698.2852	41874.8125	50667.375	97108.125	46080.1172	52702.8984	44000.2578	59854.8398	44667.6211	48979.3672	42025.3594	47084.2656	62494.1758	35675.1875	59475.1797	38113.6953	47131.3633	40836.9922	71474.125	77024	50886.4414	51107.1562	73489.3828	41722.5391	86487.8672	44062.7461	60325.2266	64101.4375	51136.8125	97191.3438	40314.6641	38741.8633	58795.6562	56971.6016	40957.4883	39917.0352	51023.5234	60082.5625	107224.8359	36256.75	31334.4316	52736.4492	56588.5	59092.9414	40081.6523	66275.4375	38168.5352	30799.7227	34255.0547	48505.4062	48108.0547	52659.7266	60409.4844	64713.9141	34716.3047	65313.6797	54729.418	71651.25	59571.5312	39687.375	43520.3086	36836.6523	34769.1992	69530.125	50331.5625	46957.9727	65605.0547	34427.8711	47428.6289	57644.9883	71661.3203	67593.6875	52397.2734	84051.1172	36085.043	72581.1094	45957.1953	41071.2266	60083.1758	52652.3984	66752.3672	44016.8555	72974.4766	38521.3789	49297.582	53780.8906	45743.3711	54747.4492	34448.6914	61203.4219	58352.5703	83294.7891	49410.7734	40937.4023	50540.9453	65537.6094	48363.4414	53917.0586	47311.1289	48242.1055	59068.3828	59326.2695	71187.0625	46808.0039	42502.1484	48850.0156	45480.7188	46344.8203	67512.0156
0.6671	47177.5391	77463.9531	58197.1016	70136.5312	76459.5781	104728.3828	52088.3555	53645.9062	57506.5586	37227.7891	40836.6953	56798.6875	89259.9297	80290.8125	63488.3633	54019.3047	71485.7578	102780.5938	63567.1523	70023.2969	60631.9844	83542.7578	36868.1445	46349.3945	59148.125	37623.8516	73141.9922	43236.6055	79296.9688	33350.2266	53460.8438	47695.1992	73977.2812	86082.8516	74260.3203	53704.8281	76587.3828	51795.2461	115145.4766	58933.0195	45616.9062	49669.3516	52420.1641	133515.0938	51145.7188	51499.0312	75821.2422	73574.8281	50444.0508	57211.5234	61403.8164	77344.9297	115047.1484	47538.918	38391.4102	70562.3203	84802.4609	41724.8281	49245.3086	61521.0117	48442.543	31598.2266	40738.4883	58069.8867	40591.5117	44045.6875	38160.9414	80066.8828	45590.5625	74260.2344	79176.6484	84458.5625	85205.5781	56119.4844	59061.2852	48204.6523	38511.0469	61420.4062	76709.9688	58756.9414	77364.3594	42073.3086	63405.3359	87265.7031	85965.4141	75663.1406	58627.418	73364.5156	48130.0312	77561.2812	67602.1953	53541.4219	43634.8906	52301.6055	85522.9297	64980.2227	69730.8594	41837.9023	36826.8633	58749.0352	61399.6484	80737.5859	41352.1172	43781.375	75696.8359	104721.8516	69846.75	50292.2031	42890.7656	77598.3438	70284.5625	70544.2031	38422.9688	37266.7305	86404.7422	53055.3633	51314.8672	40460.5	59591.5469	64114.2109	58514.8125	67146.3672	47984.6445
0.8005	71169.0312	85017.5234	76702.2812	58554.1562	90231.0781	95560.7969	38115.3242	37641.9336	42509.5391	44759.1836	34351.543	75048.7344	116605.4062	64290.5547	59577.1055	77254.4219	88438.2188	71378.8359	66377.9766	69359.2891	72088.875	81625.6953	33195.375	35695.7656	69345.5859	32771.7148	67806.9297	57561.5117	76000.1641	32709.1602	47383.3828	52204.6367	53488.4922	66907.5469	85409.4531	42868.1719	56332.8633	58566.75	93713.875	82694.1641	37645.9727	38541.2617	44715.9805	115843.5078	66809.0938	59166.6406	64645.1016	67859.1641	48314.4375	75346.3125	56622.3281	64007.2227	79586.5312	60809.6797	53870.7031	71083.0156	80085.4688	33173.2305	75347.5469	43723.7031	68557.0234	35817.9609	60514.0742	75542.2031	33028.832	34512.5312	31027.1738	70998.5391	55280.4922	53730.0508	82133.4375	62840.9688	100733.5859	70813.3594	92885.9688	64875.2539	50103.7539	47342.9609	93066.2891	58739.4297	63071.9922	63978.418	72342.9453	104534.9141	70980.2656	58818.6211	50250.0352	47852.6875	73121.3906	63057.1758	87928.9922	74792.1875	35328.2656	41357.8828	69988.8438	92696.4844	53354.8359	40415.0781	29944.4023	47656.4648	77286.5547	78948.3672	46420.1172	35972.7344	68633.9375	86720.8125	84329.5938	76221.2734	36147.7812	68588	73387.4531	59616.0156	34797.0391	32529.8945	91621.2188	38450.3984	39005.2266	34039.1602	91019.25	71508.1875	81918.3438	81588.9844	37470.8555
0.934	100043.0156	67066.2031	73517.0625	42733.0312	64602.832	69182.4297	32870.5078	33934.9258	34018.6211	45864.0977	32190.2695	69979.9375	96713.3984	44889.2734	45195.9648	81532.4766	74484.9531	47397.2266	51852.0547	52145	64424.5117	58007.0312	30450.0137	30738.7656	53953.4414	33668.1094	50403.9531	64601.7891	55602.2188	33078.6875	39989.0625	45268.5195	37499.4688	48005.2266	69608.5	37074.3516	40002.6172	50037.5938	62109.1992	103030.1875	33532.6758	31183.3301	38713.0859	67677.3047	69750.8203	49088.4258	43024.3906	46907.8789	37035.9609	67576.2031	42851.0039	43301.7227	53447.9258	61829.6562	67640.9375	51185.9375	56892.5078	32222.5449	116680.25	36272.9883	94920.4062	37744.9883	89210.1953	90774.9141	30353.4473	31096.2891	29815.3516	50464.1914	52107.2539	39462.3633	62842.4258	40608.1094	84631.2578	59694.2305	110464.1172	72580.1875	77904.6328	37833.1289	78010.3438	44005.3125	46049.0273	80786.9297	60475.4219	87274.0078	48375.1562	43891.8047	37471	34798.8477	86135.5625	43921.4336	80396.4531	80399.3125	32174.6191	36862.5547	46373.7617	96007.7734	40528.9102	36542.7734	27310.3457	38004.7227	68421.75	54994.5391	40932.3984	32979.8203	49698.8672	56694.1094	69918.6172	92292.8828	32132.7793	52303.0469	56594.7031	42439.707	33233.5352	29796.8613	66533.4609	31957.9922	32771.4375	30101.1309	101027.6953	58689.4375	85223.6875	68784.5312	33267.3242
1.0674	108289.5859	46082.6523	53393.4375	33476.8242	41900.4805	44825.2734	31588.8145	30330.9531	30930.0918	38652.9883	30467.4023	48936.2383	60285.3594	36919.3516	36327.3008	59551.4414	52821.5547	38415.3086	36266.6016	37345.4922	45448.6445	41411.543	29235.0781	29302.1758	38033.3203	31080.8438	41682.0664	55183.9648	40155.6602	NaN	35686.7734	36219.5625	32359.1836	39462.3359	49269.1211	31928.6465	31328.1855	40377.5547	46193.5586	83153.2344	32870.9961	31783.8457	34824.2305	43640.8086	52177.4258	37179.4102	34122.0977	33438.7383	29011.5039	47604.5195	34155.4531	34385.7227	41153.1445	48367.6641	69417.4609	41935.8516	41286.2305	31181.0234	128693.625	32726.9473	94718.3672	33987.6562	87054.5469	79096.0547	28691.7617	31342.3574	27988.1895	37441.1562	39862.9766	32173.5898	46211.1562	31038.0723	56516.1719	44311.4766	80733.0938	57979.875	99109.5703	33072.0703	52642	33431.0898	34965.5352	68331.3438	43172.6562	58504.168	36917.6172	36526.0312	32346.5117	30579.6113	67447.3828	35741.707	55842.2539	63879.8281	32809.082	32734.6816	37886.2656	82565.5781	35001.9609	34337.0469	26190.6738	35393.3828	49102.5625	37576.5234	33117.3242	32027.457	38657.9844	41284.6094	50838.2773	70895.1094	30020.8691	39714.5938	39198.5117	33773.2031	31581.6465	28797.0352	45813.0898	29885.4434	28405.3027	27705.9707	77496.7734	42381.2148	61664.3164	47218.9805	31105.998
1.2008	74994.3203	38516.9258	40346.1172	30637.4102	35091.7773	35233.6836	31148.2227	31950.4551	31075.4707	33523.9219	29276.7539	36357.5547	42042.1094	35294.5938	32864.6992	40149.5273	41614.8555	35810.4297	31181.4785	31899.1543	34513.8789	33166.8047	29641.9316	28813.4395	31111.084	30893.625	35797.2773	42180.2305	33125.3398	NaN	33907.3359	33059.2422	30165.002	34194.7617	40767.1719	32276.8203	30422.8027	34820.1133	41201.0039	55049.0625	32480.4082	29087.1738	33982.1562	35518.2461	37167.1953	30830.5586	29027.7598	29454.5898	26397.0078	36661.1406	32137.5957	31032.2578	36878.9219	37667.2227	51259.707	36625.6055	33459.5742	30744.875	92271.9609	31959.9336	65109.8125	29286.9395	59047.3398	55345.8438	29602.3418	31991.4746	27476.6621	30802.7832	34224.6445	29689.8047	38434.2266	29126.0352	39475.2148	35598.043	50210.4492	41172.4844	84680.6875	32886.4961	42382.7656	31515.8926	30824.2695	48223.5391	37088.6719	42932.2109	32559.6465	32871.543	29716.1699	28900.293	45741.7227	33683.0781	39606.5312	48992.3672	33512.2266	32107.8398	32791.3047	60247.1758	32074.5742	33596.9102	25056.0449	34816.332	37222.6562	31566.0449	29608.041	32393.25	33224.0938	34763.7617	40161.1562	49002.6602	30190.0117	34482.25	32635.334	30982.4824	33485.3008	28413.6895	38707.6523	27375.3379	28323.4609	27458.875	49248.1172	36679.8984	46121.9688	37035.5352	30546.4805
