X	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_2g	Y_20181208_15694b_1_3g	Y_20181208_15694b_1_4g	Y_20181208_15694b_1_5g	Y_20181208_15694b_1_7g	Y_20181208_15694b_10_2g	Y_20181208_15694b_10_4g	Y_20181208_15694b_10_5g	Y_20181208_15694b_2_1g	Y_20181208_15694b_2_5g	Y_20181208_15694b_2_6g	Y_20181208_15694b_2_7g	Y_20181208_15694b_3_1g	Y_20181208_15694b_3_4g	Y_20181208_15694b_3_6g	Y_20181208_15694b_6_10g	Y_20181208_15694b_6_11g	Y_20181208_15694b_6_12g	Y_20181208_15694b_6_2g	Y_20181208_15694b_6_3g	Y_20181208_15694b_6_5g	Y_20181208_15694b_6_6g	Y_20181208_15694b_6_7g
0	28750.4121	37288.043	29332	32568.1445	40062.5156	48423.9297	26196.5625	37727.9141	34254.8789	25030.3906	44372.4258	33597.3906	33331.0312	28981.3926	31919.127	27679.9746	30687.6113	28697.3457	30627.6465	29104.8555	47735.6094	40116.9609	35056.6719	32170.5566
0.1334	30761.5137	38824.6094	32370.4902	33396.6328	50660.3398	39822.1641	28688.9941	45604.5352	40291.7031	26687.8008	64788.5352	36198.6719	34077.1719	30078.6738	31675.373	28639.6758	30989.3887	31510.0508	33626.3008	29476.5215	43334.6133	45080.9336	37603.4453	34552.0781
0.2668	32591.0547	49236.9375	37413.0352	36237.6289	68000.9609	44676.6367	34249.1406	55739.2969	50565.6211	27824.7109	90010.0859	37407.1641	36775.7305	32799.6328	32822.1016	31539.4531	33265.6367	36864.9844	42903.3008	34899.3008	51088.4492	57872.9219	46031.4219	37895.0898
0.4003	40715.0273	71190.0781	44048.3516	44402.1133	71512.6172	60293.9805	43864.3008	51585.6758	53675.1484	31153.2227	89070.1406	45967.8594	43203.8828	37914.3047	35421.8555	39195.2266	40014.1055	43958.1523	61439.457	40165.3984	62308.3164	60343.2383	58223.8711	44296.1953
0.5337	57719.9688	98007.0625	42011.1367	63805.7031	55498.1445	61728.3828	49065.4961	41234.75	46522.8008	40768.25	60843.8516	63320.75	57529.1562	47831.3047	39016.9023	49148.9766	48941.3555	43752.4961	68581.625	42637.875	59991.7539	52340.3594	61586.1445	45617.4453
0.6671	72391.5312	86611.3828	36003.6719	80410.6797	39486.7656	46268.3477	39455.918	34767.9102	36685.9805	61306.6484	42300.6523	81497.8516	75772.7344	49885.8398	46868.4609	47944.9688	47658.5	35597.0898	51533.6094	35858.1289	48365.9609	42024.9688	51472.9102	38400.9023
0.8005	62577.2617	56859.3906	31844.6758	73331.7812	34572.9414	34281.375	29241.4023	34106.6328	32036.25	74739.1719	34619.7383	77934.5312	70558.8281	42159.543	52479.1133	39488.7148	37815.8867	29459.957	38243.8906	30305.082	38653.9609	34709.418	40305.2188	34795.2148
0.934	42209.4062	38878.9531	30173.9004	52375.1953	32546.8008	29632.5117	26045.957	34302.25	30394.5449	57803.9414	32217.9961	54825.082	51482.418	34362.2656	47844.1211	32198.7949	31695.168	30853.0293	32542.9219	28836.7988	33879.6992	34036.7891	37325.2852	32122.082
1.0674	33237.2773	34077.6992	31280.3477	42030.1914	31184.3516	26882.2227	24992.6777	32266.8711	30601.7148	40225.5547	27537.498	40147.1758	39324.7461	32783.6953	40172.9023	29354.9863	28688.3535	29521.5762	30884.877	27733.1289	31288.8027	34297.7031	34606.9453	31596.8887
1.2008	30044.2129	32302.6699	30815.4922	36498.6211	30523.9883	25849.0762	24345.6836	32552.4941	29028.3691	31175.9316	29071.0352	33646.2148	35333.5391	31984.3516	35261.7031	27581.8535	29421.334	28351.5566	29658.0703	27539.2207	30961.0898	33400.9961	32214.7461	32458.8008
1.3342	28336.6543	31048.4785	29288.8086	33852.4297	NaN	NaN	24330.1543	32556.3457	29148.8965	28038.3125	28524.5859	31528.3926	32555.0332	31595.9453	32889.4648	27247.0664	27639.3027	29867.0664	28925.5215	28056.2246	29396.6133	33331.2578	32630.7207	30860.0508
