X	Y_20180224_15100_10_2g	Y_20180224_15100_10_3g	Y_20180224_15100_10_4g	Y_20180224_15100_11_4g	Y_20180224_15100_11_5g	Y_20180224_15100_11_6g	Y_20180224_15100_12_1g	Y_20180224_15100_12_2g	Y_20180224_15100_12_3g	Y_20180224_15100_12_7g	Y_20180224_15100_12_8g	Y_20180224_15100_13_10g	Y_20180224_15100_13_1g	Y_20180224_15100_13_2g	Y_20180224_15100_13_4g	Y_20180224_15100_13_6g	Y_20180224_15100_14_1g	Y_20180224_15100_14_2g	Y_20180224_15100_14_3g	Y_20180224_15100_15_2g	Y_20180224_15100_15_3g	Y_20180224_15100_15_4g	Y_20180224_15100_15_6g	Y_20180224_15100_16_1g	Y_20180224_15100_16_4g	Y_20180224_15100_16_5g	Y_20180224_15100_16_6g	Y_20180224_15100_17_10g	Y_20180224_15100_17_1g	Y_20180224_15100_17_2g	Y_20180224_15100_17_4g	Y_20180224_15100_17_9g	Y_20180224_15100_18_2g	Y_20180224_15100_18_3g	Y_20180224_15100_18_5g	Y_20180224_15100_19_16g	Y_20180224_15100_19_4g	Y_20180224_15100_19_6g	Y_20180224_15100_19_9g	Y_20180224_15100_20_10g	Y_20180224_15100_20_11g	Y_20180224_15100_20_1g	Y_20180224_15100_20_4g	Y_20180224_15100_20_7g	Y_20180224_15100_21_10g	Y_20180224_15100_21_1g	Y_20180224_15100_21_3g	Y_20180224_15100_21_5g	Y_20180224_15100_21_6g	Y_20180224_15100_21_8g	Y_20180224_15100_22_1g	Y_20180224_15100_22_4g	Y_20180224_15100_22_7g	Y_20180224_15100_23_1g	Y_20180224_15100_23_4g	Y_20180224_15100_23_5g	Y_20180224_15100_24_4g	Y_20180224_15100_24_5g	Y_20180224_15100_24_6g	Y_20180224_15100_24_7g	Y_20180224_15100_25_4g	Y_20180224_15100_26_1g	Y_20180224_15100_26_2g	Y_20180224_15100_27_2g	Y_20180224_15100_28_10g	Y_20180224_15100_28_7g	Y_20180224_15100_28_8g	Y_20180224_15100_28_9g	Y_20180224_15100_29_1g	Y_20180224_15100_29_6g	Y_20180224_15100_29_7g	Y_20180224_15100_29_8g	Y_20180224_15100_2_11g	Y_20180224_15100_2_1g	Y_20180224_15100_2_5g	Y_20180224_15100_2_6g	Y_20180224_15100_2_8g	Y_20180224_15100_2_9g	Y_20180224_15100_30_1g	Y_20180224_15100_30_2g	Y_20180224_15100_30_4g	Y_20180224_15100_30_5g	Y_20180224_15100_30_6g	Y_20180224_15100_31_2g	Y_20180224_15100_31_3g	Y_20180224_15100_32_1g	Y_20180224_15100_33_1g	Y_20180224_15100_33_2g	Y_20180224_15100_33_3g	Y_20180224_15100_33_4g	Y_20180224_15100_33_6g	Y_20180224_15100_33_7g	Y_20180224_15100_4_2g	Y_20180224_15100_4_5g	Y_20180224_15100_4_7g	Y_20180224_15100_4_9g	Y_20180224_15100_6_3g	Y_20180224_15100_6_5g	Y_20180224_15100_6_6g	Y_20180224_15100_6_7g	Y_20180224_15100_6_8g	Y_20180224_15100_7_10g	Y_20180224_15100_7_11g	Y_20180224_15100_7_3g	Y_20180224_15100_7_4g	Y_20180224_15100_7_7g	Y_20180224_15100_7_9g	Y_20180224_15100_8_1g	Y_20180224_15100_8_2g	Y_20180224_15100_8_7g	Y_20180224_15100_9_10g	Y_20180224_15100_9_1g	Y_20180224_15100_9_2g	Y_20180224_15100_9_6g	Y_20180224_15100_9_7g
0	41555.18	40124.945	39644.543	36047.531	37309.75	37503.797	36031.223	41159.734	41244.98	38361.367	44606.988	33304.395	37820.328	39346.797	39024.387	42193.945	40232.891	37749.012	41497.129	33310.953	33049.949	38160.699	41872.906	37519.34	36282.98	36041.152	40478.32	38590.078	34457.586	38710.445	39195.949	35498.566	41400.512	42579.453	40861.395	38173.605	38356.699	35156.492	42085.629	32556.348	38036.277	40056.043	42643.297	42651.285	39218.809	36689.711	36814.855	39337.316	43616.668	36245.289	39382.098	42237.137	36959.219	38087.617	34504.957	37928.348	39027.293	37220.812	36303.668	35647.508	42232.129	36879.613	36268.523	40837.582	36652.621	32933.637	41080.332	41285.039	39780.926	37310.398	35841.859	41886.711	41246.711	38876.504	39028.055	41113.242	39726.293	38622.711	35057.309	38293.684	38957.609	38285.176	43271.324	35763.52	36641.277	39514.309	41472.633	36424.176	37858.238	37569.324	32094.357	34828.953	36902.434	36558.215	35328.867	36453.527	37734.156	37461.996	35801.977	37560.492	38245.535	38926.23	38835.602	40315.527	38182.043	40116.586	39566.195	41344.168	40366.785	37446.113	40066.57	49682.848	39793.434	37224.469	35834.398
0.1334	41899.348	40352.062	39981.176	37264.73	37902.832	36108.414	35449.262	41520.801	41227.715	38488.23	43585.793	34092.82	37448.609	37570.062	39758.039	43341.652	41157.684	37615.328	41481.625	32904.816	33606.473	39543.836	41623.57	39049	38118.375	36750.648	41060.992	39868.793	34963.918	38923.25	37892.637	34438.297	44131.699	44185.969	41022.781	38141.238	39381.297	34990.5	43095.738	32772.008	37581.184	41804.395	43904.77	42241.027	38309.875	36942.613	37937.82	37545.941	42862.949	35565.988	40321.113	41096.543	36393.348	37748.969	35374.496	38752.379	37515.543	36789.395	36863.359	34661.703	41923.07	36615.449	36356.051	40418.418	36861.594	33265.484	41370.863	42897.09	39234.215	37762.57	37202.973	41885.473	44326.668	39158.016	40007.121	40938.637	38453.422	37470.758	36421.305	37441.297	39429.805	38664.992	44183.746	35090.742	35790.496	38460.938	40770.16	36958.66	39334.574	40262.027	34617.738	35525.789	37092.078	36744.938	34031.957	37047.766	38834.789	37991.727	36965.742	39228.824	40075.258	38863.102	38302.102	40077.094	37772.234	39522.711	40303.984	41861.25	40423.633	37972.012	40283.789	39426.715	38584.609	36158.223	36588.191
0.2668	43102.504	38584.227	41123.133	38830.004	37426.238	36194.07	36235.199	42504.281	41678.66	39202.895	43963.52	32028.098	36629.086	37062.871	38045.309	44940.508	41268.375	36853.102	41648.625	34489.887	34781.484	40739.793	41534.32	39806.172	37063.492	35570.895	39803.445	38710.559	33470.469	40852.629	37410.035	35647.652	43752.465	43263.148	42374.57	36447.355	41522.047	36345.348	40412.289	32804.383	36603.242	39424.957	43848.039	42143.625	38206.125	36262.293	40645.125	39091.938	43033.352	37265.336	38866.262	41561.141	37149.016	38080.281	36157.09	39252.922	38230.465	35182.078	37752.629	34830.965	44042.941	37857.473	36487.938	41917.375	38942.121	33948.727	41194.645	43247.184	39554.18	38880.391	36197.875	41877.227	44675.02	38481.988	39516.43	43064.434	38203.453	38567.992	38425.77	36618.672	37662.172	39464.227	43214.055	35802.398	35742.785	39614.184	42898.371	37410.406	39882.773	41941.434	32966.621	34271.016	36630.133	36612.555	34549.664	37549.777	40191.43	37779.867	35877.312	39009.93	40203.48	38105.109	40047.102	40370.598	36197.68	40064.84	39636.949	41228.656	40694.688	39315.469	40001.766	37224.219	39139.863	37380.816	37187.93
0.4003	41298.664	38732.961	40958.613	42737.293	39074.133	36060.266	36879.379	41412.82	41930.027	40872.773	42364.348	35555.328	36476.852	39952.738	39864.156	43470.258	41650.078	37893.578	41721.328	35443.988	35316.109	37642.984	39761.41	40526.449	37582.598	38847.465	39329.363	39241.973	33249.344	41645.324	40015.723	36699.375	44510.746	40643.727	41682.914	36545.941	41973.27	35936.332	40586.816	33332.766	38799.641	41691.727	44083.945	41586.719	39591	38869.477	41286.121	38783.262	43757.051	38109.086	38660.738	40978.473	38152.551	38456.617	37137.883	41002.398	37707.832	35319.457	36130.957	35164.914	43129.918	38293.789	35915.059	41014.848	38429.598	35067.617	43237.59	48795.992	40405.992	37569.785	36097.211	41601.543	43692.051	40260.824	40762.91	44786.047	42064.992	36761.977	38123.68	37290.742	38216.164	39131.652	45150.047	36942.395	35444.023	40519.805	44218.629	36976.469	40276.938	47561.625	32654.346	35596.094	37124.84	36944.68	36446.668	38572.223	38473.324	38599.836	36022.938	40412.637	41197.926	37855.328	40190.898	38282.684	37439.266	38089.43	40802.434	41873.859	39343.043	40266.215	40609.352	36403.211	39555.609	38810.422	36897.371
0.5337	41484.895	38439.742	40698.102	53897.02	43924.246	36194.266	36745.93	41698.336	43797.273	39253.793	40260.699	34276.102	38311.809	37131.586	40961.844	42269.66	41926.52	38490.223	44032.434	37441.527	36549.016	40910.562	41365.234	42399.453	38685.723	37239.23	41978.871	39139.613	33807.879	40414.148	39000.816	35756.121	45221.242	42151.012	43295.809	37133.215	47695.957	36142.242	42919.504	32783.18	36852.941	41005.754	44431.105	42845.84	40186.852	42190.395	43086.496	40030.035	46187.078	38141.766	39010.59	42396.008	37160.906	37856.219	38154.508	47901.285	36703.602	37947.801	36636.516	36369.773	44379.848	37958.406	36197.918	41258.645	36940.469	35426.145	40023.594	56082.98	40427.664	38073.902	34830.777	41184.77	45250.738	39969.168	41942.066	48689.051	39514.23	37792.098	36470.988	39193.387	39845.641	38116.879	42899.086	38136.582	36844.273	41726.324	45040.867	38277.703	39038.449	62315.676	33207.785	35742.426	37952.82	38416.965	33485.488	39874.727	40864	39669.715	37326.949	36467.531	41342.457	38480.137	40704.699	41399.051	38729.066	40267.898	40336.566	43736.684	39190.969	48020.242	40609.863	36495.164	38650.355	39996.27	37118.883
0.6671	41673.574	38604.219	40370.016	65110.387	53213.293	38191.457	37505.555	43197.566	43189.457	38051.828	40827.797	34933.355	36590.055	37474.793	40390.664	43493.109	41467.508	40339.297	49770.742	35820.184	36027.188	40116.559	40941.398	44359	41134.73	37391.898	40756.102	41743.379	35003.805	41015.086	38869.484	36146.062	47296.297	42779.973	42438.98	39669.371	55416.141	35772.543	47056.828	32012.812	36962.609	41101.516	43229.695	42415.426	41318.043	51088.301	41722.031	41310.301	50935.93	37749.949	39145.137	43666.387	38908.215	38868.359	38106.844	65146.766	38598.727	36807.84	36479.402	35329.473	49085.711	38121.188	38879.422	42216.27	37330.59	34332.535	39831.367	73819.086	41697.789	40324.316	37511.156	45255.961	43927.703	41314.789	41674.883	58668.523	38796.324	38102.449	38238.922	38628.965	40215.027	40189.426	45883.137	38676.746	37201.145	42432.652	43285.82	36705.277	39998.969	85700.312	34155.312	35347.941	36359.301	38811.633	34860.734	42893.816	41320.465	42624.23	36698.93	37688.492	41204.727	39918.977	41541.5	40884.66	38498.52	40731.328	42158.52	46382.453	39236.613	57820.363	41719.188	36563.133	37751.434	44723.375	39142.684
0.8005	42469.887	38670.016	40894.93	57444.16	54909.105	39254.449	36503.93	44299.367	45236.18	38882.77	39669.281	36254.617	35307.723	39036.918	41936.035	42163.926	41642.684	39537.879	64176.777	36488.648	37831.793	40826.172	41527.426	46531.18	41858.629	38551.703	41546.809	51326.879	35433.16	40834.391	43174.746	37356.789	50158.586	44188.125	43870.984	43097.41	62265.066	36177.297	52736.938	32792.668	36859.953	43926.117	43179.691	43076.82	42261.398	75823.227	41788.781	40121.484	65803.211	39178.145	38333.051	44984.453	37785.07	40496.852	39680.777	86829.656	39224.691	37292.48	37577.852	35877.125	56078.527	37820.008	39088.543	44997.387	37878.453	33637.203	39643.691	76222.742	42390.23	50054.914	37748.441	48393.754	45985.477	46169.578	43381.156	71400.883	39212.422	37370.016	36836.215	37249.348	39773.059	40645.195	45504.969	37942.879	35628.656	40491.82	41419.641	37529.062	39017.941	81510.984	37301.105	36467.336	37311.469	37596.973	35031.391	51156.285	39763.684	46482.363	36819.301	37906.777	40996.414	40400.941	42141.301	38841.406	37804.859	39705.371	42911.23	51868.086	39774.762	57002.465	40707.711	35632.055	38850.914	53031.867	37210.391
0.934	42627.039	40192.676	41194.625	47030.98	48476.848	37500.137	42692.09	46346.828	44398.59	41129.602	38986.441	38100.059	36428.586	38733.199	42327.691	42190.062	40345.457	40594.176	74011.336	36929.922	39652.453	40427.711	44881.562	48801.422	40525.652	39223.574	41268.633	65189.012	36008.414	41803.848	43192.391	36653.176	59150.938	44942.699	47556	49576.84	55464.578	38062.992	68484.469	33241.629	36728.371	51223.652	43561.887	48489.504	40646.277	98040.656	44714.84	41944.176	81955.797	38568.887	37756.262	42691.777	38789.184	41477.961	46353.539	86296.484	40444.309	36780.473	36209.184	38807.43	68420.219	38516.246	40955.891	50263.57	37577.035	33661.887	39900.297	60973.922	42240.871	61460.23	39270.203	56379.367	51013.453	51967.68	43583.086	67888.984	40203.688	38959.121	37219.742	39136.352	41210.125	41727.199	45350.812	39672.719	35173.555	41230.473	41097.758	43149.918	37927.703	61786.551	38141.172	35496.105	37772.902	38483.914	36492.473	62575.539	40286.137	58321.195	37178.742	40421.676	41340.324	41123.852	51259.801	37885.766	36939.82	38015.371	47483.469	62874.559	42055.352	51118.375	40042.742	36851.777	37607.246	63843.93	38303.969
1.0674	42045.648	42793.031	42499.555	39413.531	42514.188	36966.359	51233.59	47949.91	44909.652	40298.281	40461.504	40261.859	39113.387	38117.129	42178.797	41512.66	42099.566	40428.551	70508.312	38660.871	49339.164	40268.008	50731.75	51572.641	42253.801	39491.484	42577.445	67723.969	38247.898	48965.945	40038.188	35656.234	58776.254	49856.527	53057.219	49335.977	47047.535	38331.676	77883.406	33464.938	36970.887	67093.727	44596.652	64772.75	42938.973	82809.57	49947.438	42508.035	82220.578	36983.328	37906.426	43809.055	41683.48	41017.66	46540.484	64168.777	43130.035	38983.992	37702.277	48883.672	71623.836	37656.629	40701.578	55746.586	38068.273	34651.211	40096.797	46860.484	41435.16	61255.973	42439.477	56848.059	63226.957	64956.641	43579.434	51391.211	39341.324	44964.379	39819.992	39496.188	42813.789	41095.246	46271.516	39189.965	36278.004	43526.395	40666.531	47512.648	39164.328	48972.477	36567.391	35856.188	38102.18	37657.867	36801.617	61172.023	42157.98	77729.367	39925.07	41021.91	42212.395	41911.742	65828	40928.77	38773.723	40195.359	59235.438	69660.625	42979.402	47239.602	40379.09	35904.652	39740.102	67782.617	39175.492
1.2008	42874.922	44508.332	42868.695	NaN	NaN	36904.148	67060.164	56434.652	45911.445	42449.16	45148.66	45323.312	38422.992	39510.551	43539.504	39759.691	40735.719	40129.191	55571.66	38175.094	69949.398	39937.676	61157.375	52605.555	50024.391	39812.836	44433.512	55331.273	45725.156	53417.938	41659.184	37142.582	51052.602	61804.121	70746.086	41715.984	41691.879	37300.789	62875.23	33960.008	37323.395	77797.414	43073.297	78430.906	46252.004	59909.07	63090.41	42241.27	67162.859	38774.445	37323.102	44242.957	49583.004	46885.129	45588.504	46352.895	51222.16	42240.191	37406.715	55130.699	59169.027	37299.539	40284.277	51669.82	37899.809	34930.602	38804.477	42607.523	42483.785	51068.762	46447.883	48204.484	80598.406	71391.656	42070.344	44130.016	40805.828	53016.676	40989.113	39662.766	42083	41536.461	50733.648	40016.168	35964.387	51971.012	42440.34	52974.438	39710.023	47931.379	35280.926	36184.52	38188.691	39968.688	38145.988	47557.914	46852.027	78358.461	41873.816	43817.188	43181.289	42709.016	68074.5	38210.879	42893.094	42789.34	78096.961	58611.32	42630.664	49819.969	41431.934	37289.695	42464.422	56792.859	39145.625
