X	Y_20181208_15794b_1_1g	Y_20181208_15794b_1_2g	Y_20181208_15794b_1_3g	Y_20181208_15794b_1_4g	Y_20181208_15794b_1_5g	Y_20181208_15794b_1_6g	Y_20181208_15794b_10_1g	Y_20181208_15794b_10_2g	Y_20181208_15794b_10_3g	Y_20181208_15794b_10_4g	Y_20181208_15794b_10_5g	Y_20181208_15794b_2_2g	Y_20181208_15794b_2_3g	Y_20181208_15794b_2_4g	Y_20181208_15794b_2_6g	Y_20181208_15794b_2_7g	Y_20181208_15794b_2_8g	Y_20181208_15794b_3_2g	Y_20181208_15794b_3_3g	Y_20181208_15794b_3_4g	Y_20181208_15794b_3_5g	Y_20181208_15794b_3_6g	Y_20181208_15794b_6_10g	Y_20181208_15794b_6_11g	Y_20181208_15794b_6_12g	Y_20181208_15794b_6_13g	Y_20181208_15794b_6_1g	Y_20181208_15794b_6_2g	Y_20181208_15794b_6_3g	Y_20181208_15794b_6_4g	Y_20181208_15794b_6_5g	Y_20181208_15794b_6_6g	Y_20181208_15794b_6_7g	Y_20181208_15794b_6_8g
0	10573.5176	10632.5771	10162.71	12857.4824	12934.0742	11884.0645	11873.4824	10920.5869	12837.5762	11035.1553	11491.4775	11272.4346	10690.7979	11970.8809	9825.415	14774.0371	11809.1289	11645.7588	11559.293	13064.4316	11113.9326	10903.4434	11982.0996	11733.9189	10801.457	11412.3184	10865.6367	10793.0146	11600.5322	11921.6865	11332.5312	11555.043	10910.7559	11042.7842
0.1334	10711.6133	10804.6074	10258.2393	12362.1162	12749.7295	11690.8818	12254.96	10778.6982	12460.3164	11365.9102	11219.751	11214.1689	10642.0146	12034.7471	10035.1816	15344.625	11750.8477	11838.5117	11753.5625	11942.2783	10638.1064	10976.1357	12187.3115	12313.5518	10249.6406	11604.7666	10670.3174	10942.7227	11900.0977	12050.1846	10746.8984	12247.8877	11819.0947	11309.2979
0.2668	10834.0459	10969.043	10320.2598	12900.208	12109.3516	12037.2705	11696.5	11080.1172	12912.1729	11876.0088	12081.9648	11832.4639	10417.2246	11870.9541	10509.2588	15400.5518	11968.3525	11713.2217	12001.4775	12320.1377	10935.6113	11152.3916	12170.0479	12256.0654	10077.1875	12517.9453	11093.5674	11279.7432	12905.7764	12251.417	11008.5469	11343.2627	11254.1025	11240.6768
0.4003	10652.459	11333.623	10761.2705	12509.2881	12246.6592	12024.585	11627.4424	11003.0156	12740.6406	10592.0781	13704.0273	11780.0967	11088.8115	11954.5479	10682.6309	15239.333	11799.417	11974.9795	11480.9688	12708.1211	10688.8008	11484.1025	12657.2744	11685.7881	10543.584	12984.4473	11180.917	12187.7158	11817.877	13408.0801	10429.3838	11858.5527	11049.0928	12313.8447
0.5337	10753.1387	11208.0713	11307.5615	13436.2393	12211.2549	12601.3174	11410.2197	12306.3643	12355.4141	11096.5664	15015.5859	11429.8477	10985.0752	11245.0039	10430.4316	15203.4365	11566.8359	11615.418	12673.1191	13798.3926	10510.4619	12007.8203	11743.6787	12871.8047	10605.2783	12998.8145	12191.4268	11916.1592	12593.1035	12904.333	11129.8369	12181.1787	11774.874	12673.8555
0.6671	11173.5508	11384.6152	11025.9297	13180.8428	12979.7266	12869.3115	11966.7227	13260.415	13133.7578	12139.1826	15326.8975	11438.7803	10856.2676	11910.6006	12844.3652	14105.3799	12319.2607	12238.1328	12055.8486	14534.4814	10352.3008	12101.7627	11282.0586	13309.2969	9935.5342	12833.2979	12623.0039	11660.8926	12788.7334	13338.3965	10482.7969	13533.0391	12382.2002	12479.5742
0.8005	12147.4062	11567.2422	11016.7832	13153.6484	13465.6035	13620.5371	11671.7188	13100.7236	12864.1045	12249.8926	15214.8555	11119.2061	11221.5986	11111.7168	14539.4355	13886.2539	12820.7324	13142.0986	12755.8018	15191.6211	10920.3486	12007.252	11632.9258	13210.0625	10019.8115	13422.2861	13254.5439	11738.4219	13052.4229	14751.2236	11059.2422	14985.0283	13554.0898	12607.9609
0.934	12458.9307	10838.0107	11109.7578	13743.3086	13382.7168	13646.8008	12518.3613	13245.9258	12371.4346	12998.3662	14521.042	11771.0098	10886.5107	11821.4531	14646.0879	13190.9072	13176.7607	13087.5752	13917.6006	15863.29	11517.6875	11824.6953	11809.334	13806.6592	10232.5898	13371.6611	12899.5947	12334.9502	12616.9004	15057.8311	10630.8516	15446.207	14436.2051	12490.3809
1.0674	12193.0244	10395.7822	11474.9414	13776.9785	13368.4033	14808.9951	13466.1807	11747.0723	13255.8877	13327.6484	13817.7842	11947.457	10427.8184	12219.4795	13056.124	13420.9873	13411.9707	13019.7939	13466.1416	16694.998	11154.2031	12420.6475	12052.959	15542.957	10645.7236	15085.9639	12355.7686	13107.7363	12538.9111	14593.833	11286.8916	15957.3711	16062.3164	11987.084
1.2008	12174.4189	10478.3965	11927.0898	14112.4932	13563.6006	15147.9824	13099.1582	11162.9434	13238.8877	15487.293	13281.873	12670.667	10610.0576	11997.1523	12257.459	15088.9902	13372.7256	13250.5244	14702.2363	15565.459	11388.5791	13162.4395	13009.2246	16241.6494	11139.709	16197.8516	12672.7666	12769.9551	13324.4824	15017.501	12744.1846	17519.959	15440.6152	11890.5039
1.3342	11624.1455	10187.1602	11502.7773	14375.3955	13822.7773	15417.0615	11920.458	10869.2744	13137.3359	15934.041	13547.3398	13243.9404	10546.3916	12095.4004	12005.8887	15967.2236	13208.499	13783.0977	13107.042	15479.7754	12778.7031	12891.2988	11837.459	16155.9824	11609.3223	17883.3301	12390.9316	13083.1289	13521.54	14928.7041	12647.0898	16219.249	14117.292	11390.3555
1.4676	12374.8301	11483.4141	12595.3965	13920.999	14021.4639	16174.4375	11300.0674	10385.1836	13190.4902	14812.7393	14321.4141	13203.1592	10205.9023	11484.127	11570.0771	14916.1104	12998.6201	13859.0654	11413.4277	13727.4297	12946.5615	12219.7578	11779.5215	13185.2373	11139.7363	17559.625	11747.2725	12529.1045	12971.2734	13823.8008	13112.291	15749.2725	12542.3174	11553.5146
1.6011	13682.6953	11294.8682	14287.6143	13846.6895	13620.6572	18041.0918	NaN	10086.0303	13564.9424	14473.21	14884.4863	12398.0645	9744.7979	12369.1172	12050.4434	13195.124	12033.2979	13920.3184	10880.8652	15430.8906	12360.1357	11854.4824	11881.9971	11416.3594	11593.2256	17186.5293	12256.9141	12697.1807	12722.6328	14127.9941	12840.668	16742.7461	11919.1826	12275.4766
1.7345	13466.8301	11330.1836	15062.7451	12817.0146	12900.3984	18139.9434	NaN	10940.7461	13262.1094	12269.832	13223.9102	11820.5625	9803.4004	12532.8574	12353.0234	13313.1729	12062.0205	14131.0527	NaN	16702.9805	11006.0811	11837.6152	11525.5439	10951.9062	12059.5039	15477.1475	13101.0322	13266.9277	12314.6719	14216.043	12165.2764	13514.7363	NaN	13509.5342
1.8679	15265.3799	11855.5059	15089.9863	12553.5938	13502.4688	18500.584	NaN	11787.3984	12469.4287	11142.5537	11420.5137	11571.3311	10033.3877	13075.7393	13110.7061	12489.8945	12020.4717	15970.2637	NaN	18620.4219	9897.7725	12306.6768	12759.5508	NaN	11565.9121	12975.9512	12748.3906	13160.2764	12906.46	14972.5352	12210.2383	12409.2539	NaN	12613.8633
2.0013	16924.4277	12673.918	14155.4453	13042.3096	13342.4629	15426.5732	NaN	13216.375	12870.6553	NaN	NaN	11948.8662	10803.6562	14719.1064	12849.46	12561.665	11760.335	17096.9648	NaN	21509.3105	NaN	11688.8535	12827.2139	NaN	12346.8252	11997.4062	13474.1982	15600.9717	12734.4756	18087.668	14565.9893	NaN	NaN	10601.6279
2.1347	14603.4873	13034.0039	13627.3867	13157.5459	13353.9062	12487.2021	NaN	14843.9502	13087.9932	NaN	NaN	12201.4229	11231.1387	15121.4678	14288.0312	12341.0576	14205.5576	18017.1855	NaN	23093.3262	NaN	12238.3574	12238.3945	NaN	13922.502	NaN	13758.4873	14242.3252	12894.7266	19547.1172	17387.6738	NaN	NaN	10464.8955
2.2682	13179.8574	12478.3838	12280.8984	12410.4297	14378.957	11464.6504	NaN	15269.3506	12719.5039	NaN	NaN	12264.8438	10864.9404	14923.0635	14848.2021	11690.7734	16895.4453	16311.4697	NaN	23665.6328	NaN	11853.0342	12452.9365	NaN	13115.0498	NaN	14270.2471	12799.4287	14660.1113	18344.8164	19347.7031	NaN	NaN	9857.1377
2.4016	12794.9453	11816.6348	11664.7988	13021.8057	13501.5762	NaN	NaN	14267.7783	12649.6816	NaN	NaN	NaN	11627.6387	14454.4053	13666.5371	11098.9219	16655.7344	14148.6348	NaN	20500.375	NaN	13890.792	13337.2617	NaN	11899.7725	NaN	14115.0273	10827.9795	15075.9844	15944.835	18461.0332	NaN	NaN	NaN
2.535	12456.4307	10433.7295	12340.001	13443.4609	13435.9219	NaN	NaN	12534.9697	12901.5908	NaN	NaN	NaN	12552.9502	15543.2656	12403.8047	11019.2793	13851.8672	12911.3115	NaN	15441.4326	NaN	15961.8555	14685.0977	NaN	11955.0693	NaN	13604.9941	10151.2754	15610.8291	15189.8916	14920.2412	NaN	NaN	NaN
2.6684	NaN	10345.9805	NaN	14521.7656	12385.1904	NaN	NaN	12004.4482	14649.0244	NaN	NaN	NaN	12004.0283	15431.1641	10774.0391	11425.0293	12241.665	12245.7617	NaN	12741.0859	NaN	16164.5596	13810.1543	NaN	11528.1621	NaN	15344.8623	NaN	16465.2812	15001.0273	11906.8691	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	15548.3242	12321.6484	NaN	NaN	NaN	15143.4951	NaN	NaN	NaN	11820.877	16950.5293	9336.4307	10866.5352	NaN	NaN	NaN	NaN	NaN	14463.7217	14827.0322	NaN	10457.9238	NaN	17517.8301	NaN	15297.5117	13281.9775	10262.9561	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	14811.126	12229.8604	NaN	NaN	NaN	16471.0977	NaN	NaN	NaN	11865.9199	17851.0566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12122.2002	17208.1816	NaN	NaN	NaN	16432.7637	NaN	14327.708	NaN	10414.8447	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	14025.334	13052.3262	NaN	NaN	NaN	17526.0078	NaN	NaN	NaN	11701.1729	18120.3223	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10861.6367	18463.5938	NaN	NaN	NaN	14089.0205	NaN	14740.2432	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	13466.4824	NaN	NaN	NaN	16295.1426	NaN	NaN	NaN	11134.877	16559.0781	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15842.0146	NaN	NaN	NaN	12137.9971	NaN	16926.7949	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	15484.084	NaN	NaN	NaN	12450.9658	NaN	NaN	NaN	11598.5068	14530.1797	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13842.999	NaN	NaN	NaN	NaN	NaN	18958.9082	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	14809.6357	NaN	NaN	NaN	11719.168	NaN	NaN	NaN	11815.127	13246.6592	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12151.2568	NaN	NaN	NaN	NaN	NaN	19873.0469	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	12437.6895	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12869.3271	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10598.9844	NaN	NaN	NaN	NaN	NaN	16915.6777	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	11281.1299	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12103.3975	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10293.2861	NaN	NaN	NaN	NaN	NaN	12699.5479	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	10711.3047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10547.9385	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	10447.9902	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
