X	Y_20181208_15100_1_1g	Y_20181208_15100_1_3g	Y_20181208_15100_1_6g	Y_20181208_15100_10_1g	Y_20181208_15100_10_2g	Y_20181208_15100_10_3g	Y_20181208_15100_11_1g	Y_20181208_15100_11_2g	Y_20181208_15100_11_3g	Y_20181208_15100_12_1g	Y_20181208_15100_13_1g	Y_20181208_15100_13_3g	Y_20181208_15100_13_4g	Y_20181208_15100_13_5g	Y_20181208_15100_13_6g	Y_20181208_15100_13_8g	Y_20181208_15100_14_2g	Y_20181208_15100_14_3g	Y_20181208_15100_15_2g	Y_20181208_15100_15_4g	Y_20181208_15100_15_6g	Y_20181208_15100_15_7g	Y_20181208_15100_15_8g	Y_20181208_15100_16_2g	Y_20181208_15100_16_3g	Y_20181208_15100_16_4g	Y_20181208_15100_17_1g	Y_20181208_15100_17_5g	Y_20181208_15100_17_7g	Y_20181208_15100_18_1g	Y_20181208_15100_18_5g	Y_20181208_15100_18_7g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_19_3g	Y_20181208_15100_19_5g	Y_20181208_15100_19_6g	Y_20181208_15100_2_1g	Y_20181208_15100_2_2g	Y_20181208_15100_2_3g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_22_1g	Y_20181208_15100_24_1g	Y_20181208_15100_24_3g	Y_20181208_15100_25_1g	Y_20181208_15100_25_2g	Y_20181208_15100_27_1g	Y_20181208_15100_3_1g	Y_20181208_15100_3_2g	Y_20181208_15100_3_3g	Y_20181208_15100_3_4g	Y_20181208_15100_3_5g	Y_20181208_15100_5_10g	Y_20181208_15100_5_11g	Y_20181208_15100_5_12g	Y_20181208_15100_5_13g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_5_7g	Y_20181208_15100_5_9g	Y_20181208_15100_6_3g	Y_20181208_15100_6_4g	Y_20181208_15100_6_5g	Y_20181208_15100_6_7g	Y_20181208_15100_7_1g	Y_20181208_15100_7_2g	Y_20181208_15100_7_3g	Y_20181208_15100_7_5g	Y_20181208_15100_7_9g	Y_20181208_15100_8_1g	Y_20181208_15100_8_2g	Y_20181208_15100_8_3g	Y_20181208_15100_8_4g	Y_20181208_15100_8_6g	Y_20181208_15100_9_2g
0	13560.1611	11549.4141	11996.8799	12536.7363	11937.9443	14835.7402	14567.0986	14904.8457	10041.1934	11781.5566	10399.2402	13626.3496	12663.7246	12356.9473	12544.0488	13491.3506	11926.5479	12754.2217	13446.877	10619.5146	13971.4531	13822.623	13557.9951	12955.6562	12177.1387	13322.4121	13436.4229	12782.3428	11455.2334	12660.4688	15056.8623	12968.5059	10954.2188	11946.959	14448.1836	11715.1309	12917.5439	11288.0996	12111.9912	12647.3047	12640.665	12860.6777	12683.7139	10977.8145	12271.8232	12243.8447	13640.7646	12368.7812	13858.3721	12607.5264	13824.4805	13404.5635	12806.4785	12561.2754	13794.6748	13170.2715	14310.6328	11139.8574	11713.708	12966.3438	12910.0938	12254.4473	11421.6592	13625.1631	11714.4844	12561.7041	11741.6113	11614.6445	13377.2471	11568.1182	12344.8066	13255.1445	15699.2002	11522.125	13803.3916	14322.0576	13834.8721
0.1334	13209.7295	11545.6592	12150.1494	13183.8477	12236.1699	13457.1055	14258.7275	15153.8672	9950.2344	11823.2881	10877.5635	12746.6064	12389.5596	12387.7705	12994.8389	12681.6934	12749.0312	13370.2178	13458.5205	10864.8291	13737.7979	13805.0254	14011.96	12932.8584	12784.2559	13738.1445	13433.4629	13329.3135	11692.0303	12384.5342	14204.5186	14054.9248	11571.877	12506.8018	14324.2803	12082.7422	13451.8213	12339.6279	12233.4199	13084.4619	13159.8613	12060.8789	12881.6426	12144.5127	12850.459	12798.916	13758.8828	12570.6865	13114.1348	13269.9971	13340.0967	12832.6953	12781.1553	12514.3076	13017.6016	12893.1406	14049.4453	11520.4902	11476.2666	13007.5898	13476.9678	12869.2373	11905.4004	14884.1357	12262.5127	12414.1006	13465.1621	12309.9727	13502.5254	12359.2617	12187.7822	13436.7373	15083.6426	11914.71	14255.998	13611.6641	13479.7578
0.2668	13651.7998	11908.2432	12295.8818	12848.0352	12707.1094	13675.5908	13434.5693	14847.252	10053.2178	11836.7324	11236.7031	12966.667	12328.4824	12940.998	12823.1934	12259.0107	12704.9619	13088.0029	13354.0547	11433.9443	14559.415	14830.4434	14812.0127	12957.0967	13007.5742	14587.0352	13423.2979	12853.0557	12301.123	12121.6816	15126.8242	13843.1699	11457.0537	11977.2734	14441.7158	12275.1416	14097.0879	11714.4268	12773.5566	13451.1221	13150.7148	12100.3896	12761.5645	11865.9092	12657.2705	13176.0684	13876.6875	13584.2979	13233.6484	13606.7061	13766.5498	12988.3047	13886.8359	12451.2803	12788.999	12711.5469	14058.8301	11383.1875	10968.5029	12677.4736	13567.7461	12487.9004	12087.3643	15872.4893	12357.3701	12500.4912	13976.3789	13008.1523	13180.5488	12349.5977	12416.4854	13673.0869	15841.9004	11752.5352	14357.2217	12860.6592	13463.9971
0.4003	12912.2764	12472.9121	12868.3408	13840.7812	13082.0137	13110.043	12950.2803	14407.9131	10017.3682	12453.3252	11958.373	13353.8311	12608.918	13396.7256	13630.3711	12807.5449	12964.0977	12950.6191	12750.2686	12090.7324	14922.5225	15225.0557	14622.75	12966.3789	13299.4463	14805.6572	13598.415	13097.7891	13225.2891	12218.6924	15213.3232	13970.8789	12375.4658	11346.3389	13805.1328	12254.1289	14168.0625	12091.9414	12947.8896	13912.1758	13417.3262	12278.9189	12964.8682	11712.1338	12693.2705	13038.5713	13691.0693	13884.5322	13382.0811	13711.8311	14568.7705	13153.6045	14974.7773	13146.2354	12928.5264	12811.3936	14350.3828	11925.4668	11859.25	12572.3291	14743.8398	13195.7871	11993.0625	15542.0469	12480.3506	12369.8408	15460.8271	12430.0215	12974.4414	12512.8252	11995.1279	13186.1592	16702.7266	12156.0957	13784.2207	12849.9629	13900.1611
0.5337	13919.8242	12567.9258	12546.4609	14285.3477	13239.1855	13202.4482	13178.8623	14821.5713	10273.0977	13182.6035	11927.4434	13916.96	12868.4424	14545.9395	13942.5098	14294.1787	12916.8672	12900.8916	12950.6084	13163.8086	15863.4717	15418.9404	13643.877	12738.2129	13999.0107	15843.2568	14338.8086	14055.0986	13439.5166	12787.6953	15120.9307	14543.5996	12480.5654	11613.7793	13396.1172	13499.7217	14642.8203	13201.124	12506.6592	13747.1104	13295.8691	11966.5889	14211.9023	11880.0928	13753.7637	12589.3691	13364.4072	15089.2256	14040.8857	14028.8809	15796.9961	13497.0918	16418.123	13179.334	13925.0498	13060.2754	14596.2988	11528.3955	12369.5107	12675.249	16237.5938	14350.8584	13099.2549	15611.1826	13410.7295	14211.5879	15010.3076	13741.6562	14320.1465	13457.1514	12769.8887	13191.4365	18708.7539	12202.7979	14461.9961	12771.6094	15332.1045
0.6671	14856.7354	13611.9629	12114.8271	14656.1416	13522.7275	13055.8594	12465.874	14669.9492	10526.7217	13967.6973	12973.9971	13749.2324	13006.4141	15281.5225	13105.5693	15317.2109	14301.4756	14062.8516	12683.4043	14530.8027	15595.4736	16354.4775	13752.1445	13352.4443	13486.79	16863.125	14496.3828	17484.9922	13719.1611	13025.8027	15022.8643	14683.4385	13137.6768	12204.0254	14776.4854	13775.3906	14666.4238	12983.2012	12996.8662	14584.1631	14415.0801	12246.8311	14451.7295	11807.4268	14950.1318	13168.5947	13604.2373	17158.8555	15404.0498	14111.6875	20269.1621	14965.7373	16536.8984	12665.5391	14436.7217	12648.3486	14718.4561	12242.1191	13409.085	12836.1436	19217.7383	14651.2451	13436.2275	14417.4111	14692.4102	14785.7402	14541.2363	15022.1484	13513.8438	17019.1934	12818.2852	14944.8545	22496.793	11841.7432	14822.835	12685.9844	16335.7217
0.8005	17010.5	15762.9941	11985.6826	14666.3018	13966.9785	13221.7441	13016.3203	15528.7773	10939.335	15084.3037	14278.0322	14884.7607	13819.4062	15077.9023	13929.4482	17066.4961	15389.7324	15458.125	13140.6982	14447.9756	14631.0654	16875.5391	14045.7803	13137.3906	13473.5791	18077.7969	15320.7988	22204.1133	13691.5068	12925.8223	16540.5762	16131.2793	13560.7451	12634.6943	15938.6035	14352.8252	14422.5205	13371.1729	13625.3135	17041.8047	14657.7637	13378.7949	16557.4551	12120.1172	14703.4834	14409.4385	12518.8682	19676.3145	17964.1758	14771.5381	22504.623	16086.5049	14558.2012	13038.4463	15014.5742	12335.7451	16722.1074	12969.6865	12945.6348	12994.1045	19858.3027	14271.0049	13580.5283	13105.3857	14707.8457	14274.3037	14894.5605	17241.3809	14588.0322	19908.7188	13349.2217	15785.3838	24445.7715	13277.0225	15435.8623	13483.334	17098.3438
0.934	18679.5938	17986.8223	12564.1396	15407.2822	15151.9678	12709.6387	13599.2119	16099.627	11271.5908	15132.5166	15035.1318	15988.8818	15020.1836	14891.7695	14381.5029	17630.1309	14240.1816	17154.1738	14417.9785	15128.0322	14906.7256	16520.584	13459.8662	13880.3779	12914.1719	17799.9004	16720.1387	26213.3281	13601.1826	13427.2275	16827.8516	16744.9766	14003.4814	12578.04	15602.1768	14538.4834	14642.5127	13200.6104	13970.5771	18096.9453	14563.1484	14578.7129	19220.1562	12559.1377	15905.9043	14946.416	12266.9277	21033.8008	19194.4902	15520.3945	21195.9863	15147.0312	13689.7197	12961.8008	16745.3477	13258.4521	17346.9062	13098.8418	13711.2852	13702.9697	18905.0195	14550.4326	14739.3398	12730.3984	15021.4482	13497.3428	14714.1143	18980.5547	14968.8672	19104.082	13787.7344	15838.7373	19692.3828	13897.4941	15272.5977	13806.6738	18766.8066
1.0674	18228.8926	19440.332	12443.3164	14565.2305	16144.8213	13551.9639	14497.7012	14912.8076	11210.208	15443.2168	15453.1768	17017.9707	15551.0605	15086.7393	16511.9141	18402.209	14693.2646	17246.8809	15372.0654	15674.2148	16113.5645	17300.5703	14104.0068	14757.5537	13788.333	18095.6758	15995.207	24506.4609	13952.2891	13201.0576	15510.0225	17123.5215	14230.6133	13027.3477	15657.4082	15940.7822	14943.1357	13643.2656	14524.2129	19911.2285	15136.5244	15118.4756	21423.2051	12973.2617	17002.4121	14044.2637	13534.1152	20314.7051	19552.6191	15785.9551	16480.3535	14282.4375	13569.4014	13516.0908	16452.7617	14121.6211	19247.7383	14030.0615	14456.3887	14464.998	15925.5771	14354.1611	14515.4033	13395.8428	14519.2988	13005.5342	13712.4434	20292.3574	14104.2246	15686.001	14568.167	15891.3672	17128.8555	14780.5049	16657.2754	14007.0986	19702.7227
1.2008	16395.0469	17686.5098	12557.6475	14870.0117	17287.2461	12850.6465	15508.3359	15549.2373	12325.9561	15749.0557	15629.7881	17131.1699	16255.1289	14907.1934	15633.5576	20028.4043	14993.915	17055.666	14771.3027	15189.2754	16743.0742	17170.2617	14584.3818	16068.8467	13906.6777	15784.4072	16048.457	18100.3379	13345.4668	13858.252	13937.7197	17418.0176	14515.7217	13662.1201	16924.8965	18114.3047	15759.582	14733.7627	14269.9395	22814.7461	15700.4365	13626.1621	23097.502	13190.8115	17536.6191	13906.1289	14159.9482	17762.625	18989.1016	15084.4404	13970.0654	15285.6367	14042.585	13651.8164	17139.2246	14316.9521	17637.9551	14708.6074	15269.8525	14248.0254	13192.3135	14475.1943	15518.085	13752.8682	15869.7344	12793.2617	14318.9346	21103.0898	14976.5518	15100.1143	14283.2744	16205.0312	NaN	16214.5078	18478.9277	13903.8623	18435.2168
