X	Y_20181208_15693_1_11g	Y_20181208_15693_1_12g	Y_20181208_15693_1_1g	Y_20181208_15693_1_5g	Y_20181208_15693_10_10g	Y_20181208_15693_10_11g	Y_20181208_15693_10_14g	Y_20181208_15693_10_1g	Y_20181208_15693_10_2g	Y_20181208_15693_10_7g	Y_20181208_15693_10_8g	Y_20181208_15693_10_9g	Y_20181208_15693_11_14g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_11_2g	Y_20181208_15693_11_3g	Y_20181208_15693_11_5g	Y_20181208_15693_11_7g	Y_20181208_15693_12_2g	Y_20181208_15693_12_4g	Y_20181208_15693_12_5g	Y_20181208_15693_12_6g	Y_20181208_15693_12_7g	Y_20181208_15693_12_8g	Y_20181208_15693_13_10g	Y_20181208_15693_13_11g	Y_20181208_15693_13_13g	Y_20181208_15693_13_14g	Y_20181208_15693_13_1g	Y_20181208_15693_13_4g	Y_20181208_15693_13_5g	Y_20181208_15693_13_7g	Y_20181208_15693_13_9g	Y_20181208_15693_14_10g	Y_20181208_15693_14_11g	Y_20181208_15693_14_1g	Y_20181208_15693_14_2g	Y_20181208_15693_14_4g	Y_20181208_15693_14_6g	Y_20181208_15693_14_8g	Y_20181208_15693_15_10g	Y_20181208_15693_15_1g	Y_20181208_15693_15_2g	Y_20181208_15693_15_3g	Y_20181208_15693_15_5g	Y_20181208_15693_15_9g	Y_20181208_15693_16_1g	Y_20181208_15693_16_3g	Y_20181208_15693_16_6g	Y_20181208_15693_17_10g	Y_20181208_15693_17_11g	Y_20181208_15693_17_2g	Y_20181208_15693_17_3g	Y_20181208_15693_17_5g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_17_9g	Y_20181208_15693_18_10g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_18_2g	Y_20181208_15693_18_6g	Y_20181208_15693_18_7g	Y_20181208_15693_18_8g	Y_20181208_15693_18_9g	Y_20181208_15693_19_2g	Y_20181208_15693_19_3g	Y_20181208_15693_19_5g	Y_20181208_15693_19_8g	Y_20181208_15693_2_10g	Y_20181208_15693_2_11g	Y_20181208_15693_2_1g	Y_20181208_15693_2_2g	Y_20181208_15693_2_3g	Y_20181208_15693_2_4g	Y_20181208_15693_2_6g	Y_20181208_15693_2_7g	Y_20181208_15693_2_8g	Y_20181208_15693_2_9g	Y_20181208_15693_20_2g	Y_20181208_15693_20_4g	Y_20181208_15693_20_5g	Y_20181208_15693_20_7g	Y_20181208_15693_4_10g	Y_20181208_15693_4_11g	Y_20181208_15693_4_1g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_4_8g	Y_20181208_15693_4_9g	Y_20181208_15693_5_10g	Y_20181208_15693_5_11g	Y_20181208_15693_5_13g	Y_20181208_15693_5_15g	Y_20181208_15693_5_2g	Y_20181208_15693_5_3g	Y_20181208_15693_5_4g	Y_20181208_15693_5_5g	Y_20181208_15693_5_6g	Y_20181208_15693_5_8g	Y_20181208_15693_5_9g	Y_20181208_15693_6_11g	Y_20181208_15693_6_3g	Y_20181208_15693_6_4g	Y_20181208_15693_6_5g	Y_20181208_15693_6_6g	Y_20181208_15693_6_9g	Y_20181208_15693_7_3g	Y_20181208_15693_7_4g	Y_20181208_15693_7_6g	Y_20181208_15693_7_8g	Y_20181208_15693_7_9g	Y_20181208_15693_8_10g	Y_20181208_15693_8_2g	Y_20181208_15693_8_3g	Y_20181208_15693_8_6g	Y_20181208_15693_8_7g	Y_20181208_15693_9_12g	Y_20181208_15693_9_13g	Y_20181208_15693_9_14g	Y_20181208_15693_9_15g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g	Y_20181208_15693_9_8g
0	34073.2969	35843.1758	29405.9629	34942.1797	34990.5	33454.0352	33085.5625	31924.1191	30698.5879	30565.998	32879.2188	30983.1406	45987.8867	37200.7578	31086	27868.3828	27515.6348	35835.9219	34906.3164	28986.1914	31825.334	32582.3203	31829.6895	29180.5	38767.2773	36703.5703	31095.4648	31831.7852	34947.9766	28191.002	32205.543	30247.7715	35990.4688	30746.0215	30739.5	29866.2246	29079.7852	29291.459	29728.0957	30722.2305	88979.7734	34642.4648	28850.9668	39361.9375	30430.7031	39288.2812	32953.8828	34343.4453	34409.1797	36884.1211	29111.4531	31916.3379	31861.7793	32078.7793	33715.2695	31533.1738	30231.7773	34855.9727	35502.2734	43726.7344	35320.3984	29276.166	34159.6094	40619.8477	34005.3438	31190.0195	36531.3008	39981.9922	35251.2031	32917	30615.1816	43361.625	37972.3516	31859.0645	43229.793	27454.8379	35502.1406	31856.1699	30762.4688	32976.543	35889.8555	32689.6895	32951.332	32577.2852	33717.668	42134.582	29454.4473	30254.6836	27288.1387	36034.8555	30715.002	40181.0547	34404.0508	33190.3008	31241.3672	33999.8945	27637.6777	38015.9375	56686.7031	32792.625	31670.2656	34593.2227	31661.2012	31168.1738	46376.7617	34101.8867	33142.7461	35036.3203	32786.543	31072.084	29130.1973	28735.9102	32729.5117	29114.0312	28309.1797	34609.5117	32983.1328	31605.9102	30723.0625	35356.4297	29219.7969	38840.1836	29618.707	33239.125	32577.1816
0.1334	32754.2051	36533.875	30111.7539	33097.2891	35938.9844	33199.9844	33808.1406	31572.7715	30749.1895	31460.332	33678.4844	31686.4883	67681.3047	40978.3828	32655.6602	28415.377	29000.0527	32966.8594	34934.7539	30086.6504	33975.2617	34762.8672	32599.1523	29944.0391	38569.0664	35549.6367	30988.8223	33257.8008	37154.6602	28510.9141	31291.7129	31578.1738	35113.8711	34097.3867	34728.6914	29261.998	34273.3203	32311.8066	30910.5645	30816.6191	108031.1641	33397.1367	29059.2461	37751.625	30103.5996	35524.2227	32724.3125	37520.707	35779.8828	39439.9414	28573.125	33559.4219	31785.9922	31367.7422	35028.4961	31664.5996	31235.3164	35007.7695	37929.043	45763.25	34737.9609	31606.8926	34069.0312	43719.0312	32095.4551	32576.5156	38631.5859	40625.4883	37046.9336	34100.8125	30781.6836	44753.3945	42379.6602	34311.9297	46438.7461	28836.709	35651.0508	33848.0078	31439.8008	33541.2656	40011.7344	34169.1367	30613.1719	32653.0449	36223.9922	36590.3242	32070.8535	31789.7734	29394.8223	38245.5586	31651.6152	39493.1367	35367.2812	32433.0273	31984.0254	38562.375	28516.0469	40620.375	71917.875	35730.7188	31807.8691	34303.4258	33924.6875	34353.1641	40680.9297	33928.7422	35599.7617	35827.4062	35275.8438	33859.5547	29032.375	29467.5625	33374.6016	31932.2871	27427.6426	36253.3828	35062.75	33791.6914	31881.2207	33748.1641	29625.4648	39007.1172	29737.2656	34927.8828	33260.8516
0.2668	32931.4102	39077.2617	31708.9785	37522.1094	38943.1758	35942.6328	34661.3984	29978.2598	32832.2305	32598.6035	34148.4141	32985.5195	106310.0312	50032.6133	34439.4336	28735.0371	34176.7188	36125.6445	35801.7734	30723.502	35563.5039	35476.0859	33543.5039	30569.0312	43684.1094	38979.0508	32179.1934	36707.8438	39695.1055	31560.4512	33596.5703	31922.1074	37241.2812	42802.2773	36066.125	32306.6133	39258.8438	33545.9688	32594.6992	30186.502	85618.2109	33428.3867	31117.8301	46632.8086	32085.8379	39703.0859	32310.582	48624.3281	38440.1367	41272.8203	30203.3555	34115.6289	33728.7852	32253.334	35786.7656	33643.2734	32390.1016	34732.1836	44257.2539	47280.5898	35679.957	32809.1953	34268.8984	51923.6914	34544.7188	34524.1289	45600.1328	47631.0703	36761.3281	33812.4375	32784.4062	55309.7383	61715.3945	40506.8672	60452.1094	33552.3438	39200.2891	38311.6289	31518.4297	33129.0859	52663.4531	35817.8672	31047.2812	32602.5273	43428.793	36254.0898	37074.7969	35152.8125	39061.3359	38066.8125	31805.8359	42177.582	38331.3242	32366.2266	34646.1406	50318.8711	30538.0234	43613.6758	92265.4219	39317.9844	34225.6406	37029.1758	35816.0039	43942.75	40667.1797	33337.8633	39917.9609	38401.0234	44949.1953	38312.8203	31596.8477	29413.2949	33720.8945	37407.6914	28321.4648	39837.918	37339.1172	38482.3438	32667.9258	38384.8125	31727.4297	42894.4414	31428.0996	40284.6523	33409.7148
0.4003	34941.4961	43176.1758	39512.7461	42747.1914	45088.4258	38019.9844	35941.5391	32254.3535	38023.7383	36873.8398	40066.6641	34278.9727	130972.9141	69414.5781	38145.9258	32187.8301	39363.2617	42606.4648	40801.3516	34558.7109	42317.4062	37168.1133	41235.8984	33996.6602	46057.8281	47263.168	36760.5195	35864.4883	47356.2773	34170.8828	36793.1289	31566.3691	41451.5508	49794.9609	43376.6406	34913.5977	37114.3867	36918.9805	35623.6328	31582.2148	64144.2422	39037.5508	32627.4258	51236.3438	38656.4727	49119.1758	33450.625	65894.0703	43215.9922	43990.5195	32895.6445	39131.875	40848.1875	32196.1289	35906.9922	34485.4688	34360.2148	39338.2656	60146.7461	42299.0898	39663.4258	35101.3828	36943.8438	63815.1562	37699.8086	35019.6992	41985.2109	64514.5742	39661.5234	40230.5859	33399.8828	75155.3984	82598.3594	57585.668	72763.8984	42389.7852	46017.7656	47652.8242	32051.9629	34034.4062	70921.3359	38737.6328	32426.7188	35558.9844	58155.9375	39338.9375	45369.7891	43073.5625	48627.6914	43043.6641	37845.0078	51943.7773	42691.5625	34219.3516	39311.3984	63247.7188	34329.1211	40129.2812	80119.6406	48878.0586	41172.7773	41421.3867	37440.4961	61225.9492	47737.3672	35441.6289	54512.1328	46049.9375	62939.0781	45376.457	36287.1602	31948.3203	34314.832	45145.668	30432.873	56916.7852	40764.8867	43995.5234	32313.2656	46955.2656	39809.3828	49420.2891	36601.6133	51567.5781	34148.2578
0.5337	39756.6875	57826.3945	58082.3633	45362.3594	59217.9258	44383.4453	45553.3828	33830.9609	47883.5039	45844.6641	48283.1211	35929.1523	104214.5547	76100.9531	47092.9336	33370.5156	39344.9844	54176.5703	55156.418	40659.5195	48647.4805	43483.5781	49775.8047	39957	39172.5664	68999.3984	46037.4219	31822.5195	66077.4531	44435.7109	42621.4375	34070.1172	53726.7266	44160.1836	50495.0391	43242.875	31800.4629	45450.5664	48224.6094	36185.3086	53726.918	43677.5352	40011.9336	44444.1992	53232.5312	70212.8672	37194.0156	71920.3828	56726.8633	52886.832	36212.3633	46643.6992	60038.5664	37488.5234	37134.3711	43785.3945	42648.4141	54482.582	89872.2344	38369.2695	49961.7227	45271.4805	40979.7383	71839.9219	44561.9961	37835.2422	33610.2578	75076.0156	49997.4648	51128.0938	41199.8242	69321.9531	74251.6406	83724.6016	67692.1172	47408.3086	57999.4844	63669.2188	34280.5273	34551.0312	63787.3945	45904.0547	37782.8477	39369.043	64017.0078	47124.7383	49327.7148	62671.3867	48719.9258	54919.8711	45232.7109	65661.9141	52341.9727	38241.4453	42357.9844	60821.1719	45790.4141	34824.043	56521.7305	65366.7188	55484.0039	42857.4414	49481.2656	87960.4453	69641.5078	41301.6133	66732.4375	64079.5547	72056.9375	56064.1094	42779.3594	36174.5508	35900.6016	50032.8711	32421.0508	84626.3516	44938.0312	44033.9766	32164.4453	61900.0469	56216.3203	55607.6328	47788.3477	50263.8008	36466.2188
0.6671	47978.8555	82603.0078	67619.4531	37638.8594	61263.7344	51088.6055	59497.3477	39156.1953	62320.2656	61618.4062	48348.1719	40230.7695	64941.4805	60752.418	61726.5898	41716.2422	34541.5625	55417.7109	84254.4297	49613.6055	43333.1758	58696.7109	49787.918	46780.0977	32416.9727	98021.2891	55951.9727	28236.0703	75947.3438	67987.8359	48881.5742	38888.4609	81035.2734	36813.3594	46218.6719	57323.582	30111.1504	47884.9766	55916.0195	46712.1289	44757.7461	49240.3672	43162.9219	35516.4961	60414.918	86516.5234	43249.6211	54922.8203	69543.3516	69350.4062	43881.2812	44687.2461	83959.5469	43483.9219	42699.5664	58457.4961	60260.8047	85973.6172	101325.7344	36575.6484	58375.4688	60398.1445	47935.8867	56042.2461	47090.6211	43066.7305	29999.7188	63098.4492	61842.9414	59918.8672	51144.7461	51252.1992	50403.5	85570.8438	46524.2148	44386.0352	60658.9727	58669.6016	37751.1719	35748.5742	45922.375	41775.1719	40417.7656	50759.5859	50548.2148	40942.1406	40554.8047	89787.875	38697.6523	77995.9453	48796.4023	61612.6758	53401.0508	48120.2891	37816.3984	41801.1719	68089.3906	32747.9004	43491.1523	73566.375	68166.7734	38987.332	56323.332	102271.7969	87110.9531	52414.2773	63052.7969	72069.0156	60892.3789	57109.7109	42795.8359	46937.875	41214.25	43141.0195	38754.6523	109196.9297	43632.4688	38686.5117	33802.3633	66292.875	71468.6797	49404.75	54090.3516	39025.2578	43439.2539
0.8005	54409.3086	97351	57052.6719	30249.2871	51434.4688	46220.6797	61619.9102	49375.1836	66116.5859	60656.9727	40626.5586	48143.1641	42716.0469	44400.2188	68861.25	43130.2383	30010.5488	46786.668	101294.2734	48626.2031	36127.3398	87324.375	42956.1055	42247.168	30467.6855	83257.7656	54174.6328	27360.498	57878.0156	86255.0547	53395.2734	47420.7344	108463.8438	30067.959	38240.4531	62431.6445	28204.5371	42821.1172	46220.3633	63167.4688	36137.9336	51207.1797	38171.0977	30880.5098	47889.9336	73955.9766	50818.5547	46586.0117	61739.0352	72155.3672	47847.5898	39503.8945	82942.5391	46128.2344	56028.2617	82098.0625	82527.2188	101317.9922	76235.1172	35912.8164	51699.7578	56514.5742	43327.8711	40301.3242	39888.4375	53197.4766	29687.582	44939.9258	59441.668	55102.3242	55333.6445	40849.5742	34462.1016	61979.5156	36500.0273	37539.9805	51187.6523	45304.9453	40866.9141	40386.0898	36753.1523	36923.4609	39248.0117	55388.332	36780.7266	33342.0938	33869.3047	89063.4844	29748.1523	94530.0625	42072.3008	46905.1328	44131.4805	73942.8047	33713.9023	32888.8164	89464.0469	32116.1484	36514.9609	60245.0039	64578.4492	36056.4766	48011.0547	75446.2578	72170.2891	75474.3125	48409.2422	57165.6797	43483.2031	46499.3867	37339.5703	62893.3086	50344.4375	32137.4395	46858.4141	88750.6953	38109.2344	33378.2422	39757.0156	53557.375	54891.8672	38376.7969	47597.5508	35053.0508	52687.918
0.934	45808.5469	80039.8906	40150.9648	26978.0039	42022.1562	38683.3945	50532.8633	51199.207	49713.9375	50466.9727	36098.1719	54379.5391	34719.4492	37227.0273	55514.6406	36759.6484	29577.3145	38757.8633	87528.6875	38484.9961	34044.9727	96099.5312	35369.5547	37946.1328	29275.2109	54526.1914	42209.3984	26615.3242	42685.1484	70381	45091.1289	68562.4141	97871.4766	29097.1816	34047.7227	51154.4883	27002.5664	34899.4531	36126.832	76575.0469	34066.4805	40739.9375	33832.7148	30717.8398	38615	49529.543	49171.1602	40297.5273	43780.1133	54379.6953	44163.2617	34866.2148	59830.7344	43746.9375	75411.3125	75814.9688	80838.7344	75371.7656	51831.7539	36863.5703	40430.582	40557.3203	37123.2266	35837.6172	34914.4297	80320.6406	28006.6328	34032.4375	47893.0352	43107.918	45116.2578	37815.7734	28682.7363	43726.4922	33774.2891	32295.3164	40945.7461	35538.1172	39415.7422	53385.918	32777.3906	33665.5117	32803.582	48813.1211	31153.6328	29448.2402	30715.2227	63021.4531	26419.4434	79565.8281	34098.0039	37803.5156	37978.6055	110026.9844	30494.8301	29183.2715	80624.1875	31823.6133	35066.3477	43646.7539	44715.1172	32798.1562	38566.1562	48707.1523	49686.2891	85214.1328	35870.793	41225.1484	35251.9727	38354.4609	32489.9727	61335.9062	55408.8828	29846.2051	45479.0508	59309.5859	31828.2324	32005.5742	48240.8984	38960.625	41016.8125	33830.5977	36357.9453	32060.8047	49468.957
1.0674	38314.7266	57426.3242	32305.8242	27329.6367	37910.4375	34134.293	39730.3047	40973.6484	36784.832	37062.0625	33285.5352	50472.8125	32927.0391	36270.8242	39122.9375	32382.6113	27260.4023	35629.2578	60053.6953	32561.2559	31019.584	65791.5469	31599.2266	35469.9062	30054.3398	42853.9531	36844.7656	28069.9062	37519.9336	46162.7656	38694.3164	96195.4609	60047.6406	28395.1289	31294.4355	39381.7617	26586.0996	31080.291	32673.6465	61611.3164	31793.1367	36706.1016	30895.6172	28745.4922	33197.4062	38543.0195	40356.2812	38152.2773	35730.0625	40918.7305	36166.3633	33096.0781	43494.3867	37471.7266	73695.4062	53764.2305	60427.8008	49219.1562	37674.1328	35971.7617	35530.3438	33588.5508	34134.9414	33052.5039	32963.7969	123591.2422	28411.0586	32100.5918	38619.9648	41355.6328	38155.3984	36415.1133	27907.207	37481.9375	32468.6875	30532.9434	36096.5234	31736.3984	34741.7734	60388.8789	31534.1211	32789.4336	30794.4902	39159.168	29765.5977	28542.5195	26676.6797	44149.4336	27432.0352	55316.6133	33470.082	34553.5039	36756.8242	107442.4844	30134.7988	28783.8359	54293.0977	30841.791	31468.0977	35601.8711	36499.7109	32153.9629	34497.6406	35631.3984	41497.3555	68499.5312	30749.25	36069.5469	30774.9102	35295.0156	31005.2891	41189.1953	46211.7383	28744.9863	38153.7266	42153.4883	31012.2578	30779.0234	50087.1797	33580.7344	32699.8555	31702.3418	29341.1348	31581.166	39878.6602
1.2008	35308.1094	43579.8984	29174.5449	27642.9785	37022.7891	33064.5508	35130.1641	32162.0801	33649.3281	33047.1758	33475.4336	40042.3398	31801.541	34897.3984	33146.8984	29024.8672	26299.7285	35160.3281	44296.7891	30475.4688	29722.8828	43196.5273	30607.6777	33362.2578	28542.3086	36381.5039	33230.3633	28113.0859	35303.3828	36548.3203	36404.7031	97414.4688	42794.8945	28232.666	29478.7539	33557.0547	26211.9141	28971.0371	31147.3281	44443.0078	31896.1465	32475.9648	28691.0176	29086.166	30471.375	33083.9844	36029.1562	35402.7344	34856.7109	36235	30576.7734	31858.5645	36682.1953	35442.4961	54982.4609	39706.1875	44979.3086	38699.793	32431.9863	35590.8242	32768.8359	33042.25	34391.5078	32928.1289	31355.2383	134079.9688	26583.9746	30414.3184	35327.9258	38958.6211	34180.707	35609.6133	26926.7852	33887.2344	33298.2773	29926.4082	35290.8242	31939.5801	30969.9473	51198	31364.0176	31143.418	30642.1406	34663.8438	29546.7988	27692.2441	25984.9609	36939.0273	24234.5527	44558.668	31689.2969	32368.3047	34946.1406	72807.1875	29812.4824	28721.9629	41863.8203	31757.6523	29866.4082	32673.2812	33746.5234	32146.3418	32583.4492	31092.6367	36609.6328	45596.1367	29707.625	32198.9707	32825.7266	33080.4531	31388.0586	32955.2422	37125.0547	29246.1211	32793.332	36443.6562	30630.7539	30409.0039	43636.2344	31210.2012	29284.5273	32811.8125	29000.1445	30486.5156	35767.8594
