X	Y_20181208_15794b_1_1g	Y_20181208_15794b_1_2g	Y_20181208_15794b_1_3g	Y_20181208_15794b_1_4g	Y_20181208_15794b_1_5g	Y_20181208_15794b_1_6g	Y_20181208_15794b_10_1g	Y_20181208_15794b_10_2g	Y_20181208_15794b_10_3g	Y_20181208_15794b_10_4g	Y_20181208_15794b_10_5g	Y_20181208_15794b_2_2g	Y_20181208_15794b_2_3g	Y_20181208_15794b_2_4g	Y_20181208_15794b_2_6g	Y_20181208_15794b_2_7g	Y_20181208_15794b_2_8g	Y_20181208_15794b_3_2g	Y_20181208_15794b_3_3g	Y_20181208_15794b_3_4g	Y_20181208_15794b_3_5g	Y_20181208_15794b_3_6g	Y_20181208_15794b_6_10g	Y_20181208_15794b_6_11g	Y_20181208_15794b_6_12g	Y_20181208_15794b_6_13g	Y_20181208_15794b_6_1g	Y_20181208_15794b_6_2g	Y_20181208_15794b_6_3g	Y_20181208_15794b_6_4g	Y_20181208_15794b_6_5g	Y_20181208_15794b_6_6g	Y_20181208_15794b_6_7g	Y_20181208_15794b_6_8g
2.535	27913.877	28547.5605	29080.3965	30572.9375	30471.5977	NaN	NaN	25278.3691	32377.7598	NaN	NaN	NaN	29376.1504	29989.2129	28693.5098	29279.0312	31126.4141	26333.9746	NaN	33004.8438	NaN	27378.6465	27039.1953	NaN	27266.0664	NaN	27576.8145	25244.5254	29955.3867	30664.6895	31238.9258	NaN	NaN	NaN
2.6684	NaN	28994.6387	NaN	29346.3633	30405.7051	NaN	NaN	24982.0645	32260.7871	NaN	NaN	NaN	29888.0527	31164.8574	27901.1348	30786.2539	31627.4668	28496.2188	NaN	32155.3789	NaN	27147.6562	25461.707	NaN	28101.5469	NaN	27020.2617	NaN	29428.0879	29878.8535	30973.5293	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	30502.3047	29921.3496	NaN	NaN	NaN	33865.5898	NaN	NaN	NaN	30601.6816	30454.2871	27566.1367	29604.7695	NaN	NaN	NaN	NaN	NaN	27070.0605	26076.1289	NaN	28855.125	NaN	27496.0996	NaN	30177.918	29549.7363	29506.959	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	31557.3281	29744.0195	NaN	NaN	NaN	31551.0938	NaN	NaN	NaN	30090.3574	30994.9395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27323.125	26060.4961	NaN	NaN	NaN	27334.5996	NaN	30223.8828	NaN	30947.2891	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	30080.6191	29483	NaN	NaN	NaN	33049.7422	NaN	NaN	NaN	28763.709	29790.998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28420.9473	27270.3047	NaN	NaN	NaN	25391.627	NaN	28895.6758	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	30519.5547	NaN	NaN	NaN	33976.4648	NaN	NaN	NaN	30132.6406	30048.9941	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27520.5391	NaN	NaN	NaN	25109.3652	NaN	29768.1582	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	29646.8496	NaN	NaN	NaN	33686.3047	NaN	NaN	NaN	29923.4922	29858.127	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25321.4883	NaN	NaN	NaN	NaN	NaN	30003.2168	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	29250.0918	NaN	NaN	NaN	33052.4805	NaN	NaN	NaN	28730.4551	31113.541	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26190.9922	NaN	NaN	NaN	NaN	NaN	28351.4609	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	29904.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32394.0469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24964.3398	NaN	NaN	NaN	NaN	NaN	28190.873	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	30226.2949	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30320.3496	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25938.5742	NaN	NaN	NaN	NaN	NaN	29331.6543	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	30260.6016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29060.0938	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	29691.8809	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
