X	Y_20180130_15100_1_1g	Y_20180130_15100_1_2g	Y_20180130_15100_1_3g	Y_20180130_15100_1_4g	Y_20180130_15100_1_5g	Y_20180130_15100_1_6g	Y_20180130_15100_1_7g	Y_20180130_15100_1_8g	Y_20180130_15100_1_9g	Y_20180130_15100_2_10g	Y_20180130_15100_2_11g	Y_20180130_15100_2_12g	Y_20180130_15100_2_13g	Y_20180130_15100_2_14g	Y_20180130_15100_2_1g	Y_20180130_15100_2_2g	Y_20180130_15100_2_3g	Y_20180130_15100_2_4g	Y_20180130_15100_2_5g	Y_20180130_15100_2_6g	Y_20180130_15100_2_7g	Y_20180130_15100_2_8g	Y_20180130_15100_2_9g	Y_20180130_15100_3_10g	Y_20180130_15100_3_11g	Y_20180130_15100_3_12g	Y_20180130_15100_3_13g	Y_20180130_15100_3_14g	Y_20180130_15100_3_15g	Y_20180130_15100_3_16g	Y_20180130_15100_3_17g	Y_20180130_15100_3_18g	Y_20180130_15100_3_19g	Y_20180130_15100_3_1g	Y_20180130_15100_3_20g	Y_20180130_15100_3_21g	Y_20180130_15100_3_22g	Y_20180130_15100_3_2g	Y_20180130_15100_3_3g	Y_20180130_15100_3_4g	Y_20180130_15100_3_5g	Y_20180130_15100_3_6g	Y_20180130_15100_3_7g	Y_20180130_15100_3_8g	Y_20180130_15100_3_9g	Y_20180130_15100_4_10g	Y_20180130_15100_4_11g	Y_20180130_15100_4_12g	Y_20180130_15100_4_13g	Y_20180130_15100_4_14g	Y_20180130_15100_4_15g	Y_20180130_15100_4_16g	Y_20180130_15100_4_17g	Y_20180130_15100_4_1g	Y_20180130_15100_4_2g	Y_20180130_15100_4_3g	Y_20180130_15100_4_4g	Y_20180130_15100_4_5g	Y_20180130_15100_4_6g	Y_20180130_15100_4_7g	Y_20180130_15100_4_8g	Y_20180130_15100_4_9g	Y_20180130_15100_5_10_1g	Y_20180130_15100_5_10_2g	Y_20180130_15100_5_11g	Y_20180130_15100_5_12g	Y_20180130_15100_5_13g	Y_20180130_15100_5_14_1g	Y_20180130_15100_5_14_2g	Y_20180130_15100_5_15g	Y_20180130_15100_5_16_1g	Y_20180130_15100_5_16_2g	Y_20180130_15100_5_17g	Y_20180130_15100_5_18g	Y_20180130_15100_5_19g	Y_20180130_15100_5_1g	Y_20180130_15100_5_20g	Y_20180130_15100_5_21g	Y_20180130_15100_5_22g	Y_20180130_15100_5_23g	Y_20180130_15100_5_24g	Y_20180130_15100_5_25g	Y_20180130_15100_5_26g	Y_20180130_15100_5_2g	Y_20180130_15100_5_3g	Y_20180130_15100_5_4g	Y_20180130_15100_5_5g	Y_20180130_15100_5_6g	Y_20180130_15100_5_7g	Y_20180130_15100_5_8g	Y_20180130_15100_5_9_1g	Y_20180130_15100_5_9_2g	Y_20180130_15100_6_10g	Y_20180130_15100_6_11_1g	Y_20180130_15100_6_11_2g	Y_20180130_15100_6_12g	Y_20180130_15100_6_14g	Y_20180130_15100_6_15g	Y_20180130_15100_6_16g	Y_20180130_15100_6_17g	Y_20180130_15100_6_18g	Y_20180130_15100_6_19g	Y_20180130_15100_6_1g	Y_20180130_15100_6_2g	Y_20180130_15100_6_3g	Y_20180130_15100_6_4g	Y_20180130_15100_6_5g	Y_20180130_15100_6_6g	Y_20180130_15100_6_7g	Y_20180130_15100_6_8g	Y_20180130_15100_6_9g	Y_20180130_15100_7_10g	Y_20180130_15100_7_11g	Y_20180130_15100_7_12g	Y_20180130_15100_7_1g	Y_20180130_15100_7_2g	Y_20180130_15100_7_3g	Y_20180130_15100_7_4g	Y_20180130_15100_7_5g	Y_20180130_15100_7_6g	Y_20180130_15100_7_7g	Y_20180130_15100_7_8g	Y_20180130_15100_7_9g
0	15092.388	13936.562	14862.254	16512.732	15254.599	15725.052	15417.264	14325.1	16670.781	14962.868	16061.85	14674.389	16649.1	14172.295	14796.33	15818.746	15225.123	17189.432	15679.503	15362.701	14978.854	15687.739	16088.351	15695.794	15219.484	15689.71	16612.246	15996.368	13853.8	16771	16188.584	15213.542	16728.975	16045.729	15024.186	14992.836	16307.356	15003.958	14038.958	14676.219	15699.246	15943.806	16783.195	16862.502	16867.832	16068.103	16723.473	15015.015	15652.099	15968.296	15337.298	15257.957	15129.283	15125.371	15486.276	15631.209	15013.13	16823.875	16618.166	15633.439	14979.9	15162.564	16129.83	16637.746	15023.245	16254.803	15854.567	17182.379	15953.553	15234.418	15752.46	15229.8	16021.9	16767.678	15683.19	15362.4	15381.066	14743.285	15597.719	15794.958	17069.398	16501.635	16040.079	16063.891	15796.309	17157.754	14972.015	15812.048	15966.841	15129.824	17328.301	16479.844	15404.546	15069.591	15408.602	16163.916	14059.607	15090.588	14879.704	16203.897	15799.467	15309.314	15954.684	15180.236	13815.867	14554.505	15341.892	15815.668	15687.854	15879.337	17710.508	15089.188	15774.769	17465.146	14740.607	16751.1	15185.722	14202.367	16973.066	16989.49	16509.465	15180.395	13722.98
0.1334	15284.896	14373.296	15329.077	16995.732	15359.855	15124.847	15523.333	15308.38	17270.383	14109.593	15372.189	14547.633	15633.497	14185.204	14696.63	15802.604	14865.943	17190.15	16379.457	15590.811	14745.692	16927.441	16326.38	15404.979	15617.779	14969.206	16769.221	16233.589	13958.866	16453.363	16481.762	15685.229	15651.562	15842.702	14931.508	15095.257	16562.434	14994.688	14566.794	14022.583	15507.898	16067.047	16068.085	17045.234	17509.107	15732.866	16579.531	14539.445	15940.657	16902.207	16075.89	15169.274	15577.792	14844.679	15754.74	15846.681	14842.841	15761.42	16090.522	16160.238	16670.789	14890.127	16090.695	15951.552	14063.038	15686.678	16769.668	16680.244	16718.447	15754.35	15229.021	14672.418	16364.3	16397.842	15093.372	15612.903	15177.336	15134.804	15173.242	15593.51	16840.902	14932.116	16588.314	16530.197	15227.661	17451.816	14820.21	16404.867	15485.867	15791.172	16865.688	17030.191	16577.203	14864.134	15308.053	16043.943	14063.676	15167.605	14885.266	15305.34	15051.218	15835.002	14904.473	15280.749	14338.567	14768.369	15595.919	16170.954	16033.685	15638.637	17386.127	14737.215	15313.78	16066.253	14782.814	17114.598	14593.934	14030.979	16912.656	16179.802	16018.429	15541.066	13998.897
0.2668	15479.411	14733.173	14879.48	18073.441	15077.15	15321.707	15697.873	14913.306	17542.732	13991.625	15505.4	15189.464	16066.119	14361.634	14229.104	16351.247	15294.604	15962.811	17879.631	16167.777	14506.789	16467.568	15380.665	15840.731	15351.528	15811.409	16025.531	15964.001	14980.529	17357.715	16915.344	15109.954	15065.289	16010.4	14636.397	15999.331	16119.686	14323.095	14182.88	14953.237	15429.199	15084.356	15823.697	17127.434	16692.117	15393.054	16065.575	14600.285	15227.174	15960.356	17128.426	15418.143	16370.844	15292.013	15779.14	16023.304	13663.451	16217.373	16500.92	16638.773	15304.856	15570.234	16399.447	16781.574	15019.278	15746.628	16570.652	18027.143	16236.008	15453.643	15930.619	14727.649	15724.8	16117.979	15914.233	15870.169	14789.854	14989.767	14887.101	15716.433	16254.707	15225.36	16461.613	15734.474	15991.914	17199.498	14790.671	15673.721	15502.899	15202.389	17031.523	16838.164	15841.791	15470.342	15702.117	16053.41	13713.972	15206.812	14134.482	15449.223	16398.805	15837.655	15786.183	15632.95	14577.828	14535.434	16351.393	16173.904	16222.374	15200.775	18049.775	14710.046	16204.438	16676.328	15457.866	16477.516	14470.596	13866.473	16466.246	16091.685	15638.632	15476.537	14257.573
0.4003	14485.648	14869.242	14407.639	17287.738	15726.268	15140.479	15768.405	14862.299	17632.445	14664.349	17789.76	15450.114	16539.861	14461.584	14700.808	16628.893	16089.425	15796.857	21322.543	15006.163	14368.427	15964.171	15939.396	15255.826	15188.634	15598.92	16047.378	15828.718	15022.295	15276.571	16749.299	14993.878	15982.33	15780.327	15128.657	16183.858	15450.994	14545.467	14239.352	14504.732	16353.908	15251.284	17009.895	16361.156	16561.215	15585.543	15384.063	14730.457	15359.745	16609.596	15803.419	15148.147	15227.037	14990.079	15985.766	15833.015	13431.221	17104.258	15969.701	16409.719	15798.092	15440.877	15739.934	16431.77	15801.667	15177.528	16376.065	18699.334	15635.736	15167.496	15487.554	14743.682	17911.301	15826.248	15555.083	16070.034	15428.55	15028.707	14961.925	16047.49	16312.741	15714.384	15847.513	16362.641	14781.975	18235.09	14936.895	15008.824	16193.234	15689.013	16618.188	16898.973	15402.878	15256.954	16362.347	16509.396	14993.805	14737.598	15377.566	15996.99	15593.687	15254.57	14904	15723.76	13993.725	14660.616	15365.005	15090.132	15137.494	15532.326	19389.459	15151.473	16731.037	16943.184	14921.963	16459.639	14742.941	14108.303	16614.826	18214.02	15209.036	15989.316	13959.415
0.5337	14955.519	14632.337	15007.851	19712.574	16011.387	15326.003	15428.749	14828.053	16664.934	13653.328	18444.277	15371.205	17081.334	14121.322	14651.779	16685.34	14885.149	16233.965	26240.318	15202.872	14726.798	16384.51	16152.503	15960.675	14586.284	15999.56	17046.553	16131.61	14419.081	16041.534	16884.262	13780.402	16019.414	14930.958	15120.92	16209.562	16148.521	14614.272	14563.526	15180.185	14941.631	14997.355	17721.672	17039.424	17460.316	16394.713	15437.991	14657.489	16390.961	16335.661	15368.722	14641.478	16015.507	15470.485	15234.854	15654.917	13529.489	16528.342	16467.201	16193.278	15105.866	14965.102	15861.367	17324.906	15789.001	15488.489	16648.236	19837.32	16848.059	14955.882	15214.945	14656.021	16812.301	16237.903	15109.134	16793.9	14947.895	14759.122	15022.721	15820.979	16407.492	15491.271	15960.686	16432.506	16225.935	17916.945	15313.222	15908.594	15846.683	15994.383	16532.502	17271.582	15548.278	15089.959	16325.722	16769.678	14254.253	15193.66	16186.859	15859.027	16356.442	15916.639	14576.476	15784.118	13707.731	14341.944	16836.742	14706.994	16389.115	16308.267	22395.385	14905.865	16349.78	16586.436	16368.646	16033.29	15115.744	14284.043	16389.867	21056.375	15493.797	16696.398	14377.568
0.6671	15512.033	14374.687	15002.725	23517.824	15058.675	14520.499	15457.837	14450.595	16198.5	13663.686	24210.119	15279.705	16086.447	14031.729	15024.996	16727.539	14704.377	16123.644	33193.469	16589.209	14318.783	16503.654	15649.294	16855.285	15435.784	16349.447	16830.635	15577.525	14990.91	14911.582	15784.47	14689.705	15950.75	16791.859	15539.637	15670.545	15940.879	14967.312	13955.615	17350.535	14792.708	15375.45	16309.486	16458.283	17754.836	16257.96	15401.737	15195.373	18294.221	16119.05	15549.629	14783.558	15322.896	16612.043	16832.592	16199.666	14506.795	15240.704	16792.859	15080.396	14614.824	15080.359	17033.057	16742.971	17064.379	15498.137	15896.137	23060.484	15932.272	15294.545	15717.252	15768.254	15993.7	16681.758	15955.812	15911.761	15179.102	14770.962	15524.362	15094.035	15706.737	15986.805	17076.84	15787.532	14990.529	16659.141	14981.019	16463.84	15678.593	16218.793	16859.207	17516.113	15144.888	15251.181	17377.051	19310.545	15106.354	16287.934	15950.128	15355.502	15768.846	16607.629	14934.476	16090.815	14479.033	15201.149	15287.363	15494.529	16704.338	15307.252	30185.525	15560.555	16250.453	16773.787	16803.824	17910.441	14836.589	14487.623	17528.547	29895.482	15764.381	16487.994	15106.131
0.8005	15735.019	14204.188	17447.168	34019.742	15409.483	14976.24	16064.374	14874.784	16341.501	13896.378	38683.609	15849.419	17849.045	14654.848	15098.689	15104.308	15379.908	16624.156	31313.74	18917.631	14111.597	16202.648	16126.199	15542.315	15636.989	16396.496	15523.228	16568.488	15037.795	16580.09	15423.992	15485.709	15335.252	18742.418	16829.076	15110.831	14895.794	14550.956	13560.587	24216.584	16473.242	16189.699	16944.717	17441.723	23146.51	15821.53	17166.209	15208.501	16956.012	16202.946	15270.636	14843.604	15827.58	16350.949	16548.943	16715.553	14892.708	15805.775	16091.317	15611.204	16232.279	15780.172	15910.041	16804.48	19233.717	15161.525	16637.219	30235.117	16168.784	16535.428	14802.882	15406.246	17749.1	18233.166	15926.366	16175.343	14684.555	14972.359	15245.164	15505.97	16285.683	16607.705	16713.621	16295.181	15181.738	17312.445	14826.948	16626.377	16122.048	15462.793	17393.961	17008.732	15157.722	15326.936	19242.199	23243.898	15158.207	16996.961	16925.588	16380.701	16523.043	15439.447	15106.405	16204.237	14128.685	14520.037	15760.088	15847.811	17021.607	15662.906	46833.023	15596.544	17597.586	17358.053	16209.103	15915.775	14629.539	14423.97	17887.348	38580.309	15923.667	16592.311	14375.525
0.934	16334.286	14871.191	20843.08	46843.277	14457.602	15123.284	15840.506	14891.304	16077.889	14830.279	55102.594	16174.102	18232.98	14588.212	15225.252	15487.626	14948.199	16594.389	23693.297	24347.576	14749.65	16374.822	16579.191	15965.764	17815.588	15688.392	15879.468	15921.441	14603.368	16004.235	15719.891	15991.585	16222.839	21522.109	18009.715	15268.916	15783.348	14812.969	14153.733	37073.191	16418.639	18070.805	15965.431	16484.648	32684.623	17069.764	19200.715	14587.879	21638.971	16358.753	15110.844	14776.311	15866.894	19093.779	15681.771	16934.816	14806.47	16069.319	15607.724	15497.686	14628.459	15587.428	16067.133	17329.658	26344.936	16128.176	16407.961	45253.488	16155.066	17773.406	14956.043	15726.882	19902.301	22014.441	15725.033	16867.123	14832.37	14488.278	14596.409	15161.793	15031.083	16160.938	16896.031	15260.661	15559.043	16520.951	15796.797	16387.184	14975.588	15479.863	20890.84	16967.018	16082.442	15559.035	26100.23	32517.602	14865.045	16369.482	20476.613	16701.68	16060.747	15728.108	13997.858	16504.148	14214.479	15257.736	15548.687	16204.358	16698.037	16455.992	65658.742	17661.574	17346.098	16107.904	15935.358	15813.531	14885.905	13961.416	16914.883	38984.309	16057.014	15473.498	14038.763
1.0674	17268.047	15591.394	28735.418	41071.254	14623.461	15499.157	15871.355	14188.815	16734.299	16172.004	48382.523	17168.543	21383.662	14477	15428.914	15264.035	15333.318	16866.123	19129.75	35468.172	15718.139	16399.344	17458.84	15649.626	20585.287	16398.293	15989.985	16930.766	13820.385	15624.308	15879.488	15932.7	16298.556	27505.752	21872.301	15174.786	15672.345	15186.724	15696.723	45890.23	18206.729	20509.457	16502.02	15869.266	48395.281	19587.324	24692.041	14846.726	32483.982	16361.415	16419.809	14918.826	16266.169	24303.164	15418.471	17508.314	14188.979	16037.751	16181.756	16673.631	15418.18	15580.194	17302.496	16458.021	35789.586	15990.154	15545.701	64904.695	16823.432	20191.16	15080.629	18408.809	26028.6	31889.336	15435.516	16797.816	15645.548	14751.377	14779.947	15086.405	16020.081	16701.789	16460.324	15809.699	15430.619	16474.447	15971.062	16110.702	15793.119	15209.181	27288.613	16329.809	15658.532	16768.881	36665.695	44557.773	14651.719	15975.599	28413.451	16298.709	16374.576	15685.586	15851.812	16473.955	14415.855	15139.37	17295.096	16770.662	15948.269	18820.227	55239.945	22172.357	17474.418	16365.362	16789.252	15857.271	15109.813	14770.916	16269.937	27763.691	15621.217	15647.814	14504.602
1.2008	18653.523	15230.772	29176.127	26410.094	16576.697	15941.045	15356.79	14880.829	18673.807	18731.459	32847.445	20990.422	36219.902	15049.499	15657.684	15813.379	15414.653	17667.977	18022.617	39539.832	17218.059	16245.298	18012.697	15215.307	27609.639	15609.866	16179.402	16261.094	14578.54	16121.206	15735.782	15753.338	15766.999	27853.279	27737.855	16374.445	15763.61	15418.844	14909.47	37745.031	20900.334	28727.346	16444.039	15674.645	49199.855	25619.189	35865.625	14400.773	46465.633	16067.361	15691.226	15103.475	15727.289	30493.381	15688.192	19195.785	14898.423	15657.006	15540.364	16152.441	15061.376	15286.308	18821.328	17099.213	36384.664	15789.611	16225.065	62943.695	16587.539	28511.004	14808.008	20992.637	39721.898	49272.203	15751.821	17323.912	15680.604	14390.521	14860.458	15974.913	17767.979	17133.33	16102.397	15620.038	17252.662	16576.578	17820.746	15618.2	16647.709	15430.357	33151.012	17042.672	15444.874	17322.754	40267.305	42033.512	15138.471	15850.147	37509.715	16742.676	17517.141	16439.385	15119.335	15885.45	14548.707	15209.885	15843.967	15512.643	15664.224	24693.053	35576.312	28420.121	18106.939	18130.84	17796.678	17290.281	14984.149	15136.42	17632.197	20970.332	15896.504	16096.793	14558.781
