X	Y_20181208_15693b_1_11g	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_5g	Y_20181208_15693b_1_6g	Y_20181208_15693b_1_8g	Y_20181208_15693b_10_12g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_15g	Y_20181208_15693b_10_1g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_3g	Y_20181208_15693b_10_4g	Y_20181208_15693b_10_5g	Y_20181208_15693b_10_7g	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_11g	Y_20181208_15693b_11_12g	Y_20181208_15693b_11_13g	Y_20181208_15693b_11_15g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_1g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_6g	Y_20181208_15693b_11_8g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_10g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_13g	Y_20181208_15693b_12_14g	Y_20181208_15693b_12_1g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_12g	Y_20181208_15693b_13_13g	Y_20181208_15693b_13_16g	Y_20181208_15693b_13_17g	Y_20181208_15693b_13_19g	Y_20181208_15693b_13_2g	Y_20181208_15693b_13_7g	Y_20181208_15693b_13_8g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_12g	Y_20181208_15693b_2_13g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_16g	Y_20181208_15693b_2_2g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_7g	Y_20181208_15693b_2_8g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_19g	Y_20181208_15693b_3_1g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_4g	Y_20181208_15693b_3_5g	Y_20181208_15693b_3_6g	Y_20181208_15693b_3_7g	Y_20181208_15693b_3_8g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_14g	Y_20181208_15693b_4_17g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_4_5g	Y_20181208_15693b_4_7g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_11g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_15g	Y_20181208_15693b_5_17g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_19g	Y_20181208_15693b_5_1g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_5_7g	Y_20181208_15693b_5_9g	Y_20181208_15693b_6_11g	Y_20181208_15693b_6_12g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_17g	Y_20181208_15693b_6_4g	Y_20181208_15693b_6_6g	Y_20181208_15693b_6_7g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_14g	Y_20181208_15693b_7_15g	Y_20181208_15693b_7_17g	Y_20181208_15693b_7_1g	Y_20181208_15693b_7_3g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_7_7g	Y_20181208_15693b_7_8g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_13g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_17g	Y_20181208_15693b_8_19g	Y_20181208_15693b_8_21g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_3g	Y_20181208_15693b_8_4g	Y_20181208_15693b_8_5g	Y_20181208_15693b_8_6g	Y_20181208_15693b_8_8g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_14g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_2g	Y_20181208_15693b_9_3g	Y_20181208_15693b_9_4g	Y_20181208_15693b_9_5g	Y_20181208_15693b_9_8g
0	89993.4766	50851.5664	26700.3574	37695.9648	40856.8047	34749.3555	38667.0703	35072.4453	32439.3809	31412.0195	34894.4297	29960.834	29271.5977	46192.2812	28240.707	32940.875	37004.3711	31844.3613	40930.1602	36724.5547	29683.1484	28868.0645	39640.3164	34093.8945	30076.9961	33326.8359	31775.2637	30913.8516	35255.9336	27448.127	31838.8828	28319.3008	26711.418	32065.2031	32341.4902	31675.3066	39049.2188	47761.6836	29051.9238	30196.7207	27534.4453	43184.4297	31480.875	35563.957	35826.5469	50700.5	33291.0117	48741.3984	33303.5703	28015.7402	30411.7773	31606.6406	38872.7852	37137.0117	32912.4219	67306.1797	36926.9727	55358.3242	35668.2969	32822.0938	35803.4961	34145.8438	39863.6367	31070.3359	38694.332	33655.7734	32783.3008	30083.7832	32419.7285	31498.7949	31276.2637	31428.8809	31205.7832	29900.1855	38249.4766	29976.0938	33717.1016	31727.8379	30993.1172	32557.7012	32480.0254	33520.2188	32787.3008	32520.7812	34155.1094	32326.2012	32378.9141	34800.1992	31378.9473	31909.9805	34943.3203	26816.6484	33139.7031	38370.25	33844.2383	29715.0801	27560.8984	35449.3984	33867.7617	29099.9531	30137.375	32836.1016	33487.5781	32139	36978.4219	34280.1172	35097.9492	34002.2227	25116.8477	28052.8242	28631.6699	29620.4668	52483.1758	32320.4355	48478.4805	34076.5234	35752.2383	31773.7266	34402.9141	34253.9375	32548.0762	31757.457	32204.2441	30226.3887	34533.3672
0.1334	66596.0391	70766.8594	27043.5762	36059.8281	45310.6133	36558.1133	37302.5898	34272.0078	31999.1328	35157.2188	32102.3008	30068.3066	29454.8184	39165.3438	29518.8145	33156.1523	37387.5117	32209.9023	49322.457	38536.2773	29475.4375	32317.9902	37664.9023	33531.9727	31890.9902	35042.1797	31397.4492	31810.457	33793.5977	31647.6504	33071.5039	31770.6152	27031.9395	32258.2031	32720.0996	31789.1191	37807.3672	50302.3984	30884.7539	31152.623	28649.0215	40880.832	32670.0957	37301.3359	35858.5234	46318.0781	33033.0625	48501.9648	34668.0664	27802.6777	31771.291	33469.3867	36524.7695	37619.3359	35364.5469	53515.4688	34348.25	46538.8164	39802.3086	33372.2227	38015.7734	36094.7539	39602.2188	32597.6621	37041.0156	35305.7148	33657.5039	32661.1797	33126.7891	33153.0352	34628.5625	32844.2656	32695.9688	31478.293	38092.25	34325.8398	32985.1875	32675.4746	30505.0684	36753.9961	31479.2012	39103.5273	36073.7305	33379.2344	32773.793	34364.5234	33613.2148	37512.875	32744.4727	37960.9766	35398.9609	29229.8438	33015.7734	37584.9805	34451.5078	29323.0879	27745.2734	33811.8672	32727.9902	30245.9551	30324.5527	32189.6035	33403.0352	33599.4375	36414.9219	40229.0352	34489.2539	32841.6875	24490.5684	28445.3574	28052.1094	30442.9277	56432.4453	34124.207	48118.4844	37952.3242	35118.3555	33677.1055	36263.9141	40845.3555	31473.6035	34947.875	31062.1328	30229.8594	37321.4883
0.2668	56139.457	103496.6875	30360.1309	35628.6328	56122.2422	37251.2461	43676.3281	34481.5938	33120.7891	44056.8398	33129.1641	34101.0469	30794.9199	36168.8203	34522.7305	36395.9336	44715.9141	33513.1484	77474.2031	51455.2812	29934.0176	37741.3672	39409.2148	36794.6992	33567.6562	36797.8281	35167.9531	34055.1289	34497.418	39148.8945	37429.6641	32430.4004	26301.1211	32229.4531	35924.332	34278.375	37396.7812	65657.0156	31459.6094	31603.5215	27035.6836	49985.9492	37403.457	41142.4648	36773.375	52104.457	37741.6719	61110.2891	39313.6953	29065.5312	33851.9141	36087.3008	38115.1367	39596.7695	34928.8555	56453.0898	34740.7734	52563.6367	48936.0352	34401.9922	49971.1289	39243.2227	43729.9492	37964.6875	46759.8359	37336.7812	37258.2461	34832.0859	33699.1836	34169.8438	46397.3477	35399.3633	35892.5	32434.7871	41435.9141	43598.0859	33800.3555	31746.293	30623.0742	45646.9531	34120.2227	48930.4062	39274.1484	36218.6953	34221.0039	34852.3281	34777.2305	38854.2109	36559.3477	50937.9688	38809.0508	29627.123	32546.416	38603.0938	37264.6641	29156.791	28268.3438	36237.8438	32151.7422	31805.0547	30549.0645	33858.7148	36863.9805	35278.5117	37098.0742	45599.3594	34783.2383	34378.5703	25112.1641	29724.332	31049.9785	31635.5176	62158.5234	35626.2773	42901.1406	50186.6992	40708.4766	39695.2578	38221.9141	48167.9023	32435.4395	34448.3125	33033.1602	30599.3418	43871.6719
0.4003	59308.9492	111152.7812	35504.2578	37385.1719	84989	42428.7539	57995.668	38150.0117	33284.1406	53109.9883	35443.582	42526.457	37570.3359	39887.7266	47227.8008	38920.9336	53151.9922	33599.7695	108271.1875	65773.0859	32857.4062	51708.875	52628.2344	42462.1953	44083.6523	43836.5625	44215.3203	35953.8516	38866.3945	57608.4023	47800.0156	36467.0156	29864.0898	36207.8477	39677.0078	37820.1797	46836.7266	100464.5781	34667.2539	35301.9297	31191.1758	67864.1875	44814.0039	39938.2695	39397.3516	52408.0547	48719.3047	73762.9297	50474.8867	32882.9258	40198.3828	42029.5273	41183.1914	43776.5781	37988.1367	55213.3008	43181.1172	52423.3477	61487.8008	38744.7617	69993.8438	52741.9219	52935.9414	45010	68985.9609	43759.1914	47120.4375	44712.7422	34710.7344	37360.1367	48559.457	38591.6836	43414.5	36604.3203	48338.125	53241.0234	39869.9258	35304.5781	33089.7734	67627.2969	38369.1211	70697.75	49958.1133	44900.3711	37096.1172	38202.9414	35986.8438	44511.9375	38445.2969	60705.0625	40862.6328	35315.4258	35012.1641	42989.2617	44467.8281	31621.8438	29241.4844	40668.1797	35064.7188	35521.793	31340.1074	34004.2148	41317.7148	36026.3672	38647.9453	61750.6562	39552.0312	41455.0781	28529.4609	33801.6328	35773.0469	35518.3125	65539.2031	40116.1289	43566.6914	64917.1562	48333.7812	52717.2617	47855.125	55986.3281	38489.1602	41471.8398	38471.2109	34294.1289	47562.7188
0.5337	81666.0078	83225.6953	50775.7695	40749.3438	140675.5938	49699.5	83922.0469	45270.9883	34636.7109	47761.8945	41224.3672	52031.6953	44213.1992	45618.3984	59528.0547	44008.6172	57096.9492	34711.1953	102982.4531	60278.1641	38612.043	71861	77409.2266	59034.8164	68250.1406	53748.7188	45711.0859	41226.4102	46173.2812	68598.9141	60659.6094	46244.75	37489.4102	43224.1797	45321.0898	48144.8789	62629.9336	107404.9375	39791.6289	38842.2656	36570.8906	80704.9609	55598.5938	35044.875	40559.1953	41523.1211	71079.0391	61179.6953	70446.125	38441.0039	53098.1523	51305	49391.6133	50552.8047	44563.2812	45411.9375	53107.1562	43358.0547	63343.043	45680.1875	75333.5625	73248.8906	66847.1797	52786.6211	87611.125	58069.7617	62368.5977	62471.3438	39537.5312	48123.7109	42882.8242	46729.2656	54093.8672	42523.1914	49203.3711	55301.0508	53672.3672	39936.5703	37075.0039	101394.3047	48497.7812	102840.4219	72823.3828	64384.9375	42819.4141	40665.7188	39047.1055	65728.2109	57521.4023	53063.1172	52770.5469	46475.75	37835.7266	53935.8125	59860.5352	38707.3672	30400.6562	52350.1055	42693.4609	42851.1992	34402.6016	37059.3008	38715.8789	38052.375	43767.457	81513.1484	40920.6602	43187.8125	33770.5938	47899.5	45298.6094	41490.7969	56694.0977	48640.0156	46126.0195	61392.7656	59310.75	80233.7266	68828.8359	59919.8672	46253.3477	42748.7656	50572.1719	40891.9609	43808.5508
0.6671	125996.3203	55766.3984	74093.8438	50194.5898	161649.9844	52011.3086	88817.1406	44428.418	36917.3516	37706.9141	39162.5352	50257.8945	46750.9336	48110.7031	50703.3438	42919.1406	49125.2734	38064.293	67042.5156	45603.8398	42044.9023	78570.1953	87430.3516	77541.8047	84523.6562	56931.5859	41641.7305	53522.5938	58809.5586	57154.4844	58284.3438	52980.9375	53807.6602	42170.6562	43318.6602	62576.1484	71833.7969	79209.6875	50309.6328	50951.6641	47099.3789	60605.168	56094.3086	34350.0391	40871.0977	37208.9141	94612.6016	43806.0859	76007	49290.1367	68014.7109	46955.4844	60343.0938	58858.7852	61771.3086	35667.1953	63071.4727	37074.4492	48525.9219	43163.3047	59606.0117	78660.2812	65486.3867	47907.9375	78591.1875	71048.6875	61729.1953	67808.0156	45093.8477	59977.7773	34288.7148	65338.9219	55032.3672	41600.5703	40469.6602	45866.0664	56805.3164	47533.9219	41999.5039	108444.8281	54043.793	103918.6797	88211.8672	91211.6094	53394.7695	52032.6094	47568.0625	91989.2656	78118.0781	39513.9023	81385.4688	50348.4961	39399.9844	69800.125	78911.4531	48846.918	35795.1641	73572.6641	55673.9922	51962.4492	39405.7695	41990.043	34632.0234	49074.5781	50319.543	84292.2656	33195.2344	37034.9141	43426.8867	74875.4375	49766.7031	43557.8711	44169.7617	75447.4688	39021.5039	46164.8828	63254.6289	112843.8594	84513.5312	56769.1523	47861.5508	34694.3594	56018.2539	50430.2578	37928.8047
0.8005	154946.1719	42123.2695	80310.2109	59324.4531	115460.5625	43849.0938	67435.3438	38900.1484	39515.3438	31774.9062	33012.375	40823.3047	40319.6094	40934.0508	39579.1641	36512.5938	40651.1289	44988.9609	46568.207	35851.7734	39975.5703	57107.4258	68827.5938	68120.7031	71575.2734	46628.2617	34740.0859	75858.8359	77891.2969	39465.6875	44782.4844	67977.8438	63458.6562	38130.1523	36266.0977	71586.1094	59835.8477	53668.8359	67965.9688	63730.5312	56101.7148	43713.043	44759.3516	31830.5566	43364.1445	33248.5625	84423.5078	35704.2539	58290.9844	54477.0586	62372.3398	39529.6836	57420.7656	53753.2578	94601.3438	32677.9941	53791.5547	32544.7324	36297.7109	35695.9883	42526.7539	62604.1367	52036	38434.1797	51046.2539	63127.207	47440.1367	54074.9453	49512.8477	58265.7227	32417.4902	83338.4922	42915.3086	37649.3555	35742.8828	42718.5664	45710.8633	45462.4531	42850.7383	79136.1562	47404.8164	71809.6953	73623.2969	93931.8047	56408.4922	65184.2734	56659.4648	100041.1719	65751.6875	33473.6406	115080.5078	39974.7539	48933.7305	69265.0781	80388.9531	56783.7695	47935.1602	72112.2188	58272.8555	52222.1133	40206.7031	45508.1953	33583.207	63564.7773	51023.582	64052.9609	27638.9727	32155.7715	45165.6797	89828.6875	40931.9375	39196.4141	36591.9766	102577.0391	33268.1992	34592.0625	51535.9492	107985.6406	71082.0156	44735.168	40367.2188	31689.0488	50936.4492	59967.7227	35129.8984
0.934	128486.2422	36255.0898	56803.5273	59710.1445	66800.8828	38833.2109	45586.1914	34446.3398	50755.7031	30802.627	28799.0566	33680.5703	33630.1953	34658.8594	33457.3398	33896.2227	35120.7031	52353.1562	38442.6953	32030.7441	34945.1484	39269.6055	44438.9688	51234.5469	49657.8047	38042.7852	31655.2812	91690.4219	83078.0859	32574.3027	35577.7891	85291.5859	54168.5742	32763.5059	32957.957	57689.7188	42097.1953	42433.8242	65183.1875	60207.3711	50150.7812	36506.5078	36229.3477	31110.9004	39639.3398	33189.207	54440.3555	33548.9883	42049.918	45995.3438	45505.0586	33714.1445	47173.5391	43330.9141	112383.3594	30930.666	40331.6484	31160.748	33091.8711	30702.2285	33869.2422	46634.9023	41146.7852	34008.8281	38060.2656	46319.7422	40469.0312	40348.0039	45846.0078	44565.7812	32230.2012	72213.3984	35134.1055	32479.2578	34591.8359	39053.4414	35725.1445	38836.4492	36680.5195	51101.5547	40135.8789	47892.1172	47436.8047	66911.8281	47335.7305	64313.4531	49091.2656	78935.2188	46884.4648	28192.3047	112875.6875	33664.9961	69381.0391	53178.0508	57951.8711	52448.0898	63861.2227	50406.7344	46966.9766	39506.1797	35359.2031	44229.5742	32961.5625	54905.7734	42487.1641	47235.7109	26169.0254	30818.4316	35919.5273	65428.2695	34454.3359	33609.3477	33247.9414	90491.6094	31216.1152	31796.5508	40811.6484	74956.2344	49719.3086	35562.9766	32388.3809	29240.0957	41491.3477	52036.0977	34384.1133
1.0674	78275.8672	34552.0664	37376.2578	46585.5039	44885.9297	34761.8906	35213.543	31671.5625	63820.25	28669.4746	28530.0195	31700.8887	29667.7266	34398.6328	31037.5605	33327.2461	33401.0078	48486.6523	34050.668	31859.3359	30322.0566	32313.1035	33196.207	39812.2422	37514.0664	36077.0273	31130.1426	75166.9219	63298.2148	29019.9258	31381.3027	68632.125	40316.6094	30725.9414	32229.7305	41518.7344	34719.4219	37467.3672	48303.2852	47920.6992	38825.8359	33060.2617	29985.0586	32226.1992	36228.3086	33105.5703	38664.4961	32996.7188	34776.1719	36891.0742	36608.4102	32088.9473	37752.1367	36455.7227	80832.3672	30377.1289	34408.5	32124.9375	31640.6348	28105.5527	32703.3105	38962.2734	37163.8164	33106.2539	32007.9824	37803.043	36622.2578	35169.4258	38719.5469	38263.6016	31283.748	51205.7109	33055.4219	30473.791	33884.3828	35356.4844	32149.4863	33215.6367	32983.8008	36960.5078	34736.9727	39336.3477	38687.5	44793.6445	36670.9531	49003.5	37542.8047	53261.25	38089.582	26531.0547	77209.3438	31202.8672	75335.1172	41627.5273	42429.1953	38438.9375	61753.2891	38189.8242	38792.1914	33522.5664	31686.918	37814.5273	32022.293	43653.375	38467.6523	37022.2539	24722.8438	30137.2598	30217.2383	43866.6758	30838.3398	30682.6719	34408.8398	60732.6367	29274.707	30110.291	36498.8867	51249.2734	40797.0781	31906.1094	28848.8613	29029.8203	35149.168	40795.8945	32357.9883
1.2008	50275.2812	33788.2812	31224.7461	36443.0039	37081.5156	33784.5898	32122.7129	32094.1484	65082.3594	29321.1836	27133.7891	28186.5508	28678.8711	32631.4316	30459.6953	30704.7773	34064.4258	42089.3477	31627.1738	31280.3574	31581.2129	30262.5234	30318.125	33011.1758	31280.6777	34009.8438	30934.3672	50077.9727	44193.8281	27070.9336	30234.9941	46547.8086	31749.6348	28406.6406	32083.541	34532.0469	31825.5742	37437.7266	38299.1758	38944.4102	30620.6152	32510.0918	30637.5195	32577.2656	34817.1797	33267.8125	32510.6934	32245.4707	33893.4609	31431.918	33321.0703	32242.1914	33411.6953	34855.5273	52888.9531	30777.373	31325.4668	31710.6074	30252.2266	28007.0898	33507.8984	35013.168	35447.6992	33566.5078	30731.6289	36389.8281	34028.5078	32105.1797	37028.4258	33446.8789	30516.4238	38632.1992	32193.2891	29692.0547	31328.9277	33828.3438	31836.1094	32305.5488	31829.5137	31957.3027	32961.4141	34327.2266	34854.2656	34669.0664	36343.2773	39211.4219	33508.2266	41303.3945	33786.8984	27222.9258	51277.5586	30394.5234	61405.0195	36540.2461	37153.4883	32221.6445	47670.0508	34470.0312	34333.2773	31570.7617	30213.8164	34639.3281	32205.4316	34659.6641	38208.7656	33511.3672	23768.6758	29935.5	27826.5059	32981.1328	28633.9785	30718.2129	33582.457	42164.3555	29190.707	29033.7812	35534.1602	39705.8633	36175.0664	31015.8652	28716.1934	29619.6309	33181.793	34393.4492	32411.791
