X	Y_20181208_15693_1_11g	Y_20181208_15693_1_12g	Y_20181208_15693_1_1g	Y_20181208_15693_1_5g	Y_20181208_15693_10_10g	Y_20181208_15693_10_11g	Y_20181208_15693_10_14g	Y_20181208_15693_10_1g	Y_20181208_15693_10_2g	Y_20181208_15693_10_7g	Y_20181208_15693_10_8g	Y_20181208_15693_10_9g	Y_20181208_15693_11_14g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_11_2g	Y_20181208_15693_11_3g	Y_20181208_15693_11_5g	Y_20181208_15693_11_7g	Y_20181208_15693_12_2g	Y_20181208_15693_12_4g	Y_20181208_15693_12_5g	Y_20181208_15693_12_6g	Y_20181208_15693_12_7g	Y_20181208_15693_12_8g	Y_20181208_15693_13_10g	Y_20181208_15693_13_11g	Y_20181208_15693_13_13g	Y_20181208_15693_13_14g	Y_20181208_15693_13_1g	Y_20181208_15693_13_4g	Y_20181208_15693_13_5g	Y_20181208_15693_13_7g	Y_20181208_15693_13_9g	Y_20181208_15693_14_10g	Y_20181208_15693_14_11g	Y_20181208_15693_14_1g	Y_20181208_15693_14_2g	Y_20181208_15693_14_4g	Y_20181208_15693_14_6g	Y_20181208_15693_14_8g	Y_20181208_15693_15_10g	Y_20181208_15693_15_1g	Y_20181208_15693_15_2g	Y_20181208_15693_15_3g	Y_20181208_15693_15_5g	Y_20181208_15693_15_9g	Y_20181208_15693_16_1g	Y_20181208_15693_16_3g	Y_20181208_15693_16_6g	Y_20181208_15693_17_10g	Y_20181208_15693_17_11g	Y_20181208_15693_17_2g	Y_20181208_15693_17_3g	Y_20181208_15693_17_5g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_17_9g	Y_20181208_15693_18_10g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_18_2g	Y_20181208_15693_18_6g	Y_20181208_15693_18_7g	Y_20181208_15693_18_8g	Y_20181208_15693_18_9g	Y_20181208_15693_19_2g	Y_20181208_15693_19_3g	Y_20181208_15693_19_5g	Y_20181208_15693_19_8g	Y_20181208_15693_2_10g	Y_20181208_15693_2_11g	Y_20181208_15693_2_1g	Y_20181208_15693_2_2g	Y_20181208_15693_2_3g	Y_20181208_15693_2_4g	Y_20181208_15693_2_6g	Y_20181208_15693_2_7g	Y_20181208_15693_2_8g	Y_20181208_15693_2_9g	Y_20181208_15693_20_2g	Y_20181208_15693_20_4g	Y_20181208_15693_20_5g	Y_20181208_15693_20_7g	Y_20181208_15693_4_10g	Y_20181208_15693_4_11g	Y_20181208_15693_4_1g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_4_8g	Y_20181208_15693_4_9g	Y_20181208_15693_5_10g	Y_20181208_15693_5_11g	Y_20181208_15693_5_13g	Y_20181208_15693_5_15g	Y_20181208_15693_5_2g	Y_20181208_15693_5_3g	Y_20181208_15693_5_4g	Y_20181208_15693_5_5g	Y_20181208_15693_5_6g	Y_20181208_15693_5_8g	Y_20181208_15693_5_9g	Y_20181208_15693_6_11g	Y_20181208_15693_6_3g	Y_20181208_15693_6_4g	Y_20181208_15693_6_5g	Y_20181208_15693_6_6g	Y_20181208_15693_6_9g	Y_20181208_15693_7_3g	Y_20181208_15693_7_4g	Y_20181208_15693_7_6g	Y_20181208_15693_7_8g	Y_20181208_15693_7_9g	Y_20181208_15693_8_10g	Y_20181208_15693_8_2g	Y_20181208_15693_8_3g	Y_20181208_15693_8_6g	Y_20181208_15693_8_7g	Y_20181208_15693_9_12g	Y_20181208_15693_9_13g	Y_20181208_15693_9_14g	Y_20181208_15693_9_15g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g	Y_20181208_15693_9_8g
0	11738.4941	12856.5234	10303.3955	11387.7471	11876.4893	10210.1182	11873.4893	11354.085	11633.3438	11765.3418	12282.5078	10015.9307	11906.5303	12256.2295	11401.4004	12846.874	9809.4277	12543.165	12359.8955	11894.6719	12933.4307	12469.9541	11361.3398	10522.5996	11513.5059	11892.3301	12548.9551	11054.8447	10838.9883	11208.2969	13501.0684	9926.1416	12047.0908	13401.7354	11660.1318	10478.2393	11815.4971	12865.1953	11658.5605	10057.2695	13156.043	11697.7441	11634.4551	11735.8936	10649.7412	11763.2227	10853.0557	11583.5049	11977.5156	11908.6758	10898.0342	11326.5752	10159.2393	11201.1572	12431.9717	11559.8809	11893.4453	11306.2734	11942.8994	13522.3516	11965.3467	12391.3662	11628.4707	12008.998	10906.3887	11135.5283	11382.7998	12975.4453	12899.7354	10911.9307	11260.0557	11603.6719	11754.2705	12124.7979	12882.6768	11819.3652	12764.3633	11562.4229	11725.5586	12303.6299	12281.8359	11409.1982	10928.3525	13617.7578	12352.3037	11337.8232	11212.042	12124.8643	9368.2549	11892.3281	9918.6572	12225.0938	14599.2178	11320.9229	11056.3564	11883.3457	12678.7236	12521.9971	11899.9365	12853.5215	10418.8662	13549.9131	12879.6504	11174.4258	13680.7168	11326.8721	11197.2949	11725.6689	12603.5664	12211.668	11812.2412	11505.7393	12383.6973	11093.7568	12147.04	12013.9727	11347.8809	10631.7256	10153.3926	10916.9463	11957.5537	11495.9795	11492.8506	12531.6201	11427.6035
0.1334	11551.2393	13416.1641	10351.2588	11772.1201	12139.2334	10186.1895	12331.6582	11332.8027	12167.8691	11871.5029	12411.3623	10769.7246	11812.6143	12526.0625	12174.0117	13150.5771	10368.5684	12869.2002	11919.3369	12325.0518	12699.7568	11688.0068	11278.0566	10979.9043	11260.5391	11353.9775	13063.8643	11053.3428	11465.7998	10877.376	12873.6309	9995.8672	11372.752	12630.0049	11341.9785	10845.8643	11639.2441	12682.915	11805.2021	10203.6885	13007.543	11294.9209	12362.8096	11943.7432	11460.1104	11936.4648	10815.626	12252.4023	11293.46	11275.6914	11262.1338	11727.8535	9855.2871	11104.9473	12538.1162	12745.0029	11349.2334	11826.835	11872.5371	13215.376	12269.2422	11771.0518	11408.8594	11989.5527	10562.5039	11224.7998	11539.168	13048.7861	12390.7881	11008.4707	11251.2051	12220.1885	11810.3936	12283.0869	12747.4355	11940.127	13149.5645	11814.9121	12161.4863	12469.998	12067.3887	11379.9072	9980.9961	14208.793	11761.373	11141.207	11497.5518	11814.6904	10799.3555	11126.7207	9319.1367	13283.9805	14757.2891	11284.5547	11810.7354	11618.3252	11996.9795	13009.1074	11887.5098	12487.0439	10772.3701	13878.3174	12026.7773	11713.3711	13444.6631	11637.4717	10902.874	11445.0273	12958.8633	12544.0752	11391.3281	10884.2031	13614.9014	11388.5137	11871.8145	11798.4316	11373.9355	10608.0615	10764.1885	10522.2969	12108.8477	11805.7393	11734.5752	12938.6719	11164.748
0.2668	12012.3398	13064.2002	10504.3564	11412.5781	11988.1885	11002.5303	12058.9092	11355.0254	12243.5322	11783.0293	12043.0352	11081.3477	12305.0527	12904.8936	12122.3828	13127.9365	10210.1016	12867.8418	12293.2637	12852.2764	12827.5498	11100.9873	10758.6641	10631.4062	11002.6309	11209.6035	12378.7617	11107.7061	11019.6611	10806.5762	12604.1689	10364.623	12538.2344	12614.5049	11892.0723	10917.9541	13166.126	12057.0312	11978.2324	10427.9863	12558.9268	12037.5713	11710.1064	11942.1182	11666.0479	12425.0469	11332.708	11125.0371	11222.252	11444.9795	10770.9092	11189.958	10529.9258	12169.332	12581.8477	12812.8486	12094.0322	11737.4658	11466.6943	13432.2637	12421.1406	11549.1787	11548.6621	12039.873	11657.3887	10949.5059	12216.7793	13124.0869	12446.7441	11924.5557	11069.1445	13175.5811	12962.3682	12210.6289	13389.9648	12214.2803	13786.2871	11838.4961	12458.5596	12567.4365	11689.2832	11793.4834	10227.6445	13871.373	11586.7617	11203.9189	11908.5	12705.7461	11778.7305	11620.1592	9309.5947	13028.7734	14436.0029	11368.4258	11180.5732	11970.8418	12237.7891	13266.7568	11896.584	12391.9219	10933.2783	13775.6055	12601.7637	12529.8799	12986.1914	11872.543	11345.5801	11471.8047	12627.749	12362.5137	11304.0928	10794.9912	13121.7617	11331.8457	12460.9814	11800.3018	11215.6123	10576.0928	11350.7471	10261.0938	12044.7754	12335.209	13220.6641	12784.0596	11526.3447
0.4003	11894.8193	13329.4395	10985.8447	11931.2012	12714.043	11301.8906	12191.9346	12009.6025	12164.5146	11895.8271	12544.4678	11562.4414	12310.4404	13561.9922	12649.7734	12202.0488	10674.1533	13165.1357	12650.707	12838.1436	13873.0459	11635.6982	10910.4668	10669.0293	11488.3975	11776.4307	13192.8438	12048.9668	11770.5342	10549.3076	13134.8193	11466.8994	12691.0029	12282.6494	12612.1201	11188.499	14113.2949	12775.3818	12487.8604	10582.835	12138.1787	12645.8799	11316.5059	12237.2754	11684.4873	12388.7773	12156.4014	11900.168	10794.7998	12119.3447	10725.3926	11837.4229	10771.0283	12242.5566	12263.5527	12203.8057	12066.1172	11310.8066	11359.0391	13603.5547	12669.8145	11986.1689	11805.6523	11708.3682	11299.3994	12009.0596	12776.4453	13345.4717	13290.2832	12226.6504	11189.9941	13313.3838	13890.6992	12922.875	12900.7461	12449.8145	13003.9863	12500.0635	12081.4258	12808.3721	12103.8789	12382.2949	10036.3213	13623.4766	12267.3203	11409.1904	12079.4375	12912.374	12417.0674	11964.2607	9767.0762	13045.3418	13662.2051	11453.5264	11562.0762	13245.3896	12256.9219	13274.6934	11712.2598	12615.4404	11276.5488	13605.4434	12620.8398	13180.2314	13156.5557	12575.6279	12563.8193	11436.7598	13327.9346	12004.7812	11206.5244	10955.0654	13045.6895	11188.4707	11889.833	12505.123	11307.0117	10618.4219	10294.3066	10456.0322	12667.3389	12916.209	13722.374	12526.5674	11504.2891
0.5337	11711.0977	13209.1514	11160.6064	13243.3633	13012.1709	12031.0908	12359.4502	12132.0107	12365.8184	12305.9824	12484.7217	12358.9873	12624.0107	13339.7275	12756.1016	11970.8906	11057.5693	13338.4268	12579.7061	13335.1934	14256.3828	11513.6436	11155.1797	10967.5	11646.3926	11524.54	13883.0098	12186.1738	12283.0957	10719.4795	13492.3779	11830.959	12108.7676	12427.0371	13095.5742	11395.4619	14896.3838	12712.2812	12653.1807	11784.7871	12198.627	13083.2207	11580.2002	12674.0088	12088.5713	12660.4707	11766.3828	12003.1553	11206.5518	12459.0059	11359.7305	12332.6602	10890.2832	11776.6484	12184.2529	12785.9229	12448.8613	11397.1016	12173.6621	13518.9268	12713.9795	11217.3252	12521.8594	12318.9443	11729.9297	11407.8281	12597.0234	14137.2178	13769.3203	12795.3066	11392.6436	13529.46	14516.6523	12945.1191	13364.3232	12819.0586	13529.1416	13147.7646	11796.4355	13171.084	12436.3193	13495.3486	10474.626	14262.2559	11718.6475	12037.6904	11731.5771	13798.7852	13056.1777	12764.4873	10763.8555	12492.1348	12767.1094	11196.708	12026.2441	14851.8691	12033.5703	13286.168	11780.6416	12837.7939	12182.6953	14116.6484	13363.1377	13550.3418	13114.6113	12877.3086	13317.2861	11992.8047	13603.3408	11595.7246	11140.3203	11566.7568	13810.9287	11839.9014	11404.8672	12684.4941	12106.6934	10758.1836	10817.248	11078.7314	13182.751	13025.2695	13149.1748	13324.707	12048.1602
0.6671	12252.0703	13854.1113	10575.3457	14458.1338	12714.4648	13030.7197	12326.9941	13040.2354	13237.1035	12742.1299	12366.9131	13449.0342	12364.4502	12830.2656	11714.7236	12178.2744	11062.2822	13834.9619	13833.6045	12849.7588	15760.0215	11378.457	11713.792	11915.0391	11945.3057	11826.8242	13797.7402	11670.0771	11790.8047	11369.8164	13530.75	12328.9648	11964.6602	12673.0781	13992.6416	11625.4922	15848.6846	14418.9209	12442.7764	12840.8105	12294.7354	13473.7822	12135.5518	13950.5283	13397.5049	14825.543	13149.7549	11160.2764	12588.0703	13669.1875	11733.9072	13061.499	11326.0068	12891.0449	12193.9463	12107.2412	12468.124	12153.5977	14168.8066	13952.1162	12090.458	12206.0254	12632.875	12957.373	11163.2334	11600.3682	13461.4893	15409.9258	14077.5156	13543.5693	11611.8447	14006.2021	13676.0049	13156.4111	13517.5068	13922.8604	13417.3359	12433.3945	12602.3115	12498.4873	13907.4248	14095.9854	10930.5195	13766.249	12047.8965	11713.5713	11410.4336	13822.2354	13374.0088	12220.8115	11667.6084	13129.3008	14090.8115	12042.9541	12775.1572	15785.6982	12469.2607	12983.4912	13605.0811	14986.7969	12848.5801	14189.8555	14107.5693	14313.8135	13766.6689	13035.2607	13402.2178	13013.9443	13615.5898	13057.0918	11962.4668	11362.334	14135.2168	12093.915	12232.1064	13995.751	12916.8857	10845.3066	11417.8477	11000.7197	13146.4648	13384.6895	14519.9092	14340.875	12334.5156
0.8005	12798.4141	14049.8867	11238.1357	14412.7295	13621.1367	13365.2207	13582.7217	13201.1611	12917.6797	14319.9922	12632.9922	14558.7432	12744.0361	14094.4424	12931.0791	12599.6436	11395.3936	14211.7061	14903.6123	13285.335	15027.0889	12094.3076	13316.8174	12011.4268	11727.377	11504.2324	14085.3926	12271.9492	12020.9365	11999.3965	13612.3867	13172.6855	12084.9355	12764.6328	14209.5293	12799.6445	17795.7773	15080.3721	12788.9141	13526.6338	12281.9951	14886.2842	12791.0156	14817.1152	13113.543	16048.9326	15251.4004	11865.2617	13611.8799	14902.9219	12280.0176	13385.1416	11594.4766	13902.71	11213.9023	11521.7158	14155.4404	12254.6045	15595.999	13522.251	12395.1523	12586.6475	13795.4619	13447.2168	11722.5615	11901.8252	13610.4268	15981.0273	14296.835	14536.9932	11706.7451	14874.1797	13115.582	14109.7305	13954.9482	14126.25	13788.7344	13661.5361	13850.4658	13291.9014	14439.3154	14328.7773	11368.6826	15165.2256	12589.3242	12391.1191	11631.5674	14353.9688	13592.8975	11362.2832	11979.1953	13463.6826	14113.1631	12037.9219	12370.9473	16533.3594	12033.6592	13468.8408	13621.1094	17268.5527	13802.2695	14274.5352	15713.5107	13759.7207	13815.4766	14361.8242	13625.9658	14395.7979	14738.6914	12994.543	13189.9531	11860.1631	13895.792	12513.6123	12585.9395	15553.0137	14624.5566	10783.7422	12424.2227	11193.0088	13129.5303	13840.8486	14490.5527	15399.168	11738.6943
0.934	13012.9307	14846.875	11431.9062	13677.7324	13232.001	13603.3135	13538.2852	13731.2861	13460.7285	14353.8701	12864.7041	15404.3604	13055.377	14323.4033	13167.9355	13138.7451	12149.0576	13822.7539	15518.4844	13349.5986	15570.2754	12751.7363	16145.5127	13090.8359	11832.0674	11912.6553	15041.6914	13886.4902	11687.1416	12227.5283	14876.0479	13003.291	12012.5059	13607.9307	14114.2891	13222.7822	18129.8906	15557.5254	13804.0479	13446.5186	12863.4873	16335.3525	11923.5566	14847.0938	13140.3184	18163.8652	15784.9902	12635.8125	13469.1953	16377.8779	13688.5215	13383.5771	12179.3281	14145.3779	11096.2217	12061.1221	14512.2061	12516.1611	18398.0195	13768.7246	12677.25	12785.6953	14112.9668	13346.4814	12668.8906	11245.8262	13256.4971	17258.4727	14494.9727	14168.1426	13631.6914	15231.7021	12996.5576	14122.3916	13865.2686	14337.4033	13820.4199	13792.1465	15528.9766	14060.6553	15871.1582	15619.2627	12412.7969	14903.3184	12681.8916	12715.2949	11294.4258	15057.7012	13960.5518	12129.1357	12065.3799	13248.8564	13026.1201	12583.2705	12772.9014	16064.6787	11891.8486	13569.1611	14603.7412	19138.6816	14415.877	13197.29	15803.6836	13675.3711	16088.082	14489.2236	13552.8311	15409.3008	15782.5791	12447.3594	14516.6211	13190.8623	13825.3223	12475.1943	12260.3818	16814.8184	15442.7158	11015.1562	12497.2061	11149.4893	12846.3887	13588.3994	15716.7871	15563.6611	12551.377
1.0674	14047.665	15169.6172	11044.1777	13528.9336	14265.4746	13885.3789	13484.1475	14793.0176	13466.0518	15799.4326	13649.7734	14775.7871	12814.3984	13994.4531	14025.9912	13794.3789	13347.166	14996.1387	16104.7773	13896.6592	15404.0498	12736.8613	15738.3506	14416.2197	12616.3477	13691.3496	15906.7275	13533.0967	11345.4395	12384.5684	17110.1797	12165.6982	13563.6367	13309.1709	13827.0293	13758.5312	16592.127	14986.4561	13375.3047	14289.7031	13928.5352	17480.1973	11749.5146	15343.6992	13383.2617	19777.9082	15710.0674	12796.4668	15360.3564	16191.3584	16085.9766	14209.5957	12751.3115	14279.0938	11754.0127	12737.4785	15112.0322	12443.8594	20366.5508	14595.7471	12961.7646	13484.3633	14500.3564	13694.8604	13453.1611	11687.0918	12349.8486	19485.1562	14590.0264	14591.6992	13051.8682	14373.8135	12949.6738	14362.1484	13294.2354	14929.4336	14263.6016	12979.7959	13976.3037	13653.2383	16003.9014	15004.3682	13551.6943	15574.75	12764.5059	13515.293	12003.6621	14167.8643	13510.7725	13396.498	12272.9521	12873.2686	13198.6309	13329.6895	12600.4238	15137.4639	11843.2197	14712.1904	14434.9746	16879.9434	15089.7295	12686.957	15528.3604	13119.5703	17269.6816	14686.918	13752.707	16242.6748	15824.2236	12759.3467	14317.0234	14955.5986	13892.3145	12610.3213	12529.835	16558.1699	15538.5811	12370.6074	12547.3105	11812.1064	12932.3477	14901.5234	15532.4229	15341.1191	12805.3105
1.2008	13828.293	15607.3955	11948.9443	13677.4414	15124.7451	14440.873	12891.0205	15000.7617	13582.6016	16686.3496	14941.6387	14446.752	13175.0811	17046.6953	13687.5977	13693.9883	13777.1025	14220.6045	16008.8535	15075.7656	15260.6885	14141.8496	15993.1221	15182.1455	11983.0518	14532.5391	15709.0527	13074.415	11416.2109	13904.1035	17953.8887	11578.166	15572.9492	13870.8447	13589.1709	14240.4404	14248.4375	16145.5986	12514.8887	14309.5342	13894.4004	16384.5195	12528.5791	14509.1748	14019.7988	20887.7715	15617.3408	12967.8916	17328.7734	15687.3242	16715.2344	14551.6787	12360.1406	15848.4502	12272.2402	12404.0693	14617.3652	13178.1729	20512.9004	14672.4551	13049.7461	14285.8477	14514.668	13694.9053	13842.6768	12087.2568	13614.6836	21469.9707	14541.708	14548.54	14363.6631	13660.1494	14547.5723	13742.6074	13643.0439	14921.3271	15897.6152	12863.8018	13682.7217	13912.375	16395.4082	15989.0029	12977.9336	14568.248	12352.1982	14406.7178	12342.7744	15083.5713	14369.4854	15015.2217	12568.9053	13678.3633	13146.707	14293.6328	12103.083	13750.1201	12391.8779	14420.4736	14726.6787	14958.8652	15038.7832	12456.6172	15106.2764	13887.6416	16547.7539	16355.3828	13209.0244	16506.7188	16293.8486	13289.8213	15076.6816	15805.3486	13239.5801	12965.3203	12190.8027	16588.1738	15249.9912	12413.5449	12589.7764	11504.1943	12611.3291	14569.1465	15922.123	15636.2139	12580.0283
