x	Y_20180212_14590b_16_2g	Y_20180212_14590b_17_1g	Y_20180212_14590b_26_6g	Y_20180212_14590b_28_3g	Y_20180212_14590b_9_7g
0	39801.941	34461.766	42104.387	32177.17	34048.516
0.1334	38142.168	34444.988	39733.156	33557.121	33512.504
0.2668	38149.438	35051.094	39522.637	34321.383	33422.145
0.4003	37724.383	35686.449	38911.855	35183.141	33893.863
0.5337	37140.523	36984.957	38851.02	34691.387	32830.031
0.6671	38196.234	37027.824	41387.895	36215.531	35647.688
0.8005	39144.094	36432.199	41582.332	37932.398	36487.734
0.934	40096.926	36106.145	46232.863	36984.125	37284.461
1.0674	39936.543	35689.895	54061.992	36545.988	41543.52
1.2008	40890.848	37370.984	83309.031	36627.141	49418.477
1.3342	42970.625	41976.625	154283.625	38142.145	61237.801
1.4676	49141.172	54059.727	205164.5	45172.219	66400.773
1.6011	65079.602	71017.883	161461.719	59304.754	58287.25
1.7345	98106.695	84074.102	92945.977	69242.523	46534.355
1.8679	111732.695	63991.566	58274.508	60367.418	40553.395
2.0013	88110.555	47159.824	NaN	48743.117	NaN
2.1348	59072.578	39047.82	NaN	41279.922	NaN
2.2682	47243.039	NaN	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN
