x	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_4g	Y_20181208_15693b_11_5g	Y_20181208_15693b_13_16g	Y_20181208_15693b_2_16g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_4g	Y_20181208_15693b_3_7g	Y_20181208_15693b_3_8g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_5_11g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_19g	Y_20181208_15693b_5_9g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_15g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_14g
0	25478.9824	26417.9648	26167.4375	28845.3164	32208.4844	30369.6914	32392.1699	30999.8789	27346.4395	34752.5508	29991.1562	30600.3867	29524.1758	30778.3652	26193.1973	29868.2832	28438.2812	27278.6875	27347.0879	31007.5586	28393.1562	27277.5859	26718.0957	28138.0703	31872.8965	33986.5508
0.1334	25313.4902	26003.8125	25435.8047	28600.4551	33092.4609	29741.4512	32853.2812	29143.4902	27395.168	34659.7188	31088.0215	31491.6211	29428.6582	28996.6875	26471.2383	30194.8945	27490.252	26308.498	28026.0898	31642.625	28937.0996	28132.2148	26450.6855	26357.0645	30832.1367	34657.8633
0.2668	25086.3477	27377.2188	27927.7871	27646.6758	31438.4492	30534.0508	32195.1387	30677.8125	27970.332	35641.6523	29516.4434	30528.5898	30502.4258	29892.2129	27335.4082	29443.0215	26635.8184	26930.7852	27300.0059	32038.3594	28496.5215	28374.3945	27157.0527	26136.1016	31383.2578	34380.8359
0.4003	25006.9512	27501.4375	27031.4609	29275.668	34552.4453	30916.5	32292.6719	29556.166	29534.7832	34848.5547	30251.9473	32315.2656	30404.7109	29748.4551	26999.7266	30135.7988	28208.1191	27962.3145	27072.6543	31745.9727	29899.9297	28445.5508	26589.6953	26399.3262	31118.3926	34730.6328
0.5337	25530.6992	27326.9277	26369.6504	30182.8887	32036.6621	30408.7285	32688.7207	29739.6387	28622.4414	35934.3281	30254.3867	31949.1367	29920.8105	30164.1855	27615.1367	30615.1113	28227.2891	27259.3984	27590.7168	31199.2363	28945.5859	29035.3828	26301.5859	25585.6074	30419.6445	35614.5469
0.6671	26178.5625	27159.2168	25777.1211	30774.2793	33788.8203	31670.793	33146.8398	30528.0234	28107.3672	36177.4609	31939.0469	30653.291	31390.8887	30889.875	27113.6738	30688.3691	29222.9824	29411.5195	26147.3555	32563.6719	28629.4648	29783.3887	27393.084	24390.3418	32476.375	35220.6484
0.8005	26986.5293	26918.6719	26186.0469	29408.0762	33500.8906	30467.293	32561.0586	31606.9863	30009.9004	35518.4961	32602.7715	31343.5469	32724.627	32261.7852	26724.3281	30925.2012	29325.9434	28799.1855	28404.5391	33990.7305	30246.373	29627.5332	27532.8926	24700	31699.9922	35645.3008
0.934	26653.873	26915.4141	26572.2246	28700.3926	32926.1523	30960.8262	33126.8867	31382.5078	30485.9668	35186.2617	34533.4453	30824.6602	32342.9727	31960.4609	26412.7578	31347.7285	28084.4512	27925.582	27515.8008	32785.6641	28707.457	29192.5293	28677.6992	25267.125	32937.0742	36209.1211
1.0674	26678.8535	27894.6328	26896.4531	29067.3574	33115.4258	30258.5566	32183.6426	30960.3887	31103.2051	35678.3359	32504.9824	31658.584	32436.7637	31460.3418	26451.791	29994.166	29532.7539	28087.9531	27922.791	32877.2773	29472.1621	29024.0391	29473.8633	25749.4707	33915.7461	34417.7734
1.2008	26795.4199	28135.8633	27798.1484	29357.5293	32437.8398	32447.5527	33658.9297	30802.9082	30220.293	34416.8203	32721.3301	31983.4395	32605.1094	30910.8906	27369.1406	30648.9883	30693.0371	28835.1738	29083.4668	35505.1523	30949.793	29939.918	29340.375	25255.1406	33582.457	33623.1719
1.3342	26883.4219	28472.666	28092.5371	29982.8125	33267.8125	32153.7188	32911.6602	30020.6094	29528.4922	34059.3203	31518.9707	33806.1211	31804.25	31525.7656	27751.3535	32305.5488	29004.9121	28407.7012	29423.25	32574.5527	30200.5762	31913.1094	30046.8008	26439.7578	34408.8398	34543.6875
1.4676	27133.7891	28678.8711	28585.9395	30828.5273	33105.5703	31766.5273	33785.9023	31262.918	29813.9355	33809.3008	34075.3867	33032.6992	31720.0273	33446.8789	28562.5762	33215.6367	29532.4121	29104.4434	28773.6328	35794.1094	30634.0273	32262.8457	31565.9648	27334.3867	33247.9414	33915.168
1.6011	28530.0195	29667.7266	27971.2734	31154.6133	33189.207	32107.7832	33739.7344	31710.6074	30252.2266	34874.0859	34674.3711	33566.5078	33231.6523	38263.6016	27029.7617	38836.4492	28914.4473	30810.1309	29301.9629	36540.2461	30606.0059	32053.5801	33511.3672	28496.3008	36591.9766	33512.9062
1.7345	28799.0566	33630.1953	30318.125	34532.0469	33248.5625	32242.1914	35508.6523	32124.9375	31640.6348	35013.168	32978.1562	33106.2539	37028.4258	44565.7812	26953.0391	45462.4531	31829.5137	34669.0664	30188.5098	41627.5273	30427.5	31044.7051	37022.2539	28839.416	44169.7617	34817.0859
1.8679	33012.375	40319.6094	33196.207	41518.7344	37208.9141	32088.9473	35663.7461	31160.748	33091.8711	38962.2734	35004.4844	34008.8281	38719.5469	58265.7227	27566.2715	47533.9219	32983.8008	44793.6445	30394.5234	53178.0508	31881.707	31123.9688	47235.7109	29715.4629	56694.0977	33246.2773
2.0013	39162.5352	46750.9336	44438.9688	57689.7188	41523.1211	33714.1445	36482.2266	32544.7324	36297.7109	46634.9023	35447.6992	38434.1797	45846.0078	59977.7773	28273.8926	39936.5703	36680.5195	66911.8281	31202.8672	69265.0781	32194.8887	30840.7402	64052.9609	32981.1328	65539.2031	34730.9844
2.1347	41224.3672	44213.1992	68827.5938	71586.1094	52408.0547	39529.6836	37525.3008	37074.4492	48525.9219	62604.1367	37163.8164	47907.9375	49512.8477	48123.7109	29692.0547	35304.5781	42850.7383	93931.8047	33664.9961	69800.125	34470.0312	34333.2773	84292.2656	43866.6758	62158.5234	35041.9805
2.2682	35443.582	37570.3359	87430.3516	62576.1484	52104.457	46955.4844	42370.4766	43358.0547	63343.043	78660.2812	41146.7852	52786.6211	45093.8477	37360.1367	30473.791	31746.293	41999.5039	91211.6094	39974.7539	53935.8125	38189.8242	38792.1914	81513.1484	65428.2695	56432.4453	39705.8633
2.4016	33129.1641	30794.9199	77409.2266	48144.8789	46318.0781	51305	52888.9531	52423.3477	61487.8008	73248.8906	52036	45010	39537.5312	34169.8438	32479.2578	32675.4746	37075.0039	64384.9375	50348.4961	42989.2617	50406.7344	46966.9766	61750.6562	89828.6875	52483.1758	51249.2734
2.535	32102.3008	29454.8184	52628.2344	37820.1797	50700.5	42029.5273	80832.3672	52563.6367	48936.0352	52741.9219	65486.3867	37964.6875	34710.7344	33153.0352	37649.3555	31727.8379	33089.7734	44900.3711	46475.75	38603.0938	72112.2188	58272.8555	45599.3594	74875.4375	NaN	74956.2344
2.6684	34894.4297	29271.5977	39409.2148	34278.375	NaN	36087.3008	112383.3594	46538.8164	39802.3086	39243.2227	66847.1797	32597.6621	33699.1836	31498.7949	41600.5703	NaN	30623.0742	36218.6953	35315.4258	37584.9805	73572.6641	55673.9922	40229.0352	47899.5	NaN	107985.6406
2.8019	NaN	NaN	37664.9023	31789.1191	NaN	33469.3867	94601.3438	55358.3242	35668.2969	36094.7539	52935.9414	31070.3359	33126.7891	NaN	42523.1914	NaN	30505.0684	33379.2344	29627.123	38370.25	52350.1055	42693.4609	34280.1172	33801.6328	NaN	112843.8594
2.9353	NaN	NaN	39640.3164	31675.3066	NaN	31606.6406	61771.3086	NaN	NaN	34145.8438	43729.9492	NaN	32419.7285	NaN	36604.3203	NaN	30993.1172	32520.7812	29229.8438	NaN	40668.1797	35064.7188	NaN	29724.332	NaN	80233.7266
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	44563.2812	NaN	NaN	NaN	39602.2188	NaN	NaN	NaN	32434.7871	NaN	NaN	NaN	26816.6484	NaN	36237.8438	32151.7422	NaN	28445.3574	NaN	52717.2617
