x	Y_20180212_14590b_1_4g	Y_20180212_14590b_12_5g	Y_20180212_14590b_15_8g	Y_20180212_14590b_17_8g	Y_20180212_14590b_18_7g	Y_20180212_14590b_22_1g	Y_20180212_14590b_22_5g	Y_20180212_14590b_25_2g	Y_20180212_14590b_25_3g	Y_20180212_14590b_30_2g	Y_20180212_14590b_34_4g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_6g	Y_20180212_14590b_39_3g	Y_20180212_14590b_4_8g	Y_20180212_14590b_43_1g	Y_20180212_14590b_44_1g	Y_20180212_14590b_44_6g	Y_20180212_14590b_45_2g	Y_20180212_14590b_5_3g	Y_20180212_14590b_6_4g	Y_20180212_14590b_6_6g	Y_20180212_14590b_7_8g
0	14062.4	16402.756	12727.554	13594.623	15376.728	12137.101	13035.079	15436.017	13422.305	13281.418	11994.785	12452.79	13508.141	11854.608	13329.058	13465.916	12501.659	12719.729	12386.153	14476.742	15592.962	12537.516	14977.345
0.1334	15750.897	18261.652	16282.008	16411.051	19604.709	14327.086	14698.332	16128.198	15010.839	14307.637	14793.53	14372.489	14793.98	12848.053	14634.28	14627.775	13649.846	13852.488	13492.541	15144.527	16932.336	14539.491	15807.729
0.2668	19489.174	19751.998	20147.221	19110.988	24722.432	18618.502	17113.398	19057.988	16420.459	17886.254	19703.379	16495.154	15371.52	13779.018	16344.505	16343.784	15065.151	17161.162	17641.695	18766.287	20069.268	14907.902	19325.998
0.4003	24395.699	24402.34	21989.842	20789.812	25706.787	24769.793	22274.621	21840.734	19359.672	22345.125	20757.02	21267.049	16146.035	16404.752	18487.402	17577.393	19545.039	22894.811	22533.369	23250.658	27175.803	16509.852	25146.061
0.5337	28628.855	29622.904	19424.693	22357.305	22194.742	27219.91	26383.883	21554.586	22353.807	24859.803	19656.607	27336.291	16838.922	19978.25	26326.176	21603.906	28272.619	28505.887	21450.785	23842.357	28036.842	16507.234	34495.117
0.6671	26134.574	27698.297	16265.021	23443.953	18346.434	23752.869	26488.395	17992.721	21937.482	23114.924	17583.551	29114.701	18787.043	19725.68	34005.988	25268.986	34764.789	27139.027	18622.033	22714.951	24034.555	16225.743	38365.605
0.8005	24457.619	24022.314	15166.992	22822.531	16783.045	19131.355	22321.57	18149.738	18737.727	20897.078	15276.969	24036.713	18104.336	18932.977	33062.355	24119.727	31734.271	24467.109	17199.057	20037.723	21018.24	15799.086	34410.023
0.934	22202.4	20961.949	15243.035	20741.885	14341.027	17972.439	19886.342	18818.875	19051.656	18295.725	13750.651	19081.117	18123.824	17396.508	27738.754	21973.621	25918.09	23679.395	15890.653	19602.775	19678.861	15307.271	27884.625
1.0674	21768.414	22296.236	15306.657	19362.379	13329.139	17929.846	18067.418	17769.574	18044.283	17726.799	13360.369	18708.559	18403.725	18534.549	25360.961	21145.674	24512.949	22776.078	16557.352	18364.059	18309.496	15743.188	23674.219
1.2008	19959.355	21311.326	16283.983	17524.629	12962.294	19353.816	16899.621	17251.715	17416.316	17560.855	13889.331	17199.555	17569.338	17530.723	21677.869	19503.586	21585.354	20229.615	15870.09	16041.082	17213.426	16084.633	21269.252
1.3342	19468.545	20203.061	16511.287	17378.908	13194.83	18797.742	16811.648	17355.746	15954.698	18450.484	15042.268	15932.607	15816.954	16666.426	19917.77	18195.229	20282.672	19376.295	17016.373	15087.82	15570.749	16465.322	19356.508
1.4676	17881.154	18676.814	15932.289	17072.068	13072.599	16704.527	16244.308	16485.434	17633.814	18449.158	15842.275	14532.098	14616.803	16150.794	17961.869	18056.645	18480.781	19988.229	18443.602	14707.908	16090.549	15956.121	18942.527
1.6011	17791.121	18077.695	14897.535	16226.487	12289.7	15979.217	16630.068	18324.402	19149.84	17071.439	14554.488	13142.642	13599.436	15570.911	16906.289	17934.09	18181.957	20094.111	19808.305	15860.325	15527.984	15591.61	17223.424
1.7345	17418.66	16905.895	15202.286	17047.432	13349.901	12936.3	16060.756	19197.207	21201.381	16848.963	14970.159	12945.276	14267.028	14101.813	16017.739	18332.701	21254.652	20199.674	18593.871	15989.089	15672.217	14896.266	16922.02
1.8679	17571.012	17873.645	14978.929	17050.674	12436.593	13939.511	14885.105	21560.703	21605.16	17030.502	14779.352	13457.329	15897.967	15033.807	15593.598	18656.438	20469.846	20093.084	17948.199	16515.422	16236.665	14494.852	17566.703
2.0013	16219.876	19630.777	15246.178	16797.844	13242.184	12732.6	14878.76	25500.99	19562.348	16604.629	15804.058	15253.757	16302.578	16661.697	16001.548	17942.988	19615.641	20729.719	18116.479	18314.908	15742.178	13893.187	17745.719
2.1348	14684.021	19668.66	16798.033	16816.168	15266.296	13341.973	14406.917	32025.383	19177.854	16499.461	16795.938	16842.832	17959.137	18092.652	15654.748	19298.686	17399.594	23059.656	18627.922	19415.727	15917.026	14815.759	15674.087
2.2682	14555.777	20696.211	19211.701	15952.042	17457.695	12829.361	14277.21	38494.547	20773.275	16252.979	16416.012	18059.395	20493.445	18887.834	18098.162	22622.039	15102.312	22294.848	18285.203	19978.416	15909.982	17604.779	14044.734
