x	Y_20180130_15100b_10_11g	Y_20180130_15100b_10_13g	Y_20180130_15100b_11_8g	Y_20180130_15100b_13_10g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_1g	Y_20180130_15100b_14_1g	Y_20180130_15100b_14_3g	Y_20180130_15100b_15_3g	Y_20180130_15100b_16_4g	Y_20180130_15100b_16_6g	Y_20180130_15100b_18_7g	Y_20180130_15100b_19_11g	Y_20180130_15100b_19_1g	Y_20180130_15100b_20_15g	Y_20180130_15100b_21_14g	Y_20180130_15100b_21_3g	Y_20180130_15100b_21_4g	Y_20180130_15100b_23_2g	Y_20180130_15100b_24_7g	Y_20180130_15100b_2_6g	Y_20180130_15100b_3_11g	Y_20180130_15100b_4_10g	Y_20180130_15100b_4_14g	Y_20180130_15100b_6_9g	Y_20180130_15100b_7_13g	Y_20180130_15100b_7_4g	Y_20180130_15100b_8_6g	Y_20180130_15100b_9_15g
2.535	13125.797	NaN	13988.731	NaN	12740.6	13013.503	12145.763	NaN	12480.84	12072.402	NaN	12503.746	NaN	11267.848	11676.406	NaN	NaN	NaN	NaN	NaN	13112.698	13568.373	NaN	NaN	NaN	NaN	12696.283	12642.597	13560.224
2.6684	NaN	NaN	13398.158	NaN	NaN	NaN	12796.553	NaN	12162.688	11891.544	NaN	NaN	NaN	NaN	11108.351	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12892.143
2.8019	NaN	NaN	12169.296	NaN	NaN	NaN	NaN	NaN	12103.679	11874.212	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	12582.577	NaN	NaN	NaN	NaN	NaN	NaN	11954.327	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	12509.411	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
