x	Y_20180212_14590b_1_12g	Y_20180212_14590b_1_13g	Y_20180212_14590b_1_15g	Y_20180212_14590b_1_1g	Y_20180212_14590b_1_7g	Y_20180212_14590b_1_9g	Y_20180212_14590b_10_2g	Y_20180212_14590b_10_3g	Y_20180212_14590b_10_4g	Y_20180212_14590b_10_5g	Y_20180212_14590b_10_6g	Y_20180212_14590b_11_3g	Y_20180212_14590b_11_4g	Y_20180212_14590b_11_8g	Y_20180212_14590b_12_3g	Y_20180212_14590b_12_4g	Y_20180212_14590b_12_7g	Y_20180212_14590b_13_2g	Y_20180212_14590b_13_3g	Y_20180212_14590b_13_4g	Y_20180212_14590b_13_7g	Y_20180212_14590b_14_1g	Y_20180212_14590b_15_11g	Y_20180212_14590b_15_12g	Y_20180212_14590b_15_7g	Y_20180212_14590b_16_4g	Y_20180212_14590b_16_5g	Y_20180212_14590b_17_1g	Y_20180212_14590b_17_4g	Y_20180212_14590b_17_5g	Y_20180212_14590b_18_3g	Y_20180212_14590b_18_4g	Y_20180212_14590b_18_5g	Y_20180212_14590b_18_9g	Y_20180212_14590b_19_1g	Y_20180212_14590b_19_4g	Y_20180212_14590b_19_5g	Y_20180212_14590b_19_6g	Y_20180212_14590b_2_5g	Y_20180212_14590b_20_1g	Y_20180212_14590b_20_5g	Y_20180212_14590b_21_1g	Y_20180212_14590b_21_2g	Y_20180212_14590b_23_1g	Y_20180212_14590b_24_4g	Y_20180212_14590b_25_1g	Y_20180212_14590b_25_4g	Y_20180212_14590b_25_5g	Y_20180212_14590b_26_1g	Y_20180212_14590b_26_5g	Y_20180212_14590b_26_6g	Y_20180212_14590b_27_4g	Y_20180212_14590b_27_5g	Y_20180212_14590b_28_4g	Y_20180212_14590b_29_1g	Y_20180212_14590b_30_4g	Y_20180212_14590b_30_5g	Y_20180212_14590b_31_4g	Y_20180212_14590b_32_1g	Y_20180212_14590b_32_2g	Y_20180212_14590b_32_5g	Y_20180212_14590b_32_6g	Y_20180212_14590b_33_4g	Y_20180212_14590b_33_7g	Y_20180212_14590b_35_1g	Y_20180212_14590b_35_2g	Y_20180212_14590b_36_1g	Y_20180212_14590b_36_2g	Y_20180212_14590b_37_2g	Y_20180212_14590b_38_4g	Y_20180212_14590b_39_1g	Y_20180212_14590b_39_5g	Y_20180212_14590b_4_2g	Y_20180212_14590b_4_5g	Y_20180212_14590b_4_7g	Y_20180212_14590b_40_2g	Y_20180212_14590b_41_1g	Y_20180212_14590b_41_2g	Y_20180212_14590b_44_2g	Y_20180212_14590b_44_4g	Y_20180212_14590b_45_5g	Y_20180212_14590b_47_5g	Y_20180212_14590b_48_11g	Y_20180212_14590b_48_12g	Y_20180212_14590b_48_13g	Y_20180212_14590b_48_2g	Y_20180212_14590b_48_8g	Y_20180212_14590b_48_9g	Y_20180212_14590b_5_10g	Y_20180212_14590b_5_1g	Y_20180212_14590b_5_2g	Y_20180212_14590b_5_5g	Y_20180212_14590b_5_9g	Y_20180212_14590b_6_1g	Y_20180212_14590b_6_7g	Y_20180212_14590b_6_8g	Y_20180212_14590b_6_9g	Y_20180212_14590b_7_3g	Y_20180212_14590b_7_5g	Y_20180212_14590b_7_6g	Y_20180212_14590b_8_1g	Y_20180212_14590b_8_2g	Y_20180212_14590b_8_3g	Y_20180212_14590b_8_5g	Y_20180212_14590b_8_8g	Y_20180212_14590b_8_9g	Y_20180212_14590b_9_2g	Y_20180212_14590b_9_3g	Y_20180212_14590b_9_4g	Y_20180212_14590b_9_5g	Y_20180212_14590b_9_6g
0	36249.52	43507.68	38342.828	38050.496	38383.5	41068.234	40402.938	35664.266	33752.84	36857.883	37981.527	42699.246	39137.309	40858.48	34079.453	40746.539	36859.391	38389.562	38368.277	35912.184	37640.773	40233.684	37495.914	41112.559	34945.809	42730.676	40279.844	36369	37980.66	39718.512	35992.148	38385.5	40087.004	31745.402	30545.426	32449.064	39471.973	34531.102	38918.898	38109	38111.824	38466.305	42855.555	37355.82	36125.449	38332.723	33473.242	33877.82	38299.84	34787.891	41998.355	37694.961	36132.078	41543.441	38547.074	41855.301	33679.801	39267.164	39798.586	37080.277	34573.367	37919.824	37193.902	33332.621	39207.543	37565.777	43162.379	34353.207	39234.16	37879.375	33020.387	39392.367	40927.855	34718.898	38060.156	40659.625	37735.258	38311.969	41488.383	41833.684	39477.199	41690.773	37430.625	31188.809	43138.934	38628.234	31669.736	31903.6	38022.016	33019.695	35515.492	35305.688	38200.141	31386.043	35422.367	37392.699	37047.852	34804.016	36273.586	32993.445	33164.84	37137.055	38061.996	34876.891	32455.018	39655	37136.48	33549.098	33024.266	34710.289	37832.555
0.1334	36274.023	41766.715	38242.438	36876.391	38095.41	41361.508	42056.938	37282.512	34936.633	36742.688	39508.41	40665.184	40433.965	38390.102	35724.398	39335.816	36299.238	42010.656	39561.891	36481.434	39112.789	39650.98	37819.945	41300.809	37551.008	42794.32	40643.016	34783.828	37342.457	40084.008	36805.375	38324.641	40162.211	32614.426	30017.975	32421.062	38199.734	34897.324	39822.762	39930.309	39306.387	38904.023	43308.695	38975.234	37918	38375.125	34480.516	33380.531	39708.102	33407.395	40495.008	36924.898	37129.152	43801.203	37708.883	41507.762	33878.957	41198.824	38846.168	37681.641	34812.066	38104.438	36202.117	34505.652	39227.484	37084.434	44499.953	36242.691	40850.82	38279.332	35400.465	40548.547	39759.906	36548.539	39192.305	40225.918	38037.344	37499.695	42398.754	38884.344	41266.668	43993.305	37966.914	31826.729	41378.125	38222.664	32410.439	32600.965	38186.305	31606.613	35848.477	36265.473	36903.098	30811.625	35264.727	37493.316	37906.855	35095.316	37197.723	32473.928	33204.336	37036.699	39076.559	34498.719	31789.875	38311.191	37292.586	32803.945	33949.523	33562.914	40166.82
0.2668	36511.188	43386.395	39059.199	37861.234	38865.773	41078.34	43944.078	37511.324	34799.426	36980.992	36825.75	41717.754	40936.426	37879.836	35494.805	39631.961	36443.625	42799.254	39457.164	37419.492	40358.645	40192.809	37080.879	40706.68	37256.719	40689.062	41439.195	36844.852	37206.168	40600.082	37640.223	39184.992	39570.328	33536.93	29847.996	33323.422	38933.652	33587.055	39325.016	39568.285	40898.801	39365.344	42830.719	37177.25	37710.16	38182.332	33187.461	33122.426	39888.508	33030.344	39059.027	36671.211	38247.793	42951.18	38027.191	41879.609	31819.48	39752.488	38989.297	37545.344	32989.594	36952.625	35838.145	33110.609	38913.211	36788.586	45389.426	36193.328	40925.074	37803.047	35782.246	38305.508	41408.023	39562.121	37679.301	38676.836	38285.758	37143.164	41003.512	40460.109	41114.754	42827.742	36945.145	31599.029	42922.43	36731.688	31896.006	33453	38491.23	32792.961	36320.375	35565.086	38120.523	30064.297	36041.395	35864.832	37990.297	34024.953	34910.988	36359.172	34184.762	35329.695	37548.504	35689.031	32684.906	39242.266	38134.43	34138.801	34424.16	33774.5	40347.848
0.4003	35027.402	42284.289	40473.023	38729.918	40778.605	41426.055	41880.828	37035.312	34999.508	38414.684	37269.496	42067.523	38429.941	37291.539	36406.867	37355.809	36938.25	41323.613	40450.699	37167.449	40603.176	40666.441	37053.191	40650.23	37027.793	40576.875	40493.121	35321.828	38008.594	40316.34	37043.918	40932.844	38460.281	33238.555	31849.594	33668.043	37512.574	33045.148	40502.203	39038.113	39531.156	41173.699	40061.965	36881.449	36392.012	35702.52	33733.473	33638.977	35871.355	34384.605	40537.867	37731.555	37685.59	41580.527	37438.445	41417.254	31645.553	40578.914	40210.734	37967.656	33452.984	35716.113	37222.418	35403.883	39925.27	37760.773	44932.914	36666.332	40220.406	34972.09	34939.68	38407.785	42805.297	35731.898	39761.137	40951.879	38743.121	38517.262	39481.188	39441.207	41501.523	42854.652	36325.43	31466.213	41493.121	37972.625	32437.51	32129.01	37886.695	31121.451	36094.562	36114.012	39783.145	31746.865	35123.805	35595.301	41489.383	34960.145	36242.34	38499.715	32873.195	35203.621	38843.645	34790.695	33092.258	40519.906	39359.434	33006.594	34519.871	34008.445	40082.793
0.5337	34738.152	41246.664	38300.73	38717.281	37968.668	40763.137	41020.289	35863.297	35083.113	38562.289	36948.445	41852.566	39817.891	38441.441	36615.277	36936.766	34650.066	41239.527	38357.969	37042.727	40534.316	40499.641	37105.043	40002.438	36500.461	40869.242	41826.445	37283.621	36993.031	40655.078	36021.934	41341.512	37816.195	33416.324	30908.426	33957.289	37735.082	33708.277	39847.637	39006.75	39368.805	39620.141	41435.406	36646.062	39012.492	36916.406	33367.656	33815.348	35498.695	33590.957	39828.688	38357.781	37042.762	40413.957	37810.246	40870.77	32857.281	39212.957	40538.602	37512.664	32997.301	36572.938	36661.031	35070.836	37882.336	38074.281	44040.504	34550.539	38252.672	36515.039	33576.059	39951.348	43443.43	35882.051	37615.879	40430.668	39018.586	37561.91	39895.652	39189.863	40456.652	43861.301	38138.84	31104.994	41676.379	37732.059	30946.121	30371.113	39624.309	30786.393	35948.328	35503.992	38101.582	30492.283	35393.516	35735.602	44533.891	33284.438	36683.855	36300.539	32245.67	36332.18	38494.66	34810.457	34581.188	39298.426	38852.121	32843.988	33048.586	34333.254	40684.211
0.6671	35399.082	40124.68	40964.559	37844.918	41030.938	43395.785	40024.898	37043.914	35098.191	39445.539	39984.746	40103.539	38966.516	37415.469	35466.09	38049.266	38017.922	41561.059	36862.598	37203.152	39142.551	41303.246	37585.441	40023.609	35643.34	40015.625	40322.5	36816.133	37367.688	40897.957	36920.117	39172.605	38799.422	35157.727	32415.496	35210.176	37601.66	34948.406	38767.707	38704.723	40453.617	40544.82	42930.574	35922.551	37322.227	37238.746	32052.498	32343.225	36949.871	33583.426	39952.133	36878.848	37295.785	39543.812	38023.762	39987.594	32964.891	40195.711	42014.254	37782.742	33615.09	38132.75	36259.254	34738.812	39525.512	39098.039	42387.047	36059.719	38180.777	38697.5	36996.055	41545.117	45197.004	38241.301	37460.191	40536.422	39496.191	38327.195	39074.113	38890.285	39459.871	44623.504	35049.02	31552.961	40391.562	39161	32633.646	34127.102	37867.414	32476.244	35505.121	34963.371	37330.039	31152.682	36257.844	36129.434	44227.812	33611.02	36521.293	34512.273	32304.102	37043.82	38274.184	33875.922	35049.996	38227.453	38631.871	32171.484	34766.926	34580.457	39556.902
0.8005	36428.957	40149.984	42799.355	39030.363	43010.051	41441.383	41711.727	36843.938	35892.77	38133.883	38579.477	39084.012	40109.809	35353.379	35116.348	38628.824	36687.266	42233.73	38032.188	37010.73	39616.398	42072.863	36434.668	39990.723	35676.34	39145.293	41968.961	37366.957	38474.27	39479.176	38563.824	38400.707	39686.141	34202.641	32291.699	34912.793	38419.246	33559.75	39940.855	41056.926	41340.781	40073.328	42051.539	35502.52	35873.469	37083.137	32958.156	32771.785	36923.191	33267.625	41021.934	37275.652	39605.078	39056.074	36613.465	42265.672	31329.838	42225.82	42944.695	38030.852	36208.5	39538.488	36564.91	36040.426	38611.664	40149.633	43723.723	36497.559	38199.512	39305.484	37949.879	41157.219	49398.449	36994.066	37398.449	40713.559	41125.859	39328.047	41901.207	39732.656	38655.363	45783.773	37498.031	32650.867	42633.551	37852.676	32211.383	34417.238	38008.867	32567.842	34022.672	37191.465	37541.855	31320.662	35739.055	36604.633	40998.281	33593.688	36487.957	35081.16	34728.723	36318.551	37519.195	35307.273	34375.531	38723.707	38158.059	33690.148	35744.969	35635.266	40930.727
0.934	37512.875	43359.555	43578.828	37507.441	43589.641	44020.176	41405.52	38975.652	35976.43	39122.707	39562.613	41071.523	42101.875	36676.688	35907.016	41565.359	34668.566	43492.969	39914.871	37227.445	42752.668	42827.906	35725.066	40362.277	38294.719	41429.719	40190.293	39291.973	41093.344	40814.094	36284.723	37823.445	41275.305	35524.672	32016.971	34955.809	38458.914	34828.07	39762.918	40753.418	42208.566	40149.027	42603.336	34466.418	36934.953	37780.141	32798.129	34979.512	36981.102	31564.248	39952.762	39205.516	38664.547	38651.414	37050.723	41407.07	33734.641	41486.793	44883.332	38990.055	38836.445	40174.27	36602.859	39085.676	40029.105	40331.582	42366.312	37371.582	38109.594	39501.27	38172.094	43532.07	57861.227	35325.227	37220.332	40124.852	40840.355	39358.527	43226.188	40297.723	40634.633	52163.828	38091.879	36275.5	41489.465	39441.34	31211.762	37196.895	37072.836	29984.729	36491.906	38071.965	37603.531	32381.582	34601.016	37816.668	39469.148	32141.795	39012.242	34105.645	35491.762	36592.621	38230.344	36756.793	35068.52	39272.812	38998.039	33847.391	40425.945	37829.875	42048.031
1.0674	40006.996	42822.387	48131.566	38412.199	47528.48	47602.328	43222.598	44303.078	37396.516	38051.852	42854.297	44849.371	45824.812	39439.105	37409.512	42440.715	37570.551	46117.309	42828.5	37782.984	43510.805	46304.652	36794.961	39924.531	38817.688	41822.359	43011.801	39666.496	42898.012	45441.75	39547.773	39643.477	41973.605	34443.102	34627.09	34173.66	38874.863	35467.289	40727.672	40176.613	44964.555	41679.441	44495.793	34728.273	37549.363	38462.695	33956.02	37781.051	39564.133	32194.143	40570.656	37527.629	44595.863	39769.617	37790.559	40879.363	32638.441	44869.254	51423.93	41206.816	47724.785	43688.301	38322.906	42453.891	46340.883	40509.586	42602.191	38529.496	40502.199	43595.648	39939.875	45859.223	77630.742	37640.031	40031.93	39328.746	40572.375	41359.363	43806.047	42324.676	40472.914	57951.797	36360.578	44158.176	41663.254	44443.98	33288	45753.582	38436.23	31717.697	35924.727	40498.484	41316.09	32236.361	36998.59	37384.113	41392.723	32990.215	39128.23	35697.703	36874.645	36067.613	38510.918	38538.309	36133.719	41350.574	42798.211	35573.988	49397.02	40912.805	43733.605
1.2008	47350.582	46447.121	60134.133	40255.035	57684.09	52709.301	45603.973	55268.602	37439.676	41532.527	49937.824	47577.586	57168.066	42667.379	36008.816	47552.012	39976.805	52744.242	45238.926	36640.117	49923.988	55884.832	37263.371	41081.809	41405.5	45452.102	45612.266	43807.23	45596.195	55834.215	36071.523	43630.066	41814.98	35238.809	34690	34133.855	38205.805	35676.312	43455.379	41292.812	47064.199	42852.129	50075.105	36632.801	40036.648	39457.875	36054.422	41620.957	43324.672	31689.369	40667.25	38412.852	53854.922	42888.984	39489.602	41491.855	37561.723	50636.586	68488.562	46973.164	72187.969	56569.512	42246.594	51631.52	58614.621	39520.492	44621.855	43531.109	47681.73	51776.062	40622.633	49945.258	119461.938	41074.625	39225.945	38870.539	40343.668	41840.516	51328.062	40746.617	43917.863	73030.469	36999.785	61755.113	43915.316	61944.789	35089.133	66438.586	41716.699	33222.566	37114.062	44972.004	44465.945	35836.773	36567.777	39244.105	45161.16	35042.746	43319.035	33705.781	39922.008	38077.352	38044.719	41876.785	37430.961	44993.484	51859.547	38847.285	64431.273	50236.16	43487.805
