x	Y_20181208_15693_1_6g	Y_20181208_15693_12_6g	Y_20181208_15693_3_9g	Y_20181208_15693_7_2g	Y_20181208_15693_9_11g
0	29334.7812	27977.3418	29421.4961	28053.7168	30318.9531
0.1334	28735.3125	27494.1582	29268.3223	27489.1211	32186.5234
0.2668	28615.0371	28169.5391	29788.6836	28408.5215	31494.9512
0.4003	29141.9043	28802.1816	30158.9785	28637.4746	30544.8184
0.5337	29593.9922	27725.8379	29395.5879	29595.3203	32121.3867
0.6671	28547.4258	28640.6055	29881.1172	29008.3457	31957.7656
0.8005	28972.8711	28654.3535	29015.6348	29739.5566	30728.498
0.934	29569.8008	30044.1836	28532.0879	29109.1562	29810.916
1.0674	29613.3613	28868.3027	29073.3398	29333.9707	30732.9434
1.2008	26807.1016	28371.9863	29699.2773	28235.7832	30451.1172
1.3342	27987.084	29368.5488	28830.0254	29626.9648	30151.9863
1.4676	28589.7871	28845.373	28924.209	28586.6367	29805.7949
1.6011	29019.6875	29432.7539	29641.582	29732.9492	29720.957
1.7345	27767.4824	30920.0449	30450.7832	30680.7168	30814.8008
1.8679	29339.1621	29893.9355	28934.3164	29896.9707	30785.1152
2.0013	30024.7793	28734.0293	29106.8027	29571.207	32556.5078
2.1347	27717.1152	28613.7441	29773.1934	29652.6953	34013.668
2.2682	29360.8086	28465.6328	29948.0566	30914.9844	34892.7539
2.4016	29392.2383	29269.5918	30143.0703	30321.9922	36516.1406
2.535	29512.7266	31846.9102	30163.3047	33164.3711	35673.2773
2.6684	29459.625	34615.8281	30360.748	37225.3516	39373.4375
2.8019	32682.5566	43854.4688	30883.1113	41188.1211	43410.6211
2.9353	36944.8086	64670.2852	33032.5977	40439.3633	51972.1641
3.0687	49661.7148	81793.6875	35241.3398	39031.6289	52112.1367
3.2021	72106.4219	74880.9219	38715.4023	45379.25	43254.2539
3.3355	93373.9141	51033.5703	43736.3555	49276.1758	35449.207
3.469	86238.0156	40137.0508	49034.5352	41801.375	33472.7656
3.6024	59619.8242	34559.3945	47794.375	34100.4844	32742.4844
3.7358	42987.4844	32411.4121	42380.4141	31469.9414	31891.832
3.8692	36364.6719	31488.3516	38167.5273	31194.6836	NaN
4.0027	33506.2188	NaN	40035.3008	30071	NaN
4.1361	32278.1562	NaN	NaN	NaN	NaN
4.2695	30162.8066	NaN	NaN	NaN	NaN
4.4029	29820.5977	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN
