x	Y_20181208_15794_1_18g	Y_20181208_15794_1_1g	Y_20181208_15794_1_20g	Y_20181208_15794_1_21g	Y_20181208_15794_12_3g	Y_20181208_15794_12_9g	Y_20181208_15794_14_2g	Y_20181208_15794_14_7g	Y_20181208_15794_15_1g	Y_20181208_15794_15_3g	Y_20181208_15794_15_6g	Y_20181208_15794_20_7g	Y_20181208_15794_21_11g	Y_20181208_15794_21_8g	Y_20181208_15794_23_14g	Y_20181208_15794_24_8g	Y_20181208_15794_25_5g	Y_20181208_15794_26_14g	Y_20181208_15794_26_1g	Y_20181208_15794_27_10g	Y_20181208_15794_27_7g	Y_20181208_15794_5_17g	Y_20181208_15794_5_8g	Y_20181208_15794_6_8g	Y_20181208_15794_7_17g	Y_20181208_15794_8_12g	Y_20181208_15794_8_1g	Y_20181208_15794_9_5g	Y_20181208_15794_9_9g	Y_20181208_15794b_1_6g	Y_20181208_15794b_6_6g
2.1347	NaN	31540.3711	NaN	34652.6719	43190.5273	32650.2441	43596.9922	76392.5234	34624.4258	41034.4727	46543.4414	34305.8086	29815.0059	NaN	33621.6172	29464.1191	36321.3672	36631.1602	30109.2031	35080.2969	38908.6602	34896.0664	46075.543	38122.2812	35748.0273	36415.1133	35232.0352	33187.332	28679.375	34609.0117	NaN
2.2682	NaN	30130.9336	NaN	NaN	39282.8594	31266.5254	40258.9492	67302.1172	31787.9355	35524.1953	43087.8945	31114.7051	NaN	NaN	31055.0234	27532.9023	33200.25	39599.1445	29140.2773	34125.8398	36017.9883	32053.4004	39881.7344	32205.8691	34047.8789	35173.7461	35870.4883	NaN	NaN	33343.4492	NaN
2.4016	NaN	NaN	NaN	NaN	37108.4609	31079.8359	41830.0508	46206.8984	30601.7168	32985.4492	38931.1133	30805.9727	NaN	NaN	NaN	27425.5801	33751.957	51637.0234	27981.2402	32924.0547	34651.5859	NaN	36992.625	29475.0352	34342.5078	31123.4004	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	35303.3359	NaN	NaN	37424.707	30040.3008	31314.8145	37630.832	30695.5156	NaN	NaN	NaN	NaN	NaN	74649.0859	27392.125	33051.3398	35007.6055	NaN	37985.9648	28647	33205.0664	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	36938.2188	NaN	NaN	33479.3047	30671.7559	30704.0938	NaN	30963.168	NaN	NaN	NaN	NaN	NaN	84305.3984	NaN	35045.9023	NaN	NaN	NaN	28275.1582	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	37520.5977	NaN	NaN	32838.7422	NaN	31495.0352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69457.3516	NaN	NaN	NaN	NaN	NaN	27142.4863	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31261.2949	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50318.6484	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31143.8887	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43243.9414	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31532.4688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38543.5547	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30281.1738	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34450.832	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30421.916	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35598.4141	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32764.2988	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35264.0039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34859.293	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33244.1211	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
