x	Y_20180224_15100_30_7g
0	36542.762
0.1334	36889.988
0.2668	38020.848
0.4003	38227.613
0.5337	37486.352
0.6671	38603.484
0.8005	39179.332
0.934	37383.289
1.0674	38438.363
1.2008	39025.918
1.3342	36220.957
1.4676	37683.855
1.6011	39798.07
1.7345	36781.156
1.8679	38068.109
2.0013	39992.102
2.1348	37951.68
2.2682	38528.168
2.4016	38845.391
2.535	41492.234
2.6684	40948.363
2.8019	47433.137
2.9353	64405.523
3.0687	98345.906
3.2021	141867.234
3.3356	122685.328
3.469	82178.07
3.6024	62299.012
3.7358	49584.875
3.8692	45530.035
4.0027	NaN
4.1361	NaN
4.2695	NaN
4.4029	NaN
