x	Y_20181208_15692b_1_1g	Y_20181208_15692b_11_4g	Y_20181208_15692b_12_16g	Y_20181208_15692b_2_4g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_6g
0	9461.5898	9453.8877	9930.541	12694.3389	8978.7686	13571.2168
0.1334	9671.6592	9825.1953	10030.6084	14830.9551	9494.9727	13132.2627
0.2668	11014.7627	10223.9863	10447.6377	16701.4629	10791.085	14773.3994
0.4003	13612.376	12091.1475	10730.2656	15365.7734	12781.0498	16378.9131
0.5337	16345.5527	15695.2148	11686.9043	14602.1436	15187.9834	17070.8027
0.6671	17305.3262	17036.8164	12508.5977	13998.6074	15376.0322	15266.7314
0.8005	16774.2402	16346.7686	13025.376	13368.9307	13908.6387	15665.3691
0.934	16710.7266	16081.6826	13848.0537	13645.8887	14749.1729	14795.5781
1.0674	16232.1973	15512.3242	14599.6465	13364.6445	14264.082	13578.042
1.2008	16959.9355	15573.8926	13765.2432	14050.1836	13759.0615	13046.1719
1.3342	16231.3848	15435.4004	13626.4893	13145.1562	13658.4229	12490.6875
1.4676	15322.8662	14486.0635	13251.8574	13108.3789	13695.4521	12206.4473
1.6011	16086.2754	15038.9902	13300.3721	12761.9121	12849.3584	12165.9551
1.7345	17633.6758	13824.2783	13235.6475	12759.4912	12434.1211	12366.3652
1.8679	17133.4336	13565.5605	13643.3711	12674.7393	13365.2598	12795.0439
2.0013	16327.9053	13687.7021	13116.5498	12457.7988	11949.835	12073.8477
2.1347	16410.3594	13322.376	13057.54	12715.0049	11729.4297	12666.0713
2.2682	16681.832	13244.9414	11961.8809	12043.0928	12147.2461	12117.7822
2.4016	15602.5303	13558.0029	12140.6465	11802.3086	11836.5088	12538.8105
2.535	14637.3457	13837.2109	11833.4639	11982.9248	11540.9434	11837.3828
2.6684	13530.1855	13368.2588	11919.8545	12104.9121	10671.7236	11545.2979
2.8019	13704.917	12730.6406	12677.71	11389.2236	10713.8643	11398.5811
2.9353	12856.2148	12593.9209	11609.6162	NaN	11367.2881	11621.4707
3.0687	12628.9893	12572.0449	12246.2803	NaN	11450.0586	NaN
3.2021	12700.7646	12229.2393	NaN	NaN	NaN	NaN
3.3355	12728.8721	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN
