x	Y_20180130_15100b_11_12g	Y_20180130_15100b_21_8g
0	36953.824	36270.035
0.1334	37238.062	36672.414
0.2668	38375.262	35511.434
0.4003	37523.242	34854.906
0.5337	38044.832	34524.508
0.6671	37266.332	37180.156
0.8005	36248.141	36935.832
0.934	36880.391	36830.078
1.0674	37189.816	36871.762
1.2008	37268.5	38042.07
1.3342	37273.715	38585.797
1.4676	38371.961	36442.156
1.6011	36496.266	38317.754
1.7345	39189.781	39232.738
1.8679	38401.203	38247.535
2.0013	37683.078	39877.574
2.1348	37901.98	39477.672
2.2682	37853.551	39207.324
2.4016	38444.277	40181.363
2.535	39609.512	39786.578
2.6684	45086.047	37574.891
2.8019	54167.734	38406.305
2.9353	64889.867	39824.016
3.0687	65234.84	42625.07
3.2021	52075.895	48644.535
3.3356	41511.508	59661.906
3.469	38419.59	59217.082
3.6024	NaN	52292.676
3.7358	NaN	46869.711
3.8692	NaN	43696.555
4.0027	NaN	42441.457
