x	Y_20181208_15794_1_18g	Y_20181208_15794_1_21g	Y_20181208_15794_10_10g	Y_20181208_15794_10_4g	Y_20181208_15794_10_8g	Y_20181208_15794_12_9g	Y_20181208_15794_13_11g	Y_20181208_15794_13_6g	Y_20181208_15794_14_3g	Y_20181208_15794_14_4g	Y_20181208_15794_14_7g	Y_20181208_15794_15_2g	Y_20181208_15794_15_4g	Y_20181208_15794_15_8g	Y_20181208_15794_15_9g	Y_20181208_15794_16_6g	Y_20181208_15794_16_7g	Y_20181208_15794_2_11g	Y_20181208_15794_2_5g	Y_20181208_15794_2_9g	Y_20181208_15794_20_10g	Y_20181208_15794_20_9g	Y_20181208_15794_23_13g	Y_20181208_15794_23_15g	Y_20181208_15794_23_6g	Y_20181208_15794_25_2g	Y_20181208_15794_26_1g	Y_20181208_15794_26_22g	Y_20181208_15794_27_12g	Y_20181208_15794_27_4g	Y_20181208_15794_3_10g	Y_20181208_15794_3_14g	Y_20181208_15794_3_3g	Y_20181208_15794_30_7g	Y_20181208_15794_5_5g	Y_20181208_15794_6_14g	Y_20181208_15794_6_16g	Y_20181208_15794_6_5g	Y_20181208_15794_6_7g	Y_20181208_15794_6_8g	Y_20181208_15794_8_12g	Y_20181208_15794_8_1g	Y_20181208_15794_8_7g	Y_20181208_15794_9_7g
2.1347	11638.1055	12416.8574	13042.2578	12671.6357	12659.6113	12041.9727	17375.8711	12786.5029	10058.4209	10732.0537	13810.9707	12218.1445	13280.4131	11777.7021	11668.4805	NaN	12832.5156	11481.2842	14071.7725	12056.084	13161.3711	10692.9248	12818.2275	11136.1162	14596.8213	12605.585	12156.8721	10959.6611	11806.9102	10565.7705	16579.6094	11168.6143	10867.6084	NaN	11896.5439	9803.0908	11693.1094	15457.998	12237.9971	13018.877	12226.7178	12979.5996	12586.8096	11985.2422
2.2682	11522.7256	12140.3779	11763.3721	NaN	12414.7598	NaN	16143.5605	12846.2539	10105.8008	10355.4951	15067.7539	12577.8887	NaN	12084.4092	12466.0186	NaN	12430.1338	11419.4033	13141.2168	12177.4482	12829.9717	NaN	13164.0195	10563.377	13153.6943	NaN	12153.9648	NaN	NaN	10420.5146	15787.4521	11526.3379	11220.9355	NaN	12112.6709	9876.8652	11555.3115	14293.4004	11753.2334	12323.4414	11410.4678	12660.9648	12295.9707	12505.7744
2.4016	11384.042	12050.332	11492.6641	NaN	12234.2412	NaN	15167.6523	12570.4639	10678.2383	10267.0889	14211.4062	NaN	NaN	NaN	12136.7266	NaN	11946.8281	11259.8164	12772.9395	NaN	12604.5322	NaN	12277.9375	NaN	12461.46	NaN	NaN	NaN	NaN	10354.7412	14799.4268	11110.7012	11099.7266	NaN	12377.4375	9655.7363	11609.2891	13566.6377	12168.2803	11806.6777	11447.2471	12470.0957	11876.3545	11751.5059
2.535	NaN	NaN	10948.5391	NaN	11437.4365	NaN	14062.7539	12672.8027	10798.1025	10205.6484	14142.0879	NaN	NaN	NaN	11464.9854	NaN	12726.8564	11700.541	12080.0586	NaN	13258.0527	NaN	12481.0674	NaN	11816.5635	NaN	NaN	NaN	NaN	NaN	14223.0381	NaN	NaN	NaN	12418.7109	9707.2949	11861.7842	13205.8691	NaN	11907.7432	11211.1719	NaN	NaN	11614.0068
2.6684	NaN	NaN	11024.8701	NaN	12071.1514	NaN	12715.71	12889.582	NaN	10820.3604	13666.8193	NaN	NaN	NaN	10750.8906	NaN	13132.8711	11331.8877	NaN	NaN	NaN	NaN	NaN	NaN	11246.2891	NaN	NaN	NaN	NaN	NaN	13382.4824	NaN	NaN	NaN	NaN	9485.1309	NaN	NaN	NaN	NaN	11762.877	NaN	NaN	11936.1738
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	12530.6172	NaN	NaN	NaN	14383.7158	NaN	NaN	NaN	NaN	NaN	NaN	11310.0186	NaN	NaN	NaN	NaN	NaN	NaN	11720.8945	NaN	NaN	NaN	NaN	NaN	12849.0303	NaN	NaN	NaN	NaN	8920.5986	NaN	NaN	NaN	NaN	11865.0625	NaN	NaN	11835.333
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	12770.4805	NaN	NaN	NaN	13147.9932	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11434.1416	NaN	NaN	NaN	NaN	NaN	12564.2744	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11884.3213
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	12515.0898	NaN	NaN	NaN	13804.9004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11491.5918	NaN	NaN	NaN	NaN	NaN	13413.6895	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11483.1787
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
