x	Y_20181208_15100_18_3g	Y_20181208_15100_18_4g	Y_20181208_15100_18_7g	Y_20181208_15100_19_4g	Y_20181208_15100_19_5g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_23_3g	Y_20181208_15100_4_1g	Y_20181208_15100_5_14g	Y_20181208_15100_5_9g	Y_20181208_15100_6_11g	Y_20181208_15100_7_2g	Y_20181208_15100_7_3g	Y_20181208_15100_7_4g	Y_20181208_15100_8_2g
0	10428.2412	12045.4834	12195.1367	9876.583	10752.9453	10642.582	9838.3525	12834.1572	9780.1348	10832.3203	11026.3779	12492.9893	15733.3721	11331.2041	10794.1699	12764.4941
0.1334	11645.6758	12556.9355	13848.4531	10062.6699	12351.6084	12557.5215	10043.5137	13774.4199	10437.6309	13194.2646	11563.4609	14847.3066	21156.2539	13952.1299	12844.6074	14389.7188
0.2668	14675.0156	12555.54	16038.3193	11039.1318	13877.5381	14383.1729	12906.7871	15433.2979	12501.1689	15771.1787	13387.9443	17032.1035	22827.123	18079.0293	18490.5469	16158.6328
0.4003	16705.1582	13173.7119	19234.1797	12916.1719	16846.5215	19765.2422	17784.082	20802.4668	16494.0371	16529.8496	15589.3428	20325.498	19018.5938	22794.5625	24526.3594	19873.3027
0.5337	18220.6211	16001.3896	18283.6426	15428.8672	18440.2266	23956.5566	24951.4941	23480.3125	18777.6602	15981.6562	17725.6191	20176.1465	17270.2148	24176.1875	25499.1582	21704.0117
0.6671	18286.7832	21528.5488	16701.9102	17985.707	16763.0684	22639.3125	29371.6602	22447.5059	17169.1328	15721.5527	18992.3086	17803.0996	15859.6504	22658.8008	20149.3867	21351.6445
0.8005	18228.2539	23869.668	17910.9414	17711.7852	16313.3721	18779.9414	27731.7441	21603.9062	14987.5938	14932.0703	16904.6074	17284.2832	14934.4756	17844.4141	17160.8594	19951.2559
0.934	16143.9551	21685.5977	16944.5859	16820.6992	16331.7861	18468.4141	24136.7637	22772.041	13753.8232	15082.2686	14137.0195	16710.6543	15109.6445	15365.8545	17168.3223	19455.5273
1.0674	14694.5576	19181.2578	15674.6855	14583.0303	15380.1006	17848.2246	19907.7598	20859.4824	13467.5049	14451.8154	14395.0586	16571.9609	15647.2646	14447.1621	16096.1104	18643.5742
1.2008	14384.9375	18026.8223	14738.6299	13208.8184	15151.6523	16523.5918	17658.082	19013.4336	14001.29	14043.6084	14834.917	16769.5	16460.9961	14251.9316	16249.6543	17423.3574
1.3342	15073.9131	17312.2812	13542.7598	12661.0264	15585.3662	15636.1777	18461.0195	18545.1992	13198.4248	14264.7402	14546.7227	16285.3467	15858.6201	14318.3125	17124.748	16127.1279
1.4676	14373.2129	17712.0898	12980.0859	12500.0078	15532.1572	15863.3379	19952.832	17794.4844	14403.918	14144.3174	16535.8418	16267.7529	15591.9414	14374.084	18051.1172	15328.7617
1.6011	13806.2383	16287.3037	12901.0645	12347.7393	14526.6709	15617.0664	19007.9883	16322.377	12923.3867	14878.2461	18173.7559	15506.1836	15246.5312	15059.3672	18482.0879	15696.8184
1.7345	13344.8828	15766.1572	12975.8271	12345.7188	12506.0986	15369.9199	19071.3672	16602.2871	12632.0127	16484.377	20139.8457	15917.8828	14098.9043	13698.6904	18336.0898	14776.2266
1.8679	12515.7803	14084.2969	12921.5117	12790.6543	11626.3125	15099.8027	18128.7344	16528.4395	11917.4434	16806.6309	18858.1035	15542.3721	13632.7041	13311.7295	16904.0098	13780.9395
2.0013	12050.8291	14498.9209	13976.5566	13943.3359	11512.6338	15641.5166	17282.0234	16260.6797	11886.0547	14101.5713	16647.5391	14675.6162	14213.8057	12948.8359	15346.4648	12636.5947
2.1347	13193.9102	13855.0918	16085.708	16163.1162	11072.5361	14675.9375	17418.3398	14420.5146	12664.9502	12862.6797	14424.748	14674.0557	16107.416	13492.7148	14214.4404	13436.2822
2.2682	13444.2383	13297.8301	18533.209	18300.3848	10723.9922	14389.5273	16241.9619	14615.6875	12610.4756	13737.8828	13251.333	14912.5117	17202.2129	13246.2715	13866.6475	14379.4004
2.4016	14398.9102	14006.8447	20506.7617	17941.2559	11047.0391	14360.2207	14988.3896	16214.71	13721.8262	13887.9102	12967.6357	14993.8867	19026.957	13430.9473	14621.7012	15777.8818
2.535	14900.1162	14693.4053	18739.1875	17286.1875	11521.8154	14141.5527	13501.5068	15549.1104	15020.9551	13673.8613	13421.8916	15818.3613	19170.8926	13186.7158	15196.0244	17137.0215
2.6684	14369.3887	15961.5312	16476.6797	16171.127	11546.6885	15412.8438	13795.9688	16069.8311	14481.0771	15494.2881	13363.8311	14075.4922	18472.1621	13478.9434	15557.6797	16731.0371
2.8019	13268.9648	15170.9199	15294.8398	15514.957	12069.9307	14973.0225	15083.5098	16739.6367	15131.5352	15747.5752	14203.3174	12126.4189	17003.8477	15584.1689	16526.5859	15511.6016
2.9353	12894.7744	15598.0605	14160.9766	13965.8486	11947.835	15699.248	15945.2031	15559.752	13269.7598	14693.3555	13936.54	12484.4121	15569.0303	17521.5039	16222.583	15562.9951
3.0687	12132.873	14763.334	12800.4307	13478.4873	12603.3467	14936.0967	16838.6719	14209.0049	11966.0439	14009.75	13068.3936	11554.0957	15583.626	18404.2246	17815.1562	14729.0684
3.2021	12746.9717	14702.4355	13180.5762	13890.5947	11976.9355	15211.0322	16619.4355	14110.3096	12183.3467	13995.4014	13677.5967	11979.5186	15120.0566	15214.2812	17074.5566	14165.8604
3.3355	12562.8027	15922.4541	12484.4629	13930.9219	12321.8818	13740.3281	17583.7363	12934.7803	12334.2529	13465.5781	13832.752	12691.1934	16248.4062	14337.3135	16519.6309	14022.042
3.469	12879.2949	16550.4141	12278.8369	14001.4424	11966.3838	14209.4707	18224.998	13283.2285	12039.0557	13369.9814	13211.375	12601.2031	17779.084	13759.8438	14378.8467	14084.5664
3.6024	NaN	16777.6602	12136.1641	13343.0283	11900.6357	13567.9443	16268.7646	13647.7559	12283.5674	12986.8135	13203.3486	12726.625	20232.3457	13297.1367	12704.9697	14857.7686
3.7358	NaN	17233.9297	12187.1709	13284.4355	NaN	13551.332	14126.2764	13594.6387	12096.084	13082.1533	13101.1514	12083.0488	NaN	12932.8838	12948.543	15306.084
3.8692	NaN	16318.8018	12203	12377.6914	NaN	13399.917	13414.6426	13281.4619	11853.5137	12004.4932	13183.3984	NaN	NaN	12783.1914	12136.0186	NaN
4.0027	NaN	16774.6328	NaN	12049.3799	NaN	12705.5615	12755.8848	13080.7998	11993.0996	12111.1758	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	15398.9727	NaN	11447.5049	NaN	13113.0029	12399.8359	13288.3584	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	13026.627	13439.3906	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	12691.7998	13347.3789	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
