x	Y_20181208_15692b_11_13g	Y_20181208_15692b_12_2g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_5g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_2g	Y_20181208_15692b_3_1g	Y_20181208_15692b_7_7g
0	31207.2266	26627.1738	27420.293	32230.7637	29049.5625	28983.793	28781.5508	29276.9062	28173.252
0.1334	31200.7988	26131.9746	28588.2695	31183.0996	28647.4453	28380.6387	29548.4277	27909.0488	27897.0215
0.2668	30510.6309	26897.7461	27913.8047	32008.043	29743.7285	29515.8809	28639.1836	27814.6328	28089.4707
0.4003	31497.4336	26923.957	28487.1445	31260.0156	29877.4551	29801.0195	29327.1602	28569.2676	28009.4648
0.5337	30869.9121	27283.1055	27817.2402	32437.6719	29467.3887	29351.2578	28800.1562	27481.3066	29246.1426
0.6671	29673	27831.6016	28380.7715	32192.625	28383.5059	30198.0859	30006.4707	27946.3789	27620.6055
0.8005	30085.4004	26222.1055	28139.0508	31501.3477	29748.6543	31316.1992	29064.998	28862.6641	27695.4492
0.934	30752.4609	26312.8301	28409.4355	30972.9199	29909.3828	31924.9355	30819.8262	27888.6328	27530.4883
1.0674	31136.7676	26151.9805	28341.6367	32793.7852	29531.5898	31365.4473	31420.873	28141.2891	28303.7305
1.2008	31720.1035	27774.1328	29408.043	32504.8086	30755.5547	32544.0918	31215.1797	29388.4004	27467.4258
1.3342	31307.6426	27935.6523	29003.3359	32672.1113	31761.2383	32998.8125	30626.1465	29720.75	29410.0234
1.4676	30650.4766	27175.9609	29729.8711	32569.3008	31079.9902	31603.5684	30681.1543	29249.0605	30667.4023
1.6011	31550.6699	26727.3223	30610.7656	33285.7227	32682.6621	33209.3281	30976.3398	29750.2422	30503.998
1.7345	30959.9863	26385.0625	30743.8242	32651.2266	32634.2539	34591.8203	31062.6914	28458.002	31632.1191
1.8679	30719.4805	27887.3301	31006.3203	31194.6602	32781.2969	35621.4844	32097.7754	29733.3848	33831.3438
2.0013	31407.8223	28158.2617	30770.002	29973.5879	32833.3047	35259.3828	31965.7598	30219.8809	39043.2461
2.1347	32363.8008	28117.4219	30603.4629	31035.5801	31624.9688	35925.5547	31221.6621	29639.5781	41692.4609
2.2682	33324.5195	27295.5371	31376.7852	31868.4688	31347.877	36141.5625	30670.3105	29996.6426	39639.7188
2.4016	33728.2891	26338.041	33536.668	31376.7129	31952.2266	35694.2578	31132.8906	32145.6602	39195.0312
2.535	36705.375	27858.3203	35680.9883	31901.1816	31788.1953	35446.7383	32805.0547	36284.125	46548.0039
2.6684	45240.9727	30750.5605	40926.6172	32842.957	31842.2441	38078.4102	31953.3223	45249.2812	62522.7969
2.8019	66673.3828	36011.6094	57560.6641	34071.2617	32690.4453	38509.9258	30691.1934	57616.8633	77709.5625
2.9353	90909.3828	46381.4961	70446.4609	37261.1328	34417.5	44359.4961	34851.5469	61276.8281	63133.4297
3.0687	93290.2969	48892.0312	60678.9219	46764.7461	41188.6016	56634.0898	39651.9688	49212.5859	44524.207
3.2021	65707.6406	39994.9609	45054.8008	58685.5273	55939.1758	60455.6484	51614.4609	37834.8516	34908.8984
3.3355	45514.1758	32863.0391	34659.7617	63045.1055	66034.7891	50890.2695	72310.0469	32750.4902	32866.8125
3.469	36993.2617	NaN	29768.0938	52357.5039	56123.2578	41360.0156	79465.4688	31355.2949	30887.6504
3.6024	33970.7148	NaN	31883.9277	41127.5352	42953.5977	36315.7422	59648.7734	29882.5332	31062.9414
3.7358	34111.4102	NaN	NaN	35543.5273	36356.5273	34381.6602	43259.0078	NaN	NaN
3.8692	35936.8633	NaN	NaN	31699.3867	NaN	33695.5586	35606.6953	NaN	NaN
4.0027	NaN	NaN	NaN	31844.0547	NaN	NaN	31646.4512	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	30099.8945	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
