x	Y_20180224_15102_13_3g	Y_20180224_15102_15_11g	Y_20180224_15102_15_12g	Y_20180224_15102_16_6g	Y_20180224_15102_20_12g	Y_20180224_15102_21_3g	Y_20180224_15102_23_7g	Y_20180224_15102_27_12g	Y_20180224_15102_28_14g	Y_20180224_15102_7_4g
0	16098.475	15680.717	14869.142	14316.466	14688.953	14608.627	12721.597	14143.183	15028.468	18550.852
0.1334	18292.309	18179.188	13821.019	16391.852	15113.454	15727.756	14784.669	14124.627	15727.469	19238.102
0.2668	21412.975	23598.607	16306.594	19423.508	17900.436	18076.408	16662.23	15524.386	18784.756	22271.701
0.4003	28654.736	28551.18	19472.516	22646.592	22291.357	21350.08	20130.82	16562.791	24757.84	22184.252
0.5337	31391.328	27463.619	19180.057	20680.076	25057.434	22363.057	20567.598	17002.098	31049.92	21255.832
0.6671	27567.867	23143.549	17221.557	19418.211	22237.936	19722.6	20880.566	15219.066	32328.334	21519.652
0.8005	24799.135	21428.725	16097.893	17766.818	20121.906	17781.932	19853.281	15196.049	26995.986	20263.59
0.934	22769.516	19920.906	15955.027	17408.594	19179.949	19275.982	19649.258	14781.038	24618.117	18828.777
1.0674	20515.986	19278.268	16118.854	17160.117	17709.426	20428.088	20783.033	14996.603	23182.178	17664.359
1.2008	18734.824	18534.592	16780.232	16738.887	15334.38	21771.918	20437.871	14480.46	22894.416	17236.432
1.3342	18511.729	19082.016	16945.324	17926.1	14366.55	24177.379	18786.609	14339.184	24363.834	16817.17
1.4676	19331.291	19734.016	16964.029	17749.395	14463.557	26850.18	17538.656	14744.525	22649.334	16132.242
1.6011	18158.164	19371.076	17155.27	16248.166	14283.638	29141.389	15616.174	14136.57	20491.578	15506.741
1.7345	17049.271	19725.246	18178.742	16734.324	14367.343	28470.191	15803.43	13772.757	20940.643	14226.256
1.8679	16350.837	16900.363	17481.732	16468.529	13835.73	24528.102	16146.272	14865.119	21360.873	13605.752
2.0013	16935.512	15029.281	17735.92	16659.984	13203.336	19660.328	17221.467	14349.689	22044.771	14513.833
2.1348	15103.816	14972.496	16526.736	16397.109	13268.079	16159.042	16575.988	15706.973	22563.639	14570.518
