x	Y_20181208_15694_1_16g	Y_20181208_15694_1_22g	Y_20181208_15694_10_15g	Y_20181208_15694_10_1g	Y_20181208_15694_11_4g	Y_20181208_15694_12_7g	Y_20181208_15694_13_5g	Y_20181208_15694_14_1g	Y_20181208_15694_15_1g	Y_20181208_15694_15_6g	Y_20181208_15694_16_2g	Y_20181208_15694_16_4g	Y_20181208_15694_17_1g	Y_20181208_15694_18_2g	Y_20181208_15694_18_3g	Y_20181208_15694_19_10g	Y_20181208_15694_19_19g	Y_20181208_15694_19_5g	Y_20181208_15694_19_9g	Y_20181208_15694_2_14g	Y_20181208_15694_21_5g	Y_20181208_15694_21_6g	Y_20181208_15694_22_1g	Y_20181208_15694_22_3g	Y_20181208_15694_22_6g	Y_20181208_15694_23_8g	Y_20181208_15694_24_14g	Y_20181208_15694_24_16g	Y_20181208_15694_26_3g	Y_20181208_15694_26_9g	Y_20181208_15694_28_1g	Y_20181208_15694_3_18g	Y_20181208_15694_3_9g	Y_20181208_15694_4_10g	Y_20181208_15694_4_9g	Y_20181208_15694_5_11g	Y_20181208_15694_5_20g	Y_20181208_15694_6_11g	Y_20181208_15694_6_19g	Y_20181208_15694_7_8g	Y_20181208_15694_8_8g	Y_20181208_15694_8_9g	Y_20181208_15694_9_4g
0	32740.0371	28970.4531	25248.0176	23862.0625	28748.8359	28008.5508	29918.4883	30128.373	27814.3809	29809.6191	26368.3535	26654.8887	29649.3164	29607.0234	28388.2988	31483.5039	28068.3281	32138.1699	32469.2812	26469.5547	12619.0342	30002.9785	26231.3379	30461.3125	29268.332	25900.793	30016.5234	23781.4844	28305.4707	29371.1641	25651.8066	27787.7559	30082.1172	31083.4609	30324.5059	29978.0117	30700.3633	28212.7031	33104.1367	30332.7324	29343.4902	31842.9395	30208.9785
0.1334	31817.416	30407.5742	25550.2285	23872.6895	28710.9043	26912.6895	30835.9395	30221.7773	27393.4844	30361.7383	26435.9277	26872.3418	28979.8965	27352.2891	26852.3242	30852.6738	28321.9023	32338.0137	31863.8867	26151.0078	12668.4717	29671.002	27027.5195	30891.9473	30593.4922	26225.5488	29632.2891	24831.1348	28384.0371	30566.6699	26129.9102	26720.3965	30997.7012	30190.502	31454.2031	30138.9395	29707.2754	27991.5879	33270.2305	30774.209	29811.0293	32092.4492	29348.5977
0.2668	30749.375	28623.8652	25825.8047	24529.2695	29742.3867	26195.6719	31804.7168	29674.9082	27588.5879	32100.1719	26622.3457	27153.1465	29491.627	27971.7402	27505.6699	30185.2383	28259.7266	33526.1992	32982.9805	24735.6855	13929.5283	29831.2754	26829.5684	31352.4805	28606.0176	24619.0938	29586.9238	24924.582	26752.5664	29835.9297	25409.1113	27516.6699	31936.2266	30482.4863	31847.5527	28822.6953	32186.9375	27154.3359	34117.2656	30660.8066	31373.7344	32358.6387	28552.5996
0.4003	31820.0391	28738.6895	25803.832	24595.1328	30404.9512	26620.3164	31917.0625	28942.498	28352.0391	33674.9023	27898.3965	28545.9355	29736.1562	28743.3301	28357.3945	30384.9297	29709.6387	34088.7734	33170.2305	25424.168	15245.7734	30406.5039	26709.5117	30967.9629	30328.6055	24838.4922	29609.4199	24816.0898	27231.7051	30408.8477	25563.2285	28376.1719	30053.4609	31177.7305	30985.5273	29113.5176	29666.5039	28474.6855	33562.9219	31239.3711	30831.6543	32237.0527	31073.4004
0.5337	30543.1914	27596.7559	24542.1895	23246.1074	30537.7988	27043.8809	30568.8066	30402.3379	27935.1738	32990.6367	26849.2422	29720.2812	30588.7656	29324.1699	28105.7344	28844.9062	29088.2559	33890.3203	32075.0215	26772.8574	15345.8457	31474.8633	26307.8418	30866.0527	30159.3535	24003.6719	30085.5586	25404.1895	27350.2344	30713.8574	25994.5352	28591.791	31834.6582	31668.9355	32493.5	29465.3809	32228.8379	27723.4004	33762.3867	30648.7793	31625.2988	32847.6289	30421.1602
0.6671	31257.4395	28701.1953	26212.8008	23746.2793	30327.998	28192.0605	30850.3594	30169.6641	27002.3516	32461.8555	26718.5508	29435.7871	30123.8828	30898.582	28409.1582	29929.1348	29559.4883	34803.9141	34657.5312	26031.8496	16095.2891	29989.002	27586.1719	31223.6426	28918.6738	24591.7871	31728.709	25952.7676	27390.7656	30404.6543	27007.4883	28929.8574	32459.2012	31186.8965	32134.1895	29113.4805	31622.4648	28252.2891	32220.6699	32864.5312	31517.5156	32801.0742	29526.082
0.8005	32740.9629	27187.6582	25128.2305	23057.2148	30228.793	28166.4727	30884.0859	31130.9004	28471.7773	34528.2031	27934.9336	29395.4531	30075.916	30018.6523	28078.252	29935.5781	31014.9746	33602.8828	32738.7383	25276.8711	16216.9492	30549.9922	27807.4375	32414.6133	30566.4102	26953.793	32071.4062	24594.0059	28182.2266	30523.1152	27715.8672	28724.5469	33361.6367	32545.8145	32514.8105	32114.2266	30778.8086	28690.0371	33622.7188	31338.4199	32862.3125	32425.1934	30672.0742
0.934	31296.1523	31230.8984	25420.4766	23216.7168	30820.0312	26723.8867	31705.2305	30715.2715	28322.6055	33663.3906	28004.375	30256.1133	29822.6523	30443.2148	27707.3203	30072.5918	31338.2363	33647.5977	33492.582	26341.3516	14905.7256	30207.373	27601.1738	32522.6465	29949.502	25693.1445	32575.9746	25221.1445	29284.7188	30329.8672	28069.5938	29121.5566	33188.8438	32789.6797	34546.2578	30859.7793	30435.4199	28513.707	32117.9961	31472.3555	33133.125	33336.4492	31127.5996
1.0674	31337.3828	31331.5137	26835.5684	23764.7891	30065.1016	27346.6777	31867.1992	30704.584	29576.8008	33217.8281	28255.6152	30165.7168	30447.6387	31768.6211	27740.1699	28924.625	31073.8477	33208.5234	32801.3828	25502.9121	13578.123	31607.2656	27795.1094	32173.3965	29825.25	25983.5117	33862.9258	25815.666	27704.5586	30496.332	28094.5156	29117.6387	32008.6895	31724.5566	34503.6797	31561.2656	32172.8223	28659.1895	32966.1211	32082.9805	32521.4922	31788.3965	31660.2793
1.2008	32774.8633	31222.4141	27288.748	23476.3828	30977.3809	28105.6113	30051.2129	29746.9043	29491.8613	32644.3965	27594.2871	32240.2949	31269.375	31866.4766	28112.2949	30563.8086	30610.4141	33222.6406	32743.4473	25498.0566	13447.8564	31663.3789	28259.8047	32211.0117	28043.4473	27352.5195	32903.4336	26479.5254	29176.7441	29640.0469	27048.3027	29678.8633	30338.084	32831.4922	35805.2188	31173.3359	32195.9238	28245.0449	33936.5742	31581.3242	33662.1289	31906.2461	31177.5469
