x	Y_20180130_15100b_10_11g	Y_20180130_15100b_10_13g	Y_20180130_15100b_11_8g	Y_20180130_15100b_13_10g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_1g	Y_20180130_15100b_14_1g	Y_20180130_15100b_14_3g	Y_20180130_15100b_15_3g	Y_20180130_15100b_16_4g	Y_20180130_15100b_16_6g	Y_20180130_15100b_18_7g	Y_20180130_15100b_19_11g	Y_20180130_15100b_19_1g	Y_20180130_15100b_20_15g	Y_20180130_15100b_21_14g	Y_20180130_15100b_21_3g	Y_20180130_15100b_21_4g	Y_20180130_15100b_23_2g	Y_20180130_15100b_24_7g	Y_20180130_15100b_2_6g	Y_20180130_15100b_3_11g	Y_20180130_15100b_4_10g	Y_20180130_15100b_4_14g	Y_20180130_15100b_6_9g	Y_20180130_15100b_7_13g	Y_20180130_15100b_7_4g	Y_20180130_15100b_8_6g	Y_20180130_15100b_9_15g
0	37223.125	35671.355	37193.215	35304.941	38116.285	37510.301	31565.881	32603.611	44990.281	32865.672	36657.277	35025.801	30582.617	33037.258	35580.895	45933	33595.68	36602.766	41191.871	38055.629	33820.73	31754.174	40024.426	34862.145	34445.258	33410.094	37151.34	35278.812	36464.617
0.1334	38280.395	35438.387	35254.52	36057.555	38859.98	38113.863	32225.26	33567.203	45075.516	35089.723	35914.812	36998.945	33083.629	32381.379	36374.617	41166.934	32378.328	37414.246	42624.113	39789.023	34377.301	31940.613	39260.379	35682.578	33808.352	32631.152	37285.039	35528.117	37149.891
0.2668	35516.965	35582.32	32930.27	35627.977	38929.48	36690.992	31846.838	32228.809	44713.82	34179.129	36387.023	37295.688	32578.842	32034.236	35073.555	37952.254	32727.221	37976.012	42586.293	39307.344	35466.488	33869.762	38702.953	34584.648	34293.379	32202.385	37364.035	35032.059	37284.129
0.4003	37450.879	35633.215	32642.342	37801.754	38858.812	38312.73	32196.477	32179.09	41861.055	33705.367	36043.375	36534.758	31547.471	32475.479	36767.766	35616.508	32671.422	39918.453	40304.453	40332.844	35032.742	33043.211	39199.457	36269.938	34765.16	33170.023	38468.801	34895.852	36282.781
0.5337	39321.297	36394.719	32754.512	37880.969	40897.43	39416.113	32521.322	34818.238	41915.422	34254.961	36386.656	36974.602	31089.967	31895.18	35681.266	35066.301	33150.016	37898.391	41999.359	39809.168	35645.613	32698.51	40120.793	36835.184	35612.176	32808.168	39737.34	36457.355	38626.875
0.6671	37595.348	35283.891	34000.68	36460.828	38521.883	38419.867	32445.969	32906.875	40671.34	34360.355	35703.871	37677.484	32300.402	31508.34	36061.695	36663.504	33177.109	36848.352	44379.047	37638.465	35561.488	33181.102	39224.438	36865.648	34413.199	33454.543	38961.414	34893.344	38062.449
0.8005	36979.797	35752.629	33029.312	37483.723	36796.887	38153.363	32377.607	32659.695	40332.312	34550.84	35996.984	38293.395	31022.047	31571.873	38398.461	37105.535	34453.039	37115.035	43753.266	39509.773	35608.527	33778.645	41249.328	36483.285	34397.355	32781.434	39315.312	35103.094	37959.082
0.934	39562.234	34999.684	32088.668	37337.191	37337.805	39835.012	32501.021	33497.121	38912.648	35962.441	37176.699	37884.941	30601.863	32076.719	37417.496	35846.445	34536.812	37617.559	41298.418	39121.621	34429.848	34262.375	41485.309	35571.375	34763.262	32580.953	39920.133	36999.074	38225.906
1.0674	39811.68	34937.199	32836.172	37456.816	37211.617	38120.719	31809.258	36077.84	38729.742	35179.129	39627.664	37206.141	30880.74	31711.076	37968.52	38496.758	33232.684	37714.082	42364.781	39655.809	33977.887	34587.172	39127.836	36513.32	34821.715	34603.148	38728.734	35861.117	37609.203
1.2008	39029.902	37114.715	34454.215	38361.355	36772.848	39413.234	32043.727	34103.32	37797.812	35502.484	45166.566	36810.539	30871.545	33195.539	37492.16	36987.168	34058.191	39095.629	44074.523	40310.938	34801.793	34726.859	41045.414	35846.793	35668.223	33356.035	39724.41	36490.461	37547.875
1.3342	39036.766	38229.035	36026.176	38302.219	38536.055	39971.469	33578.16	35325.641	37481.062	35528.219	56325.555	38318.336	31213.018	35268.137	38360.297	39072.07	36081.605	38630.352	43443.457	42161.93	35726.633	34951.699	40651.918	38689.867	36566.996	34000.777	40035.953	34260.371	36597.293
1.4676	41758.375	39425.875	35114.355	38415.582	38953.258	44802.684	33324.461	37117.227	37726.566	35334.355	64293.223	38490.73	32161.535	36733.199	38860.316	40606.469	37077.902	40238.094	42085.645	45980.336	36053.297	33534.461	43668.93	38704.359	38400.258	34470.762	39818.82	36929.891	37486.422
1.6011	43042.418	40517.805	35015.93	41121.062	40180.184	48682.93	34256.543	45073.344	37894.363	34777.648	56894.789	41022.195	35439.824	42775.656	40139.625	43692.645	40728.52	48206.242	42595.82	53305.938	38393.676	35795.449	46687.605	40527.34	39196.855	37397.25	43621.422	37492.004	38772.805
1.7345	54172.098	50563.914	34350.871	42902.508	40887.148	54734.91	37232.23	56342.375	38915.43	36748.457	44290.836	49146.422	38988.012	61137.762	41047.195	55698.207	51723.484	56250.664	49305.594	57786.332	40663.52	36483.543	59547.512	47358.395	44962.426	43393.684	56808.203	39669.727	40558.949
1.8679	66934.578	62229.137	34030.172	49023.68	45673.941	59647.926	40933.891	73485.609	43407.07	38879.855	40225.598	56220.316	41723.914	89719.109	46910.562	70562.688	53059.965	55723.73	55802.566	51526.848	49902.738	41471.344	77489.688	59622.117	50835.902	54126.633	80810.078	43093.023	47823.242
2.0013	68691.289	63678.5	33524.746	53700.18	51400.027	56747.293	52923.062	65972.391	48758.035	41132.754	NaN	56859.203	37660.027	93879.422	62809.496	61649.723	46944.781	46881.547	58741.875	46757.652	65207.918	48672.004	83132.516	59581.793	47400.789	70138.164	96360.352	51501.613	57330.723
2.1348	53859.52	53038.988	32968.41	48626.871	50879.895	46257.215	62513.707	46638.332	65993.031	46142.281	NaN	46741.438	34827.797	68501.117	74327.484	46441.469	38743.059	42965.547	51736.984	44945.699	67026.406	51999.711	64948.746	50155.906	40772.352	65996.109	80749.648	51549.473	59088.82
2.2682	44618.441	44012.383	34228.477	41986.762	44587.215	45269.254	54011.551	37531.887	86484.586	45853.988	NaN	40662.711	NaN	46426.938	60058.902	40211.617	34197.074	38722.406	46754.945	41128.121	55444.887	47741.453	51321.211	41754.336	38935.773	50385.27	58443.031	43969.008	50158.691
2.4016	39878.074	39417.824	34706.215	37759.395	40120.016	42669.207	43044.289	37040.816	75337.102	40094.777	NaN	39181.691	NaN	36484.648	46045.965	36208.172	33269.418	NaN	44251.34	38696.055	42799.797	40412.102	NaN	38178.648	NaN	40529.672	45446.953	37983.965	48301.23
2.535	38495.43	NaN	39537.074	NaN	38514.297	41019.316	38151.43	NaN	53178.648	35386.281	NaN	37733.926	NaN	32979.77	39913.215	NaN	NaN	NaN	NaN	NaN	39774.031	38345.219	NaN	NaN	NaN	NaN	39922.004	36761.625	56080.695
2.6684	NaN	NaN	42420.211	NaN	NaN	NaN	36952.719	NaN	42630.098	33301.25	NaN	NaN	NaN	NaN	38582.246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65170.586
2.8019	NaN	NaN	41197.133	NaN	NaN	NaN	NaN	NaN	38818.16	32977.609	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	37834.309	NaN	NaN	NaN	NaN	NaN	NaN	32926.883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	35378.219	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
