x	Y_20181208_15100_17_2g	Y_20181208_15100_17_3g	Y_20181208_15100_18_2g	Y_20181208_15100_18_4g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_27_2g	Y_20181208_15100_4_2g	Y_20181208_15100_5_14g	Y_20181208_15100_7_2g	Y_20181208_15100_9_2g
0	23510.4375	25071.0039	30860.0645	30545.9355	30660.4199	32817.2188	31915.1875	29574.8887	29458.6582	27719.9102	27221.0195
0.1334	24245.4531	25773.2812	31422.8613	31409.2188	28913.8984	31404.1602	31500.8086	30486.0273	29536.6445	29547.0117	27136.2246
0.2668	24814.4355	25535.1016	32393.3379	30773.0117	29248.2793	29297.8008	31703.1035	30302.5918	29763.8105	29618.6816	27779
0.4003	24544.9727	25460.5762	31640.873	30059.7441	31034.9941	29608.2188	32439.8809	31124.3984	29839.418	28255.0391	27821.1152
0.5337	24808.4668	24696.5371	32118.375	29987.7715	29048.6621	31213.6934	33284.9219	31390.9277	30983.3301	28994.0215	27963.5137
0.6671	24450.6465	24710.207	31755.1543	30261.0566	30873.5234	30312.8613	31797.8398	31061.1348	31451.1797	29961.0781	30907.9609
0.8005	24627.7832	26582.4316	30968.7051	30526.8477	29846.748	30079.7656	32482.7754	30754.9219	30896.5215	29322.2773	30149.9707
0.934	24330.2832	25238.8691	31547.5098	31750.6504	30289.9824	30450.8105	32057.3867	32649.252	31169.2402	30199.1621	30849.7559
1.0674	25391.2832	25634.4863	32140.3984	29922.1758	31725.0918	31636.5059	32640.4941	33591.3633	31236.4336	30588.1387	30300.0234
1.2008	25062.5566	26155.7285	31672.4375	31377.2812	32881.0312	32092.8809	31921.9043	31354.2773	30159.8574	29025.0664	30926.918
1.3342	27117.4434	27199.4121	31583.2773	30436.2168	30988.875	31770.7539	31752.752	33271.6641	32072.8145	28727.8379	31505.0605
1.4676	28793.1152	27775.9668	32003.2012	32614.1074	32432.1426	31745.1191	30752.3984	34268.5391	29323.8945	29178.3867	30907.4863
1.6011	27052.3438	27107.7441	31130.332	31405.8789	32990.3281	33022.0352	31862.748	34419.1094	31106.3477	27246.6113	31339.3086
1.7345	25714.0664	26580.0254	31183.3457	30220.8184	31595.377	32431.3828	30958.9375	35113.6797	29928.0098	29209.0781	30824.0234
1.8679	25341.084	26621.5938	31202.7852	31438.2285	29939.4121	32693.3867	32478.6465	35489.5898	28836.3594	28348.9668	29860.0078
2.0013	25133.6973	25410.9961	31814.9902	31549.4746	31116.666	33512.457	33289.4922	34544.1836	29763.2969	28761.1387	31405.6289
2.1347	26536.0918	26743.6992	31590.0254	30512.9141	30436.1074	32096.9785	33306.6836	34264.0938	30384.5664	29954.3027	31063.9316
2.2682	27843.2852	27667.2441	32050.2012	31202.25	30984.1875	31705.1914	33787.0977	34053.1094	31354.4961	31247.0176	32225.8066
2.4016	26755.3105	26380.5957	32868.3359	30858.4961	31900.4707	32500.1855	33999.5898	34413.5547	32169.0898	31988.166	31724.0664
2.535	29286.8867	27625.7188	32552.9219	32098.8691	31291.6113	32736.5332	35320.168	35837.7891	33967.1484	36511.4102	32837.9609
2.6684	35008.3438	28672.4648	33432.332	33419.1523	34141.7227	34184.1562	36490.2109	35208.9648	41032.0781	44345.1094	34536.7422
2.8019	51385.3711	31217.7773	35777.7344	32169.1953	40002.1211	36953.5586	37053.0742	35029.7617	55263.5391	61220.4922	39368.5781
2.9353	80930.6016	35067.2227	39776.5195	31117.498	53880.2383	42119.793	43617.5625	38630.0039	84352.8828	74037.1953	53156.2422
3.0687	96953	49690.6914	52722.875	34175.7188	92025.5156	57078.2539	57687.7539	45408.4102	105042.4922	66093.4922	77350.4531
3.2021	73134.6016	78431.3359	83383.1797	35641.082	132575.5781	86025.7891	87348.0547	64760.1211	87268.3672	48687.5977	108962.2812
3.3355	52121.9609	92161.5312	106057.9062	40176.957	112406.1953	102465.6562	126074.5312	102634.1328	59272.3945	37397.2305	120412.3672
3.469	42828.8555	72549.1641	90045.3047	51635.4688	70196.0312	77780.0156	124722.0703	124281.5703	45772.082	33343.7578	89865.8047
3.6024	NaN	49585.4375	59939.3555	48540.8711	46933.2617	53277.0391	84557.0703	102654.625	38884.6602	32714.1562	55326.2266
3.7358	NaN	37293.4219	44602.7305	40231.0508	40977.3555	41900.3594	54877.2461	63980.8594	34726.6406	NaN	39903.6992
3.8692	NaN	33106.5742	38107.0859	35564.3086	33537.6562	38573.6641	43006.3633	43374.8086	33945.4844	NaN	35732.0234
4.0027	NaN	30412.6641	34104.4062	33366.2344	35140.7812	36089.6055	39607.9258	35966.5078	32394.0332	NaN	32045.6504
4.1361	NaN	30148.8027	32833.3281	33168.7773	33430.1797	34995.9297	38135.7031	31260.1504	NaN	NaN	32414.0703
4.2695	NaN	30464.3828	31676.5352	NaN	32869.4258	35300.9648	36222.457	31868.5273	NaN	NaN	NaN
4.4029	NaN	31727.1367	31726.0312	NaN	33270.1992	34659.8203	34718.5312	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	34818.3086	NaN	NaN	NaN	NaN
