x	Y_20181208_15693_17_11g
0	28731.2578
0.1334	30583.8184
0.2668	31463.9746
0.4003	30403.5527
0.5337	31230.8164
0.6671	30630.3594
0.8005	31254.0273
0.934	31198.166
1.0674	31158.9727
1.2008	30959.0586
1.3342	29749.8906
1.4676	30765.752
1.6011	32343.7734
1.7345	30488.9648
1.8679	31729.6621
2.0013	31747.7891
2.1347	30922.8711
2.2682	31419.6387
2.4016	31868.1328
2.535	31105.8066
2.6684	31092.9375
2.8019	30631.1719
2.9353	31531.6328
3.0687	31766.8008
3.2021	31858.5645
3.3355	33096.0781
3.469	34866.2148
3.6024	39503.8945
3.7358	44687.2461
3.8692	46643.6992
4.0027	39131.875
4.1361	34115.6289
4.2695	33559.4219
4.4029	31916.3379
4.5363	NaN
4.6698	NaN
4.8032	NaN
4.9366	NaN
5.07	NaN
5.2035	NaN
5.3369	NaN
5.4703	NaN
5.6037	NaN
